"Status","Year","Parent_department","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","London","Male","Heterosexual / straight","140","140","66280","55600"
"In post","2021","Chancellor's other departments","London","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","London","Male","Undeclared","50","45","62260","49630"
"In post","2021","Chancellor's other departments","London","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Charity Commission","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Charity Commission","London","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Charity Commission","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","Female","Heterosexual / straight","105","100","31920","29160"
"In post","2021","Charity Commission","Outside London","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Charity Commission","Outside London","Female","Unknown","80","75","33260","29310"
"In post","2021","Charity Commission","Outside London","Male","Heterosexual / straight","85","85","34000","29160"
"In post","2021","Charity Commission","Outside London","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","Male","Unknown","65","65","34770","29990"
"In post","2021","Charity Commission","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Female","Heterosexual / straight","335","320","58460","55860"
"In post","2021","Competition and Markets Authority","London","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Female","Undeclared","30","30","57780","56360"
"In post","2021","Competition and Markets Authority","London","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Male","Heterosexual / straight","300","295","61840","58320"
"In post","2021","Competition and Markets Authority","London","Male","LGBO","40","40","60050","56360"
"In post","2021","Competition and Markets Authority","London","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Female","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Female","Heterosexual / straight","1915","1840","48000","45370"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Female","LGBO","205","205","46490","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Female","Undeclared","255","250","48170","52300"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Female","Unknown","360","345","42510","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Male","Heterosexual / straight","1925","1910","50850","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Male","LGBO","255","250","49530","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Male","Undeclared","300","295","50870","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Male","Unknown","400","395","44830","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Female","Heterosexual / straight","1835","1680","33440","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Female","LGBO","105","105","32670","30490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Female","Undeclared","170","155","34230","30970"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Female","Unknown","1620","1495","32600","30950"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Male","Heterosexual / straight","1325","1290","38280","35600"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Male","LGBO","110","110","35290","30360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Male","Undeclared","195","185","40040","39270"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Male","Unknown","2140","2080","37930","37700"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Female","Heterosexual / straight","670","650","49270","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Female","LGBO","75","75","41920","34240"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Female","Undeclared","55","50","48850","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Female","Unknown","120","115","48710","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Male","Heterosexual / straight","535","535","50830","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Male","LGBO","95","95","51310","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Male","Undeclared","50","50","49100","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Male","Unknown","105","105","48440","47020"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","London","Female","Heterosexual / straight","1080","1025","49390","53420"
"In post","2021","Department for Education","London","Female","LGBO","65","65","48940","50130"
"In post","2021","Department for Education","London","Female","Undeclared","105","100","48160","51240"
"In post","2021","Department for Education","London","Female","Unknown","360","340","50020","53420"
"In post","2021","Department for Education","London","Male","Heterosexual / straight","610","605","52170","53760"
"In post","2021","Department for Education","London","Male","LGBO","95","95","51500","53420"
"In post","2021","Department for Education","London","Male","Undeclared","80","80","52240","53620"
"In post","2021","Department for Education","London","Male","Unknown","235","230","50070","53420"
"In post","2021","Department for Education","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Outside London","Female","Heterosexual / straight","2230","2100","39900","36780"
"In post","2021","Department for Education","Outside London","Female","LGBO","135","130","38580","36500"
"In post","2021","Department for Education","Outside London","Female","Undeclared","190","180","40310","36780"
"In post","2021","Department for Education","Outside London","Female","Unknown","475","450","39040","36780"
"In post","2021","Department for Education","Outside London","Male","Heterosexual / straight","1575","1565","41880","37100"
"In post","2021","Department for Education","Outside London","Male","LGBO","125","125","38210","36500"
"In post","2021","Department for Education","Outside London","Male","Undeclared","165","160","42200","40230"
"In post","2021","Department for Education","Outside London","Male","Unknown","395","390","41470","37100"
"In post","2021","Department for Education","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Female","Heterosexual / straight","945","905","44270","39420"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Female","LGBO","80","75","46490","40200"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Female","Undeclared","100","95","42400","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Female","Unknown","280","265","46110","39910"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Male","Heterosexual / straight","745","735","45730","40050"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Male","LGBO","100","100","45230","38900"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Male","Undeclared","90","90","42060","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Male","Unknown","255","255","45110","40200"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Female","Heterosexual / straight","3080","2825","33050","29690"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Female","LGBO","170","160","31130","28030"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Female","Undeclared","345","320","33750","30320"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Female","Unknown","1190","1070","29000","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Male","Heterosexual / straight","2195","2150","36420","32160"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Male","LGBO","160","155","31860","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Male","Undeclared","305","295","36030","32050"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Male","Unknown","1000","970","31690","26520"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","London","Female","Heterosexual / straight","640","630","45430","39110"
"In post","2021","Department for International Trade","London","Female","LGBO","60","60","43760","38540"
"In post","2021","Department for International Trade","London","Female","Undeclared","65","65","43390","38540"
"In post","2021","Department for International Trade","London","Female","Unknown","370","365","42170","38540"
"In post","2021","Department for International Trade","London","Male","Heterosexual / straight","650","645","46540","39810"
"In post","2021","Department for International Trade","London","Male","LGBO","105","105","45770","39910"
"In post","2021","Department for International Trade","London","Male","Undeclared","60","60","47680","51710"
"In post","2021","Department for International Trade","London","Male","Unknown","370","365","45690","39070"
"In post","2021","Department for International Trade","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","Female","Heterosexual / straight","70","65","44690","47980"
"In post","2021","Department for International Trade","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","Male","Heterosexual / straight","90","90","43470","38540"
"In post","2021","Department for International Trade","Outside London","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Overseas","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Department for International Trade","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Overseas","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Department for International Trade","Overseas","Male","Heterosexual / straight","70","70","56910","54180"
"In post","2021","Department for International Trade","Overseas","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Overseas","Male","Unknown","30","30","55090","52620"
"In post","2021","Department for International Trade","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","London","Female","Heterosexual / straight","975","940","48260","44030"
"In post","2021","Department for Transport","London","Female","LGBO","70","70","43540","35700"
"In post","2021","Department for Transport","London","Female","Undeclared","85","80","43860","37660"
"In post","2021","Department for Transport","London","Female","Unknown","290","285","41810","35430"
"In post","2021","Department for Transport","London","Male","Heterosexual / straight","1210","1190","48570","43360"
"In post","2021","Department for Transport","London","Male","LGBO","150","150","47510","43360"
"In post","2021","Department for Transport","London","Male","Undeclared","235","225","45340","42470"
"In post","2021","Department for Transport","London","Male","Unknown","430","415","41970","35380"
"In post","2021","Department for Transport","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Outside London","Female","Heterosexual / straight","3565","3115","27140","21590"
"In post","2021","Department for Transport","Outside London","Female","LGBO","170","160","26880","26130"
"In post","2021","Department for Transport","Outside London","Female","Undeclared","1325","1040","25000","21590"
"In post","2021","Department for Transport","Outside London","Female","Unknown","800","715","25380","21590"
"In post","2021","Department for Transport","Outside London","Male","Heterosexual / straight","4210","4070","32490","27680"
"In post","2021","Department for Transport","Outside London","Male","LGBO","190","185","30670","26780"
"In post","2021","Department for Transport","Outside London","Male","Undeclared","1275","1195","30480","26780"
"In post","2021","Department for Transport","Outside London","Male","Unknown","995","970","28850","26580"
"In post","2021","Department for Transport","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
