"Status","Year","Age","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","20-29","London","AA/AO","Heterosexual / straight","1570","1545","25610","24900"
"In post","2021","20-29","London","AA/AO","LGBO","140","140","26530","25110"
"In post","2021","20-29","London","AA/AO","Undeclared","130","130","25450","24490"
"In post","2021","20-29","London","AA/AO","Unknown","815","805","25570","24120"
"In post","2021","20-29","London","EO","Heterosexual / straight","3620","3585","29340","29080"
"In post","2021","20-29","London","EO","LGBO","375","370","28910","28520"
"In post","2021","20-29","London","EO","Undeclared","315","310","28920","28650"
"In post","2021","20-29","London","EO","Unknown","1155","1145","28860","28650"
"In post","2021","20-29","London","G6/G7","Heterosexual / straight","2005","2000","55260","54110"
"In post","2021","20-29","London","G6/G7","LGBO","355","350","55390","53760"
"In post","2021","20-29","London","G6/G7","Undeclared","235","235","55510","53870"
"In post","2021","20-29","London","G6/G7","Unknown","810","810","55280","54380"
"In post","2021","20-29","London","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","London","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","London","SEO/HEO","Heterosexual / straight","6255","6235","36330","35070"
"In post","2021","20-29","London","SEO/HEO","LGBO","875","875","36220","35050"
"In post","2021","20-29","London","SEO/HEO","Undeclared","700","695","36000","35050"
"In post","2021","20-29","London","SEO/HEO","Unknown","3255","3245","34190","33250"
"In post","2021","20-29","London","Unknown","Heterosexual / straight","270","265","29330","26810"
"In post","2021","20-29","London","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","London","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","London","Unknown","Unknown","50","50","25880","26810"
"In post","2021","20-29","Outside London","AA/AO","Heterosexual / straight","13770","13360","22300","21050"
"In post","2021","20-29","Outside London","AA/AO","LGBO","1570","1540","22170","21010"
"In post","2021","20-29","Outside London","AA/AO","Undeclared","1070","1030","22310","21010"
"In post","2021","20-29","Outside London","AA/AO","Unknown","7345","7135","21760","20880"
"In post","2021","20-29","Outside London","EO","Heterosexual / straight","10465","10335","26320","26470"
"In post","2021","20-29","Outside London","EO","LGBO","1100","1090","26500","27540"
"In post","2021","20-29","Outside London","EO","Undeclared","795","790","26720","26850"
"In post","2021","20-29","Outside London","EO","Unknown","3665","3615","26040","25560"
"In post","2021","20-29","Outside London","G6/G7","Heterosexual / straight","600","595","51390","52480"
"In post","2021","20-29","Outside London","G6/G7","LGBO","65","65","50790","50400"
"In post","2021","20-29","Outside London","G6/G7","Undeclared","45","45","52450","52580"
"In post","2021","20-29","Outside London","G6/G7","Unknown","185","185","51330","52150"
"In post","2021","20-29","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Outside London","SEO/HEO","Heterosexual / straight","6505","6460","32850","31810"
"In post","2021","20-29","Outside London","SEO/HEO","LGBO","725","720","32510","31810"
"In post","2021","20-29","Outside London","SEO/HEO","Undeclared","510","505","33300","31950"
"In post","2021","20-29","Outside London","SEO/HEO","Unknown","2580","2570","32440","31810"
"In post","2021","20-29","Outside London","Unknown","Heterosexual / straight","1690","1660","25810","23840"
"In post","2021","20-29","Outside London","Unknown","LGBO","140","140","23880","22920"
"In post","2021","20-29","Outside London","Unknown","Undeclared","95","90","25820","23840"
"In post","2021","20-29","Outside London","Unknown","Unknown","295","285","23760","22920"
"In post","2021","20-29","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","EO","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Overseas","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","20-29","Overseas","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Overseas","SEO/HEO","Heterosexual / straight","130","130","34970","33860"
"In post","2021","20-29","Overseas","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Overseas","SEO/HEO","Undeclared","15","15","[c]","[c]"
"In post","2021","20-29","Overseas","SEO/HEO","Unknown","60","60","38140","38600"
"In post","2021","20-29","Overseas","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Heterosexual / straight","60","60","27560","27570"
"In post","2021","20-29","Unknown","EO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","Heterosexual / straight","50","50","34380","33250"
"In post","2021","20-29","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","Unknown","295","295","30560","29250"
"In post","2021","20-29","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Unknown","365","365","29010","28980"
"In post","2021","30-39","London","AA/AO","Heterosexual / straight","1320","1230","26640","25450"
"In post","2021","30-39","London","AA/AO","LGBO","70","70","28990","29680"
"In post","2021","30-39","London","AA/AO","Undeclared","125","120","25890","25110"
"In post","2021","30-39","London","AA/AO","Unknown","445","415","26700","25110"
"In post","2021","30-39","London","EO","Heterosexual / straight","2775","2650","29910","29570"
"In post","2021","30-39","London","EO","LGBO","190","185","30500","30750"
"In post","2021","30-39","London","EO","Undeclared","255","245","29830","29570"
"In post","2021","30-39","London","EO","Unknown","640","615","30020","30470"
"In post","2021","30-39","London","G6/G7","Heterosexual / straight","6240","6050","59090","57460"
"In post","2021","30-39","London","G6/G7","LGBO","625","620","58650","57440"
"In post","2021","30-39","London","G6/G7","Undeclared","745","730","59070","57460"
"In post","2021","30-39","London","G6/G7","Unknown","1840","1795","59200","57430"
"In post","2021","30-39","London","SCS level","Heterosexual / straight","585","565","79450","75330"
"In post","2021","30-39","London","SCS level","LGBO","70","65","79980","74250"
"In post","2021","30-39","London","SCS level","Undeclared","50","50","77670","75290"
"In post","2021","30-39","London","SCS level","Unknown","235","230","78750","73400"
"In post","2021","30-39","London","SEO/HEO","Heterosexual / straight","5145","5025","38830","38690"
"In post","2021","30-39","London","SEO/HEO","LGBO","435","435","38140","37500"
"In post","2021","30-39","London","SEO/HEO","Undeclared","580","565","38870","39420"
"In post","2021","30-39","London","SEO/HEO","Unknown","1570","1535","38110","37560"
"In post","2021","30-39","London","Unknown","Heterosexual / straight","315","305","32580","34100"
"In post","2021","30-39","London","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","30-39","London","Unknown","Undeclared","30","25","[c]","[c]"
"In post","2021","30-39","London","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","30-39","Outside London","AA/AO","Heterosexual / straight","15000","13630","22530","21050"
"In post","2021","30-39","Outside London","AA/AO","LGBO","1125","1090","22960","21160"
"In post","2021","30-39","Outside London","AA/AO","Undeclared","1685","1525","22550","21130"
"In post","2021","30-39","Outside London","AA/AO","Unknown","6025","5390","22190","21010"
"In post","2021","30-39","Outside London","EO","Heterosexual / straight","14440","13600","26960","27370"
"In post","2021","30-39","Outside London","EO","LGBO","1140","1120","27180","27570"
"In post","2021","30-39","Outside London","EO","Undeclared","1425","1350","27340","27570"
"In post","2021","30-39","Outside London","EO","Unknown","4625","4360","27160","27570"
"In post","2021","30-39","Outside London","G6/G7","Heterosexual / straight","4495","4355","54290","52580"
"In post","2021","30-39","Outside London","G6/G7","LGBO","320","315","54530","52580"
"In post","2021","30-39","Outside London","G6/G7","Undeclared","445","435","54190","52580"
"In post","2021","30-39","Outside London","G6/G7","Unknown","1300","1255","54060","52580"
"In post","2021","30-39","Outside London","SCS level","Heterosexual / straight","110","105","81300","76950"
"In post","2021","30-39","Outside London","SCS level","LGBO","15","15","[c]","[c]"
"In post","2021","30-39","Outside London","SCS level","Undeclared","10","5","[c]","[c]"
"In post","2021","30-39","Outside London","SCS level","Unknown","60","60","73660","71140"
"In post","2021","30-39","Outside London","SEO/HEO","Heterosexual / straight","15310","14765","35380","33840"
"In post","2021","30-39","Outside London","SEO/HEO","LGBO","1065","1045","35300","33930"
"In post","2021","30-39","Outside London","SEO/HEO","Undeclared","1520","1470","35790","34800"
"In post","2021","30-39","Outside London","SEO/HEO","Unknown","4155","4025","35110","33620"
"In post","2021","30-39","Outside London","Unknown","Heterosexual / straight","2395","2205","30800","30880"
"In post","2021","30-39","Outside London","Unknown","LGBO","165","165","28270","25280"
"In post","2021","30-39","Outside London","Unknown","Undeclared","190","180","31600","31420"
"In post","2021","30-39","Outside London","Unknown","Unknown","235","210","28090","24800"
"In post","2021","30-39","Overseas","AA/AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","30-39","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","EO","Heterosexual / straight","40","40","27570","26670"
"In post","2021","30-39","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","EO","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Overseas","G6/G7","Heterosexual / straight","280","280","56950","55540"
"In post","2021","30-39","Overseas","G6/G7","LGBO","40","40","56140","54470"
"In post","2021","30-39","Overseas","G6/G7","Undeclared","25","25","[c]","[c]"
"In post","2021","30-39","Overseas","G6/G7","Unknown","120","120","55770","54310"
"In post","2021","30-39","Overseas","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","30-39","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Overseas","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Overseas","SEO/HEO","Heterosexual / straight","285","285","37550","34720"
"In post","2021","30-39","Overseas","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2021","30-39","Overseas","SEO/HEO","Undeclared","40","40","37590","34640"
"In post","2021","30-39","Overseas","SEO/HEO","Unknown","80","80","40570","39230"
"In post","2021","30-39","Overseas","Unknown","Heterosexual / straight","65","65","[c]","[c]"
"In post","2021","30-39","Overseas","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","30-39","Overseas","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","30-39","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","AA/AO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","30-39","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","EO","Heterosexual / straight","80","80","27600","27570"
"In post","2021","30-39","Unknown","EO","LGBO","10","10","[c]","[c]"
"In post","2021","30-39","Unknown","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","30-39","Unknown","EO","Unknown","25","25","[c]","[c]"
"In post","2021","30-39","Unknown","G6/G7","Heterosexual / straight","30","30","57160","54700"
"In post","2021","30-39","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2021","30-39","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","SEO/HEO","Heterosexual / straight","50","50","35850","34590"
"In post","2021","30-39","Unknown","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","SEO/HEO","Unknown","70","70","32520","32000"
"In post","2021","30-39","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Unknown","Unknown","Unknown","410","410","37400","34460"
"In post","2021","40-49","London","AA/AO","Heterosexual / straight","1445","1325","25910","25110"
"In post","2021","40-49","London","AA/AO","LGBO","55","50","25240","24490"
"In post","2021","40-49","London","AA/AO","Undeclared","215","195","25670","25110"
"In post","2021","40-49","London","AA/AO","Unknown","550","485","25800","24890"
"In post","2021","40-49","London","EO","Heterosexual / straight","2710","2545","30090","30110"
"In post","2021","40-49","London","EO","LGBO","140","135","30230","30580"
"In post","2021","40-49","London","EO","Undeclared","380","355","30120","30110"
"In post","2021","40-49","London","EO","Unknown","760","700","30370","31030"
"In post","2021","40-49","London","G6/G7","Heterosexual / straight","4985","4740","61530","59730"
"In post","2021","40-49","London","G6/G7","LGBO","390","380","61400","60240"
"In post","2021","40-49","London","G6/G7","Undeclared","640","615","61910","59730"
"In post","2021","40-49","London","G6/G7","Unknown","1470","1390","62300","60720"
"In post","2021","40-49","London","SCS level","Heterosexual / straight","1370","1310","88290","80730"
"In post","2021","40-49","London","SCS level","LGBO","115","115","86690","79680"
"In post","2021","40-49","London","SCS level","Undeclared","120","115","85420","80140"
"In post","2021","40-49","London","SCS level","Unknown","400","385","94000","83830"
"In post","2021","40-49","London","SEO/HEO","Heterosexual / straight","4280","4135","39720","39530"
"In post","2021","40-49","London","SEO/HEO","LGBO","250","245","40120","39960"
"In post","2021","40-49","London","SEO/HEO","Undeclared","630","610","39640","39740"
"In post","2021","40-49","London","SEO/HEO","Unknown","1070","1025","39440","39260"
"In post","2021","40-49","London","Unknown","Heterosexual / straight","260","250","36560","36580"
"In post","2021","40-49","London","Unknown","LGBO","15","15","[c]","[c]"
"In post","2021","40-49","London","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2021","40-49","London","Unknown","Unknown","35","30","33730","32090"
"In post","2021","40-49","Outside London","AA/AO","Heterosexual / straight","15255","13680","22290","21010"
"In post","2021","40-49","Outside London","AA/AO","LGBO","720","680","22680","21010"
"In post","2021","40-49","Outside London","AA/AO","Undeclared","2420","2160","22410","21100"
"In post","2021","40-49","Outside London","AA/AO","Unknown","6515","5705","22190","21010"
"In post","2021","40-49","Outside London","EO","Heterosexual / straight","16135","15005","27320","27570"
"In post","2021","40-49","Outside London","EO","LGBO","850","820","27360","27570"
"In post","2021","40-49","Outside London","EO","Undeclared","2235","2100","27430","27570"
"In post","2021","40-49","Outside London","EO","Unknown","4975","4535","27610","27570"
"In post","2021","40-49","Outside London","G6/G7","Heterosexual / straight","7785","7510","57320","54950"
"In post","2021","40-49","Outside London","G6/G7","LGBO","350","345","58480","56030"
"In post","2021","40-49","Outside London","G6/G7","Undeclared","875","850","57590","55010"
"In post","2021","40-49","Outside London","G6/G7","Unknown","2155","2070","56630","53470"
"In post","2021","40-49","Outside London","SCS level","Heterosexual / straight","530","515","87000","81910"
"In post","2021","40-49","Outside London","SCS level","LGBO","30","30","89470","83470"
"In post","2021","40-49","Outside London","SCS level","Undeclared","30","30","[c]","[c]"
"In post","2021","40-49","Outside London","SCS level","Unknown","180","180","84600","78460"
"In post","2021","40-49","Outside London","SEO/HEO","Heterosexual / straight","16800","16105","36770","36160"
"In post","2021","40-49","Outside London","SEO/HEO","LGBO","750","735","36200","35120"
"In post","2021","40-49","Outside London","SEO/HEO","Undeclared","2290","2205","36920","36390"
"In post","2021","40-49","Outside London","SEO/HEO","Unknown","4065","3875","36450","35900"
"In post","2021","40-49","Outside London","Unknown","Heterosexual / straight","2495","2300","33710","33360"
"In post","2021","40-49","Outside London","Unknown","LGBO","130","125","31820","32690"
"In post","2021","40-49","Outside London","Unknown","Undeclared","300","280","35730","37170"
"In post","2021","40-49","Outside London","Unknown","Unknown","220","190","32410","32690"
"In post","2021","40-49","Overseas","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","40-49","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","EO","Heterosexual / straight","65","65","27820","26990"
"In post","2021","40-49","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","EO","Undeclared","15","15","[c]","[c]"
"In post","2021","40-49","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","G6/G7","Heterosexual / straight","300","300","60570","60010"
"In post","2021","40-49","Overseas","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2021","40-49","Overseas","G6/G7","Undeclared","25","25","[c]","[c]"
"In post","2021","40-49","Overseas","G6/G7","Unknown","95","95","61310","60080"
"In post","2021","40-49","Overseas","SCS level","Heterosexual / straight","85","85","80850","73810"
"In post","2021","40-49","Overseas","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","40-49","Overseas","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","40-49","Overseas","SCS level","Unknown","15","15","[c]","[c]"
"In post","2021","40-49","Overseas","SEO/HEO","Heterosexual / straight","265","265","40760","34770"
"In post","2021","40-49","Overseas","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","40-49","Overseas","SEO/HEO","Undeclared","40","40","36870","34770"
"In post","2021","40-49","Overseas","SEO/HEO","Unknown","115","115","43550","41750"
"In post","2021","40-49","Overseas","Unknown","Heterosexual / straight","65","65","[c]","[c]"
"In post","2021","40-49","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","Unknown","Undeclared","15","15","[c]","[c]"
"In post","2021","40-49","Overseas","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","40-49","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2021","40-49","Unknown","EO","Heterosexual / straight","90","90","27590","27570"
"In post","2021","40-49","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","40-49","Unknown","EO","Unknown","20","20","[c]","[c]"
"In post","2021","40-49","Unknown","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","40-49","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","G6/G7","Unknown","15","10","[c]","[c]"
"In post","2021","40-49","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","SEO/HEO","Heterosexual / straight","60","55","37040","34500"
"In post","2021","40-49","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","SEO/HEO","Unknown","35","35","35700","35310"
"In post","2021","40-49","Unknown","Unknown","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","Unknown","Unknown","390","390","40190","35380"
"In post","2021","50-59","London","AA/AO","Heterosexual / straight","2230","2100","25150","25060"
"In post","2021","50-59","London","AA/AO","LGBO","85","80","25380","24910"
"In post","2021","50-59","London","AA/AO","Undeclared","410","385","24850","24920"
"In post","2021","50-59","London","AA/AO","Unknown","870","810","25840","25060"
"In post","2021","50-59","London","EO","Heterosexual / straight","3760","3560","30450","30500"
"In post","2021","50-59","London","EO","LGBO","145","135","30380","30460"
"In post","2021","50-59","London","EO","Undeclared","755","715","30390","30410"
"In post","2021","50-59","London","EO","Unknown","1155","1095","30790","31060"
"In post","2021","50-59","London","G6/G7","Heterosexual / straight","3980","3890","63030","61210"
"In post","2021","50-59","London","G6/G7","LGBO","245","240","62920","61000"
"In post","2021","50-59","London","G6/G7","Undeclared","660","645","63670","61960"
"In post","2021","50-59","London","G6/G7","Unknown","1090","1060","64150","62300"
"In post","2021","50-59","London","SCS level","Heterosexual / straight","955","935","97470","90000"
"In post","2021","50-59","London","SCS level","LGBO","60","60","100390","86340"
"In post","2021","50-59","London","SCS level","Undeclared","105","100","93530","85030"
"In post","2021","50-59","London","SCS level","Unknown","295","290","103820","94810"
"In post","2021","50-59","London","SEO/HEO","Heterosexual / straight","4730","4625","40190","39800"
"In post","2021","50-59","London","SEO/HEO","LGBO","220","215","40310","39800"
"In post","2021","50-59","London","SEO/HEO","Undeclared","855","835","40570","39800"
"In post","2021","50-59","London","SEO/HEO","Unknown","1220","1195","39960","39800"
"In post","2021","50-59","London","Unknown","Heterosexual / straight","295","290","36250","36580"
"In post","2021","50-59","London","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","50-59","London","Unknown","Undeclared","40","40","38240","38230"
"In post","2021","50-59","London","Unknown","Unknown","25","25","[c]","[c]"
"In post","2021","50-59","Outside London","AA/AO","Heterosexual / straight","22630","20415","22140","21010"
"In post","2021","50-59","Outside London","AA/AO","LGBO","775","730","22580","21010"
"In post","2021","50-59","Outside London","AA/AO","Undeclared","4195","3735","22280","21010"
"In post","2021","50-59","Outside London","AA/AO","Unknown","9190","8020","22470","21010"
"In post","2021","50-59","Outside London","EO","Heterosexual / straight","21845","20235","27670","27570"
"In post","2021","50-59","Outside London","EO","LGBO","740","705","27790","27570"
"In post","2021","50-59","Outside London","EO","Undeclared","3805","3510","27780","27570"
"In post","2021","50-59","Outside London","EO","Unknown","6690","6105","28190","27570"
"In post","2021","50-59","Outside London","G6/G7","Heterosexual / straight","8350","8150","58950","56410"
"In post","2021","50-59","Outside London","G6/G7","LGBO","270","265","59730","57130"
"In post","2021","50-59","Outside London","G6/G7","Undeclared","1120","1095","59270","56750"
"In post","2021","50-59","Outside London","G6/G7","Unknown","2335","2250","58210","55660"
"In post","2021","50-59","Outside London","SCS level","Heterosexual / straight","780","770","91740","84720"
"In post","2021","50-59","Outside London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2021","50-59","Outside London","SCS level","Undeclared","85","80","93000","84710"
"In post","2021","50-59","Outside London","SCS level","Unknown","205","205","96410","86500"
"In post","2021","50-59","Outside London","SEO/HEO","Heterosexual / straight","20125","19400","37280","36100"
