"Status","Year","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Chancellor's other departments","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","Male","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","Male","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Communications","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Female","15","15","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Male","30","30","[c]","[c]"
"In post","2021","Charity Commission","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Female","20","15","[c]","[c]"
"In post","2021","Charity Commission","Legal","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Female","30","25","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","Other","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Other","Male","10","10","[c]","[c]"
"In post","2021","Charity Commission","Policy","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Female","135","125","32370","29160"
"In post","2021","Charity Commission","Unknown","Male","85","80","33920","29160"
"In post","2021","Competition and Markets Authority","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Female","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Male","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Male","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Female","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Male","40","40","57630","53530"
"In post","2021","Competition and Markets Authority","Economics","Female","40","40","60440","57850"
"In post","2021","Competition and Markets Authority","Economics","Male","55","50","64140","61650"
"In post","2021","Competition and Markets Authority","Human Resources","Female","30","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Male","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Female","75","70","69330","71370"
"In post","2021","Competition and Markets Authority","Legal","Male","55","55","72010","74480"
"In post","2021","Competition and Markets Authority","Policy","Female","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","Male","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Female","205","195","58740","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Male","175","170","62970","59260"
"In post","2021","Competition and Markets Authority","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Female","130","120","41130","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","Male","120","115","45830","47140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Female","145","135","43890","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","Male","105","105","43410","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Female","105","100","38790","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","Male","155","150","39700","38510"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Female","310","295","39670","37240"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","Male","725","715","41230","39040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","Female","115","115","46770","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","Male","195","195","46790","39640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Female","190","180","43100","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","Male","165","160","47900","44790"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Female","305","285","39880","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","Male","115","115","44080","41230"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","Male","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Female","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Female","20","15","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","Male","30","30","42080","39880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Female","45","45","49390","51510"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","Male","40","40","54880","54450"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Female","2415","2210","29980","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","Male","1715","1675","32830","28240"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","Female","15","15","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","Male","15","15","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","Female","25","25","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","Male","15","15","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Female","2000","1925","47730","44720"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","Male","2050","2030","50930","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Female","200","190","42080","39670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","Male","210","210","44860","41530"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Female","20","15","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Property","Male","15","15","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","Female","400","375","39490","39650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Science and Engineering","Male","930","890","43910","40940"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Female","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Security","Male","25","25","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Social Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Statistics","Female","20","20","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Statistics","Male","35","35","48170","44440"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Female","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Commercial","Male","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Female","25","20","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Communications","Male","20","20","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Female","20","15","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Economics","Male","55","55","52650","47630"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Female","25","25","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Male","40","40","55770","54760"
"In post","2021","Department for Digital, Culture, Media and Sport","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Female","45","40","49920","39090"
"In post","2021","Department for Digital, Culture, Media and Sport","Human Resources","Male","20","20","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","International Trade","Male","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Delivery","Male","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Female","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Operational Research","Male","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","Female","60","60","36790","34280"
"In post","2021","Department for Digital, Culture, Media and Sport","Other","Male","30","30","48840","40390"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Female","600","585","48110","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Male","475","475","48860","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Female","110","110","46650","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Male","100","100","51120","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Female","20","20","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Social Research","Male","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Female","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Statistics","Male","15","15","[c]","[c]"
"In post","2021","Department for Education","Commercial","Female","195","185","39790","37100"
"In post","2021","Department for Education","Commercial","Male","190","185","41820","38000"
"In post","2021","Department for Education","Communications","Female","210","200","38680","36780"
"In post","2021","Department for Education","Communications","Male","120","120","40530","36780"
"In post","2021","Department for Education","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Digital, Data and Technology","Female","405","385","40530","37100"
"In post","2021","Department for Education","Digital, Data and Technology","Male","495","490","39530","36780"
"In post","2021","Department for Education","Finance","Female","415","395","41770","37760"
"In post","2021","Department for Education","Finance","Male","375","370","43510","40140"
"In post","2021","Department for Education","Human Resources","Female","120","115","35030","30110"
"In post","2021","Department for Education","Human Resources","Male","35","35","40420","34350"
"In post","2021","Department for Education","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Legal","Female","45","40","54480","54490"
"In post","2021","Department for Education","Legal","Male","25","25","[c]","[c]"
"In post","2021","Department for Education","Operational Delivery","Female","980","935","41250","36960"
"In post","2021","Department for Education","Operational Delivery","Male","620","615","42230","37100"
"In post","2021","Department for Education","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Policy","Female","1980","1860","45250","40780"
"In post","2021","Department for Education","Policy","Male","1055","1045","47480","44910"
"In post","2021","Department for Education","Project Delivery","Female","35","30","46240","49860"
"In post","2021","Department for Education","Project Delivery","Male","30","30","[c]","[c]"
"In post","2021","Department for Education","Property","Female","245","235","48020","50130"
"In post","2021","Department for Education","Property","Male","320","315","53270","54600"
"In post","2021","Department for Education","Security","Female","10","10","[c]","[c]"
"In post","2021","Department for Education","Security","Male","25","25","[c]","[c]"
"In post","2021","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Female","105","95","36680","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Commercial","Male","65","65","42150","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Female","180","165","40850","37300"
"In post","2021","Department for Environment, Food and Rural Affairs","Communications","Male","95","95","42310","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","Female","10","5","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Female","285","270","42020","39050"
"In post","2021","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","Male","425","420","43960","44760"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","Female","65","60","44940","48990"
"In post","2021","Department for Environment, Food and Rural Affairs","Economics","Male","100","100","44580","47550"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Female","210","200","40040","36970"
"In post","2021","Department for Environment, Food and Rural Affairs","Finance","Male","200","195","46150","42730"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","Female","200","185","42870","38600"
"In post","2021","Department for Environment, Food and Rural Affairs","Human Resources","Male","65","65","42350","38420"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Female","2260","2025","26220","24920"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Delivery","Male","1590","1545","28120","25190"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Research","Female","10","10","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Operational Research","Male","10","5","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","Female","15","15","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Other","Male","15","15","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","Female","1405","1335","42900","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Policy","Male","1085","1075","43250","38750"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","Female","215","200","40610","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Project Delivery","Male","195","190","39610","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","Female","215","195","34030","30040"
"In post","2021","Department for Environment, Food and Rural Affairs","Property","Male","180","175","40020","36520"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","Female","715","660","32180","29270"
"In post","2021","Department for Environment, Food and Rural Affairs","Science and Engineering","Male","605","585","36700","33580"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","Female","25","25","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Social Research","Male","10","10","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","Female","35","35","37730","35900"
"In post","2021","Department for Environment, Food and Rural Affairs","Statistics","Male","35","35","38650","32560"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Female","25","25","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Unknown","Male","20","20","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","Female","220","205","44360","38560"
"In post","2021","Department for Environment, Food and Rural Affairs","Veterinarian","Male","160","155","47400","48560"
"In post","2021","Department for International Trade","Commercial","Female","20","20","[c]","[c]"
"In post","2021","Department for International Trade","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Communications","Female","80","80","42390","38540"
"In post","2021","Department for International Trade","Communications","Male","60","60","43980","38540"
"In post","2021","Department for International Trade","Digital, Data and Technology","Female","65","65","44730","43000"
"In post","2021","Department for International Trade","Digital, Data and Technology","Male","55","55","49660","44980"
"In post","2021","Department for International Trade","Economics","Female","50","50","42710","34110"
"In post","2021","Department for International Trade","Economics","Male","100","100","43910","32330"
"In post","2021","Department for International Trade","Finance","Female","40","40","48580","44030"
"In post","2021","Department for International Trade","Finance","Male","45","45","50950","51970"
"In post","2021","Department for International Trade","Human Resources","Female","85","85","43970","38540"
"In post","2021","Department for International Trade","Human Resources","Male","40","40","42210","32120"
"In post","2021","Department for International Trade","International Trade","Female","565","555","47260","48220"
"In post","2021","Department for International Trade","International Trade","Male","730","725","49150","51710"
"In post","2021","Department for International Trade","Knowledge and Information Management","Female","10","10","[c]","[c]"
"In post","2021","Department for International Trade","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Female","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Delivery","Female","50","50","35070","32120"
"In post","2021","Department for International Trade","Operational Delivery","Male","55","55","38100","32120"
"In post","2021","Department for International Trade","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Other","Female","100","100","37230","32120"
