"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","AA","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AO","Female","Heterosexual / straight","200","185","22070","21130"
"In post","2021","Commercial","AO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","AO","Female","Undeclared","30","25","21860","21580"
"In post","2021","Commercial","AO","Female","Unknown","45","40","23060","22740"
"In post","2021","Commercial","AO","Male","Heterosexual / straight","120","120","22010","21140"
"In post","2021","Commercial","AO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","AO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","AO","Male","Unknown","45","40","21930","21490"
"In post","2021","Commercial","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Female","Heterosexual / straight","370","345","26770","26670"
"In post","2021","Commercial","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","EO","Female","Undeclared","55","50","27110","26780"
"In post","2021","Commercial","EO","Female","Unknown","65","65","26080","26120"
"In post","2021","Commercial","EO","Male","Heterosexual / straight","250","250","27030","26670"
"In post","2021","Commercial","EO","Male","LGBO","20","15","[c]","[c]"
"In post","2021","Commercial","EO","Male","Undeclared","35","35","27840","27200"
"In post","2021","Commercial","EO","Male","Unknown","45","45","26040","26350"
"In post","2021","Commercial","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6","Female","Heterosexual / straight","135","130","71940","70290"
"In post","2021","Commercial","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","G6","Female","Unknown","130","130","75110","72480"
"In post","2021","Commercial","G6","Male","Heterosexual / straight","135","130","72360","69800"
"In post","2021","Commercial","G6","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","G6","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","G6","Male","Unknown","150","150","77330","74650"
"In post","2021","Commercial","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G7","Female","Heterosexual / straight","240","230","54580","54540"
"In post","2021","Commercial","G7","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","G7","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Commercial","G7","Female","Unknown","260","250","52590","51740"
"In post","2021","Commercial","G7","Male","Heterosexual / straight","285","280","57170","54890"
"In post","2021","Commercial","G7","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","G7","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","G7","Male","Unknown","295","290","54220","53320"
"In post","2021","Commercial","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HEO","Female","Heterosexual / straight","485","465","32710","33300"
"In post","2021","Commercial","HEO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","HEO","Female","Undeclared","80","75","33030","33300"
"In post","2021","Commercial","HEO","Female","Unknown","105","95","31780","31990"
"In post","2021","Commercial","HEO","Male","Heterosexual / straight","390","390","33120","33300"
"In post","2021","Commercial","HEO","Male","LGBO","25","25","[c]","[c]"
"In post","2021","Commercial","HEO","Male","Undeclared","60","60","34340","33900"
"In post","2021","Commercial","HEO","Male","Unknown","80","80","32570","32370"
"In post","2021","Commercial","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Heterosexual / straight","50","50","106410","96150"
"In post","2021","Commercial","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Unknown","175","170","83010","71500"
"In post","2021","Commercial","SCS level","Male","Heterosexual / straight","100","100","106460","100070"
"In post","2021","Commercial","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Unknown","240","240","91390","72930"
"In post","2021","Commercial","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO","Female","Heterosexual / straight","630","605","41270","40580"
"In post","2021","Commercial","SEO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","SEO","Female","Undeclared","80","75","41370","41750"
"In post","2021","Commercial","SEO","Female","Unknown","170","160","39780","39650"
"In post","2021","Commercial","SEO","Male","Heterosexual / straight","615","605","43280","42040"
"In post","2021","Commercial","SEO","Male","LGBO","30","30","41090","40300"
"In post","2021","Commercial","SEO","Male","Undeclared","80","80","43860","42080"
"In post","2021","Commercial","SEO","Male","Unknown","175","175","41330","40580"
"In post","2021","Commercial","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Heterosexual / straight","95","90","37420","35980"
"In post","2021","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Heterosexual / straight","80","80","43490","40960"
"In post","2021","Commercial","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA","Female","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Communications","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Communications","AA","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Communications","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AO","Female","Heterosexual / straight","170","145","21490","21440"
"In post","2021","Communications","AO","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Communications","AO","Female","Undeclared","35","30","21530","21440"
"In post","2021","Communications","AO","Female","Unknown","75","65","21530","21420"
"In post","2021","Communications","AO","Male","Heterosexual / straight","110","105","21510","21100"
"In post","2021","Communications","AO","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Communications","AO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Communications","AO","Male","Unknown","45","40","21580","21440"
"In post","2021","Communications","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Female","Heterosexual / straight","795","745","26010","25560"
"In post","2021","Communications","EO","Female","LGBO","55","50","26000","25560"
"In post","2021","Communications","EO","Female","Undeclared","70","65","26120","25560"
"In post","2021","Communications","EO","Female","Unknown","585","555","26070","25560"
"In post","2021","Communications","EO","Male","Heterosexual / straight","860","845","25430","25560"
"In post","2021","Communications","EO","Male","LGBO","70","65","25600","25560"
"In post","2021","Communications","EO","Male","Undeclared","90","85","25260","25560"
"In post","2021","Communications","EO","Male","Unknown","680","670","25760","25560"
"In post","2021","Communications","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6","Female","Heterosexual / straight","105","100","66990","66440"
"In post","2021","Communications","G6","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Communications","G6","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Communications","G6","Female","Unknown","50","45","65630","64670"
"In post","2021","Communications","G6","Male","Heterosexual / straight","75","75","68480","68770"
"In post","2021","Communications","G6","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Communications","G6","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Communications","G6","Male","Unknown","30","30","69370","70080"
"In post","2021","Communications","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G7","Female","Heterosexual / straight","310","295","54740","54650"
"In post","2021","Communications","G7","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Communications","G7","Female","Undeclared","30","30","[c]","[c]"
"In post","2021","Communications","G7","Female","Unknown","120","115","54340","54590"
"In post","2021","Communications","G7","Male","Heterosexual / straight","175","175","54440","53860"
"In post","2021","Communications","G7","Male","LGBO","35","35","54700","54410"
"In post","2021","Communications","G7","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Communications","G7","Male","Unknown","85","85","54780","54400"
"In post","2021","Communications","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HEO","Female","Heterosexual / straight","680","655","32840","31810"
"In post","2021","Communications","HEO","Female","LGBO","40","40","32270","31810"
"In post","2021","Communications","HEO","Female","Undeclared","70","65","33420","32180"
"In post","2021","Communications","HEO","Female","Unknown","265","260","32650","31810"
"In post","2021","Communications","HEO","Male","Heterosexual / straight","575","570","32730","31810"
"In post","2021","Communications","HEO","Male","LGBO","60","60","33190","31810"
"In post","2021","Communications","HEO","Male","Undeclared","65","60","33480","33240"
"In post","2021","Communications","HEO","Male","Unknown","285","285","32440","31810"
"In post","2021","Communications","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Female","Heterosexual / straight","45","45","86140","82020"
"In post","2021","Communications","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Communications","SCS level","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Communications","SCS level","Male","Heterosexual / straight","35","35","93110","82070"
"In post","2021","Communications","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Communications","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO","Female","Heterosexual / straight","475","460","40680","39750"
"In post","2021","Communications","SEO","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Communications","SEO","Female","Undeclared","40","40","41590","40600"
"In post","2021","Communications","SEO","Female","Unknown","180","175","40570","40300"
"In post","2021","Communications","SEO","Male","Heterosexual / straight","325","325","40310","39420"
"In post","2021","Communications","SEO","Male","LGBO","50","50","41730","41140"
"In post","2021","Communications","SEO","Male","Undeclared","35","35","40600","40600"
"In post","2021","Communications","SEO","Male","Unknown","120","120","40940","39880"
"In post","2021","Communications","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AO","Female","Heterosexual / straight","280","235","21480","21440"
"In post","2021","Counter Fraud","AO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Counter Fraud","AO","Female","Undeclared","45","40","21880","21440"
"In post","2021","Counter Fraud","AO","Female","Unknown","170","135","21460","21440"
"In post","2021","Counter Fraud","AO","Male","Heterosexual / straight","190","180","21350","20580"
"In post","2021","Counter Fraud","AO","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","AO","Male","Undeclared","30","25","[c]","[c]"
"In post","2021","Counter Fraud","AO","Male","Unknown","105","100","21300","20380"
"In post","2021","Counter Fraud","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Female","Heterosexual / straight","990","895","26930","25560"
"In post","2021","Counter Fraud","EO","Female","LGBO","60","55","26690","25560"
"In post","2021","Counter Fraud","EO","Female","Undeclared","130","110","27330","26280"
"In post","2021","Counter Fraud","EO","Female","Unknown","540","495","27040","25560"
"In post","2021","Counter Fraud","EO","Male","Heterosexual / straight","955","935","26940","25560"
"In post","2021","Counter Fraud","EO","Male","LGBO","55","55","27220","25560"
"In post","2021","Counter Fraud","EO","Male","Undeclared","155","145","27400","26780"
"In post","2021","Counter Fraud","EO","Male","Unknown","530","520","26940","25560"
"In post","2021","Counter Fraud","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6","Female","Heterosexual / straight","65","65","65200","64670"
"In post","2021","Counter Fraud","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Counter Fraud","G6","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Counter Fraud","G6","Male","Heterosexual / straight","135","130","66640","64770"
"In post","2021","Counter Fraud","G6","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","G6","Male","Undeclared","35","30","67730","64770"
"In post","2021","Counter Fraud","G6","Male","Unknown","25","20","[c]","[c]"
"In post","2021","Counter Fraud","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G7","Female","Heterosexual / straight","210","200","53500","52580"
"In post","2021","Counter Fraud","G7","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Counter Fraud","G7","Female","Undeclared","40","35","54440","52580"
"In post","2021","Counter Fraud","G7","Female","Unknown","40","40","53930","52580"
"In post","2021","Counter Fraud","G7","Male","Heterosexual / straight","335","325","54610","52580"
"In post","2021","Counter Fraud","G7","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Counter Fraud","G7","Male","Undeclared","70","65","55000","52770"
"In post","2021","Counter Fraud","G7","Male","Unknown","90","85","55010","52960"
"In post","2021","Counter Fraud","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HEO","Female","Heterosexual / straight","890","820","32930","31810"
"In post","2021","Counter Fraud","HEO","Female","LGBO","40","40","33210","31810"
"In post","2021","Counter Fraud","HEO","Female","Undeclared","120","110","33030","31810"
"In post","2021","Counter Fraud","HEO","Female","Unknown","330","310","33500","31810"
"In post","2021","Counter Fraud","HEO","Male","Heterosexual / straight","950","920","33230","31810"
"In post","2021","Counter Fraud","HEO","Male","LGBO","55","55","32740","31810"
"In post","2021","Counter Fraud","HEO","Male","Undeclared","185","175","33790","32000"
"In post","2021","Counter Fraud","HEO","Male","Unknown","425","410","33750","31830"
"In post","2021","Counter Fraud","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO","Female","Heterosexual / straight","345","330","39530","38630"
"In post","2021","Counter Fraud","SEO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","SEO","Female","Undeclared","50","50","39870","38630"
"In post","2021","Counter Fraud","SEO","Female","Unknown","80","80","39360","38630"
"In post","2021","Counter Fraud","SEO","Male","Heterosexual / straight","470","450","40090","38700"
"In post","2021","Counter Fraud","SEO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Counter Fraud","SEO","Male","Undeclared","75","75","40330","38630"
"In post","2021","Counter Fraud","SEO","Male","Unknown","170","165","40570","39800"
"In post","2021","Counter Fraud","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA","Female","Unknown","[c]","[c]","[c]","[c]"
