"Status","Year","Disability","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","Heterosexual / straight","35","35","40530","34800"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Heterosexual / straight","80","75","37880","33300"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Heterosexual / straight","555","510","41870","38000"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","LGBO","40","40","44270","37120"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Undeclared","30","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Attorney General's Departments","Unknown","95","85","42870","42770"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","Heterosexual / straight","835","805","35390","33130"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","LGBO","60","60","30580","28700"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","Undeclared","165","155","37850","36940"
"In post","2021","Declared disabled","Defence Equipment and Support","Ministry of Defence","Unknown","30","30","34100","30600"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Heterosexual / straight","375","360","38230","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","LGBO","45","45","35450","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","340","335","47610","43040"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","LGBO","75","70","45270","40050"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Undeclared","40","40","46200","40600"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heterosexual / straight","75","75","48390","39360"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","Heterosexual / straight","390","370","41600","36960"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","LGBO","55","55","41090","33810"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","Undeclared","45","45","41790","37100"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Department for Education","Unknown","30","30","46050","41020"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Heterosexual / straight","450","440","40370","36970"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","LGBO","70","70","40850","36520"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Undeclared","50","45","39270","37240"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","Heterosexual / straight","125","125","45620","41640"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","LGBO","30","30","44850","45810"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Department for International Trade","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","Heterosexual / straight","145","140","45280","42890"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","LGBO","35","35","47750","46710"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Heterosexual / straight","11015","9670","27190","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","LGBO","1095","1030","27590","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Undeclared","1600","1390","26520","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","1515","1275","26150","27570"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Heterosexual / straight","85","80","46440","40650"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","Heterosexual / straight","380","320","24830","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","LGBO","30","25","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","Undeclared","245","185","22960","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","Heterosexual / straight","300","275","29590","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","Undeclared","110","100","29140","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Department for Transport","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","Heterosexual / straight","110","105","39080","36960"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Department for Education","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Heterosexual / straight","60","60","37390","32850"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","Heterosexual / straight","40","40","36330","32830"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Food Standards Agency","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Heterosexual / straight","560","545","44220","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","LGBO","70","70","45510","44620"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Undeclared","55","55","44680","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","35","30","44070","39260"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Scottish Government","Unknown","30","25","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","Heterosexual / straight","45","45","43540","40310"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","Heterosexual / straight","130","125","53150","51830"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","LGBO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Attorney General's Departments","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","Heterosexual / straight","240","225","39530","35910"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","LGBO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","Undeclared","50","40","38020","35910"
"In post","2021","Declared disabled","Health and Safety Executive","Department for Work and Pensions","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Heterosexual / straight","1660","1490","23820","20650"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","LGBO","145","145","22450","20100"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Undeclared","230","210","24150","20420"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Ministry of Justice","Unknown","40","30","22150","20910"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","Heterosexual / straight","350","305","30630","27130"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","Undeclared","70","60","31130","27130"
"In post","2021","Declared disabled","HM Land Registry","HM Land Registry","Unknown","50","40","29440","27130"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Heterosexual / straight","4690","4395","30580","28690"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","LGBO","540","525","30070","28380"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Undeclared","520","480","31850","31480"
"In post","2021","Declared disabled","HM Prison and Probation Service","Ministry of Justice","Unknown","210","185","29840","31650"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Heterosexual / straight","3905","3500","31390","28130"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","LGBO","410","385","31730","31810"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Undeclared","475","425","31360","28130"
"In post","2021","Declared disabled","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","700","600","27690","25560"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","Heterosexual / straight","130","130","45770","42650"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury (excl. agencies)","HM Treasury","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","Heterosexual / straight","2400","2200","31020","27370"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","LGBO","225","215","33680","30010"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","Undeclared","425","385","31840","28650"
"In post","2021","Declared disabled","Home Office (incl. agencies)","Home Office","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","105","100","35590","32060"
"In post","2021","Declared disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Insolvency Service","Department for Business, Energy and Industrial Strategy","Unknown","55","50","28130","25060"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal Aid Agency","Ministry of Justice","Heterosexual / straight","115","105","25640","21310"
"In post","2021","Declared disabled","Legal Aid Agency","Ministry of Justice","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Legal Aid Agency","Ministry of Justice","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Department for Transport","Heterosexual / straight","50","50","34350","30730"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Department for Transport","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Department for Transport","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Met Office","Department for Business, Energy and Industrial Strategy","Unknown","100","95","36210","33860"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Heterosexual / straight","2720","2615","31440","27570"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","LGBO","155","150","32900","29250"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Undeclared","465","445","33080","32200"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","120","115","31520","29200"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Heterosexual / straight","220","215","42840","38230"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","LGBO","45","45","41410","35060"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","Heterosexual / straight","425","415","40200","36710"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","LGBO","60","60","41110","35300"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","Undeclared","60","55","42410","36800"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","National Crime Agency","Heterosexual / straight","160","155","38240","36630"
"In post","2021","Declared disabled","National Crime Agency","National Crime Agency","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","National Crime Agency","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","National Crime Agency","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","National Infrastructure Commission","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Infrastructure Commission","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Infrastructure Commission","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Infrastructure Commission","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Records of Scotland","Scottish Government","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","National Records of Scotland","Scottish Government","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","National Records of Scotland","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
