"Status","Year","Organisation","Profession_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","Northumberland and Tyne and Wear","Male","40","40","30140","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Central Scotland","Female","50","45","28690","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Central Scotland","Male","50","45","30860","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands","Female","55","50","29970","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands","Male","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Yorkshire","Female","35","35","30750","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Yorkshire","Male","30","30","32250","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Operational Research","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Policy","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Inner London - West","Female","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Project Delivery","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Derbyshire and Nottinghamshire","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Commercial","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Digital, Data and Technology","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Bedfordshire and Hertfordshire","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Bedfordshire and Hertfordshire","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Berkshire, Buckinghamshire and Oxfordshire","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cheshire","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cheshire","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cornwall and Isles of Scilly","Female","20","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cornwall and Isles of Scilly","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cumbria","Female","75","65","23270","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Cumbria","Male","45","45","23140","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Derbyshire and Nottinghamshire","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Derbyshire and Nottinghamshire","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Devon","Female","100","90","23710","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Devon","Male","50","50","26240","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Dorset and Somerset","Female","15","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Dorset and Somerset","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Anglia","Female","35","30","26800","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Anglia","Male","35","30","31100","31020"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Wales","Female","60","55","24580","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Wales","Male","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Yorkshire and Northern Lincolnshire","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","East Yorkshire and Northern Lincolnshire","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Eastern Scotland","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Eastern Scotland","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Essex","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Essex","Male","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Female","40","35","27200","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Gloucestershire, Wiltshire and Bath/Bristol area","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Greater Manchester","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Greater Manchester","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Hampshire and Isle of Wight","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Hampshire and Isle of Wight","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","Female","75","65","25760","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Herefordshire, Worcestershire and Warwickshire","Male","35","30","29710","26520"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Highlands and Islands","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Highlands and Islands","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Inner London - West","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Inner London - West","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Kent","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Kent","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Lancashire","Female","40","35","25500","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Lancashire","Male","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Leicestershire, Rutland and Northamptonshire","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Leicestershire, Rutland and Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Lincolnshire","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Lincolnshire","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North Yorkshire","Female","70","65","25740","25100"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","North Yorkshire","Male","65","60","28120","25190"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Northumberland and Tyne and Wear","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Northumberland and Tyne and Wear","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Outer London - West and North West","Female","35","35","32470","31460"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Outer London - West and North West","Male","35","35","32640","31690"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Shropshire and Staffordshire","Female","45","40","23840","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Shropshire and Staffordshire","Male","30","30","26150","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Southern Scotland","Female","25","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Southern Scotland","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Surrey, East and West Sussex","Female","55","50","29970","27960"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","Surrey, East and West Sussex","Male","45","40","31040","24370"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Wales and The Valleys","Female","105","90","24220","21050"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Wales and The Valleys","Male","55","50","24570","24920"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Operational Delivery","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Essex","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Essex","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Surrey, East and West Sussex","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Surrey, East and West Sussex","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Cornwall and Isles of Scilly","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Cornwall and Isles of Scilly","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Herefordshire, Worcestershire and Warwickshire","Female","15","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Herefordshire, Worcestershire and Warwickshire","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","North Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","North Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Wales and The Valleys","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Cheshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Cheshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Cumbria","Female","20","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Cumbria","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Derbyshire and Nottinghamshire","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Devon","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Devon","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Eastern Scotland","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Gloucestershire, Wiltshire and Bath/Bristol area","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Herefordshire, Worcestershire and Warwickshire","Female","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Herefordshire, Worcestershire and Warwickshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Lancashire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Lancashire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","North Yorkshire","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","North Yorkshire","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Northumberland and Tyne and Wear","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Northumberland and Tyne and Wear","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Outer London - West and North West","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Outer London - West and North West","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Shropshire and Staffordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Shropshire and Staffordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Surrey, East and West Sussex","Female","275","255","31590","28490"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Surrey, East and West Sussex","Male","180","175","34470","32560"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","West Wales and The Valleys","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","West Wales and The Valleys","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Devon","Male","[c]","[c]","[c]","[c]"
