"Status","Year","Age","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department for Work and Pensions","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Greater Manchester","10","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Lancashire","20","20","21010","21010"
"In post","2021","16-19","Department for Work and Pensions","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Merseyside","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Northumberland and Tyne and Wear","30","30","21650","21010"
"In post","2021","16-19","Department for Work and Pensions","Outer London - East and North East","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","South Yorkshire","10","10","21560","21010"
"In post","2021","16-19","Department for Work and Pensions","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","West Central Scotland","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","West Midlands","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","West Wales and The Valleys","15","15","22240","21010"
"In post","2021","16-19","Department for Work and Pensions","West Yorkshire","20","20","22830","21010"
"In post","2021","16-19","Department of Health and Social Care","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Gloucestershire, Wiltshire and Bath/Bristol area","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Inner London - East","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Berkshire, Buckinghamshire and Oxfordshire","15","15","21490","21600"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Devon","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Derbyshire and Nottinghamshire","10","10","22180","20140"
"In post","2021","16-19","HM Revenue and Customs","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","East Wales","25","25","20390","20140"
"In post","2021","16-19","HM Revenue and Customs","Eastern Scotland","25","20","20370","20140"
"In post","2021","16-19","HM Revenue and Customs","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Greater Manchester","15","15","21770","20140"
"In post","2021","16-19","HM Revenue and Customs","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Lancashire","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Merseyside","25","25","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Northumberland and Tyne and Wear","50","45","20570","20140"
"In post","2021","16-19","HM Revenue and Customs","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","West Central Scotland","15","10","20140","20140"
"In post","2021","16-19","HM Revenue and Customs","West Midlands","10","10","20210","20140"
"In post","2021","16-19","HM Revenue and Customs","West Yorkshire","35","35","20200","20140"
"In post","2021","16-19","HM Treasury","Inner London - West","25","25","23990","24300"
"In post","2021","16-19","Home Office","East Anglia","10","5","[c]","[c]"
"In post","2021","16-19","Home Office","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Essex","10","10","[c]","[c]"
"In post","2021","16-19","Home Office","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","Kent","25","25","21290","21430"
"In post","2021","16-19","Home Office","Merseyside","10","5","21430","21430"
"In post","2021","16-19","Home Office","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Berkshire, Buckinghamshire and Oxfordshire","10","10","22540","21870"
"In post","2021","16-19","Ministry of Defence","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Devon","10","10","17720","16780"
"In post","2021","16-19","Ministry of Defence","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","East Wales","15","15","16570","16780"
"In post","2021","16-19","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","130","130","18300","17780"
"In post","2021","16-19","Ministry of Defence","Hampshire and Isle of Wight","15","15","19310","19560"
"In post","2021","16-19","Ministry of Defence","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Southern Scotland","10","10","17080","16780"
"In post","2021","16-19","Ministry of Defence","Unknown","35","35","18640","15940"
"In post","2021","16-19","Ministry of Defence","West Central Scotland","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Derbyshire and Nottinghamshire","10","10","21330","20600"
"In post","2021","16-19","Ministry of Justice","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","East Anglia","10","10","23630","22850"
"In post","2021","16-19","Ministry of Justice","East Wales","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Gloucestershire, Wiltshire and Bath/Bristol area","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Herefordshire, Worcestershire and Warwickshire","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Inner London - East","10","10","23850","22680"
"In post","2021","16-19","Ministry of Justice","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Kent","10","10","22950","22850"
"In post","2021","16-19","Ministry of Justice","Lancashire","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","South Yorkshire","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","West Yorkshire","5","5","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Eastern Scotland","65","65","21370","21150"
"In post","2021","16-19","Scottish Government","Highlands and Islands","5","5","[c]","[c]"
"In post","2021","16-19","Scottish Government","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","West Central Scotland","20","20","20980","20810"
"In post","2021","16-19","The National Archives","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","East Wales","10","10","21110","21090"
"In post","2021","16-19","United Kingdom Statistics Authority","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Bedfordshire and Hertfordshire","15","15","27990","26970"
"In post","2021","20-29","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","25","25","29290","26970"
"In post","2021","20-29","Attorney General's Departments","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Derbyshire and Nottinghamshire","50","45","24560","21950"
"In post","2021","20-29","Attorney General's Departments","Devon","20","20","24170","22710"
"In post","2021","20-29","Attorney General's Departments","East Anglia","20","20","26820","21950"
"In post","2021","20-29","Attorney General's Departments","East Wales","20","20","33740","31960"
"In post","2021","20-29","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Essex","25","25","29690","26970"
"In post","2021","20-29","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","26620","23470"
"In post","2021","20-29","Attorney General's Departments","Greater Manchester","20","20","27410","24480"
"In post","2021","20-29","Attorney General's Departments","Hampshire and Isle of Wight","40","40","25570","23520"
"In post","2021","20-29","Attorney General's Departments","Inner London - East","10","10","24820","24590"
"In post","2021","20-29","Attorney General's Departments","Inner London - West","645","635","33510","29280"
"In post","2021","20-29","Attorney General's Departments","Kent","25","25","26360","24590"
"In post","2021","20-29","Attorney General's Departments","Lancashire","15","15","30460","25480"
"In post","2021","20-29","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","10","10","28670","25480"
"In post","2021","20-29","Attorney General's Departments","Merseyside","75","75","26360","23470"
"In post","2021","20-29","Attorney General's Departments","North Yorkshire","30","30","25040","25480"
"In post","2021","20-29","Attorney General's Departments","Northumberland and Tyne and Wear","25","25","29530","25480"
"In post","2021","20-29","Attorney General's Departments","Outer London - East and North East","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Outer London - South","10","10","25800","24590"
"In post","2021","20-29","Attorney General's Departments","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","South Yorkshire","20","20","27660","25480"
"In post","2021","20-29","Attorney General's Departments","Surrey, East and West Sussex","25","25","26640","26970"
"In post","2021","20-29","Attorney General's Departments","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","West Midlands","50","50","26280","23470"
"In post","2021","20-29","Attorney General's Departments","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","West Yorkshire","65","65","27980","25480"
"In post","2021","20-29","Cabinet Office","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","20","20","24720","26350"
"In post","2021","20-29","Cabinet Office","Derbyshire and Nottinghamshire","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Devon","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","East Anglia","10","10","26800","25930"
"In post","2021","20-29","Cabinet Office","East Wales","30","30","29260","28000"
"In post","2021","20-29","Cabinet Office","Eastern Scotland","15","15","30880","28000"
"In post","2021","20-29","Cabinet Office","Gloucestershire, Wiltshire and Bath/Bristol area","35","35","31150","29250"
"In post","2021","20-29","Cabinet Office","Greater Manchester","65","65","33460","29250"
"In post","2021","20-29","Cabinet Office","Hampshire and Isle of Wight","15","15","29270","28630"
"In post","2021","20-29","Cabinet Office","Inner London - East","240","240","38230","34550"
"In post","2021","20-29","Cabinet Office","Inner London - West","2245","2245","35230","32000"
"In post","2021","20-29","Cabinet Office","Kent","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Lancashire","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Merseyside","15","15","29060","29250"
"In post","2021","20-29","Cabinet Office","North Yorkshire","95","95","24420","20920"
"In post","2021","20-29","Cabinet Office","Northumberland and Tyne and Wear","90","85","25070","23850"
"In post","2021","20-29","Cabinet Office","Outer London - South","30","30","30180","29250"
"In post","2021","20-29","Cabinet Office","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2021","20-29","Cabinet Office","South Yorkshire","20","20","32040","29250"
"In post","2021","20-29","Cabinet Office","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","Unknown","370","370","31530","29250"
"In post","2021","20-29","Cabinet Office","West Central Scotland","10","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office","West Midlands","10","10","30100","29250"
"In post","2021","20-29","Cabinet Office","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cabinet Office","West Yorkshire","45","45","31770","29250"
"In post","2021","20-29","Chancellor's other departments","Inner London - West","80","80","35820","34030"
"In post","2021","20-29","Chancellor's other departments","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","Inner London - West","15","15","31080","29160"
"In post","2021","20-29","Charity Commission","Merseyside","35","35","25540","24440"
"In post","2021","20-29","Competition and Markets Authority","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","Eastern Scotland","10","10","48720","53530"
"In post","2021","20-29","Competition and Markets Authority","Inner London - East","140","140","37810","33610"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","25","25","25350","24250"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Devon","230","230","28050","25780"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","East Anglia","25","25","25170","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","East Wales","440","435","28030","24500"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Eastern Scotland","25","25","21910","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Essex","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","30","30","31880","30950"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Greater Manchester","45","45","25460","24250"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Hampshire and Isle of Wight","15","15","34590","36730"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Highlands and Islands","5","5","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Inner London - East","20","20","30340","26710"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Inner London - West","1815","1805","41020","40030"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Kent","10","10","21660","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Lincolnshire","10","10","34760","36730"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","North Eastern Scotland","10","10","29680","30360"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","Northern Ireland","[c]","[c]","[c]","[c]"
