"Status","Year","Ethnicity","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","White","Institute for Apprenticeships and Technical Education","Department for Education","Female","70","70","49020","50470"
"In post","2021","White","Institute for Apprenticeships and Technical Education","Department for Education","Male","50","50","54750","52280"
"In post","2021","White","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Legal Aid Agency","Ministry of Justice","Female","520","475","28050","22570"
"In post","2021","White","Legal Aid Agency","Ministry of Justice","Male","365","355","31100","25240"
"In post","2021","White","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Maritime and Coastguard Agency","Department for Transport","Female","355","325","33070","31040"
"In post","2021","White","Maritime and Coastguard Agency","Department for Transport","Male","550","545","39840","36180"
"In post","2021","White","Maritime and Coastguard Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","420","395","51970","53100"
"In post","2021","White","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","320","310","53330","53620"
"In post","2021","White","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Met Office","Department for Business, Energy and Industrial Strategy","Female","670","620","38610","38250"
"In post","2021","White","Met Office","Department for Business, Energy and Industrial Strategy","Male","970","950","41510","39750"
"In post","2021","White","Met Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","13715","12950","30640","26670"
"In post","2021","White","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","16890","16600","32900","29930"
"In post","2021","White","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","880","840","46230","42900"
"In post","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","850","840","48010","46120"
"In post","2021","White","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","1845","1765","41860","37120"
"In post","2021","White","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","1410","1390","44970","41100"
"In post","2021","White","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","National Crime Agency","National Crime Agency","Female","1815","1735","37520","36410"
"In post","2021","White","National Crime Agency","National Crime Agency","Male","2320","2300","42570","40210"
"In post","2021","White","National Crime Agency","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","National Infrastructure Commission","HM Treasury","Female","15","15","[c]","[c]"
"In post","2021","White","National Infrastructure Commission","HM Treasury","Male","20","20","[c]","[c]"
"In post","2021","White","National Infrastructure Commission","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","National Records of Scotland","Scottish Government","Female","185","170","35790","33190"
"In post","2021","White","National Records of Scotland","Scottish Government","Male","160","150","33730","30900"
"In post","2021","White","National Records of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","National Savings and Investments","Chancellor's other departments","Female","70","70","49530","43530"
"In post","2021","White","National Savings and Investments","Chancellor's other departments","Male","65","65","54840","47870"
"In post","2021","White","National Savings and Investments","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Northern Ireland Office","Northern Ireland Office","Female","60","55","43110","35690"
"In post","2021","White","Northern Ireland Office","Northern Ireland Office","Male","35","35","50360","44250"
"In post","2021","White","Northern Ireland Office","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","White","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","White","Office for Budget Responsibility","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","1005","955","49470","51360"
"In post","2021","White","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","515","510","52240","51360"
"In post","2021","White","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","390","380","42530","36590"
"In post","2021","White","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","460","455","46970","40660"
"In post","2021","White","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","120","115","44170","40120"
"In post","2021","White","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","80","80","51720","46660"
"In post","2021","White","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Office of Rail and Road","Office of Rail and Road","Female","90","85","51880","51310"
"In post","2021","White","Office of Rail and Road","Office of Rail and Road","Male","140","135","60160","60010"
"In post","2021","White","Office of Rail and Road","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Office of the Public Guardian","Ministry of Justice","Female","360","325","23030","21170"
"In post","2021","White","Office of the Public Guardian","Ministry of Justice","Male","240","230","23380","21170"
"In post","2021","White","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Office of the Scottish Charity Regulator","Scottish Government","Female","30","25","[c]","[c]"
"In post","2021","White","Office of the Scottish Charity Regulator","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","White","Office of the Scottish Charity Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","310","275","41450","40720"
"In post","2021","White","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","390","360","46870","47660"
"In post","2021","White","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Public Health England","Department of Health and Social Care","Female","3300","2960","42150","37480"
"In post","2021","White","Public Health England","Department of Health and Social Care","Male","1445","1370","48490","41350"
"In post","2021","White","Public Health England","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Female","10","10","[c]","[c]"
"In post","2021","White","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Male","25","25","[c]","[c]"
"In post","2021","White","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Registers of Scotland","Scottish Government","Female","480","445","32810","30080"
"In post","2021","White","Registers of Scotland","Scottish Government","Male","465","455","33310","30080"
"In post","2021","White","Registers of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Revenue Scotland","Scottish Government","Female","20","20","[c]","[c]"
"In post","2021","White","Revenue Scotland","Scottish Government","Male","20","20","[c]","[c]"
"In post","2021","White","Revenue Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Royal Fleet Auxiliary","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","White","Royal Fleet Auxiliary","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","White","Royal Fleet Auxiliary","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","770","645","26980","25190"
"In post","2021","White","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","495","480","28310","25560"
"In post","2021","White","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Female","40","35","52820","56120"
"In post","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Male","25","25","[c]","[c]"
"In post","2021","White","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Scottish Courts and Tribunals Service","Scottish Government","Female","75","70","31060","27950"
"In post","2021","White","Scottish Courts and Tribunals Service","Scottish Government","Male","50","50","35360","29940"
"In post","2021","White","Scottish Courts and Tribunals Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Scottish Fiscal Commission","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","White","Scottish Fiscal Commission","Scottish Government","Male","10","10","[c]","[c]"
"In post","2021","White","Scottish Fiscal Commission","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Scottish Forestry","Scottish Government","Female","95","85","30830","30160"
"In post","2021","White","Scottish Forestry","Scottish Government","Male","90","90","40470","37530"
"In post","2021","White","Scottish Forestry","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Scottish Government (excl. agencies)","Scottish Government","Female","3455","3240","43230","39110"
"In post","2021","White","Scottish Government (excl. agencies)","Scottish Government","Male","2715","2660","44450","39660"
"In post","2021","White","Scottish Government (excl. agencies)","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Scottish Housing Regulator","Scottish Government","Female","25","25","[c]","[c]"
"In post","2021","White","Scottish Housing Regulator","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","White","Scottish Housing Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Scottish Prison Service","Scottish Government","Female","515","485","32490","33650"
"In post","2021","White","Scottish Prison Service","Scottish Government","Male","1125","1050","34340","33650"
"In post","2021","White","Scottish Prison Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Scottish Public Pensions Agency","Scottish Government","Female","120","105","28850","26160"
"In post","2021","White","Scottish Public Pensions Agency","Scottish Government","Male","100","95","30540","26650"
"In post","2021","White","Scottish Public Pensions Agency","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Serious Fraud Office","Attorney General's Departments","Female","110","110","46620","40280"
"In post","2021","White","Serious Fraud Office","Attorney General's Departments","Male","160","160","48140","41510"
"In post","2021","White","Serious Fraud Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Social Security Scotland","Scottish Government","Female","515","490","30870","26160"
"In post","2021","White","Social Security Scotland","Scottish Government","Male","365","360","33510","29190"
"In post","2021","White","Social Security Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Standards and Testing Agency","Department for Education","Female","55","50","45300","42100"
"In post","2021","White","Standards and Testing Agency","Department for Education","Male","35","35","44740","43380"
"In post","2021","White","Standards and Testing Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Student Awards Agency for Scotland","Scottish Government","Female","60","55","32000","27150"
"In post","2021","White","Student Awards Agency for Scotland","Scottish Government","Male","55","55","36510","35110"
"In post","2021","White","Student Awards Agency for Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Submarine Delivery Agency","Ministry of Defence","Female","480","460","37940","34300"
"In post","2021","White","Submarine Delivery Agency","Ministry of Defence","Male","990","980","43590","41100"
"In post","2021","White","Submarine Delivery Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Teaching Regulation Agency","Department for Education","Female","30","30","32210","30090"
"In post","2021","White","Teaching Regulation Agency","Department for Education","Male","15","15","[c]","[c]"
"In post","2021","White","Teaching Regulation Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","The National Archives","The National Archives","Female","180","170","36090","34180"
"In post","2021","White","The National Archives","The National Archives","Male","155","150","37350","34770"
"In post","2021","White","The National Archives","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Transport Scotland","Scottish Government","Female","170","160","41290","38540"
"In post","2021","White","Transport Scotland","Scottish Government","Male","210","205","48210","46600"
"In post","2021","White","Transport Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","UK Export Finance","UK Export Finance","Female","90","90","51370","45410"
"In post","2021","White","UK Export Finance","UK Export Finance","Male","175","170","58870","52500"
"In post","2021","White","UK Export Finance","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","UK Hydrographic Office","Ministry of Defence","Female","210","195","34380","33290"
"In post","2021","White","UK Hydrographic Office","Ministry of Defence","Male","375","365","35150","33290"
"In post","2021","White","UK Hydrographic Office","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Female","490","450","34890","30170"
"In post","2021","White","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Male","485","465","43460","40800"
"In post","2021","White","UK Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","UK Space Agency","Department for Business, Energy and Industrial Strategy","Female","80","75","46250","40220"
"In post","2021","White","UK Space Agency","Department for Business, Energy and Industrial Strategy","Male","65","65","50810","49080"
"In post","2021","White","UK Space Agency","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","UK Supreme Court","UK Supreme Court","Female","20","20","[c]","[c]"
"In post","2021","White","UK Supreme Court","UK Supreme Court","Male","15","15","[c]","[c]"
"In post","2021","White","UK Supreme Court","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Female","2390","2100","32120","29540"
"In post","2021","White","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Male","1655","1500","34830","31270"
"In post","2021","White","United Kingdom Statistics Authority","United Kingdom Statistics Authority","Unknown","30","30","[c]","[c]"
"In post","2021","White","Valuation Office Agency","HM Revenue and Customs","Female","1090","975","32880","29630"
"In post","2021","White","Valuation Office Agency","HM Revenue and Customs","Male","1035","995","37080","33250"
"In post","2021","White","Valuation Office Agency","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Vehicle Certification Agency","Department for Transport","Female","60","55","29240","27250"
"In post","2021","White","Vehicle Certification Agency","Department for Transport","Male","110","105","39720","38150"
"In post","2021","White","Vehicle Certification Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Female","70","70","39160","36590"
"In post","2021","White","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Male","50","50","48710","53200"
"In post","2021","White","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Wales Office","Wales Office","Female","10","10","[c]","[c]"
"In post","2021","White","Wales Office","Wales Office","Male","20","20","[c]","[c]"
"In post","2021","White","Wales Office","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Water Services Regulation Authority","Water Services Regulation Authority","Female","80","75","61170","50580"
"In post","2021","White","Water Services Regulation Authority","Water Services Regulation Authority","Male","85","80","59970","56230"
"In post","2021","White","Water Services Regulation Authority","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Welsh Government (excl. agencies)","Welsh Government","Female","3145","2900","39790","37410"
"In post","2021","White","Welsh Government (excl. agencies)","Welsh Government","Male","2055","2010","43050","37410"
"In post","2021","White","Welsh Government (excl. agencies)","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Welsh Revenue Authority","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","White","Welsh Revenue Authority","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","White","Welsh Revenue Authority","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","Wilton Park","Foreign, Commonwealth and Development Office","Female","55","50","32940","28640"
"In post","2021","White","Wilton Park","Foreign, Commonwealth and Development Office","Male","25","25","[c]","[c]"
"In post","2021","White","Wilton Park","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Accountant in Bankruptcy","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Accountant in Bankruptcy","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Attorney General's Office","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Attorney General's Office","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Attorney General's Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Charity Commission","Charity Commission","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Charity Commission","Charity Commission","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Charity Commission","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Competition and Markets Authority","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Debt Management Office","HM Treasury","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Debt Management Office","HM Treasury","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Debt Management Office","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Equipment and Support","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Equipment and Support","Ministry of Defence","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Equipment and Support","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Education (excl. agencies)","Department for Education","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Education (excl. agencies)","Department for Education","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for International Development","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for International Development","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for International Development","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for International Trade","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for International Trade","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for International Trade","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Transport (excl. agencies)","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","135","[c]","25420","25110"
"Leaver CS","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","115","[c]","26240","25110"
"Leaver CS","2021","Asian","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Disclosure Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Disclosure Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Driver and Vehicle Standards Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Education and Skills Funding Agency","Department for Education","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Education and Skills Funding Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Education and Skills Funding Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
