"Status","Year","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","290","[c]","42160","37410"
"Leaver Dept.","2021","Unknown","LGBO","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","60","[c]","37960","33690"
"Leaver Dept.","2021","Unknown","Unknown","3045","[c]","37370","32620"
"New entrant CS","2021","Declared disabled","Heterosexual / straight","2945","[c]","28040","27570"
"New entrant CS","2021","Declared disabled","LGBO","695","[c]","27560","27570"
"New entrant CS","2021","Declared disabled","Undeclared","270","[c]","28500","27570"
"New entrant CS","2021","Declared disabled","Unknown","105","[c]","28480","27530"
"New entrant CS","2021","Declared non-disabled","Heterosexual / straight","26105","[c]","29050","27570"
"New entrant CS","2021","Declared non-disabled","LGBO","2275","[c]","28320","27570"
"New entrant CS","2021","Declared non-disabled","Undeclared","1430","[c]","30570","27570"
"New entrant CS","2021","Declared non-disabled","Unknown","625","[c]","31290","27680"
"New entrant CS","2021","Undeclared","Heterosexual / straight","1020","[c]","29860","27570"
"New entrant CS","2021","Undeclared","LGBO","160","[c]","27450","27570"
"New entrant CS","2021","Undeclared","Undeclared","505","[c]","33520","28590"
"New entrant CS","2021","Undeclared","Unknown","215","[c]","37800","34710"
"New entrant CS","2021","Unknown","Heterosexual / straight","3700","[c]","33100","29540"
"New entrant CS","2021","Unknown","LGBO","345","[c]","30910","28500"
"New entrant CS","2021","Unknown","Undeclared","355","[c]","31900","27850"
"New entrant CS","2021","Unknown","Unknown","16450","[c]","29330","25560"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
