"Status","Year","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Economics","Outside London","G6","25","25","67390","65030"
"In post","2021","Economics","Outside London","G7","120","115","53350","51970"
"In post","2021","Economics","Outside London","HEO","95","95","31400","30820"
"In post","2021","Economics","Outside London","SCS level","10","10","81270","77330"
"In post","2021","Economics","Outside London","SEO","45","45","38080","36820"
"In post","2021","Economics","Overseas","G6","10","10","67530","66680"
"In post","2021","Economics","Overseas","G7","25","25","55250","55620"
"In post","2021","Economics","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","AA","5","5","[c]","[c]"
"In post","2021","Finance","London","AO","75","70","24610","24980"
"In post","2021","Finance","London","EO","300","290","28740","29000"
"In post","2021","Finance","London","G6","285","280","69810","69800"
"In post","2021","Finance","London","G7","635","620","58150","57870"
"In post","2021","Finance","London","HEO","530","520","35610","35030"
"In post","2021","Finance","London","SCS level","165","160","91190","83860"
"In post","2021","Finance","London","SEO","560","550","43400","42410"
"In post","2021","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Outside London","AA","70","55","19500","20070"
"In post","2021","Finance","Outside London","AO","1010","850","21300","21430"
"In post","2021","Finance","Outside London","EO","1315","1235","26050","26350"
"In post","2021","Finance","Outside London","G6","305","300","66390","65220"
"In post","2021","Finance","Outside London","G7","905","885","53910","52580"
"In post","2021","Finance","Outside London","HEO","1360","1300","32790","32300"
"In post","2021","Finance","Outside London","SCS level","115","115","89690","82480"
"In post","2021","Finance","Outside London","SEO","1350","1300","41360","40430"
"In post","2021","Finance","Outside London","Unknown","130","125","40400","39860"
"In post","2021","Finance","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","EO","15","15","28310","26670"
"In post","2021","Finance","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","G7","10","10","[c]","[c]"
"In post","2021","Finance","Overseas","HEO","10","10","35680","33630"
"In post","2021","Finance","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","AA","10","10","22170","22100"
"In post","2021","Human Resources","London","AO","80","75","24640","24370"
"In post","2021","Human Resources","London","EO","345","335","29060","28810"
"In post","2021","Human Resources","London","G6","220","215","69420","68720"
"In post","2021","Human Resources","London","G7","550","530","57650","57460"
"In post","2021","Human Resources","London","HEO","600","585","35010","35050"
"In post","2021","Human Resources","London","SCS level","135","130","89020","82600"
"In post","2021","Human Resources","London","SEO","475","460","43800","43000"
"In post","2021","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Outside London","AA","60","55","19410","19560"
"In post","2021","Human Resources","Outside London","AO","1060","965","21560","21130"
"In post","2021","Human Resources","Outside London","EO","1025","960","26460","26670"
"In post","2021","Human Resources","Outside London","G6","210","205","64840","64650"
"In post","2021","Human Resources","Outside London","G7","670","645","53120","52580"
"In post","2021","Human Resources","Outside London","HEO","1320","1240","32190","31940"
"In post","2021","Human Resources","Outside London","SCS level","60","55","89070","83350"
"In post","2021","Human Resources","Outside London","SEO","965","920","40910","39930"
"In post","2021","Human Resources","Outside London","Unknown","40","35","42090","41040"
"In post","2021","Human Resources","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","EO","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Overseas","G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","HEO","5","5","[c]","[c]"
"In post","2021","Human Resources","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","G7","5","5","[c]","[c]"
"In post","2021","Human Resources","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","G6","25","25","85350","85550"
"In post","2021","Inspector of Education and Training","London","G7","100","100","73320","75500"
"In post","2021","Inspector of Education and Training","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Inspector of Education and Training","London","SEO","100","95","51030","51360"
"In post","2021","Inspector of Education and Training","Outside London","G6","120","115","79550","74730"
"In post","2021","Inspector of Education and Training","Outside London","G7","265","265","73340","75500"
"In post","2021","Inspector of Education and Training","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Inspector of Education and Training","Outside London","SEO","235","230","51080","51360"
"In post","2021","Intelligence Analysis","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","London","AO","60","55","25280","25630"
"In post","2021","Intelligence Analysis","London","EO","450","420","29940","29250"
"In post","2021","Intelligence Analysis","London","G6","85","80","68040","66230"
"In post","2021","Intelligence Analysis","London","G7","210","205","56900","56400"
"In post","2021","Intelligence Analysis","London","HEO","360","345","36460","36160"
"In post","2021","Intelligence Analysis","London","SCS level","15","15","84760","78810"
"In post","2021","Intelligence Analysis","London","SEO","240","235","44630","45070"
"In post","2021","Intelligence Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Outside London","AO","65","60","21570","21430"
"In post","2021","Intelligence Analysis","Outside London","EO","1110","1060","26930","26670"
"In post","2021","Intelligence Analysis","Outside London","G6","15","15","64210","63940"
"In post","2021","Intelligence Analysis","Outside London","G7","85","80","52890","52310"
"In post","2021","Intelligence Analysis","Outside London","HEO","450","440","32360","31890"
"In post","2021","Intelligence Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Outside London","SEO","175","170","39600","39720"
"In post","2021","Intelligence Analysis","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","G7","15","15","55080","54540"
"In post","2021","Intelligence Analysis","Overseas","HEO","30","30","34340","34430"
"In post","2021","Intelligence Analysis","Overseas","SCS level","5","5","[c]","[c]"
"In post","2021","Intelligence Analysis","Overseas","SEO","15","15","41350","40580"
"In post","2021","Intelligence Analysis","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","London","AO","10","10","33630","35900"
"In post","2021","Internal Audit","London","EO","10","10","31580","32160"
"In post","2021","Internal Audit","London","G6","25","25","72170","70780"
"In post","2021","Internal Audit","London","G7","45","45","57440","56740"
"In post","2021","Internal Audit","London","HEO","30","30","37740","37490"
"In post","2021","Internal Audit","London","SCS level","20","20","91180","88450"
"In post","2021","Internal Audit","London","SEO","65","60","48350","49300"
"In post","2021","Internal Audit","Outside London","AO","10","10","24490","22080"
"In post","2021","Internal Audit","Outside London","EO","40","35","27530","26780"
"In post","2021","Internal Audit","Outside London","G6","45","45","64300","63440"
"In post","2021","Internal Audit","Outside London","G7","80","80","52660","52080"
"In post","2021","Internal Audit","Outside London","HEO","140","135","33550","33300"
"In post","2021","Internal Audit","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","Internal Audit","Outside London","SEO","240","225","42940","42320"
"In post","2021","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","International Trade","London","EO","70","70","27760","26510"
"In post","2021","International Trade","London","G6","120","120","63130","62170"
"In post","2021","International Trade","London","G7","335","330","52660","51970"
"In post","2021","International Trade","London","HEO","230","230","32860","32120"
"In post","2021","International Trade","London","SCS level","85","80","84460","75570"
"In post","2021","International Trade","London","SEO","230","230","38730","38540"
"In post","2021","International Trade","Outside London","EO","30","30","24950","25560"
"In post","2021","International Trade","Outside London","G6","15","15","62390","62170"
"In post","2021","International Trade","Outside London","G7","40","40","50070","51970"
"In post","2021","International Trade","Outside London","HEO","105","100","31640","31810"
"In post","2021","International Trade","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","International Trade","Outside London","SEO","45","40","38070","38630"
"In post","2021","International Trade","Overseas","G6","30","30","63810","64400"
"In post","2021","International Trade","Overseas","G7","55","55","54420","53750"
"In post","2021","International Trade","Overseas","HEO","20","20","33610","33780"
"In post","2021","International Trade","Overseas","SCS level","25","25","90850","89840"
"In post","2021","International Trade","Overseas","SEO","25","25","40800","40330"
"In post","2021","Knowledge and Information Management","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","London","AO","80","80","24700","24590"
"In post","2021","Knowledge and Information Management","London","EO","135","125","28920","29160"
"In post","2021","Knowledge and Information Management","London","G6","60","55","69860","68720"
"In post","2021","Knowledge and Information Management","London","G7","130","120","55070","54230"
"In post","2021","Knowledge and Information Management","London","HEO","180","175","34690","34930"
"In post","2021","Knowledge and Information Management","London","SCS level","15","15","86460","78820"
"In post","2021","Knowledge and Information Management","London","SEO","145","140","42170","41950"
"In post","2021","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Outside London","AO","250","235","21330","20920"
"In post","2021","Knowledge and Information Management","Outside London","EO","370","350","26220","26670"
"In post","2021","Knowledge and Information Management","Outside London","G6","35","35","66600","64940"
"In post","2021","Knowledge and Information Management","Outside London","G7","175","170","53140","52280"
"In post","2021","Knowledge and Information Management","Outside London","HEO","395","380","32770","33300"
"In post","2021","Knowledge and Information Management","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Knowledge and Information Management","Outside London","SEO","335","320","40530","40170"
"In post","2021","Knowledge and Information Management","Outside London","Unknown","55","55","46000","41820"
"In post","2021","Knowledge and Information Management","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","AO","45","40","25230","25630"
"In post","2021","Legal","London","EO","575","560","30300","29570"
"In post","2021","Legal","London","G6","1060","975","69680","67950"
"In post","2021","Legal","London","G7","1895","1770","56570","54490"
"In post","2021","Legal","London","HEO","570","555","37590","36160"
"In post","2021","Legal","London","SCS level","290","280","88850","82520"
"In post","2021","Legal","London","SEO","325","310","43220","42480"
"In post","2021","Legal","London","Unknown","5","5","[c]","[c]"
"In post","2021","Legal","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Outside London","AO","260","230","20870","20140"
"In post","2021","Legal","Outside London","EO","1365","1305","26190","25560"
"In post","2021","Legal","Outside London","G6","275","265","70670","70350"
"In post","2021","Legal","Outside London","G7","2685","2450","56220","55610"
"In post","2021","Legal","Outside London","HEO","1305","1245","32810","31810"
"In post","2021","Legal","Outside London","SCS level","100","95","87150","83230"
"In post","2021","Legal","Outside London","SEO","1375","1250","42820","41830"
"In post","2021","Legal","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","G7","10","10","[c]","[c]"
"In post","2021","Legal","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Legal","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","London","AO","10","10","25020","24420"
"In post","2021","Medicine","London","EO","15","15","30100","27550"
"In post","2021","Medicine","London","G6","60","55","68540","67750"
"In post","2021","Medicine","London","G7","50","50","59750","53860"
"In post","2021","Medicine","London","HEO","20","20","39090","38770"
"In post","2021","Medicine","London","SCS level","205","175","103560","95140"
"In post","2021","Medicine","London","SEO","25","20","42610","41040"
"In post","2021","Medicine","Outside London","AA","55","50","18920","18760"
"In post","2021","Medicine","Outside London","AO","280","265","22590","22640"
"In post","2021","Medicine","Outside London","EO","310","280","30560","30620"
"In post","2021","Medicine","Outside London","G6","125","105","85200","85630"
"In post","2021","Medicine","Outside London","G7","400","340","73970","78870"
"In post","2021","Medicine","Outside London","HEO","455","415","36410","37890"
"In post","2021","Medicine","Outside London","SCS level","215","190","109850","106390"
"In post","2021","Medicine","Outside London","SEO","210","190","42990","44500"
"In post","2021","Medicine","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Medicine","Overseas","G6","5","5","[c]","[c]"
"In post","2021","Medicine","Overseas","G7","20","20","70700","73760"
"In post","2021","Medicine","Overseas","HEO","10","10","36430","37890"
"In post","2021","Medicine","Overseas","SEO","5","5","[c]","[c]"
"In post","2021","Medicine","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Medicine","Unknown","HEO","5","5","[c]","[c]"
"In post","2021","Medicine","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","London","AA","1315","1200","22330","22210"
"In post","2021","Operational Delivery","London","AO","7050","6580","26600","25630"
"In post","2021","Operational Delivery","London","EO","7080","6620","29940","29080"
"In post","2021","Operational Delivery","London","G6","585","570","70930","68940"
"In post","2021","Operational Delivery","London","G7","1700","1650","57160","56780"
"In post","2021","Operational Delivery","London","HEO","3790","3655","35870","35200"
"In post","2021","Operational Delivery","London","SCS level","330","320","95850","89520"
"In post","2021","Operational Delivery","London","SEO","2510","2430","43440","42050"
"In post","2021","Operational Delivery","London","Unknown","1545","1490","33360","32090"
"In post","2021","Operational Delivery","Outside London","AA","10330","8980","19720","20070"
"In post","2021","Operational Delivery","Outside London","AO","62220","55905","23100","21440"
"In post","2021","Operational Delivery","Outside London","EO","37870","35085","27340","26520"
"In post","2021","Operational Delivery","Outside London","G6","1030","1010","69100","65630"
"In post","2021","Operational Delivery","Outside London","G7","3185","3090","53900","52580"
"In post","2021","Operational Delivery","Outside London","HEO","16510","15560","33170","31810"
"In post","2021","Operational Delivery","Outside London","SCS level","320","315","90200","83560"
"In post","2021","Operational Delivery","Outside London","SEO","7650","7350","42600","40000"
"In post","2021","Operational Delivery","Outside London","Unknown","10650","9785","29420","28200"
"In post","2021","Operational Delivery","Overseas","AO","5","5","[c]","[c]"
"In post","2021","Operational Delivery","Overseas","EO","105","105","28140","27370"
"In post","2021","Operational Delivery","Overseas","G6","10","10","[c]","[c]"
"In post","2021","Operational Delivery","Overseas","G7","25","25","69320","70470"
"In post","2021","Operational Delivery","Overseas","HEO","40","40","48120","40390"
"In post","2021","Operational Delivery","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Overseas","SEO","100","100","63310","62570"
"In post","2021","Operational Delivery","Overseas","Unknown","5","5","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Operational Delivery","Unknown","AO","15","15","20980","19930"
"In post","2021","Operational Delivery","Unknown","EO","35","30","28950","26930"
"In post","2021","Operational Delivery","Unknown","G7","10","10","57590","60990"
"In post","2021","Operational Delivery","Unknown","HEO","55","55","42310","43630"
"In post","2021","Operational Delivery","Unknown","SEO","25","25","48150","48900"
"In post","2021","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","London","AO","10","10","[c]","[c]"
"In post","2021","Operational Research","London","EO","25","25","30420","29570"
"In post","2021","Operational Research","London","G6","30","30","72010","71290"
"In post","2021","Operational Research","London","G7","110","105","60750","59160"
"In post","2021","Operational Research","London","HEO","115","115","35630","36160"
"In post","2021","Operational Research","London","SCS level","20","20","80180","78890"
"In post","2021","Operational Research","London","SEO","85","80","45530","44870"
"In post","2021","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Outside London","AO","25","20","20820","21580"
"In post","2021","Operational Research","Outside London","EO","30","30","25790","26350"
"In post","2021","Operational Research","Outside London","G6","30","30","64400","66430"
"In post","2021","Operational Research","Outside London","G7","335","315","49660","46770"
"In post","2021","Operational Research","Outside London","HEO","165","165","30570","29000"
"In post","2021","Operational Research","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Operational Research","Outside London","SEO","195","190","38870","37700"
"In post","2021","Operational Research","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Operational Research","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Other","London","AA","150","145","22170","22210"
"In post","2021","Other","London","AO","570","535","25610","25390"
"In post","2021","Other","London","EO","1170","1110","28050","28650"
"In post","2021","Other","London","G6","355","330","74940","68940"
"In post","2021","Other","London","G7","540","530","55900","56830"
"In post","2021","Other","London","HEO","760","745","34480","35060"
"In post","2021","Other","London","SCS level","165","160","95930","88520"
"In post","2021","Other","London","SEO","470","460","42180","41970"
"In post","2021","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other","Outside London","AA","1990","1895","19220","18800"
"In post","2021","Other","Outside London","AO","5105","4860","21530","21130"
"In post","2021","Other","Outside London","EO","3955","3775","25920","26670"
"In post","2021","Other","Outside London","G6","255","250","70290","68010"
"In post","2021","Other","Outside London","G7","690","670","55590","53920"
"In post","2021","Other","Outside London","HEO","2545","2440","32340","33060"
"In post","2021","Other","Outside London","SCS level","80","75","95740","88270"
"In post","2021","Other","Outside London","SEO","1400","1340","40730","40580"
"In post","2021","Other","Outside London","Unknown","225","220","43550","40660"
"In post","2021","Other","Overseas","AO","10","10","[c]","[c]"
"In post","2021","Other","Overseas","EO","20","20","26800","26670"
"In post","2021","Other","Overseas","G6","70","70","68860","67740"
"In post","2021","Other","Overseas","G7","40","40","59350","56660"
"In post","2021","Other","Overseas","HEO","205","205","42570","41600"
"In post","2021","Other","Overseas","SCS level","25","25","78270","78030"
"In post","2021","Other","Overseas","SEO","5","5","[c]","[c]"
"In post","2021","Other","Unknown","AA","5","5","[c]","[c]"
"In post","2021","Other","Unknown","AO","10","10","22000","22080"
"In post","2021","Other","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Other","Unknown","SEO","5","5","[c]","[c]"
"In post","2021","Other","Unknown","Unknown","1835","1835","37610","34460"
"In post","2021","Planning","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Planning","London","EO","15","10","28530","27850"
"In post","2021","Planning","London","G6","10","10","66070","64740"
"In post","2021","Planning","London","G7","25","25","55040","53450"
"In post","2021","Planning","London","HEO","20","15","34600","33590"
