"Status","Year","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Property","London","25","[c]","47580","44680"
"Leaver Dept.","2021","Property","Outside London","95","[c]","33050","26550"
"Leaver Dept.","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","London","30","[c]","39640","34550"
"Leaver Dept.","2021","Security","Outside London","40","[c]","28470","26560"
"Leaver Dept.","2021","Security","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","London","1995","[c]","43380","37640"
"Leaver Dept.","2021","Unknown","Outside London","3280","[c]","29330","27570"
"Leaver Dept.","2021","Unknown","Overseas","60","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","35","[c]","36140","31070"
"New entrant CS","2021","Analysis","London","720","[c]","36490","32790"
"New entrant CS","2021","Analysis","Outside London","495","[c]","30740","29540"
"New entrant CS","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","London","310","[c]","60870","58770"
"New entrant CS","2021","Commercial","Outside London","435","[c]","37690","33000"
"New entrant CS","2021","Commercial","Unknown","25","[c]","77000","71000"
"New entrant CS","2021","Communications","London","380","[c]","37280","34550"
"New entrant CS","2021","Communications","Outside London","925","[c]","27800","25560"
"New entrant CS","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","London","65","[c]","33980","29570"
"New entrant CS","2021","Counter Fraud","Outside London","130","[c]","28450","25560"
"New entrant CS","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Debt","London","45","[c]","24680","24120"
"New entrant CS","2021","Debt","Outside London","925","[c]","20300","20140"
"New entrant CS","2021","Digital, Data & Technology","London","615","[c]","46020","42000"
"New entrant CS","2021","Digital, Data & Technology","Outside London","1235","[c]","36640","32290"
"New entrant CS","2021","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","Unknown","15","[c]","44390","37300"
"New entrant CS","2021","Finance","London","275","[c]","40060","33950"
"New entrant CS","2021","Finance","Outside London","500","[c]","32510","29180"
"New entrant CS","2021","Grants Management","Outside London","55","[c]","22400","21050"
"New entrant CS","2021","Human Resources","London","300","[c]","36360","31800"
"New entrant CS","2021","Human Resources","Outside London","560","[c]","30380","26130"
"New entrant CS","2021","Human Resources","Unknown","15","[c]","32250","32000"
"New entrant CS","2021","Internal Audit","London","20","[c]","47000","43880"
"New entrant CS","2021","Internal Audit","Outside London","30","[c]","39980","39290"
"New entrant CS","2021","Legal","London","590","[c]","39590","37230"
"New entrant CS","2021","Legal","Outside London","815","[c]","32390","26550"
"New entrant CS","2021","Legal","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","London","6675","[c]","34350","31510"
"New entrant CS","2021","No function","Outside London","14375","[c]","25220","22850"
"New entrant CS","2021","No function","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","No function","Unknown","135","[c]","31530","28000"
"New entrant CS","2021","Project Delivery","London","380","[c]","42710","36800"
"New entrant CS","2021","Project Delivery","Outside London","1485","[c]","34340","33000"
"New entrant CS","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","London","80","[c]","39670","34550"
"New entrant CS","2021","Property","Outside London","655","[c]","29420","25280"
"New entrant CS","2021","Property","Overseas","5","[c]","[c]","[c]"
"New entrant CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","London","120","[c]","32940","29370"
"New entrant CS","2021","Security","Outside London","690","[c]","26010","23540"
"New entrant CS","2021","Security","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","Unknown","35","[c]","26020","20860"
"New entrant CS","2021","Unknown","London","4540","[c]","32660","31060"
"New entrant CS","2021","Unknown","Outside London","17835","[c]","26780","27570"
"New entrant CS","2021","Unknown","Overseas","30","[c]","39470","33000"
"New entrant CS","2021","Unknown","Unknown","655","[c]","29920","27570"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Region_london","Workplace postcode data are used to derive geographical information using the International Territorial Level (ITL) classification standard.","","","","","",""
"","Region_london groups the ITL classifications into ""London"", ""Outside London"": all UK regions excluding London, ""Overseas"", and ""Unknown"".","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","The Department for Work and Pensions provided aggregated functions data for 2021, which are available in the Civil Service Statistics publication. However, figures in this browser are derived from individual level data and so are not available for this department in 2021.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
