"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","SEO/HEO","10","10","32820","29960"
"In post","2021","Charity Commission","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","SEO/HEO","35","35","35340","37910"
"In post","2021","Charity Commission","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","G6/G7","20","20","56620","56660"
"In post","2021","Charity Commission","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","EO","15","15","24740","24440"
"In post","2021","Charity Commission","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","SEO/HEO","35","30","33110","31140"
"In post","2021","Charity Commission","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","EO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Other","SEO/HEO","10","10","31560","29160"
"In post","2021","Charity Commission","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Charity Commission","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","AA/AO","10","10","20180","20290"
"In post","2021","Charity Commission","Unknown","EO","75","65","24760","24440"
"In post","2021","Charity Commission","Unknown","G6/G7","25","20","55910","55230"
"In post","2021","Charity Commission","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","SEO/HEO","110","105","32060","29550"
"In post","2021","Competition and Markets Authority","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","G6/G7","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","SEO/HEO","15","15","39190","41300"
"In post","2021","Competition and Markets Authority","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","G6/G7","30","30","68430","68140"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","SCS level","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","SEO/HEO","25","25","39140","37210"
"In post","2021","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Economics","G6/G7","60","55","66000","62890"
"In post","2021","Competition and Markets Authority","Economics","SCS level","10","10","110350","101610"
"In post","2021","Competition and Markets Authority","Economics","SEO/HEO","25","25","34170","33610"
"In post","2021","Competition and Markets Authority","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","G6/G7","15","15","61530","60110"
"In post","2021","Competition and Markets Authority","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","SEO/HEO","15","15","40640","38660"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","G6/G7","15","15","63330","57880"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","20","20","42430","43680"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","EO","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","G6/G7","90","85","68210","72430"
"In post","2021","Competition and Markets Authority","Legal","SCS level","20","20","110230","101850"
"In post","2021","Competition and Markets Authority","Legal","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","G6/G7","20","20","66720","63370"
"In post","2021","Competition and Markets Authority","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","AA/AO","20","20","23240","22860"
"In post","2021","Competition and Markets Authority","Project Delivery","EO","45","40","28400","27920"
"In post","2021","Competition and Markets Authority","Project Delivery","G6/G7","175","170","66220","62890"
"In post","2021","Competition and Markets Authority","Project Delivery","SCS level","60","60","110090","102030"
"In post","2021","Competition and Markets Authority","Project Delivery","SEO/HEO","75","75","36250","34870"
"In post","2021","Competition and Markets Authority","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","EO","20","20","26180","25630"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","G6/G7","110","105","53340","48540"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Commercial","SEO/HEO","115","110","37170","37420"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","AA/AO","10","10","23620","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","EO","30","25","27050","27270"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","G6/G7","65","60","59080","58430"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","SCS level","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Communications","SEO/HEO","140","135","39320","38910"
"In post","2021","Department for Business, Energy and Industrial Strategy","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","AA/AO","5","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","G6/G7","15","15","56980","57670"
"In post","2021","Department for Business, Energy and Industrial Strategy","Counter Fraud","SEO/HEO","240","230","38750","39170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","AA/AO","35","35","22870","21140"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","EO","220","215","28780","26920"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6/G7","195","190","58780","59170"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SCS level","10","10","92300","91790"
"In post","2021","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO/HEO","575","560","39350","39120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","EO","30","30","28990","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","G6/G7","115","110","62220","58490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","SCS level","10","10","78660","76340"
"In post","2021","Department for Business, Energy and Industrial Strategy","Economics","SEO/HEO","155","155","37220","35640"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","AA/AO","35","30","22120","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","EO","45","40","26340","26290"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","G6/G7","125","120","59650","58100"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","SCS level","20","20","84650","79300"
"In post","2021","Department for Business, Energy and Industrial Strategy","Finance","SEO/HEO","135","130","38930","39460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","AA/AO","25","20","22090","22490"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","EO","85","80","25950","25460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","G6/G7","115","110","56880","55600"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","SCS level","15","15","82290","77550"
"In post","2021","Department for Business, Energy and Industrial Strategy","Human Resources","SEO/HEO","180","175","37330","37810"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Intelligence Analysis","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Internal Audit","SEO/HEO","10","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","EO","10","10","25870","25310"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","G6/G7","10","10","57660","55990"
"In post","2021","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","SEO/HEO","30","30","38150","37550"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","G6/G7","55","50","59250","57120"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Legal","SEO/HEO","30","30","39030","40760"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","AA/AO","1250","1145","21300","20880"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","EO","1080","1015","25410","24500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","G6/G7","390","385","56960","54310"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","SCS level","30","25","95390","89040"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Delivery","SEO/HEO","1380","1315","35980","34500"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","G6/G7","15","15","60440","57850"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Operational Research","SEO/HEO","10","10","40600","37920"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","EO","10","5","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","G6/G7","15","15","53620","53650"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","SCS level","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Other","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","AA/AO","40","40","23900","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","EO","255","250","27790","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","G6/G7","1835","1790","58330","55460"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","SCS level","270","260","81840","74250"
"In post","2021","Department for Business, Energy and Industrial Strategy","Policy","SEO/HEO","1650","1625","37970","38550"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","EO","30","30","26240","25360"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","G6/G7","145","140","54410","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Project Delivery","SCS level","5","5","[c]","[c]"
