"Status","Year","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Food Standards Agency","London","Female","225","220","43240","40960"
"In post","2021","Food Standards Agency","London","Male","240","240","41820","40350"
"In post","2021","Food Standards Agency","Outside London","Female","300","290","36320","32210"
"In post","2021","Food Standards Agency","Outside London","Male","540","525","33230","28800"
"In post","2021","Foreign, Commonwealth and Development Office","London","Female","2245","2160","47810","41880"
"In post","2021","Foreign, Commonwealth and Development Office","London","Male","2015","1995","51070","48570"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","Female","1035","985","37060","33930"
"In post","2021","Foreign, Commonwealth and Development Office","Outside London","Male","1060","1030","39830","35730"
"In post","2021","Foreign, Commonwealth and Development Office","Overseas","Female","940","935","52310","53470"
"In post","2021","Foreign, Commonwealth and Development Office","Overseas","Male","1340","1340","51830","53030"
"In post","2021","HM Land Registry","London","Female","205","190","39500","37290"
"In post","2021","HM Land Registry","London","Male","175","170","43690","37290"
"In post","2021","HM Land Registry","Outside London","Female","3605","3170","29610","27130"
"In post","2021","HM Land Registry","Outside London","Male","2370","2235","31690","27130"
"In post","2021","HM Revenue and Customs","London","Female","4275","3980","41690","36160"
"In post","2021","HM Revenue and Customs","London","Male","4450","4315","44580","39800"
"In post","2021","HM Revenue and Customs","Outside London","Female","30775","26925","28580","25560"
"In post","2021","HM Revenue and Customs","Outside London","Male","26980","25870","30600","25560"
"In post","2021","HM Treasury","London","Female","1100","1060","47060","43340"
"In post","2021","HM Treasury","London","Male","1225","1215","50580","52500"
"In post","2021","HM Treasury","Outside London","Female","200","185","40280","39980"
"In post","2021","HM Treasury","Outside London","Male","150","145","46340","45390"
"In post","2021","Home Office","London","Female","7160","6625","38680","35070"
"In post","2021","Home Office","London","Male","6175","5975","41100","35200"
"In post","2021","Home Office","Outside London","Female","11020","9780","26630","25040"
"In post","2021","Home Office","Outside London","Male","10675","10160","27740","25310"
"In post","2021","Home Office","Overseas","Female","130","130","27940","27370"
"In post","2021","Home Office","Overseas","Male","200","195","28500","27370"
"In post","2021","Home Office","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Home Office","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Ministry of Defence","London","Female","1555","1505","41010","37640"
"In post","2021","Ministry of Defence","London","Male","2355","2320","41490","37920"
"In post","2021","Ministry of Defence","Outside London","Female","20690","19445","31410","27540"
"In post","2021","Ministry of Defence","Outside London","Male","30235","29690","34540","33140"
"In post","2021","Ministry of Defence","Overseas","Female","340","335","41410","40580"
"In post","2021","Ministry of Defence","Overseas","Male","450","450","43330","40580"
"In post","2021","Ministry of Defence","Unknown","Female","230","225","33740","32700"
"In post","2021","Ministry of Defence","Unknown","Male","1830","1825","37620","34160"
"In post","2021","Ministry of Housing, Communities and Local Government","London","Female","915","890","48080","53130"
"In post","2021","Ministry of Housing, Communities and Local Government","London","Male","950","945","48490","53130"
"In post","2021","Ministry of Housing, Communities and Local Government","Outside London","Female","775","710","39440","35070"
"In post","2021","Ministry of Housing, Communities and Local Government","Outside London","Male","755","720","43860","41560"
"In post","2021","Ministry of Justice","London","Female","8445","8015","34690","30850"
"In post","2021","Ministry of Justice","London","Male","6165","6050","37290","33710"
"In post","2021","Ministry of Justice","Outside London","Female","34970","31800","27240","23970"
"In post","2021","Ministry of Justice","Outside London","Male","29290","28070","29540","27850"
"In post","2021","Ministry of Justice","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Ministry of Justice","Unknown","Male","10","10","[c]","[c]"
"In post","2021","National Crime Agency","London","Female","750","720","41790","39840"
"In post","2021","National Crime Agency","London","Male","900","895","45600","43630"
"In post","2021","National Crime Agency","Outside London","Female","1635","1565","35080","34140"
"In post","2021","National Crime Agency","Outside London","Male","1960","1945","39010","37530"
"In post","2021","National Crime Agency","Overseas","Female","20","20","[c]","[c]"
"In post","2021","National Crime Agency","Overseas","Male","110","110","67570","64330"
"In post","2021","National Crime Agency","Unknown","Female","40","35","41750","40620"
"In post","2021","National Crime Agency","Unknown","Male","65","65","47110","46340"
"In post","2021","Northern Ireland Office","London","Female","40","40","49940","45730"
"In post","2021","Northern Ireland Office","London","Male","35","35","50800","47650"
"In post","2021","Northern Ireland Office","Outside London","Female","50","50","36720","34990"
"In post","2021","Northern Ireland Office","Outside London","Male","35","35","40190","36910"
"In post","2021","Office for Standards in Education","London","Female","300","290","55970","51360"
"In post","2021","Office for Standards in Education","London","Male","150","145","58650","51360"
"In post","2021","Office for Standards in Education","Outside London","Female","885","835","46040","46360"
"In post","2021","Office for Standards in Education","Outside London","Male","445","440","48210","39850"
"In post","2021","Office of Gas and Electricity Markets","London","Female","300","290","49510","46160"
"In post","2021","Office of Gas and Electricity Markets","London","Male","370","370","52470","48040"
"In post","2021","Office of Gas and Electricity Markets","Outside London","Female","240","235","35030","31720"
"In post","2021","Office of Gas and Electricity Markets","Outside London","Male","270","270","37730","32480"
"In post","2021","Office of Qualifications and Examinations Regulation","Outside London","Female","155","145","43160","39250"
"In post","2021","Office of Qualifications and Examinations Regulation","Outside London","Male","105","105","48970","46660"
"In post","2021","Office of Rail and Road","London","Female","90","85","50940","49580"
"In post","2021","Office of Rail and Road","London","Male","120","115","58950","57110"
"In post","2021","Office of Rail and Road","Outside London","Female","45","45","45890","48240"
"In post","2021","Office of Rail and Road","Outside London","Male","75","70","55440","58960"
"In post","2021","Other Cabinet Office Agencies","London","Female","60","60","48500","43400"
"In post","2021","Other Cabinet Office Agencies","London","Male","85","85","52010","49700"
"In post","2021","Other Cabinet Office Agencies","Outside London","Female","430","410","36640","34800"
"In post","2021","Other Cabinet Office Agencies","Outside London","Male","410","405","40100","34800"
"In post","2021","Other Cabinet Office Agencies","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Other Cabinet Office Agencies","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Scotland Office","London","Female","20","20","[c]","[c]"
"In post","2021","Scotland Office","London","Male","15","15","[c]","[c]"
"In post","2021","Scotland Office","Outside London","Female","50","50","47490","48930"
"In post","2021","Scotland Office","Outside London","Male","30","30","48790","46600"
"In post","2021","Scottish Government","London","Female","10","10","[c]","[c]"
"In post","2021","Scottish Government","London","Male","10","10","[c]","[c]"
"In post","2021","Scottish Government","Outside London","Female","11545","10735","36160","30650"
"In post","2021","Scottish Government","Outside London","Male","10650","10275","36960","33650"
"In post","2021","Scottish Government","Overseas","Female","5","5","[c]","[c]"
"In post","2021","Scottish Government","Overseas","Male","10","10","[c]","[c]"
"In post","2021","The National Archives","London","Female","290","270","35110","32290"
"In post","2021","The National Archives","London","Male","255","245","36130","34260"
"In post","2021","UK Export Finance","London","Female","155","150","49040","43000"
"In post","2021","UK Export Finance","London","Male","245","245","56280","50530"
"In post","2021","UK Supreme Court","London","Female","30","30","39960","35150"
"In post","2021","UK Supreme Court","London","Male","25","25","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","London","Female","200","200","40650","32540"
"In post","2021","United Kingdom Statistics Authority","London","Male","165","160","45000","37050"
"In post","2021","United Kingdom Statistics Authority","London","Unknown","20","20","[c]","[c]"
"In post","2021","United Kingdom Statistics Authority","Outside London","Female","2910","2535","30720","29540"
"In post","2021","United Kingdom Statistics Authority","Outside London","Male","2220","2015","33180","29540"
"In post","2021","United Kingdom Statistics Authority","Outside London","Unknown","30","30","30550","29540"
"In post","2021","Wales Office","London","Female","10","5","[c]","[c]"
"In post","2021","Wales Office","London","Male","15","15","[c]","[c]"
"In post","2021","Wales Office","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Wales Office","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Water Services Regulation Authority","London","Female","35","35","71180","67540"
"In post","2021","Water Services Regulation Authority","London","Male","35","35","67650","65800"
"In post","2021","Water Services Regulation Authority","Outside London","Female","95","90","49510","43270"
"In post","2021","Water Services Regulation Authority","Outside London","Male","85","80","51890","50220"
"In post","2021","Welsh Government","London","Female","5","5","[c]","[c]"
"In post","2021","Welsh Government","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Outside London","Female","3405","3150","39790","37410"
"In post","2021","Welsh Government","Outside London","Male","2350","2295","42770","37410"
"In post","2021","Welsh Government","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Welsh Government","Overseas","Male","5","5","[c]","[c]"
"Leaver CS","2021","Attorney General's Departments","London","Female","120","[c]","51280","51250"
"Leaver CS","2021","Attorney General's Departments","London","Male","85","[c]","51640","51250"
"Leaver CS","2021","Attorney General's Departments","Outside London","Female","120","[c]","39820","38760"
"Leaver CS","2021","Attorney General's Departments","Outside London","Male","85","[c]","48150","55610"
"Leaver CS","2021","Cabinet Office","London","Female","95","[c]","45200","38640"
"Leaver CS","2021","Cabinet Office","London","Male","105","[c]","53290","54700"
"Leaver CS","2021","Cabinet Office","Outside London","Female","30","[c]","27190","20800"
"Leaver CS","2021","Cabinet Office","Outside London","Male","30","[c]","30030","32430"
"Leaver CS","2021","Cabinet Office","Unknown","Female","55","[c]","47040","32000"
"Leaver CS","2021","Cabinet Office","Unknown","Male","60","[c]","61380","52180"
"Leaver CS","2021","Chancellor's other departments","London","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","London","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chancellor's other departments","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Charity Commission","Outside London","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","London","Female","40","[c]","51630","51810"
"Leaver CS","2021","Competition and Markets Authority","London","Male","40","[c]","53450","45740"
"Leaver CS","2021","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","London","Female","90","[c]","45220","40050"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","London","Male","125","[c]","49750","40730"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Outside London","Female","120","[c]","28670","24250"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Outside London","Male","170","[c]","34790","30950"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Business, Energy and Industrial Strategy","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","London","Female","45","[c]","[c]","[c]"
"Leaver CS","2021","Department for Digital, Culture, Media and Sport","London","Male","35","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","London","Female","95","[c]","45720","40510"
"Leaver CS","2021","Department for Education","London","Male","60","[c]","48510","50130"
"Leaver CS","2021","Department for Education","London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Outside London","Female","95","[c]","39880","36780"
"Leaver CS","2021","Department for Education","Outside London","Male","95","[c]","40810","36960"
"Leaver CS","2021","Department for Education","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","London","Female","75","[c]","35420","32400"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","London","Male","70","[c]","41610","34810"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Outside London","Female","225","[c]","30200","25100"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Outside London","Male","180","[c]","33350","26520"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","London","Female","70","[c]","33840","25730"
"Leaver CS","2021","Department for International Trade","London","Male","65","[c]","41240","32380"
"Leaver CS","2021","Department for International Trade","Outside London","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for International Trade","Outside London","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Department for Transport","London","Female","45","[c]","36880","30780"
"Leaver CS","2021","Department for Transport","London","Male","65","[c]","43060","35430"
"Leaver CS","2021","Department for Transport","Outside London","Female","260","[c]","23750","21590"
"Leaver CS","2021","Department for Transport","Outside London","Male","355","[c]","31310","26590"
"Leaver CS","2021","Department for Work and Pensions","London","Female","310","[c]","32440","31060"
"Leaver CS","2021","Department for Work and Pensions","London","Male","190","[c]","33970","31060"
"Leaver CS","2021","Department for Work and Pensions","Outside London","Female","2485","[c]","25610","25490"
"Leaver CS","2021","Department for Work and Pensions","Outside London","Male","1480","[c]","27100","26120"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Department for Work and Pensions","Unknown","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Department of Health and Social Care","London","Female","280","[c]","40670","34530"
"Leaver CS","2021","Department of Health and Social Care","London","Male","155","[c]","49160","40470"
"Leaver CS","2021","Department of Health and Social Care","London","Unknown","80","[c]","47320","40450"
"Leaver CS","2021","Department of Health and Social Care","Outside London","Female","340","[c]","35650","29960"
"Leaver CS","2021","Department of Health and Social Care","Outside London","Male","160","[c]","45310","35690"
"Leaver CS","2021","Department of Health and Social Care","Outside London","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","ESTYN","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","London","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","London","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Outside London","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Food Standards Agency","Outside London","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","London","Female","55","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","London","Male","80","[c]","53830","58440"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Outside London","Female","45","[c]","38280","33080"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Outside London","Male","65","[c]","38720","35780"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Overseas","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Foreign, Commonwealth and Development Office","Overseas","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","London","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","London","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Outside London","Female","145","[c]","29700","27130"
"Leaver CS","2021","HM Land Registry","Outside London","Male","105","[c]","31710","27130"
"Leaver CS","2021","HM Revenue and Customs","London","Female","310","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","London","Male","330","[c]","36460","29540"
"Leaver CS","2021","HM Revenue and Customs","Outside London","Female","2915","[c]","27150","24500"
"Leaver CS","2021","HM Revenue and Customs","Outside London","Male","1810","[c]","30220","25680"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Female","220","[c]","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs","Unknown","Male","110","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","London","Female","40","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","London","Male","55","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Outside London","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury","Outside London","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","London","Female","285","[c]","35260","29030"
"Leaver CS","2021","Home Office","London","Male","305","[c]","39540","33850"
"Leaver CS","2021","Home Office","Outside London","Female","385","[c]","24500","21430"
"Leaver CS","2021","Home Office","Outside London","Male","350","[c]","25790","24880"
"Leaver CS","2021","Home Office","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Overseas","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","London","Female","45","[c]","41480","33520"
"Leaver CS","2021","Ministry of Defence","London","Male","100","[c]","41730","37640"
"Leaver CS","2021","Ministry of Defence","Outside London","Female","1015","[c]","28980","25970"
"Leaver CS","2021","Ministry of Defence","Outside London","Male","1810","[c]","32610","29930"
"Leaver CS","2021","Ministry of Defence","Overseas","Female","60","[c]","37900","36960"
"Leaver CS","2021","Ministry of Defence","Overseas","Male","30","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence","Unknown","Male","155","[c]","35590","32400"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","London","Female","45","[c]","43400","39600"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","London","Male","30","[c]","45250","42970"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Outside London","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Housing, Communities and Local Government","Outside London","Male","50","[c]","41330","41020"
"Leaver CS","2021","Ministry of Justice","London","Female","515","[c]","32290","26410"
"Leaver CS","2021","Ministry of Justice","London","Male","430","[c]","35330","26410"
"Leaver CS","2021","Ministry of Justice","Outside London","Female","2450","[c]","22680","19930"
"Leaver CS","2021","Ministry of Justice","Outside London","Male","2460","[c]","24250","20100"
"Leaver CS","2021","Ministry of Justice","Unknown","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Justice","Unknown","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","London","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","London","Male","45","[c]","45800","40580"
"Leaver CS","2021","National Crime Agency","Outside London","Female","35","[c]","37100","32720"
"Leaver CS","2021","National Crime Agency","Outside London","Male","65","[c]","41850","40210"
"Leaver CS","2021","National Crime Agency","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Overseas","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","National Crime Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland Office","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","London","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Office for Standards in Education","Outside London","Female","65","[c]","46700","51360"
"Leaver CS","2021","Office for Standards in Education","Outside London","Male","35","[c]","55880","63430"
"Leaver CS","2021","Office of Gas and Electricity Markets","London","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","London","Male","30","[c]","52370","46710"
"Leaver CS","2021","Office of Gas and Electricity Markets","Outside London","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Office of Gas and Electricity Markets","Outside London","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Outside London","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Office of Qualifications and Examinations Regulation","Outside London","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","London","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Office of Rail and Road","Outside London","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","London","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Outside London","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Outside London","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Unknown","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Other Cabinet Office Agencies","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","Outside London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland Office","Outside London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","London","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","London","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Outside London","Female","430","[c]","34090","28170"
"Leaver CS","2021","Scottish Government","Outside London","Male","510","[c]","36270","33650"
"Leaver CS","2021","Scottish Government","Overseas","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scottish Government","Overseas","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","London","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","The National Archives","London","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","London","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","UK Export Finance","London","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","London","Female","10","[c]","[c]","[c]"
