"Status","Year","Disability","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Legal","LGBO","395","380","48420","50990"
"In post","2021","Declared non-disabled","Legal","Undeclared","500","465","48540","47100"
"In post","2021","Declared non-disabled","Legal","Unknown","1460","1305","48300","52060"
"In post","2021","Declared non-disabled","No function","Heterosexual / straight","90080","84455","33700","29750"
"In post","2021","Declared non-disabled","No function","LGBO","5320","5175","34850","30850"
"In post","2021","Declared non-disabled","No function","Undeclared","8525","7750","32860","28400"
"In post","2021","Declared non-disabled","No function","Unknown","9450","8400","32950","30620"
"In post","2021","Declared non-disabled","Project Delivery","Heterosexual / straight","16370","15845","41460","38630"
"In post","2021","Declared non-disabled","Project Delivery","LGBO","640","630","42250","38610"
"In post","2021","Declared non-disabled","Project Delivery","Undeclared","1350","1295","42210","39100"
"In post","2021","Declared non-disabled","Project Delivery","Unknown","1355","1300","40570","38630"
"In post","2021","Declared non-disabled","Property","Heterosexual / straight","4800","4585","36000","33300"
"In post","2021","Declared non-disabled","Property","LGBO","160","155","35330","32060"
"In post","2021","Declared non-disabled","Property","Undeclared","435","410","36080","33300"
"In post","2021","Declared non-disabled","Property","Unknown","945","890","31880","29440"
"In post","2021","Declared non-disabled","Security","Heterosexual / straight","4535","4435","31000","26670"
"In post","2021","Declared non-disabled","Security","LGBO","165","165","31510","28780"
"In post","2021","Declared non-disabled","Security","Undeclared","420","405","34450","36470"
"In post","2021","Declared non-disabled","Security","Unknown","225","220","35660","35440"
"In post","2021","Declared non-disabled","Unknown","Heterosexual / straight","91110","84275","31000","27570"
"In post","2021","Declared non-disabled","Unknown","LGBO","4090","3955","31190","27570"
"In post","2021","Declared non-disabled","Unknown","Undeclared","9170","8325","30730","27570"
"In post","2021","Declared non-disabled","Unknown","Unknown","17690","15155","27980","27570"
"In post","2021","Undeclared","Analysis","Heterosexual / straight","125","120","45140","42440"
"In post","2021","Undeclared","Analysis","LGBO","20","20","[c]","[c]"
"In post","2021","Undeclared","Analysis","Undeclared","120","115","42580","40400"
"In post","2021","Undeclared","Analysis","Unknown","105","105","41740","41090"
"In post","2021","Undeclared","Commercial","Heterosexual / straight","185","180","43570","38860"
"In post","2021","Undeclared","Commercial","LGBO","10","10","[c]","[c]"
"In post","2021","Undeclared","Commercial","Undeclared","160","155","40050","36520"
"In post","2021","Undeclared","Commercial","Unknown","25","25","[c]","[c]"
"In post","2021","Undeclared","Communications","Heterosexual / straight","145","140","34450","29200"
"In post","2021","Undeclared","Communications","LGBO","20","20","[c]","[c]"
"In post","2021","Undeclared","Communications","Undeclared","140","135","33490","29780"
"In post","2021","Undeclared","Communications","Unknown","55","55","46710","42890"
"In post","2021","Undeclared","Counter Fraud","Heterosexual / straight","165","160","34070","31810"
"In post","2021","Undeclared","Counter Fraud","LGBO","25","25","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","Undeclared","420","395","36570","31870"
"In post","2021","Undeclared","Counter Fraud","Unknown","35","35","32900","31870"
"In post","2021","Undeclared","Debt","Heterosexual / straight","70","65","23770","21020"
"In post","2021","Undeclared","Debt","LGBO","5","5","[c]","[c]"
"In post","2021","Undeclared","Debt","Undeclared","105","90","24760","21440"
"In post","2021","Undeclared","Debt","Unknown","25","20","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","Heterosexual / straight","240","235","41550","38630"
"In post","2021","Undeclared","Digital, Data & Technology","LGBO","35","30","41860","36780"
"In post","2021","Undeclared","Digital, Data & Technology","Undeclared","350","340","40460","38450"
"In post","2021","Undeclared","Digital, Data & Technology","Unknown","50","50","38840","35060"
"In post","2021","Undeclared","Finance","Heterosexual / straight","210","200","38250","35360"
"In post","2021","Undeclared","Finance","LGBO","10","10","[c]","[c]"
"In post","2021","Undeclared","Finance","Undeclared","230","220","39350","34460"
"In post","2021","Undeclared","Finance","Unknown","60","55","40260","38630"
"In post","2021","Undeclared","Grants Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Undeclared","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Undeclared","20","20","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Unknown","10","10","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Heterosexual / straight","260","245","37340","33960"
"In post","2021","Undeclared","Human Resources","LGBO","15","15","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Undeclared","180","170","36810","31820"
"In post","2021","Undeclared","Human Resources","Unknown","55","50","39250","34710"
"In post","2021","Undeclared","Internal Audit","Heterosexual / straight","30","30","48750","49370"
"In post","2021","Undeclared","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Undeclared","20","20","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","Heterosexual / straight","165","155","48750","50500"
"In post","2021","Undeclared","Legal","LGBO","10","10","[c]","[c]"
"In post","2021","Undeclared","Legal","Undeclared","160","150","51380","51250"
"In post","2021","Undeclared","Legal","Unknown","35","30","55840","56650"
"In post","2021","Undeclared","No function","Heterosexual / straight","5580","5160","31760","30450"
"In post","2021","Undeclared","No function","LGBO","490","480","32290","30990"
"In post","2021","Undeclared","No function","Undeclared","4555","4240","33800","31630"
"In post","2021","Undeclared","No function","Unknown","3235","2915","32920","31650"
"In post","2021","Undeclared","Project Delivery","Heterosexual / straight","610","585","39450","37640"
"In post","2021","Undeclared","Project Delivery","LGBO","55","55","40370","40030"
"In post","2021","Undeclared","Project Delivery","Undeclared","970","930","39700","37320"
"In post","2021","Undeclared","Project Delivery","Unknown","170","165","44550","40580"
"In post","2021","Undeclared","Property","Heterosexual / straight","215","210","34090","32860"
"In post","2021","Undeclared","Property","LGBO","10","10","[c]","[c]"
"In post","2021","Undeclared","Property","Undeclared","275","265","37740","33300"
"In post","2021","Undeclared","Property","Unknown","120","105","34840","31100"
"In post","2021","Undeclared","Security","Heterosexual / straight","305","300","32380","30440"
"In post","2021","Undeclared","Security","LGBO","30","30","39150","39070"
"In post","2021","Undeclared","Security","Undeclared","325","320","35850","38630"
"In post","2021","Undeclared","Security","Unknown","30","30","42030","40190"
"In post","2021","Undeclared","Unknown","Heterosexual / straight","3595","3360","28910","27570"
"In post","2021","Undeclared","Unknown","LGBO","280","270","28740","27570"
"In post","2021","Undeclared","Unknown","Undeclared","2875","2715","32310","27570"
"In post","2021","Undeclared","Unknown","Unknown","890","800","28040","27570"
"In post","2021","Unknown","Analysis","Heterosexual / straight","545","535","38860","36030"
"In post","2021","Unknown","Analysis","LGBO","55","55","35290","30130"
"In post","2021","Unknown","Analysis","Undeclared","70","70","46940","39940"
"In post","2021","Unknown","Analysis","Unknown","1045","1010","41150","36780"
"In post","2021","Unknown","Commercial","Heterosexual / straight","380","365","36860","34800"
"In post","2021","Unknown","Commercial","LGBO","20","20","[c]","[c]"
"In post","2021","Unknown","Commercial","Undeclared","55","55","41200","40000"
"In post","2021","Unknown","Commercial","Unknown","1585","1555","58810","54700"
"In post","2021","Unknown","Communications","Heterosexual / straight","355","340","36290","32790"
"In post","2021","Unknown","Communications","LGBO","25","25","[c]","[c]"
"In post","2021","Unknown","Communications","Undeclared","55","55","40010","33300"
"In post","2021","Unknown","Communications","Unknown","2140","2085","32730","25560"
"In post","2021","Unknown","Counter Fraud","Heterosexual / straight","285","265","32720","31810"
"In post","2021","Unknown","Counter Fraud","LGBO","20","20","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","Undeclared","60","55","35200","32100"
"In post","2021","Unknown","Counter Fraud","Unknown","1860","1770","31390","29570"
"In post","2021","Unknown","Debt","Heterosexual / straight","95","85","24090","21400"
"In post","2021","Unknown","Debt","LGBO","10","5","[c]","[c]"
"In post","2021","Unknown","Debt","Undeclared","20","15","[c]","[c]"
"In post","2021","Unknown","Debt","Unknown","1655","1545","21940","20140"
"In post","2021","Unknown","Digital, Data & Technology","Heterosexual / straight","730","710","40490","36840"
"In post","2021","Unknown","Digital, Data & Technology","LGBO","50","50","39400","36030"
"In post","2021","Unknown","Digital, Data & Technology","Undeclared","160","160","38090","35230"
"In post","2021","Unknown","Digital, Data & Technology","Unknown","2375","2335","40750","37730"
"In post","2021","Unknown","Finance","Heterosexual / straight","415","395","39690","36740"
"In post","2021","Unknown","Finance","LGBO","15","15","[c]","[c]"
"In post","2021","Unknown","Finance","Undeclared","90","90","39620","38930"
"In post","2021","Unknown","Finance","Unknown","1225","1150","35470","31810"
"In post","2021","Unknown","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Human Resources","Heterosexual / straight","540","510","35090","30750"
"In post","2021","Unknown","Human Resources","LGBO","35","35","31700","28320"
"In post","2021","Unknown","Human Resources","Undeclared","80","75","31990","29350"
"In post","2021","Unknown","Human Resources","Unknown","875","835","34030","31380"
"In post","2021","Unknown","Internal Audit","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Unknown","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Unknown","30","30","42770","39630"
"In post","2021","Unknown","Legal","Heterosexual / straight","960","925","37600","38000"
"In post","2021","Unknown","Legal","LGBO","60","60","31810","26970"
"In post","2021","Unknown","Legal","Undeclared","1610","1445","27640","22820"
"In post","2021","Unknown","Legal","Unknown","1440","1345","45650","48080"
"In post","2021","Unknown","No function","Heterosexual / straight","8360","7845","34960","32770"
"In post","2021","Unknown","No function","LGBO","580","570","34640","31810"
"In post","2021","Unknown","No function","Undeclared","1030","960","37040","33610"
"In post","2021","Unknown","No function","Unknown","30225","28520","30260","25950"
"In post","2021","Unknown","Project Delivery","Heterosexual / straight","1260","1215","41280","38630"
"In post","2021","Unknown","Project Delivery","LGBO","55","55","44360","40760"
"In post","2021","Unknown","Project Delivery","Undeclared","300","290","42450","40080"
"In post","2021","Unknown","Project Delivery","Unknown","2620","2530","42220","38630"
"In post","2021","Unknown","Property","Heterosexual / straight","340","330","31850","28870"
"In post","2021","Unknown","Property","LGBO","10","10","[c]","[c]"
"In post","2021","Unknown","Property","Undeclared","70","65","34040","33000"
"In post","2021","Unknown","Property","Unknown","1195","1145","29410","25860"
"In post","2021","Unknown","Security","Heterosexual / straight","690","675","30490","27680"
"In post","2021","Unknown","Security","LGBO","40","40","30750","27710"
"In post","2021","Unknown","Security","Undeclared","120","120","33920","39070"
"In post","2021","Unknown","Security","Unknown","1225","1200","30580","27130"
"In post","2021","Unknown","Unknown","Heterosexual / straight","4035","3860","37150","32140"
"In post","2021","Unknown","Unknown","LGBO","180","180","36010","31640"
"In post","2021","Unknown","Unknown","Undeclared","500","480","36590","32980"
"In post","2021","Unknown","Unknown","Unknown","10795","10435","34550","29290"
"Leaver CS","2021","Declared disabled","Analysis","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Analysis","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Grants Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","Heterosexual / straight","35","[c]","34460","31660"
"Leaver CS","2021","Declared disabled","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","Heterosexual / straight","30","[c]","43370","41120"
"Leaver CS","2021","Declared disabled","Legal","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Legal","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","No function","Heterosexual / straight","645","[c]","27350","21790"
"Leaver CS","2021","Declared disabled","No function","LGBO","75","[c]","30020","22500"
"Leaver CS","2021","Declared disabled","No function","Undeclared","115","[c]","26080","22080"
"Leaver CS","2021","Declared disabled","No function","Unknown","55","[c]","29330","26520"
"Leaver CS","2021","Declared disabled","Project Delivery","Heterosexual / straight","65","[c]","36590","33040"
"Leaver CS","2021","Declared disabled","Project Delivery","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Project Delivery","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Heterosexual / straight","30","[c]","33550","32100"
"Leaver CS","2021","Declared disabled","Property","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Property","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Undeclared","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Heterosexual / straight","755","[c]","28770","26890"
"Leaver CS","2021","Declared disabled","Unknown","LGBO","85","[c]","29920","27570"
"Leaver CS","2021","Declared disabled","Unknown","Undeclared","120","[c]","28190","27370"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","745","[c]","26000","26890"
"Leaver CS","2021","Declared non-disabled","Analysis","Heterosexual / straight","105","[c]","40710","33430"
"Leaver CS","2021","Declared non-disabled","Analysis","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Analysis","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Heterosexual / straight","115","[c]","44670","40000"
"Leaver CS","2021","Declared non-disabled","Commercial","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Commercial","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Heterosexual / straight","110","[c]","37690","32730"
"Leaver CS","2021","Declared non-disabled","Communications","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Undeclared","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Communications","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Heterosexual / straight","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Counter Fraud","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","Heterosexual / straight","155","[c]","43990","38700"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","Undeclared","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Digital, Data & Technology","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Heterosexual / straight","115","[c]","42100","39000"
"Leaver CS","2021","Declared non-disabled","Finance","LGBO","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Undeclared","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Finance","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Grants Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Grants Management","LGBO","[c]","[c]","[c]","[c]"
