"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SEO/HEO","135","135","36280","34090"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Human Resources","SEO/HEO","10","10","42680","40050"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","G6/G7","10","10","61690","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Operational Research","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Policy","G6/G7","10","10","59270","57810"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Policy","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","G6/G7","15","15","60970","57850"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Statistics","SEO/HEO","20","20","39470","38650"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","G6/G7","35","35","63090","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","SEO/HEO","35","30","42500","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","SEO/HEO","10","10","39420","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","G6/G7","15","15","62220","60300"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","SEO/HEO","10","10","47310","42280"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","SEO/HEO","10","10","43390","42280"
"In post","2021","Analysis","Department for Education","Digital, Data and Technology","EO","15","15","27800","26000"
"In post","2021","Analysis","Department for Education","Digital, Data and Technology","G6/G7","50","45","55580","53730"
"In post","2021","Analysis","Department for Education","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Digital, Data and Technology","SEO/HEO","85","75","39550","41990"
"In post","2021","Analysis","Department for Education","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education","Policy","EO","15","15","29780","30000"
"In post","2021","Analysis","Department for Education","Policy","G6/G7","85","80","55450","54160"
"In post","2021","Analysis","Department for Education","Policy","SEO/HEO","155","150","40330","41990"
"In post","2021","Analysis","Department for Education","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","EO","10","10","25320","25190"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Operational Delivery","SEO/HEO","15","15","32390","30040"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","AA/AO","40","40","20750","21050"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","EO","95","90","25060","24920"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","G6/G7","85","85","51900","48080"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Science and Engineering","SEO/HEO","260","245","32850","30220"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Statistics","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Statistics","EO","10","10","26240","25970"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Statistics","G6/G7","20","20","54320","52700"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs","Statistics","SEO/HEO","35","35","33430","32560"
"In post","2021","Analysis","Department for International Trade","Economics","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Economics","EO","10","10","26430","26380"
"In post","2021","Analysis","Department for International Trade","Economics","G6/G7","65","65","53830","51970"
"In post","2021","Analysis","Department for International Trade","Economics","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Economics","SEO/HEO","55","55","30830","31800"
"In post","2021","Analysis","Department for International Trade","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Social Research","G6/G7","10","10","55520","53560"
"In post","2021","Analysis","Department for International Trade","Social Research","SEO/HEO","10","10","33590","31800"
"In post","2021","Analysis","Department for International Trade","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","G6/G7","20","20","52410","51970"
"In post","2021","Analysis","Department for International Trade","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Statistics","SEO/HEO","25","25","36810","38350"
"In post","2021","Analysis","Department for Transport","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Digital, Data and Technology","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Digital, Data and Technology","EO","15","15","26780","26780"
"In post","2021","Analysis","Department for Transport","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Digital, Data and Technology","SEO/HEO","10","10","36940","34710"
"In post","2021","Analysis","Department for Transport","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Economics","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Economics","G6/G7","85","80","58050","54760"
"In post","2021","Analysis","Department for Transport","Economics","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Economics","SEO/HEO","70","70","33550","34000"
"In post","2021","Analysis","Department for Transport","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Knowledge and Information Management","SEO/HEO","10","10","36390","33350"
"In post","2021","Analysis","Department for Transport","Operational Research","AA/AO","10","10","21590","21590"
"In post","2021","Analysis","Department for Transport","Operational Research","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Operational Research","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Operational Research","SEO/HEO","35","35","35460","34030"
"In post","2021","Analysis","Department for Transport","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Science and Engineering","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Social Research","G6/G7","20","15","58000","54820"
"In post","2021","Analysis","Department for Transport","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Social Research","SEO/HEO","25","25","39720","42470"
"In post","2021","Analysis","Department for Transport","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Statistics","EO","25","20","29720","30270"
"In post","2021","Analysis","Department for Transport","Statistics","G6/G7","40","40","57780","56450"
"In post","2021","Analysis","Department for Transport","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport","Statistics","SEO/HEO","50","45","39140","38650"
"In post","2021","Analysis","Department for Transport","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Science and Engineering","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Statistics","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Work and Pensions","Statistics","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Intelligence Analysis","G6/G7","185","180","57640","53360"
"In post","2021","Analysis","Department of Health and Social Care","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Intelligence Analysis","SEO/HEO","40","35","35130","32790"
"In post","2021","Analysis","Department of Health and Social Care","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Statistics","G6/G7","30","30","55250","53360"
"In post","2021","Analysis","Department of Health and Social Care","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care","Statistics","SEO/HEO","10","10","34220","33200"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Operational Research","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Operational Research","G6/G7","35","35","66730","65590"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office","Operational Research","SEO/HEO","25","25","49990","48880"
"In post","2021","Analysis","HM Land Registry","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Economics","EO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Economics","G6/G7","40","40","59450","59160"
"In post","2021","Analysis","HM Revenue and Customs","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Economics","SEO/HEO","50","50","35140","36160"
"In post","2021","Analysis","HM Revenue and Customs","Knowledge and Information Management","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Operational Delivery","EO","10","10","29240","29570"
"In post","2021","Analysis","HM Revenue and Customs","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Operational Delivery","SEO/HEO","15","15","36490","37570"
"In post","2021","Analysis","HM Revenue and Customs","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Operational Research","G6/G7","40","35","55800","56560"
"In post","2021","Analysis","HM Revenue and Customs","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Operational Research","SEO/HEO","60","60","36400","36160"
"In post","2021","Analysis","HM Revenue and Customs","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Social Research","G6/G7","35","35","56730","59160"
"In post","2021","Analysis","HM Revenue and Customs","Social Research","SEO/HEO","45","40","36900","36160"
"In post","2021","Analysis","HM Revenue and Customs","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Statistics","EO","20","15","28270","28850"
"In post","2021","Analysis","HM Revenue and Customs","Statistics","G6/G7","100","95","57090","59160"
"In post","2021","Analysis","HM Revenue and Customs","Statistics","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Statistics","SEO/HEO","180","170","36700","36160"
"In post","2021","Analysis","HM Revenue and Customs","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Tax","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Tax","SEO/HEO","15","15","36970","36160"
"In post","2021","Analysis","HM Revenue and Customs","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Unknown","G6/G7","15","15","59960","59160"
"In post","2021","Analysis","HM Revenue and Customs","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs","Unknown","SEO/HEO","15","15","37920","38630"
"In post","2021","Analysis","HM Treasury","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Economics","EO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Economics","G6/G7","35","35","58810","55840"
"In post","2021","Analysis","HM Treasury","Economics","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Economics","SEO/HEO","35","35","33440","32320"
"In post","2021","Analysis","HM Treasury","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Operational Delivery","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Policy","G6/G7","30","30","62120","60580"
"In post","2021","Analysis","HM Treasury","Policy","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury","Tax","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Economics","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Economics","SEO/HEO","20","20","40320","38600"
"In post","2021","Analysis","Ministry of Defence","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Operational Delivery","SEO/HEO","10","10","35880","37320"
"In post","2021","Analysis","Ministry of Defence","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Operational Research","G6/G7","135","130","49040","46130"
"In post","2021","Analysis","Ministry of Defence","Operational Research","SEO/HEO","115","110","34260","37320"
"In post","2021","Analysis","Ministry of Defence","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Science and Engineering","G6/G7","40","40","50010","46090"
"In post","2021","Analysis","Ministry of Defence","Science and Engineering","SEO/HEO","115","110","32610","34020"
"In post","2021","Analysis","Ministry of Defence","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence","Statistics","EO","50","45","28330","27850"
