"Status","Year","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Declared non-disabled","Undeclared","145","[c]","37130","33300"
"Leaver Dept.","2021","Declared non-disabled","Unknown","245","[c]","39380","32820"
"Leaver Dept.","2021","Declared non-disabled","White","5095","[c]","38330","32830"
"Leaver Dept.","2021","Undeclared","Asian","45","[c]","34790","32320"
"Leaver Dept.","2021","Undeclared","Black","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Mixed","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Other ethnicity","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","135","[c]","37060","32620"
"Leaver Dept.","2021","Undeclared","Unknown","100","[c]","40410","36650"
"Leaver Dept.","2021","Undeclared","White","265","[c]","37190","32000"
"Leaver Dept.","2021","Unknown","Asian","70","[c]","35970","32260"
"Leaver Dept.","2021","Unknown","Black","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Mixed","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other ethnicity","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","120","[c]","38820","36740"
"Leaver Dept.","2021","Unknown","Unknown","2815","[c]","37310","32560"
"Leaver Dept.","2021","Unknown","White","365","[c]","42720","37410"
"New entrant CS","2021","Declared disabled","Asian","285","[c]","29320","27570"
"New entrant CS","2021","Declared disabled","Black","255","[c]","29780","29400"
"New entrant CS","2021","Declared disabled","Chinese","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Mixed","190","[c]","28160","27570"
"New entrant CS","2021","Declared disabled","Other ethnicity","45","[c]","30530","29280"
"New entrant CS","2021","Declared disabled","Undeclared","80","[c]","28280","27570"
"New entrant CS","2021","Declared disabled","Unknown","80","[c]","28590","27570"
"New entrant CS","2021","Declared disabled","White","3080","[c]","27660","27570"
"New entrant CS","2021","Declared non-disabled","Asian","3195","[c]","29570","27570"
"New entrant CS","2021","Declared non-disabled","Black","2085","[c]","29650","29290"
"New entrant CS","2021","Declared non-disabled","Chinese","95","[c]","31250","29290"
"New entrant CS","2021","Declared non-disabled","Mixed","1115","[c]","29500","27570"
"New entrant CS","2021","Declared non-disabled","Other ethnicity","275","[c]","30170","29290"
"New entrant CS","2021","Declared non-disabled","Undeclared","415","[c]","29990","27570"
"New entrant CS","2021","Declared non-disabled","Unknown","280","[c]","30510","27570"
"New entrant CS","2021","Declared non-disabled","White","22975","[c]","28930","27570"
"New entrant CS","2021","Undeclared","Asian","165","[c]","31860","27620"
"New entrant CS","2021","Undeclared","Black","95","[c]","29930","29880"
"New entrant CS","2021","Undeclared","Chinese","10","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Mixed","60","[c]","29260","27570"
"New entrant CS","2021","Undeclared","Other ethnicity","25","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Undeclared","330","[c]","33280","28590"
"New entrant CS","2021","Undeclared","Unknown","220","[c]","37300","34710"
"New entrant CS","2021","Undeclared","White","1005","[c]","29830","27570"
"New entrant CS","2021","Unknown","Asian","465","[c]","33000","28650"
"New entrant CS","2021","Unknown","Black","215","[c]","32880","30650"
"New entrant CS","2021","Unknown","Chinese","20","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Mixed","180","[c]","33240","29540"
"New entrant CS","2021","Unknown","Other ethnicity","40","[c]","39320","32790"
"New entrant CS","2021","Unknown","Undeclared","160","[c]","29290","26350"
"New entrant CS","2021","Unknown","Unknown","16240","[c]","29340","25560"
"New entrant CS","2021","Unknown","White","3525","[c]","32630","29360"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","",""
"","For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' from 2022 onwards.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
