"Status","Year","Disability","Organisation","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","East of England","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","North East (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","North West (England)","20","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","Scotland","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","South West (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Delivery","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Digital, Data and Technology","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","East of England","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","North West (England)","30","25","25300","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","Scotland","20","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","South East (England)","15","15","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","South West (England)","40","35","24780","21050"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","Wales","35","30","24610","21050"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","West Midlands (England)","25","20","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Operational Delivery","Yorkshire and The Humber","20","20","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","North West (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","South East (England)","75","70","31400","28430"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","South West (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Science and Engineering","Yorkshire and The Humber","10","5","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Veterinarian","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Human Resources","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","East of England","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","London","485","475","48120","43890"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","North East (England)","60","55","28220","23850"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","North West (England)","30","30","42480","38890"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","South East (England)","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","South West (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Unknown","Yorkshire and The Humber","60","55","34630","33300"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","East of England","20","20","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Commercial","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","North West (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Security","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","North West (England)","5","5","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Digital, Data and Technology","Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Human Resources","Wales","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Legal","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Operational Delivery","Wales","35","30","23980","22490"
"In post","2021","Declared disabled","Companies House","Other","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Policy","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Property","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Security","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Economics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Project Delivery","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Project Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Project Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Property","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Legal","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Operational Delivery","Scotland","35","30","23110","22570"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Policy","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Commercial","North West (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Commercial","Wales","5","5","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Commercial","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Communications","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Digital, Data and Technology","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Digital, Data and Technology","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Digital, Data and Technology","Wales","[c]","[c]","[c]","[c]"
