"Status","Year","Region_ITL1","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","AA/AO","205","165","21220","21010"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","EO","250","235","27640","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","SEO/HEO","30","25","34150","33300"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","Unknown","25","25","28140","30210"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","AA/AO","550","500","21800","20320"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","EO","275","255","27210","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","G6/G7","25","25","59710","55610"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","SEO/HEO","125","115","36110","35310"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","Unknown","120","115","28720","28200"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","AA/AO","1295","1210","22240","21010"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","EO","750","700","27810","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","G6/G7","80","75","59080","55270"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","SEO/HEO","570","550","36560","35050"
"In post","2021","East Midlands (England)","Lincolnshire","Lincolnshire","Unknown","135","130","30830","30210"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","AA/AO","290","280","25890","25840"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","EO","285","260","27760","27570"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","G6/G7","25","25","57840","53080"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","SEO/HEO","160","155","38070","36950"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Bedford","Unknown","70","60","27390","23840"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","AA/AO","140","135","20780","20920"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","EO","125","120","28060","27390"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","G6/G7","15","15","66000","64380"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","SEO/HEO","140","140","37110","36300"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Central Bedfordshire","Unknown","5","5","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","AA/AO","695","645","25330","24240"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","EO","920","860","29990","29290"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","G6/G7","285","270","60300","59730"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","SCS level","25","25","88790","88300"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","SEO/HEO","660","635","39440","38510"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Hertfordshire","Unknown","135","125","29320","28200"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Luton","AA/AO","135","120","20370","20650"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Luton","EO","280","245","27590","27570"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Luton","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Luton","SEO/HEO","45","45","34020","32480"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Luton","Unknown","85","80","26140","22920"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","AA/AO","300","285","24220","23420"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","EO","130","125","28750","27570"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","G6/G7","10","10","67620","67320"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","SEO/HEO","75","70","38300","36670"
"In post","2021","East of England","East Anglia","Breckland and South Norfolk","Unknown","10","10","[c]","[c]"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","AA/AO","1135","1060","25360","23490"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","EO","710","670","27980","27570"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","G6/G7","305","295","60520","57110"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","SCS level","40","40","103460","103000"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","SEO/HEO","1085","1045","37200","35480"
"In post","2021","East of England","East Anglia","Cambridgeshire CC","Unknown","100","95","30530","30210"
"In post","2021","East of England","East Anglia","North and West Norfolk","AA/AO","500","470","24190","21240"
"In post","2021","East of England","East Anglia","North and West Norfolk","EO","210","190","28450","27570"
"In post","2021","East of England","East Anglia","North and West Norfolk","G6/G7","10","10","68520","68420"
"In post","2021","East of England","East Anglia","North and West Norfolk","SEO/HEO","175","170","35650","33840"
"In post","2021","East of England","East Anglia","North and West Norfolk","Unknown","30","30","30640","32120"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","AA/AO","635","565","22200","21010"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","EO","555","495","27230","27570"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","G6/G7","120","115","55780","54770"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","SCS level","15","10","82590","73800"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","SEO/HEO","350","330","35530","34190"
"In post","2021","East of England","East Anglia","Norwich and East Norfolk","Unknown","120","105","29580","29300"
"In post","2021","East of England","East Anglia","Peterborough","AA/AO","690","600","20990","21430"
"In post","2021","East of England","East Anglia","Peterborough","EO","455","410","26910","27130"
"In post","2021","East of England","East Anglia","Peterborough","G6/G7","90","85","58660","55610"
"In post","2021","East of England","East Anglia","Peterborough","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East of England","East Anglia","Peterborough","SEO/HEO","350","330","35360","33840"
"In post","2021","East of England","East Anglia","Peterborough","Unknown","75","70","27900","28200"
"In post","2021","East of England","East Anglia","Suffolk","AA/AO","1690","1575","23030","21400"
"In post","2021","East of England","East Anglia","Suffolk","EO","1225","1150","27320","27570"
"In post","2021","East of England","East Anglia","Suffolk","G6/G7","190","180","55740","52580"
"In post","2021","East of England","East Anglia","Suffolk","SCS level","5","5","[c]","[c]"
"In post","2021","East of England","East Anglia","Suffolk","SEO/HEO","900","855","35130","33300"
"In post","2021","East of England","East Anglia","Suffolk","Unknown","155","140","28950","28200"
"In post","2021","East of England","Essex","Essex Haven Gateway","AA/AO","320","300","25510","21580"
"In post","2021","East of England","Essex","Essex Haven Gateway","EO","515","480","29800","29290"
"In post","2021","East of England","Essex","Essex Haven Gateway","G6/G7","35","35","69600","66250"
"In post","2021","East of England","Essex","Essex Haven Gateway","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Essex Haven Gateway","SEO/HEO","230","220","41010","36730"
"In post","2021","East of England","Essex","Essex Haven Gateway","Unknown","30","30","28280","26500"
"In post","2021","East of England","Essex","Essex Thames Gateway","AA/AO","335","295","23460","24180"
"In post","2021","East of England","Essex","Essex Thames Gateway","EO","410","370","29510","29290"
"In post","2021","East of England","Essex","Essex Thames Gateway","G6/G7","5","5","[c]","[c]"
"In post","2021","East of England","Essex","Essex Thames Gateway","SEO/HEO","70","65","35980","35790"
"In post","2021","East of England","Essex","Essex Thames Gateway","Unknown","115","100","26780","22920"
"In post","2021","East of England","Essex","Heart of Essex","AA/AO","445","415","25280","24510"
"In post","2021","East of England","Essex","Heart of Essex","EO","330","315","28970","29290"
"In post","2021","East of England","Essex","Heart of Essex","G6/G7","100","90","60740","59910"
"In post","2021","East of England","Essex","Heart of Essex","SCS level","5","5","[c]","[c]"
"In post","2021","East of England","Essex","Heart of Essex","SEO/HEO","170","160","37640","36410"
"In post","2021","East of England","Essex","Heart of Essex","Unknown","70","65","29170","30210"
"In post","2021","East of England","Essex","Southend-on-Sea","AA/AO","310","260","21420","21440"
"In post","2021","East of England","Essex","Southend-on-Sea","EO","385","350","27730","28130"
"In post","2021","East of England","Essex","Southend-on-Sea","G6/G7","120","115","54570","52580"
"In post","2021","East of England","Essex","Southend-on-Sea","SCS level","10","10","80040","74500"
"In post","2021","East of England","Essex","Southend-on-Sea","SEO/HEO","510","470","35610","35000"
"In post","2021","East of England","Essex","Southend-on-Sea","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Thurrock","AA/AO","110","110","21740","21430"
"In post","2021","East of England","Essex","Thurrock","EO","215","200","27350","27370"
"In post","2021","East of England","Essex","Thurrock","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","East of England","Essex","Thurrock","SEO/HEO","35","35","33690","31890"
"In post","2021","East of England","Essex","West Essex","AA/AO","85","80","20880","21430"
"In post","2021","East of England","Essex","West Essex","EO","420","365","27950","27370"
"In post","2021","East of England","Essex","West Essex","G6/G7","25","25","57390","52280"
"In post","2021","East of England","Essex","West Essex","SCS level","10","10","[c]","[c]"
"In post","2021","East of England","Essex","West Essex","SEO/HEO","135","120","33990","32930"
"In post","2021","East of England","Essex","West Essex","Unknown","25","25","28690","24320"
"In post","2021","London","Inner London - East","Hackney and Newham","AA/AO","765","670","24260","25060"
"In post","2021","London","Inner London - East","Hackney and Newham","EO","1085","1010","30850","31060"
"In post","2021","London","Inner London - East","Hackney and Newham","G6/G7","290","275","63050","59160"
"In post","2021","London","Inner London - East","Hackney and Newham","SCS level","15","15","90830","86300"
"In post","2021","London","Inner London - East","Hackney and Newham","SEO/HEO","765","735","39140","38510"
"In post","2021","London","Inner London - East","Hackney and Newham","Unknown","125","120","29930","26810"
"In post","2021","London","Inner London - East","Haringey and Islington","AA/AO","700","670","27950","25450"
"In post","2021","London","Inner London - East","Haringey and Islington","EO","515","485","31130","31060"
"In post","2021","London","Inner London - East","Haringey and Islington","G6/G7","15","15","66090","65880"
"In post","2021","London","Inner London - East","Haringey and Islington","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - East","Haringey and Islington","SEO/HEO","150","145","40660","38710"
"In post","2021","London","Inner London - East","Haringey and Islington","Unknown","130","125","32840","34100"
"In post","2021","London","Inner London - East","Lambeth","AA/AO","485","460","27900","25860"
"In post","2021","London","Inner London - East","Lambeth","EO","1285","1220","32180","31880"
"In post","2021","London","Inner London - East","Lambeth","G6/G7","855","810","61260","59160"
"In post","2021","London","Inner London - East","Lambeth","SCS level","190","160","105160","97400"
"In post","2021","London","Inner London - East","Lambeth","SEO/HEO","1510","1430","41200","40810"
"In post","2021","London","Inner London - East","Lambeth","Unknown","65","60","32600","32090"
"In post","2021","London","Inner London - East","Lewisham and Southwark","AA/AO","285","260","25980","25110"
"In post","2021","London","Inner London - East","Lewisham and Southwark","EO","575","555","30090","31060"
"In post","2021","London","Inner London - East","Lewisham and Southwark","G6/G7","50","50","61810","60300"
"In post","2021","London","Inner London - East","Lewisham and Southwark","SCS level","25","25","109510","100640"
"In post","2021","London","Inner London - East","Lewisham and Southwark","SEO/HEO","140","135","38390","36800"
"In post","2021","London","Inner London - East","Lewisham and Southwark","Unknown","315","305","35140","34100"
"In post","2021","London","Inner London - East","Tower Hamlets","AA/AO","485","450","23610","23500"
"In post","2021","London","Inner London - East","Tower Hamlets","EO","1015","975","29230","29570"
"In post","2021","London","Inner London - East","Tower Hamlets","G6/G7","2550","2470","61730","59160"
"In post","2021","London","Inner London - East","Tower Hamlets","SCS level","440","420","95920","91920"
"In post","2021","London","Inner London - East","Tower Hamlets","SEO/HEO","2315","2265","38640","38060"
"In post","2021","London","Inner London - East","Tower Hamlets","Unknown","65","65","33240","32090"
"In post","2021","London","Inner London - West","Camden and City of London","AA/AO","865","815","23580","23270"
"In post","2021","London","Inner London - West","Camden and City of London","EO","925","885","29720","29570"
"In post","2021","London","Inner London - West","Camden and City of London","G6/G7","595","575","67710","60070"
"In post","2021","London","Inner London - West","Camden and City of London","SCS level","40","35","106920","94200"
"In post","2021","London","Inner London - West","Camden and City of London","SEO/HEO","1190","1155","38710","36750"
"In post","2021","London","Inner London - West","Camden and City of London","Unknown","20","20","31200","27730"
"In post","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","AA/AO","440","420","30330","31550"
"In post","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","EO","270","260","32040","31060"
"In post","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","G6/G7","5","5","[c]","[c]"
"In post","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","SEO/HEO","75","70","44240","43240"
"In post","2021","London","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","Unknown","55","55","34350","34100"
"In post","2021","London","Inner London - West","Wandsworth","AA/AO","645","610","29480","30220"
"In post","2021","London","Inner London - West","Wandsworth","EO","180","175","33390","31530"
"In post","2021","London","Inner London - West","Wandsworth","G6/G7","10","10","[c]","[c]"
"In post","2021","London","Inner London - West","Wandsworth","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","London","Inner London - West","Wandsworth","SEO/HEO","75","75","43860","43240"
"In post","2021","London","Inner London - West","Wandsworth","Unknown","45","45","34630","34770"
"In post","2021","London","Inner London - West","Westminster","AA/AO","2540","2420","24410","24120"
"In post","2021","London","Inner London - West","Westminster","EO","6500","6330","29000","28700"
"In post","2021","London","Inner London - West","Westminster","G6/G7","21090","20405","59890","57850"
"In post","2021","London","Inner London - West","Westminster","SCS level","3850","3735","89050","79590"
"In post","2021","London","Inner London - West","Westminster","SEO/HEO","21610","21270","37800","37260"
"In post","2021","London","Inner London - West","Westminster","Unknown","110","105","41980","41060"
"In post","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","AA/AO","110","100","23280","23210"
"In post","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","EO","380","350","30980","31060"
"In post","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","SEO/HEO","55","50","38340","37290"
"In post","2021","London","Outer London - East and North East","Barking & Dagenham and Havering","Unknown","45","45","32530","30390"
"In post","2021","London","Outer London - East and North East","Bexley and Greenwich","AA/AO","875","840","28470","28720"
"In post","2021","London","Outer London - East and North East","Bexley and Greenwich","EO","545","515","32070","31060"
"In post","2021","London","Outer London - East and North East","Bexley and Greenwich","G6/G7","15","15","75620","71490"
"In post","2021","London","Outer London - East and North East","Bexley and Greenwich","SEO/HEO","190","185","41490","39670"
"In post","2021","London","Outer London - East and North East","Bexley and Greenwich","Unknown","130","130","33350","33950"
"In post","2021","London","Outer London - East and North East","Enfield","AA/AO","65","60","23160","23130"
"In post","2021","London","Outer London - East and North East","Enfield","EO","245","230","30950","31060"
"In post","2021","London","Outer London - East and North East","Enfield","SEO/HEO","20","20","37010","36650"
"In post","2021","London","Outer London - East and North East","Enfield","Unknown","30","30","34590","35310"
"In post","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","AA/AO","370","320","23780","25110"
"In post","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","EO","540","500","30680","31060"
"In post","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","G6/G7","5","5","[c]","[c]"
"In post","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","SEO/HEO","70","65","36800","36650"
"In post","2021","London","Outer London - East and North East","Redbridge and Waltham Forest","Unknown","75","75","32370","32090"
"In post","2021","London","Outer London - South","Bromley","AA/AO","140","125","22290","22120"
"In post","2021","London","Outer London - South","Bromley","EO","240","220","31060","31060"
"In post","2021","London","Outer London - South","Bromley","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","London","Outer London - South","Bromley","SEO/HEO","55","50","39600","38450"
"In post","2021","London","Outer London - South","Bromley","Unknown","20","20","29840","26690"
"In post","2021","London","Outer London - South","Croydon","AA/AO","1735","1580","24510","25630"
"In post","2021","London","Outer London - South","Croydon","EO","2605","2450","29660","29370"
"In post","2021","London","Outer London - South","Croydon","G6/G7","1585","1535","63460","61000"
"In post","2021","London","Outer London - South","Croydon","SCS level","75","75","91460","82690"
"In post","2021","London","Outer London - South","Croydon","SEO/HEO","3525","3405","39250","37380"
"In post","2021","London","Outer London - South","Croydon","Unknown","100","95","35410","34100"
"In post","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","AA/AO","135","125","22290","22080"
"In post","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","EO","375","360","31420","31060"
"In post","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","G6/G7","5","5","[c]","[c]"
"In post","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","SEO/HEO","85","80","40450","40040"
"In post","2021","London","Outer London - South","Merton, Kingston upon Thames and Sutton","Unknown","55","55","32810","32090"
"In post","2021","London","Outer London - West and North West","Barnet","AA/AO","270","240","23800","23530"
"In post","2021","London","Outer London - West and North West","Barnet","EO","440","410","30040","31060"
"In post","2021","London","Outer London - West and North West","Barnet","G6/G7","310","305","60050","56490"
"In post","2021","London","Outer London - West and North West","Barnet","SCS level","45","40","117800","103340"
"In post","2021","London","Outer London - West and North West","Barnet","SEO/HEO","565","550","38940","39690"
"In post","2021","London","Outer London - West and North West","Barnet","Unknown","45","45","31660","26810"
"In post","2021","London","Outer London - West and North West","Brent","AA/AO","155","135","23490","23500"
"In post","2021","London","Outer London - West and North West","Brent","EO","275","260","30670","31060"
"In post","2021","London","Outer London - West and North West","Brent","G6/G7","15","15","63710","62500"
"In post","2021","London","Outer London - West and North West","Brent","SEO/HEO","95","85","40700","37380"
"In post","2021","London","Outer London - West and North West","Brent","Unknown","65","65","32640","29210"
"In post","2021","London","Outer London - West and North West","Ealing","AA/AO","70","60","24880","25110"
"In post","2021","London","Outer London - West and North West","Ealing","EO","355","330","31200","31060"
"In post","2021","London","Outer London - West and North West","Ealing","G6/G7","5","5","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Ealing","SEO/HEO","45","40","38480","37080"
"In post","2021","London","Outer London - West and North West","Ealing","Unknown","45","45","32390","31150"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","AA/AO","605","560","25100","25630"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","EO","2010","1780","29540","29080"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","G6/G7","80","75","61830","59160"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","SCS level","5","5","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","SEO/HEO","650","615","37260","36620"
"In post","2021","London","Outer London - West and North West","Harrow and Hillingdon","Unknown","50","50","33420","30200"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","AA/AO","955","895","26830","25110"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","EO","945","895","30020","29250"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","G6/G7","150","140","56110","53600"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","SCS level","10","10","[c]","[c]"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","SEO/HEO","745","715","37950","36140"
"In post","2021","London","Outer London - West and North West","Hounslow and Richmond upon Thames","Unknown","50","50","32000","30370"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","AA/AO","95","85","20450","20920"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","EO","195","170","27250","27570"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","G6/G7","10","10","[c]","[c]"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","SEO/HEO","70","65","35540","34610"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Northumberland","Unknown","35","30","32760","32690"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","AA/AO","2380","1890","20740","21010"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","EO","1420","1270","27140","27570"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","G6/G7","85","85","54980","52580"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","SCS level","5","5","[c]","[c]"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","SEO/HEO","490","460","33920","31990"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Sunderland","Unknown","45","45","28560","28200"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","AA/AO","6530","5605","20710","21010"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","EO","3925","3605","26250","25560"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","G6/G7","1580","1535","54400","52580"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","SCS level","90","85","89510","79600"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","SEO/HEO","4155","3945","34360","32000"
"In post","2021","North East (England)","Northumberland and Tyne and Wear","Tyneside","Unknown","265","250","28960","28200"
"In post","2021","North East (England)","Tees Valley and Durham","Darlington","AA/AO","100","85","21000","21000"
"In post","2021","North East (England)","Tees Valley and Durham","Darlington","EO","190","170","26370","26000"
"In post","2021","North East (England)","Tees Valley and Durham","Darlington","G6/G7","195","190","54080","50630"
