"Status","Year","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Other","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Other","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Project Delivery","Male","15","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Female","400","375","30290","28170"
"In post","2021","Animal and Plant Health Agency","Science and Engineering","Male","250","245","34010","30110"
"In post","2021","Animal and Plant Health Agency","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Female","205","190","43130","38130"
"In post","2021","Animal and Plant Health Agency","Veterinarian","Male","145","140","46360","46160"
"In post","2021","Attorney General's Office","Communications","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Female","10","5","[c]","[c]"
"In post","2021","Attorney General's Office","Legal","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Female","10","10","[c]","[c]"
"In post","2021","Attorney General's Office","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Female","20","20","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Other","Male","20","20","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Female","20","20","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Policy","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Female","4975","4830","44360","35590"
"In post","2021","Cabinet Office (excl. agencies)","Unknown","Male","4370","4335","49330","40600"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Female","10","10","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Female","10","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Male","15","15","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Female","40","35","32150","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Female","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Other","Male","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Female","210","195","30970","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Male","270","260","35860","30660"
"In post","2021","Charity Commission","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Communications","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Communications","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Female","15","15","[c]","[c]"
"In post","2021","Charity Commission","Digital, Data and Technology","Male","30","30","[c]","[c]"
"In post","2021","Charity Commission","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Legal","Female","20","15","[c]","[c]"
"In post","2021","Charity Commission","Legal","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Female","30","25","[c]","[c]"
"In post","2021","Charity Commission","Operational Delivery","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","Other","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Other","Male","10","10","[c]","[c]"
"In post","2021","Charity Commission","Policy","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Female","5","5","[c]","[c]"
"In post","2021","Charity Commission","Project Delivery","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Unknown","Female","135","125","32370","29160"
"In post","2021","Charity Commission","Unknown","Male","85","80","33920","29160"
"In post","2021","Companies House","Commercial","Female","5","5","[c]","[c]"
"In post","2021","Companies House","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Communications","Female","15","15","[c]","[c]"
"In post","2021","Companies House","Communications","Male","5","5","[c]","[c]"
"In post","2021","Companies House","Digital, Data and Technology","Female","75","75","36690","36440"
"In post","2021","Companies House","Digital, Data and Technology","Male","180","180","39770","38000"
"In post","2021","Companies House","Finance","Female","40","35","29240","24730"
"In post","2021","Companies House","Finance","Male","20","20","[c]","[c]"
"In post","2021","Companies House","Human Resources","Female","60","55","33220","30530"
"In post","2021","Companies House","Human Resources","Male","25","25","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Operational Delivery","Female","360","305","24210","22490"
"In post","2021","Companies House","Operational Delivery","Male","215","215","25230","22490"
"In post","2021","Companies House","Other","Female","15","15","[c]","[c]"
"In post","2021","Companies House","Other","Male","10","10","[c]","[c]"
"In post","2021","Companies House","Policy","Female","15","15","[c]","[c]"
"In post","2021","Companies House","Policy","Male","15","15","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Female","5","5","[c]","[c]"
"In post","2021","Companies House","Project Delivery","Male","5","5","[c]","[c]"
"In post","2021","Companies House","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Security","Male","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Female","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Communications","Male","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Female","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Corporate Finance","Male","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Female","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Digital, Data and Technology","Male","40","40","57630","53530"
"In post","2021","Competition and Markets Authority","Economics","Female","40","40","60440","57850"
"In post","2021","Competition and Markets Authority","Economics","Male","55","50","64140","61650"
"In post","2021","Competition and Markets Authority","Human Resources","Female","30","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Human Resources","Male","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Intelligence Analysis","Male","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Legal","Female","75","70","69330","71370"
"In post","2021","Competition and Markets Authority","Legal","Male","55","55","72010","74480"
"In post","2021","Competition and Markets Authority","Policy","Female","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Policy","Male","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Project Delivery","Female","205","195","58740","55860"
"In post","2021","Competition and Markets Authority","Project Delivery","Male","175","170","62970","59260"
"In post","2021","Competition and Markets Authority","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Female","155","140","25810","22570"
"In post","2021","Criminal Injuries Compensation Authority","Operational Delivery","Male","135","130","25130","22710"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Commercial","Female","190","180","33620","33340"
"In post","2021","Crown Commercial Service","Commercial","Male","180","175","34510","34800"
"In post","2021","Crown Commercial Service","Communications","Female","15","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Communications","Male","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Female","40","40","42800","40000"
"In post","2021","Crown Commercial Service","Digital, Data and Technology","Male","75","75","40390","35470"
"In post","2021","Crown Commercial Service","Finance","Female","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","Male","15","15","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Female","30","25","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Operational Delivery","Female","100","100","39290","36740"
"In post","2021","Crown Commercial Service","Operational Delivery","Male","85","85","43160","35420"
"In post","2021","Crown Commercial Service","Project Delivery","Female","15","15","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","Male","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Female","5","5","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","Male","40","40","39830","36330"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Female","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","Male","5","5","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Female","20","20","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","Male","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Female","15","15","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Female","425","395","54110","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","Male","175","170","55850","55850"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Female","950","860","25870","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Operational Delivery","Male","320","310","27670","25410"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Female","15","15","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Policy","Male","5","5","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Female","15","15","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","Male","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","Female","35","35","41500","39750"
"In post","2021","Crown Prosecution Service","Communications","Male","20","20","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Female","60","60","39230","38180"
"In post","2021","Crown Prosecution Service","Digital, Data and Technology","Male","60","60","40430","38180"
"In post","2021","Crown Prosecution Service","Finance","Female","50","45","30600","30110"
"In post","2021","Crown Prosecution Service","Finance","Male","40","40","35130","30130"
"In post","2021","Crown Prosecution Service","Human Resources","Female","110","105","41450","38180"
"In post","2021","Crown Prosecution Service","Human Resources","Male","35","35","38250","34160"
"In post","2021","Crown Prosecution Service","Legal","Female","1950","1760","53930","54770"
"In post","2021","Crown Prosecution Service","Legal","Male","1240","1200","56630","55610"
"In post","2021","Crown Prosecution Service","Operational Delivery","Female","2220","2005","27040","25480"
"In post","2021","Crown Prosecution Service","Operational Delivery","Male","835","820","27910","25820"
"In post","2021","Crown Prosecution Service","Policy","Female","25","25","[c]","[c]"
"In post","2021","Crown Prosecution Service","Policy","Male","15","15","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Female","15","15","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","Male","15","15","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Female","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","Male","10","10","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Female","10","10","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data and Technology","Male","25","25","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","Male","5","5","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Female","15","10","[c]","[c]"
"In post","2021","Debt Management Office","Operational Delivery","Male","30","30","[c]","[c]"
"In post","2021","Debt Management Office","Policy","Female","5","5","[c]","[c]"
"In post","2021","Debt Management Office","Policy","Male","10","10","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Female","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","Male","15","15","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Female","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Medicine","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Medicine","Male","15","15","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Operational Delivery","Female","25","20","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Operational Delivery","Male","35","35","33650","28750"
"In post","2021","Defence Electronics and Components Agency","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Other","Male","35","30","25920","25950"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","Male","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","Male","15","15","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Science and Engineering","Female","20","20","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Science and Engineering","Male","220","210","27030","28750"
"In post","2021","Defence Electronics and Components Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","Female","480","450","37410","34100"
"In post","2021","Defence Equipment and Support","Commercial","Male","440","435","41740","37530"
"In post","2021","Defence Equipment and Support","Communications","Female","15","15","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","Male","20","20","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Female","100","90","36080","33200"
"In post","2021","Defence Equipment and Support","Digital, Data and Technology","Male","270","265","42830","42950"
"In post","2021","Defence Equipment and Support","Finance","Female","240","225","38890","33250"
"In post","2021","Defence Equipment and Support","Finance","Male","215","215","38960","32490"
"In post","2021","Defence Equipment and Support","Human Resources","Female","150","140","36740","32650"
"In post","2021","Defence Equipment and Support","Human Resources","Male","40","40","44510","38860"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Female","50","50","34410","33910"
"In post","2021","Defence Equipment and Support","Knowledge and Information Management","Male","125","125","35730","33010"
"In post","2021","Defence Equipment and Support","Other","Female","1425","1310","29890","27010"
"In post","2021","Defence Equipment and Support","Other","Male","2040","2000","32480","28780"
"In post","2021","Defence Equipment and Support","Policy","Female","40","35","41240","39840"
"In post","2021","Defence Equipment and Support","Policy","Male","45","40","44100","41480"
"In post","2021","Defence Equipment and Support","Project Delivery","Female","865","825","36330","34240"
"In post","2021","Defence Equipment and Support","Project Delivery","Male","1405","1380","43000","40900"
"In post","2021","Defence Equipment and Support","Property","Female","30","30","34380","32250"
"In post","2021","Defence Equipment and Support","Property","Male","80","80","36410","34170"
"In post","2021","Defence Equipment and Support","Science and Engineering","Female","235","230","36060","33140"
"In post","2021","Defence Equipment and Support","Science and Engineering","Male","2335","2285","37110","36700"
"In post","2021","Defence Equipment and Support","Security","Female","20","15","[c]","[c]"
"In post","2021","Defence Equipment and Support","Security","Male","40","40","38860","39180"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Female","35","35","33260","34490"
"In post","2021","Defence Science and Technology Laboratory","Commercial","Male","35","35","34240","36420"
"In post","2021","Defence Science and Technology Laboratory","Communications","Female","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Communications","Male","15","15","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Corporate Finance","Female","35","35","37540","37320"
"In post","2021","Defence Science and Technology Laboratory","Corporate Finance","Male","20","20","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Female","25","20","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Digital, Data and Technology","Male","100","100","46270","46080"
"In post","2021","Defence Science and Technology Laboratory","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Female","5","5","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Female","65","60","34950","28660"
"In post","2021","Defence Science and Technology Laboratory","Human Resources","Male","15","15","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
