"Status","Year","Age","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","30-39","Outside London","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Outside London","SEO/HEO","510","[c]","35850","36030"
"Leaver CS","2021","30-39","Outside London","Unknown","100","[c]","33330","33740"
"Leaver CS","2021","30-39","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Overseas","SEO/HEO","20","[c]","34650","35000"
"Leaver CS","2021","30-39","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","G6/G7","15","[c]","64840","63090"
"Leaver CS","2021","30-39","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Unknown","85","[c]","27040","29000"
"Leaver CS","2021","40-49","London","AA/AO","100","[c]","23240","23310"
"Leaver CS","2021","40-49","London","EO","115","[c]","29320","30330"
"Leaver CS","2021","40-49","London","G6/G7","205","[c]","61260","59720"
"Leaver CS","2021","40-49","London","SCS level","75","[c]","95990","92640"
"Leaver CS","2021","40-49","London","SEO/HEO","155","[c]","38230","38160"
"Leaver CS","2021","40-49","London","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Outside London","AA/AO","1255","[c]","21090","21010"
"Leaver CS","2021","40-49","Outside London","EO","580","[c]","27360","27570"
"Leaver CS","2021","40-49","Outside London","G6/G7","190","[c]","59070","55000"
"Leaver CS","2021","40-49","Outside London","SCS level","30","[c]","89120","81800"
"Leaver CS","2021","40-49","Outside London","SEO/HEO","485","[c]","36880","36780"
"Leaver CS","2021","40-49","Outside London","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Overseas","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Overseas","SEO/HEO","25","[c]","36760","36960"
"Leaver CS","2021","40-49","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Unknown","70","[c]","31180","23240"
"Leaver CS","2021","50-59","London","AA/AO","180","[c]","23550","23500"
"Leaver CS","2021","50-59","London","EO","180","[c]","29840","30330"
"Leaver CS","2021","50-59","London","G6/G7","250","[c]","64320","62860"
"Leaver CS","2021","50-59","London","SCS level","80","[c]","107320","99950"
"Leaver CS","2021","50-59","London","SEO/HEO","235","[c]","39510","38980"
"Leaver CS","2021","50-59","London","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Outside London","AA/AO","2115","[c]","21390","21010"
"Leaver CS","2021","50-59","Outside London","EO","1325","[c]","27790","27570"
"Leaver CS","2021","50-59","Outside London","G6/G7","470","[c]","60940","57850"
"Leaver CS","2021","50-59","Outside London","SCS level","50","[c]","98620","99400"
"Leaver CS","2021","50-59","Outside London","SEO/HEO","1190","[c]","37740","36970"
"Leaver CS","2021","50-59","Outside London","Unknown","130","[c]","41160","37340"
"Leaver CS","2021","50-59","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Overseas","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Overseas","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Overseas","SEO/HEO","20","[c]","42700","40310"
"Leaver CS","2021","50-59","Unknown","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","G6/G7","15","[c]","68140","63870"
"Leaver CS","2021","50-59","Unknown","SCS level","15","[c]","126010","122500"
"Leaver CS","2021","50-59","Unknown","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","Unknown","100","[c]","39190","34160"
"Leaver CS","2021","60-64","London","AA/AO","110","[c]","23790","23500"
"Leaver CS","2021","60-64","London","EO","125","[c]","29820","30280"
"Leaver CS","2021","60-64","London","G6/G7","150","[c]","65360","62590"
"Leaver CS","2021","60-64","London","SCS level","55","[c]","98060","88160"
"Leaver CS","2021","60-64","London","SEO/HEO","170","[c]","41370","41060"
"Leaver CS","2021","60-64","London","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Outside London","AA/AO","1500","[c]","21330","21010"
"Leaver CS","2021","60-64","Outside London","EO","990","[c]","27670","27570"
"Leaver CS","2021","60-64","Outside London","G6/G7","375","[c]","61600","59420"
"Leaver CS","2021","60-64","Outside London","SCS level","55","[c]","98880","99210"
"Leaver CS","2021","60-64","Outside London","SEO/HEO","955","[c]","37880","36180"
"Leaver CS","2021","60-64","Outside London","Unknown","100","[c]","44790","38850"
"Leaver CS","2021","60-64","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","Unknown","60","[c]","42160","36580"
"Leaver CS","2021","65+","London","AA/AO","180","[c]","23060","23430"
"Leaver CS","2021","65+","London","EO","110","[c]","29590","30110"
"Leaver CS","2021","65+","London","G6/G7","55","[c]","62240","61530"
"Leaver CS","2021","65+","London","SCS level","15","[c]","108810","101370"
"Leaver CS","2021","65+","London","SEO/HEO","90","[c]","39970","39750"
"Leaver CS","2021","65+","London","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","65+","Outside London","AA/AO","1580","[c]","20580","20570"
"Leaver CS","2021","65+","Outside London","EO","755","[c]","27220","27570"
"Leaver CS","2021","65+","Outside London","G6/G7","140","[c]","62210","60020"
"Leaver CS","2021","65+","Outside London","SCS level","15","[c]","96660","90540"
"Leaver CS","2021","65+","Outside London","SEO/HEO","510","[c]","38170","35890"
"Leaver CS","2021","65+","Outside London","Unknown","105","[c]","34700","35660"
"Leaver CS","2021","65+","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Overseas","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","EO","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","SEO/HEO","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Outside London","EO","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Outside London","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Outside London","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","London","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","London","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Outside London","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Outside London","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","London","AA/AO","115","[c]","23490","23520"
"Leaver Dept.","2021","20-29","London","EO","500","[c]","28190","27690"
"Leaver Dept.","2021","20-29","London","G6/G7","290","[c]","54240","53380"
"Leaver Dept.","2021","20-29","London","SEO/HEO","1245","[c]","35370","34240"
"Leaver Dept.","2021","20-29","London","Unknown","55","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Outside London","AA/AO","755","[c]","20710","21010"
"Leaver Dept.","2021","20-29","Outside London","EO","450","[c]","25380","25970"
"Leaver Dept.","2021","20-29","Outside London","G6/G7","20","[c]","52420","52640"
"Leaver Dept.","2021","20-29","Outside London","SEO/HEO","365","[c]","31540","31390"
"Leaver Dept.","2021","20-29","Outside London","Unknown","45","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Overseas","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Overseas","SEO/HEO","20","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Unknown","EO","15","[c]","27370","27240"
"Leaver Dept.","2021","20-29","Unknown","G6/G7","20","[c]","54350","53600"
"Leaver Dept.","2021","20-29","Unknown","SEO/HEO","435","[c]","31520","32000"
"Leaver Dept.","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","London","AA/AO","55","[c]","23920","24150"
"Leaver Dept.","2021","30-39","London","EO","165","[c]","28720","28500"
"Leaver Dept.","2021","30-39","London","G6/G7","770","[c]","57090","54760"
"Leaver Dept.","2021","30-39","London","SCS level","60","[c]","78240","75000"
"Leaver Dept.","2021","30-39","London","SEO/HEO","645","[c]","37950","37620"
"Leaver Dept.","2021","30-39","London","Unknown","20","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Outside London","AA/AO","545","[c]","20640","21010"
"Leaver Dept.","2021","30-39","Outside London","EO","495","[c]","25890","26130"
"Leaver Dept.","2021","30-39","Outside London","G6/G7","150","[c]","52670","52320"
"Leaver Dept.","2021","30-39","Outside London","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Outside London","SEO/HEO","550","[c]","34440","33300"
"Leaver Dept.","2021","30-39","Outside London","Unknown","35","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Overseas","G6/G7","20","[c]","54030","52720"
"Leaver Dept.","2021","30-39","Overseas","SEO/HEO","15","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","G6/G7","40","[c]","58210","56680"
"Leaver Dept.","2021","30-39","Unknown","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","SEO/HEO","110","[c]","32210","32000"
"Leaver Dept.","2021","30-39","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","London","AA/AO","30","[c]","23990","23500"
"Leaver Dept.","2021","40-49","London","EO","75","[c]","29260","29080"
"Leaver Dept.","2021","40-49","London","G6/G7","375","[c]","60390","59130"
"Leaver Dept.","2021","40-49","London","SCS level","145","[c]","87780","79350"
"Leaver Dept.","2021","40-49","London","SEO/HEO","215","[c]","39020","38560"
"Leaver Dept.","2021","40-49","London","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Outside London","AA/AO","315","[c]","20810","21010"
"Leaver Dept.","2021","40-49","Outside London","EO","345","[c]","26450","27570"
"Leaver Dept.","2021","40-49","Outside London","G6/G7","190","[c]","55590","54160"
"Leaver Dept.","2021","40-49","Outside London","SCS level","15","[c]","86430","80170"
"Leaver Dept.","2021","40-49","Outside London","SEO/HEO","400","[c]","35850","35310"
"Leaver Dept.","2021","40-49","Outside London","Unknown","25","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Overseas","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Overseas","G6/G7","15","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Overseas","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Overseas","SEO/HEO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Unknown","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Unknown","G6/G7","15","[c]","58140","57790"
"Leaver Dept.","2021","40-49","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Unknown","SEO/HEO","20","[c]","35090","32320"
"Leaver Dept.","2021","50-59","London","AA/AO","25","[c]","25190","23530"
"Leaver Dept.","2021","50-59","London","EO","50","[c]","29630","29880"
"Leaver Dept.","2021","50-59","London","G6/G7","145","[c]","60970","60520"
"Leaver Dept.","2021","50-59","London","SCS level","55","[c]","100630","88510"
"Leaver Dept.","2021","50-59","London","SEO/HEO","155","[c]","38370","37650"
"Leaver Dept.","2021","50-59","London","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Outside London","AA/AO","245","[c]","20700","20780"
"Leaver Dept.","2021","50-59","Outside London","EO","235","[c]","26450","27370"
