"Status","Year","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Social Research","AA/AO","10","10","22020","22170"
"In post","2021","Social Research","EO","40","40","29470","28850"
"In post","2021","Social Research","G6/G7","320","300","56340","57110"
"In post","2021","Social Research","SCS level","15","10","78570","76970"
"In post","2021","Social Research","SEO/HEO","780","745","37350","37020"
"In post","2021","Statistics","AA/AO","40","35","22230","22210"
"In post","2021","Statistics","EO","250","240","27760","27850"
"In post","2021","Statistics","G6/G7","660","635","57080","57470"
"In post","2021","Statistics","SCS level","55","55","84830","78340"
"In post","2021","Statistics","SEO/HEO","1030","1000","36810","37010"
"In post","2021","Tax","AA/AO","3790","3570","20260","20140"
"In post","2021","Tax","EO","4060","3775","26550","25560"
"In post","2021","Tax","G6/G7","2715","2595","56920","52580"
"In post","2021","Tax","SCS level","85","85","81910","78760"
"In post","2021","Tax","SEO/HEO","7150","6775","34590","31870"
"In post","2021","Unknown","AA/AO","34355","29850","21300","21010"
"In post","2021","Unknown","EO","53220","48450","28070","27570"
"In post","2021","Unknown","G6/G7","9635","9325","59600","57840"
"In post","2021","Unknown","SCS level","1655","1625","91410","82040"
"In post","2021","Unknown","SEO/HEO","21525","20650","35630","34550"
"In post","2021","Unknown","Unknown","250","245","92180","93020"
"In post","2021","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","G6/G7","150","145","55880","54460"
"In post","2021","Veterinarian","SCS level","5","5","[c]","[c]"
"In post","2021","Veterinarian","SEO/HEO","290","275","40580","37910"
"Leaver CS","2021","Commercial","AA/AO","15","[c]","19810","20340"
"Leaver CS","2021","Commercial","EO","25","[c]","23240","22780"
"Leaver CS","2021","Commercial","G6/G7","45","[c]","59530","57030"
"Leaver CS","2021","Commercial","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","100","[c]","36720","36780"
"Leaver CS","2021","Commercial","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","35","[c]","20560","20920"
"Leaver CS","2021","Communications","EO","40","[c]","27040","27760"
"Leaver CS","2021","Communications","G6/G7","35","[c]","56700","56510"
"Leaver CS","2021","Communications","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","115","[c]","36350","35590"
"Leaver CS","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","20","[c]","36950","36060"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","45","[c]","21340","21130"
"Leaver CS","2021","Digital, Data and Technology","EO","85","[c]","27190","26670"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","120","[c]","59730","58090"
"Leaver CS","2021","Digital, Data and Technology","SCS level","15","[c]","99180","96740"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","190","[c]","37950","38000"
"Leaver CS","2021","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","AA/AO","60","[c]","20650","19130"
"Leaver CS","2021","Economics","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Economics","G6/G7","25","[c]","66040","61650"
"Leaver CS","2021","Economics","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SEO/HEO","25","[c]","33660","32790"
"Leaver CS","2021","Finance","AA/AO","35","[c]","21330","21060"
"Leaver CS","2021","Finance","EO","40","[c]","25390","26000"
"Leaver CS","2021","Finance","G6/G7","60","[c]","63150","62220"
"Leaver CS","2021","Finance","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","110","[c]","39440","37900"
"Leaver CS","2021","Human Resources","AA/AO","65","[c]","21460","21130"
"Leaver CS","2021","Human Resources","EO","50","[c]","26160","27000"
"Leaver CS","2021","Human Resources","G6/G7","55","[c]","58060","58480"
"Leaver CS","2021","Human Resources","SCS level","10","[c]","105540","108750"
"Leaver CS","2021","Human Resources","SEO/HEO","120","[c]","38250","38000"
"Leaver CS","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","45","[c]","77130","75500"
"Leaver CS","2021","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SEO/HEO","30","[c]","50400","51360"
"Leaver CS","2021","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","EO","40","[c]","29060","28520"
"Leaver CS","2021","Intelligence Analysis","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SEO/HEO","30","[c]","36400","36220"
"Leaver CS","2021","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","AA/AO","15","[c]","18650","18200"
"Leaver CS","2021","International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SEO/HEO","15","[c]","35560","34770"
"Leaver CS","2021","Knowledge and Information Management","AA/AO","25","[c]","21360","21130"
"Leaver CS","2021","Knowledge and Information Management","EO","25","[c]","25960","26670"
"Leaver CS","2021","Knowledge and Information Management","G6/G7","15","[c]","58970","56100"
"Leaver CS","2021","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","SEO/HEO","45","[c]","37000","37190"
"Leaver CS","2021","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","20","[c]","27360","27130"
"Leaver CS","2021","Legal","G6/G7","245","[c]","58640","55610"
"Leaver CS","2021","Legal","SCS level","20","[c]","93420","83910"
"Leaver CS","2021","Legal","SEO/HEO","125","[c]","41270","42460"
"Leaver CS","2021","Medicine","AA/AO","40","[c]","21800","21410"
"Leaver CS","2021","Medicine","EO","40","[c]","29640","30620"
"Leaver CS","2021","Medicine","G6/G7","60","[c]","72860","74070"
"Leaver CS","2021","Medicine","SCS level","40","[c]","106450","110680"
"Leaver CS","2021","Medicine","SEO/HEO","75","[c]","38300","37890"
"Leaver CS","2021","Operational Delivery","AA/AO","5205","[c]","20660","20650"
"Leaver CS","2021","Operational Delivery","EO","1280","[c]","27360","26700"
"Leaver CS","2021","Operational Delivery","G6/G7","275","[c]","59680","57460"
"Leaver CS","2021","Operational Delivery","SCS level","40","[c]","100860","94860"
"Leaver CS","2021","Operational Delivery","SEO/HEO","845","[c]","37530","36030"
"Leaver CS","2021","Operational Delivery","Unknown","610","[c]","31890","34340"
"Leaver CS","2021","Operational Research","AA/AO","15","[c]","18020","17180"
"Leaver CS","2021","Operational Research","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","G6/G7","10","[c]","56800","52550"
"Leaver CS","2021","Operational Research","SEO/HEO","10","[c]","33160","31000"
"Leaver CS","2021","Other","AA/AO","485","[c]","20760","20920"
"Leaver CS","2021","Other","EO","425","[c]","27180","27510"
"Leaver CS","2021","Other","G6/G7","55","[c]","64070","61630"
"Leaver CS","2021","Other","SCS level","20","[c]","109100","105580"
"Leaver CS","2021","Other","SEO/HEO","315","[c]","35570","35210"
"Leaver CS","2021","Other","Unknown","170","[c]","35750","32700"
"Leaver CS","2021","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","G6/G7","10","[c]","54710","56470"
"Leaver CS","2021","Planning Inspectors","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","AA/AO","75","[c]","22100","21590"
"Leaver CS","2021","Policy","EO","125","[c]","25150","26960"
"Leaver CS","2021","Policy","G6/G7","265","[c]","59030","57000"
"Leaver CS","2021","Policy","SCS level","70","[c]","90230","81010"
"Leaver CS","2021","Policy","SEO/HEO","290","[c]","36740","36750"
"Leaver CS","2021","Project Delivery","AA/AO","25","[c]","21620","21580"
"Leaver CS","2021","Project Delivery","EO","75","[c]","23470","25970"
"Leaver CS","2021","Project Delivery","G6/G7","90","[c]","58730","56300"
"Leaver CS","2021","Project Delivery","SCS level","20","[c]","100810","95620"
"Leaver CS","2021","Project Delivery","SEO/HEO","225","[c]","37030","37320"
"Leaver CS","2021","Project Delivery","Unknown","15","[c]","42170","40040"
"Leaver CS","2021","Property","AA/AO","85","[c]","19350","18780"
"Leaver CS","2021","Property","EO","145","[c]","25970","25900"
"Leaver CS","2021","Property","G6/G7","45","[c]","57880","57130"
"Leaver CS","2021","Property","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","155","[c]","38390","37100"
"Leaver CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","EO","45","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","SEO/HEO","50","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","AA/AO","235","[c]","20330","20150"
"Leaver CS","2021","Science and Engineering","EO","110","[c]","24890","25190"
"Leaver CS","2021","Science and Engineering","G6/G7","85","[c]","56700","54540"
"Leaver CS","2021","Science and Engineering","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","SEO/HEO","345","[c]","36040","35610"
"Leaver CS","2021","Science and Engineering","Unknown","30","[c]","36870","35860"
"Leaver CS","2021","Security","AA/AO","305","[c]","27730","23540"
"Leaver CS","2021","Security","EO","45","[c]","32400","29080"
"Leaver CS","2021","Security","G6/G7","10","[c]","61260","60130"
"Leaver CS","2021","Security","SEO/HEO","40","[c]","40540","38970"
"Leaver CS","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Social Research","SEO/HEO","25","[c]","36660","37020"
"Leaver CS","2021","Statistics","AA/AO","15","[c]","21370","20030"
"Leaver CS","2021","Statistics","EO","10","[c]","26180","27810"
"Leaver CS","2021","Statistics","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Statistics","SEO/HEO","15","[c]","33900","32130"
"Leaver CS","2021","Unknown","AA/AO","5095","[c]","21300","21010"
"Leaver CS","2021","Unknown","EO","3515","[c]","27920","27570"
"Leaver CS","2021","Unknown","G6/G7","880","[c]","61450","59640"
"Leaver CS","2021","Unknown","SCS level","170","[c]","98150","86850"
"Leaver CS","2021","Unknown","SEO/HEO","2175","[c]","36010","35110"
"Leaver CS","2021","Unknown","Unknown","420","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2021","Veterinarian","SEO/HEO","15","[c]","44480","44720"
"Leaver Dept.","2021","Commercial","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","EO","20","[c]","24030","24280"
"Leaver Dept.","2021","Commercial","G6/G7","30","[c]","52960","53110"
"Leaver Dept.","2021","Commercial","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","SEO/HEO","105","[c]","35590","34800"
"Leaver Dept.","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","EO","25","[c]","26690","26920"
"Leaver Dept.","2021","Communications","G6/G7","50","[c]","57990","54400"
"Leaver Dept.","2021","Communications","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","SEO/HEO","115","[c]","38560","38350"
"Leaver Dept.","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","EO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","SEO/HEO","10","[c]","35010","32540"
"Leaver Dept.","2021","Digital, Data and Technology","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","EO","30","[c]","26860","26670"
"Leaver Dept.","2021","Digital, Data and Technology","G6/G7","70","[c]","58650","55620"
"Leaver Dept.","2021","Digital, Data and Technology","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","SEO/HEO","90","[c]","37160","36800"
"Leaver Dept.","2021","Digital, Data and Technology","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","G6/G7","55","[c]","56770","55580"
"Leaver Dept.","2021","Economics","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","SEO/HEO","60","[c]","33870","33130"
"Leaver Dept.","2021","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","EO","30","[c]","26050","26200"
"Leaver Dept.","2021","Finance","G6/G7","80","[c]","58650","57540"
"Leaver Dept.","2021","Finance","SCS level","15","[c]","86030","77780"
"Leaver Dept.","2021","Finance","SEO/HEO","95","[c]","38980","38380"
"Leaver Dept.","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","AA/AO","35","[c]","21560","20920"
"Leaver Dept.","2021","Human Resources","EO","45","[c]","26170","26350"
"Leaver Dept.","2021","Human Resources","G6/G7","80","[c]","57260","56330"
"Leaver Dept.","2021","Human Resources","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","SEO/HEO","155","[c]","35780","34400"
"Leaver Dept.","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","EO","15","[c]","27000","27220"
"Leaver Dept.","2021","Intelligence Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","SEO/HEO","30","[c]","37610","37640"
"Leaver Dept.","2021","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","G6/G7","60","[c]","55140","53490"
"Leaver Dept.","2021","International Trade","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","SEO/HEO","60","[c]","35320","35630"
"Leaver Dept.","2021","Knowledge and Information Management","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","G6/G7","15","[c]","58050","53830"
"Leaver Dept.","2021","Knowledge and Information Management","SEO/HEO","20","[c]","34020","33570"
"Leaver Dept.","2021","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","G6/G7","80","[c]","59230","58490"
"Leaver Dept.","2021","Legal","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","SEO/HEO","25","[c]","37370","35790"
"Leaver Dept.","2021","Medicine","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","AA/AO","820","[c]","20790","20880"
"Leaver Dept.","2021","Operational Delivery","EO","495","[c]","25460","24890"
"Leaver Dept.","2021","Operational Delivery","G6/G7","140","[c]","56150","53760"
"Leaver Dept.","2021","Operational Delivery","SCS level","25","[c]","95180","84610"
"Leaver Dept.","2021","Operational Delivery","SEO/HEO","440","[c]","34350","33210"
"Leaver Dept.","2021","Operational Delivery","Unknown","65","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","G6/G7","15","[c]","56890","57270"
"Leaver Dept.","2021","Operational Research","SEO/HEO","30","[c]","35240","33930"
"Leaver Dept.","2021","Other","AA/AO","35","[c]","21330","20920"
"Leaver Dept.","2021","Other","EO","90","[c]","26010","26960"
"Leaver Dept.","2021","Other","G6/G7","45","[c]","58720","57460"
"Leaver Dept.","2021","Other","SCS level","15","[c]","89030","78830"
"Leaver Dept.","2021","Other","SEO/HEO","115","[c]","33880","33080"
"Leaver Dept.","2021","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","G6/G7","[c]","[c]","[c]","[c]"
