"Status","Year","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Finance","SEO","170","[c]","40030","40070"
"New entrant CS","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","AO","40","[c]","21050","21050"
"New entrant CS","2021","Grants Management","EO","10","[c]","23080","22430"
"New entrant CS","2021","Grants Management","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","SEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA","40","[c]","19530","19160"
"New entrant CS","2021","Human Resources","AO","170","[c]","21100","20920"
"New entrant CS","2021","Human Resources","EO","215","[c]","25810","26350"
"New entrant CS","2021","Human Resources","G6","30","[c]","66580","64670"
"New entrant CS","2021","Human Resources","G7","80","[c]","53900","53360"
"New entrant CS","2021","Human Resources","HEO","205","[c]","31830","31810"
"New entrant CS","2021","Human Resources","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO","100","[c]","38720","38000"
"New entrant CS","2021","Human Resources","Unknown","25","[c]","28090","22700"
"New entrant CS","2021","Internal Audit","AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","HEO","10","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO","25","[c]","42060","41720"
"New entrant CS","2021","Legal","AA","30","[c]","20070","20070"
"New entrant CS","2021","Legal","AO","365","[c]","20500","20120"
"New entrant CS","2021","Legal","EO","215","[c]","26930","26950"
"New entrant CS","2021","Legal","G6","30","[c]","68670","69800"
"New entrant CS","2021","Legal","G7","390","[c]","52450","50520"
"New entrant CS","2021","Legal","HEO","275","[c]","34540","38000"
"New entrant CS","2021","Legal","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO","95","[c]","35980","36160"
"New entrant CS","2021","No function","AA","1835","[c]","19710","20600"
"New entrant CS","2021","No function","AO","8250","[c]","22060","21050"
"New entrant CS","2021","No function","EO","3220","[c]","26630","26130"
"New entrant CS","2021","No function","G6","230","[c]","67240","65440"
"New entrant CS","2021","No function","G7","930","[c]","54570","53360"
"New entrant CS","2021","No function","HEO","3730","[c]","31780","31810"
"New entrant CS","2021","No function","SCS level","185","[c]","96250","89810"
"New entrant CS","2021","No function","SEO","1365","[c]","39520","38890"
"New entrant CS","2021","No function","Unknown","1440","[c]","22930","22920"
"New entrant CS","2021","Project Delivery","AA","10","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","AO","65","[c]","22010","21500"
"New entrant CS","2021","Project Delivery","EO","450","[c]","23330","25000"
"New entrant CS","2021","Project Delivery","G6","60","[c]","66100","64670"
"New entrant CS","2021","Project Delivery","G7","210","[c]","53140","53380"
"New entrant CS","2021","Project Delivery","HEO","465","[c]","31780","32870"
"New entrant CS","2021","Project Delivery","SCS level","25","[c]","94830","90000"
"New entrant CS","2021","Project Delivery","SEO","435","[c]","40580","40000"
"New entrant CS","2021","Project Delivery","Unknown","150","[c]","35590","33000"
"New entrant CS","2021","Property","AA","60","[c]","18350","18760"
"New entrant CS","2021","Property","AO","195","[c]","21920","20880"
"New entrant CS","2021","Property","EO","165","[c]","25530","24960"
"New entrant CS","2021","Property","G6","20","[c]","65560","65210"
"New entrant CS","2021","Property","G7","50","[c]","51940","52580"
"New entrant CS","2021","Property","HEO","155","[c]","31810","32560"
"New entrant CS","2021","Property","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2021","Property","SEO","90","[c]","40130","40380"
"New entrant CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","AA","225","[c]","20040","19560"
"New entrant CS","2021","Security","AO","385","[c]","27180","24540"
"New entrant CS","2021","Security","EO","120","[c]","26690","24620"
"New entrant CS","2021","Security","G6","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","G7","15","[c]","52790","50900"
"New entrant CS","2021","Security","HEO","70","[c]","31580","32000"
"New entrant CS","2021","Security","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","SEO","35","[c]","41900","40000"
"New entrant CS","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA","600","[c]","19960","20060"
"New entrant CS","2021","Unknown","AO","6880","[c]","21610","21010"
"New entrant CS","2021","Unknown","EO","12510","[c]","28360","27570"
"New entrant CS","2021","Unknown","G6","170","[c]","70950","68700"
"New entrant CS","2021","Unknown","G7","630","[c]","56350","56000"
"New entrant CS","2021","Unknown","HEO","1135","[c]","32950","32640"
"New entrant CS","2021","Unknown","SCS level","65","[c]","97380","92980"
"New entrant CS","2021","Unknown","SEO","725","[c]","40450","40000"
"New entrant CS","2021","Unknown","Unknown","345","[c]","37090","37960"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_ungrouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_ungrouped shows the mapped grades at a higher level of detail, however not all Government Departments / bodies have distinct grades that map exactly to these levels so figures should be considered as approximations and treated with caution.","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","The Department for Work and Pensions provided aggregated functions data for 2021, which are available in the Civil Service Statistics publication. However, figures in this browser are derived from individual level data and so are not available for this department in 2021.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
