"Status","Year","Ethnicity","Function_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Internal Audit","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Asian","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","London","Female","440","405","45170","50500"
"In post","2021","Asian","Legal","London","Male","200","195","46860","48130"
"In post","2021","Asian","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Outside London","Female","335","300","37980","35640"
"In post","2021","Asian","Legal","Outside London","Male","170","165","39110","38400"
"In post","2021","Asian","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","London","Female","2405","2260","37460","33550"
"In post","2021","Asian","No function","London","Male","1585","1550","38760","34820"
"In post","2021","Asian","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Outside London","Female","2660","2360","27350","22570"
"In post","2021","Asian","No function","Outside London","Male","2585","2470","29050","25560"
"In post","2021","Asian","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Overseas","Female","25","25","[c]","[c]"
"In post","2021","Asian","No function","Overseas","Male","40","40","52880","53460"
"In post","2021","Asian","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Asian","No function","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Asian","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","Female","300","290","44510","39800"
"In post","2021","Asian","Project Delivery","London","Male","210","210","47050","41760"
"In post","2021","Asian","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Outside London","Female","245","230","36170","33300"
"In post","2021","Asian","Project Delivery","Outside London","Male","350","350","38650","36620"
"In post","2021","Asian","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Male","15","15","[c]","[c]"
"In post","2021","Asian","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","London","Female","95","90","33680","30680"
"In post","2021","Asian","Property","London","Male","75","70","40440","36430"
"In post","2021","Asian","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Outside London","Female","60","55","28770","25880"
"In post","2021","Asian","Property","Outside London","Male","75","75","33610","26670"
"In post","2021","Asian","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","London","Female","50","50","37100","34550"
"In post","2021","Asian","Security","London","Male","55","55","35540","30500"
"In post","2021","Asian","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Asian","Security","Outside London","Male","90","90","27190","21440"
"In post","2021","Asian","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","London","Female","3685","3300","32690","31060"
"In post","2021","Asian","Unknown","London","Male","2230","2170","33700","31060"
"In post","2021","Asian","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Outside London","Female","3700","3175","26160","27570"
"In post","2021","Asian","Unknown","Outside London","Male","2940","2830","27220","27570"
"In post","2021","Asian","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Overseas","Female","20","15","[c]","[c]"
"In post","2021","Asian","Unknown","Overseas","Male","25","25","[c]","[c]"
"In post","2021","Asian","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Female","90","75","27200","25110"
"In post","2021","Asian","Unknown","Unknown","Male","45","45","29050","27570"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","London","Female","80","80","38400","35980"
"In post","2021","Black","Analysis","London","Male","50","50","43820","41760"
"In post","2021","Black","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Black","Analysis","Outside London","Male","30","30","[c]","[c]"
"In post","2021","Black","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","London","Female","85","85","39990","36640"
"In post","2021","Black","Commercial","London","Male","35","35","49600","45690"
"In post","2021","Black","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Outside London","Female","35","35","35400","33300"
"In post","2021","Black","Commercial","Outside London","Male","30","30","[c]","[c]"
"In post","2021","Black","Commercial","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","London","Female","85","80","37580","35010"
"In post","2021","Black","Communications","London","Male","35","35","36000","32320"
"In post","2021","Black","Communications","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Outside London","Female","55","55","27840","25560"
"In post","2021","Black","Communications","Outside London","Male","35","35","27210","25560"
"In post","2021","Black","Communications","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","London","Female","120","115","32730","30120"
"In post","2021","Black","Counter Fraud","London","Male","60","55","33440","29940"
"In post","2021","Black","Counter Fraud","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Outside London","Female","45","40","27990","25810"
"In post","2021","Black","Counter Fraud","Outside London","Male","30","30","[c]","[c]"
"In post","2021","Black","Counter Fraud","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","London","Female","60","55","27770","25630"
"In post","2021","Black","Debt","London","Male","35","35","27350","25630"
"In post","2021","Black","Debt","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","Outside London","Female","35","30","21510","20140"
"In post","2021","Black","Debt","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Black","Debt","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","London","Female","115","115","39670","36460"
"In post","2021","Black","Digital, Data & Technology","London","Male","120","120","42270","37810"
"In post","2021","Black","Digital, Data & Technology","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Outside London","Female","40","40","34150","31900"
"In post","2021","Black","Digital, Data & Technology","Outside London","Male","100","95","37050","33300"
"In post","2021","Black","Digital, Data & Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","London","Female","160","155","39470","36160"
"In post","2021","Black","Finance","London","Male","95","95","44230","40280"
"In post","2021","Black","Finance","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Outside London","Female","60","55","34370","33000"
"In post","2021","Black","Finance","Outside London","Male","40","40","35090","34190"
"In post","2021","Black","Finance","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Black","Grants Management","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","London","Female","195","190","38530","34550"
"In post","2021","Black","Human Resources","London","Male","30","30","37750","34590"
"In post","2021","Black","Human Resources","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Outside London","Female","65","60","33560","30360"
"In post","2021","Black","Human Resources","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Black","Human Resources","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","London","Female","15","15","[c]","[c]"
"In post","2021","Black","Internal Audit","London","Male","10","10","[c]","[c]"
"In post","2021","Black","Internal Audit","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","London","Female","345","330","41180","35010"
"In post","2021","Black","Legal","London","Male","130","130","44590","36240"
"In post","2021","Black","Legal","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Outside London","Female","130","120","38760","34480"
"In post","2021","Black","Legal","Outside London","Male","40","40","38720","32560"
"In post","2021","Black","Legal","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","London","Female","2395","2315","33340","30850"
"In post","2021","Black","No function","London","Male","1280","1260","34710","33260"
"In post","2021","Black","No function","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","Outside London","Female","1165","1080","28140","24440"
"In post","2021","Black","No function","Outside London","Male","940","910","30410","28100"
"In post","2021","Black","No function","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","Overseas","Female","20","20","[c]","[c]"
"In post","2021","Black","No function","Overseas","Male","15","15","[c]","[c]"
"In post","2021","Black","No function","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","London","Female","240","240","42180","38600"
"In post","2021","Black","Project Delivery","London","Male","95","95","44950","41850"
"In post","2021","Black","Project Delivery","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Outside London","Female","150","145","33500","32260"
"In post","2021","Black","Project Delivery","Outside London","Male","160","160","34880","34520"
"In post","2021","Black","Project Delivery","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Overseas","Female","5","5","[c]","[c]"
"In post","2021","Black","Project Delivery","Overseas","Male","10","10","[c]","[c]"
"In post","2021","Black","Project Delivery","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","London","Female","55","55","36220","31650"
"In post","2021","Black","Property","London","Male","25","25","[c]","[c]"
"In post","2021","Black","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Outside London","Female","35","30","32910","30150"
"In post","2021","Black","Property","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Black","Property","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","London","Female","25","25","[c]","[c]"
"In post","2021","Black","Security","London","Male","45","45","32070","22650"
"In post","2021","Black","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Black","Security","Outside London","Male","35","35","25770","20060"
"In post","2021","Black","Security","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","London","Female","2770","2595","32010","31060"
"In post","2021","Black","Unknown","London","Male","1170","1150","32610","31060"
"In post","2021","Black","Unknown","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Outside London","Female","1380","1265","26890","27570"
"In post","2021","Black","Unknown","Outside London","Male","775","760","28080","27570"
"In post","2021","Black","Unknown","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Black","Unknown","Overseas","Male","5","5","[c]","[c]"
"In post","2021","Black","Unknown","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","Female","35","35","28430","27570"
"In post","2021","Black","Unknown","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","London","Female","25","25","[c]","[c]"
"In post","2021","Chinese","Analysis","London","Male","25","25","[c]","[c]"
"In post","2021","Chinese","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Chinese","Analysis","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Chinese","Analysis","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
