"Status","Year","Disability","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Heterosexual / straight","835","795","34700","30730"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","LGBO","115","110","35110","31740"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Undeclared","105","95","34540","31760"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","100","90","29190","25190"
"In post","2021","Declared disabled","Department for International Trade","Heterosexual / straight","125","125","45620","41640"
"In post","2021","Declared disabled","Department for International Trade","LGBO","30","30","44850","45810"
"In post","2021","Declared disabled","Department for International Trade","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Unknown","30","30","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Heterosexual / straight","880","790","30420","26780"
"In post","2021","Declared disabled","Department for Transport","LGBO","85","80","35530","30420"
"In post","2021","Declared disabled","Department for Transport","Undeclared","380","310","25860","21590"
"In post","2021","Declared disabled","Department for Transport","Unknown","40","40","26740","26470"
"In post","2021","Declared disabled","Department for Work and Pensions","Heterosexual / straight","11260","9895","27450","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","LGBO","1115","1050","27830","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Undeclared","1645","1430","26860","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","1525","1280","26260","27570"
"In post","2021","Declared disabled","Department of Health and Social Care","Heterosexual / straight","360","335","40750","36330"
"In post","2021","Declared disabled","Department of Health and Social Care","LGBO","70","70","38600","32480"
"In post","2021","Declared disabled","Department of Health and Social Care","Undeclared","45","40","40080","36750"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","45","40","48590","41840"
"In post","2021","Declared disabled","ESTYN","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Heterosexual / straight","40","40","36330","32830"
"In post","2021","Declared disabled","Food Standards Agency","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Heterosexual / straight","625","605","43530","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","LGBO","75","75","44120","41810"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Undeclared","60","60","44770","38910"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","40","40","42260","38930"
"In post","2021","Declared disabled","HM Land Registry","Heterosexual / straight","350","305","30630","27130"
"In post","2021","Declared disabled","HM Land Registry","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Undeclared","70","60","31130","27130"
"In post","2021","Declared disabled","HM Land Registry","Unknown","50","40","29440","27130"
"In post","2021","Declared disabled","HM Revenue and Customs","Heterosexual / straight","4075","3655","31450","28130"
"In post","2021","Declared disabled","HM Revenue and Customs","LGBO","430","400","31630","31810"
"In post","2021","Declared disabled","HM Revenue and Customs","Undeclared","500","445","31530","28130"
"In post","2021","Declared disabled","HM Revenue and Customs","Unknown","730","630","27970","25560"
"In post","2021","Declared disabled","HM Treasury","Heterosexual / straight","180","175","45430","41840"
"In post","2021","Declared disabled","HM Treasury","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","HM Treasury","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Home Office","Heterosexual / straight","2400","2200","31020","27370"
"In post","2021","Declared disabled","Home Office","LGBO","225","215","33680","30010"
"In post","2021","Declared disabled","Home Office","Undeclared","425","385","31840","28650"
"In post","2021","Declared disabled","Home Office","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence","Heterosexual / straight","4135","3975","33160","31170"
"In post","2021","Declared disabled","Ministry of Defence","LGBO","270","265","32770","30060"
"In post","2021","Declared disabled","Ministry of Defence","Undeclared","695","660","34600","33300"
"In post","2021","Declared disabled","Ministry of Defence","Unknown","175","170","33010","31600"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Heterosexual / straight","255","250","41430","36340"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","LGBO","55","55","41400","34860"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government","Unknown","10","5","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Justice","Heterosexual / straight","7075","6575","29290","26640"
"In post","2021","Declared disabled","Ministry of Justice","LGBO","785","765","29220","26810"
"In post","2021","Declared disabled","Ministry of Justice","Undeclared","835","775","30230","27730"
"In post","2021","Declared disabled","Ministry of Justice","Unknown","270","235","28690","28980"
"In post","2021","Declared disabled","National Crime Agency","Heterosexual / straight","160","155","38240","36630"
"In post","2021","Declared disabled","National Crime Agency","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Heterosexual / straight","110","105","45660","51360"
"In post","2021","Declared disabled","Office for Standards in Education","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Heterosexual / straight","55","55","43070","38010"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other Cabinet Office Agencies","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government","Heterosexual / straight","1105","1050","36880","33650"
"In post","2021","Declared disabled","Scottish Government","LGBO","190","185","35600","32140"
"In post","2021","Declared disabled","Scottish Government","Undeclared","105","95","36820","33600"
"In post","2021","Declared disabled","Scottish Government","Unknown","335","305","33120","33650"
"In post","2021","Declared disabled","The National Archives","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Heterosexual / straight","375","330","31410","29540"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","LGBO","55","50","33800","30130"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Unknown","70","60","31320","29540"
"In post","2021","Declared disabled","Wales Office","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Heterosexual / straight","255","240","38070","37410"
"In post","2021","Declared disabled","Welsh Government","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government","Undeclared","40","35","37510","34490"
"In post","2021","Declared disabled","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Attorney General's Departments","Heterosexual / straight","5070","4735","45480","48830"
"In post","2021","Declared non-disabled","Attorney General's Departments","LGBO","305","290","47300","50500"
"In post","2021","Declared non-disabled","Attorney General's Departments","Undeclared","205","195","49010","51250"
"In post","2021","Declared non-disabled","Attorney General's Departments","Unknown","1185","1055","47090","52040"
"In post","2021","Declared non-disabled","Cabinet Office","Heterosexual / straight","3685","3595","48720","41820"
"In post","2021","Declared non-disabled","Cabinet Office","LGBO","320","315","44850","40600"
"In post","2021","Declared non-disabled","Cabinet Office","Undeclared","295","290","49150","41820"
"In post","2021","Declared non-disabled","Cabinet Office","Unknown","195","190","60750","55520"
"In post","2021","Declared non-disabled","Chancellor's other departments","Heterosexual / straight","265","255","59940","49040"
"In post","2021","Declared non-disabled","Chancellor's other departments","LGBO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Chancellor's other departments","Undeclared","55","55","60390","50480"
"In post","2021","Declared non-disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","Heterosexual / straight","175","170","35150","29160"
"In post","2021","Declared non-disabled","Charity Commission","LGBO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Charity Commission","Unknown","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Competition and Markets Authority","Heterosexual / straight","610","590","59400","56190"
"In post","2021","Declared non-disabled","Competition and Markets Authority","LGBO","45","45","57700","55860"
"In post","2021","Declared non-disabled","Competition and Markets Authority","Undeclared","45","40","63340","59020"
"In post","2021","Declared non-disabled","Competition and Markets Authority","Unknown","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5345","5140","44140","40050"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","LGBO","440","435","44880","40050"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Undeclared","405","395","47390","46880"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Unknown","2625","2490","39480","39650"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1115","1090","49900","51730"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","LGBO","140","140","47720","44770"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","Undeclared","65","65","49820","51730"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","Unknown","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Education","Heterosexual / straight","4185","4025","44810","40780"
"In post","2021","Declared non-disabled","Department for Education","LGBO","285","280","45020","40510"
"In post","2021","Declared non-disabled","Department for Education","Undeclared","325","315","45360","43250"
"In post","2021","Declared non-disabled","Department for Education","Unknown","785","755","46050","42930"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","Heterosexual / straight","5855","5565","37250","33120"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","LGBO","370","360","36860","32560"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","Undeclared","525","500","36540","33510"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs","Unknown","1490","1395","28500","24920"
"In post","2021","Declared non-disabled","Department for International Trade","Heterosexual / straight","1100","1085","46840","42230"
"In post","2021","Declared non-disabled","Department for International Trade","LGBO","120","120","48990","49370"
"In post","2021","Declared non-disabled","Department for International Trade","Undeclared","70","70","43770","38540"
"In post","2021","Declared non-disabled","Department for International Trade","Unknown","125","125","44950","38960"
"In post","2021","Declared non-disabled","Department for Transport","Heterosexual / straight","8430","7920","34600","29730"
"In post","2021","Declared non-disabled","Department for Transport","LGBO","425","410","36070","31100"
"In post","2021","Declared non-disabled","Department for Transport","Undeclared","1960","1695","29420","26780"
"In post","2021","Declared non-disabled","Department for Transport","Unknown","215","190","28550","26580"
"In post","2021","Declared non-disabled","Department for Work and Pensions","Heterosexual / straight","46655","42410","28610","27570"
"In post","2021","Declared non-disabled","Department for Work and Pensions","LGBO","2415","2325","28340","27570"
"In post","2021","Declared non-disabled","Department for Work and Pensions","Undeclared","4980","4420","28090","27570"
"In post","2021","Declared non-disabled","Department for Work and Pensions","Unknown","16495","14040","27100","27570"
"In post","2021","Declared non-disabled","Department of Health and Social Care","Heterosexual / straight","4865","4505","43290","38200"
"In post","2021","Declared non-disabled","Department of Health and Social Care","LGBO","275","260","43340","38020"
"In post","2021","Declared non-disabled","Department of Health and Social Care","Undeclared","490","445","44550","38200"
"In post","2021","Declared non-disabled","Department of Health and Social Care","Unknown","240","220","53290","49530"
"In post","2021","Declared non-disabled","ESTYN","Heterosexual / straight","85","80","58230","74730"
"In post","2021","Declared non-disabled","ESTYN","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","ESTYN","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Food Standards Agency","Heterosexual / straight","475","465","38230","32940"
"In post","2021","Declared non-disabled","Food Standards Agency","LGBO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Food Standards Agency","Undeclared","45","40","40510","40350"
"In post","2021","Declared non-disabled","Food Standards Agency","Unknown","265","255","33210","28660"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","Heterosexual / straight","4985","4875","47520","42510"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","LGBO","300","295","48200","44670"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","Undeclared","385","380","47850","41200"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","235","230","46200","42890"
"In post","2021","Declared non-disabled","HM Land Registry","Heterosexual / straight","2585","2325","33380","30600"
"In post","2021","Declared non-disabled","HM Land Registry","LGBO","65","60","32690","33840"
"In post","2021","Declared non-disabled","HM Land Registry","Undeclared","440","380","33480","27130"
"In post","2021","Declared non-disabled","HM Land Registry","Unknown","600","500","31620","27130"
"In post","2021","Declared non-disabled","HM Revenue and Customs","Heterosexual / straight","29625","27500","33340","31810"
"In post","2021","Declared non-disabled","HM Revenue and Customs","LGBO","1560","1505","32780","29570"
"In post","2021","Declared non-disabled","HM Revenue and Customs","Undeclared","2200","1990","33130","30000"
"In post","2021","Declared non-disabled","HM Revenue and Customs","Unknown","4020","3475","29290","25560"
"In post","2021","Declared non-disabled","HM Treasury","Heterosexual / straight","1545","1505","48610","49940"
"In post","2021","Declared non-disabled","HM Treasury","LGBO","115","110","49570","52500"
"In post","2021","Declared non-disabled","HM Treasury","Undeclared","130","125","45770","43300"
"In post","2021","Declared non-disabled","HM Treasury","Unknown","45","40","47180","40900"
"In post","2021","Declared non-disabled","Home Office","Heterosexual / straight","24950","23130","31910","27370"
"In post","2021","Declared non-disabled","Home Office","LGBO","890","855","32770","27020"
"In post","2021","Declared non-disabled","Home Office","Undeclared","2600","2375","32610","28350"
"In post","2021","Declared non-disabled","Home Office","Unknown","55","55","31790","27370"
"In post","2021","Declared non-disabled","Ministry of Defence","Heterosexual / straight","33225","32135","33990","31950"
"In post","2021","Declared non-disabled","Ministry of Defence","LGBO","925","915","32840","29550"
"In post","2021","Declared non-disabled","Ministry of Defence","Undeclared","3030","2905","35090","33300"
"In post","2021","Declared non-disabled","Ministry of Defence","Unknown","960","930","33120","31950"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","Heterosexual / straight","2130","2045","46540","43780"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","LGBO","155","155","47140","47660"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","Undeclared","105","100","44720","41980"
"In post","2021","Declared non-disabled","Ministry of Housing, Communities and Local Government","Unknown","120","105","35760","30410"
"In post","2021","Declared non-disabled","Ministry of Justice","Heterosexual / straight","43715","41095","29820","26810"
"In post","2021","Declared non-disabled","Ministry of Justice","LGBO","2450","2390","30240","26990"
"In post","2021","Declared non-disabled","Ministry of Justice","Undeclared","3575","3295","30350","27100"
"In post","2021","Declared non-disabled","Ministry of Justice","Unknown","3445","3050","30880","31650"
"In post","2021","Declared non-disabled","National Crime Agency","Heterosexual / straight","1515","1465","43520","40210"
"In post","2021","Declared non-disabled","National Crime Agency","LGBO","55","55","42100","40210"
"In post","2021","Declared non-disabled","National Crime Agency","Undeclared","100","95","41070","39840"
"In post","2021","Declared non-disabled","National Crime Agency","Unknown","85","85","42600","40210"
"In post","2021","Declared non-disabled","Northern Ireland Office","Heterosexual / straight","70","70","46150","39080"
"In post","2021","Declared non-disabled","Northern Ireland Office","LGBO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Northern Ireland Office","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Office for Standards in Education","Heterosexual / straight","1255","1210","50920","51360"
"In post","2021","Declared non-disabled","Office for Standards in Education","LGBO","110","110","49670","44610"
"In post","2021","Declared non-disabled","Office for Standards in Education","Undeclared","80","75","48190","46360"
"In post","2021","Declared non-disabled","Office for Standards in Education","Unknown","30","30","40870","37430"
"In post","2021","Declared non-disabled","Office of Gas and Electricity Markets","Heterosexual / straight","420","415","43310","37240"
"In post","2021","Declared non-disabled","Office of Gas and Electricity Markets","LGBO","45","45","38920","34240"
"In post","2021","Declared non-disabled","Office of Gas and Electricity Markets","Undeclared","40","40","43870","36290"
"In post","2021","Declared non-disabled","Office of Gas and Electricity Markets","Unknown","515","510","46710","41000"
"In post","2021","Declared non-disabled","Office of Qualifications and Examinations Regulation","Heterosexual / straight","140","135","45520","40250"
"In post","2021","Declared non-disabled","Office of Qualifications and Examinations Regulation","LGBO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Office of Qualifications and Examinations Regulation","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Office of Rail and Road","Heterosexual / straight","155","150","51450","51310"
"In post","2021","Declared non-disabled","Office of Rail and Road","LGBO","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Office of Rail and Road","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Office of Rail and Road","Unknown","105","100","60440","60020"
"In post","2021","Declared non-disabled","Other Cabinet Office Agencies","Heterosexual / straight","315","305","45310","39000"
"In post","2021","Declared non-disabled","Other Cabinet Office Agencies","LGBO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Other Cabinet Office Agencies","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Other Cabinet Office Agencies","Unknown","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland Office","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Scotland Office","Unknown","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Scottish Government","Heterosexual / straight","7305","6975","39730","34650"
"In post","2021","Declared non-disabled","Scottish Government","LGBO","420","415","37650","32140"
"In post","2021","Declared non-disabled","Scottish Government","Undeclared","380","365","39290","35110"
"In post","2021","Declared non-disabled","Scottish Government","Unknown","1725","1615","37370","33620"
"In post","2021","Declared non-disabled","The National Archives","Heterosexual / straight","180","170","36840","34220"
"In post","2021","Declared non-disabled","The National Archives","LGBO","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","The National Archives","Undeclared","40","40","33760","30930"
"In post","2021","Declared non-disabled","The National Archives","Unknown","100","95","35550","34770"
"In post","2021","Declared non-disabled","UK Export Finance","Heterosexual / straight","310","305","52910","47750"
"In post","2021","Declared non-disabled","UK Export Finance","LGBO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","UK Export Finance","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","UK Export Finance","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","UK Supreme Court","Heterosexual / straight","45","40","38190","34210"
"In post","2021","Declared non-disabled","UK Supreme Court","LGBO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Heterosexual / straight","2000","1770","34220","30130"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","LGBO","80","80","35690","34600"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Undeclared","85","75","33720","30700"
"In post","2021","Declared non-disabled","United Kingdom Statistics Authority","Unknown","435","380","34780","31270"
"In post","2021","Declared non-disabled","Wales Office","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","LGBO","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Heterosexual / straight","85","80","58680","53600"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Water Services Regulation Authority","Unknown","75","70","56710","49660"
"In post","2021","Declared non-disabled","Welsh Government","Heterosexual / straight","4225","3990","41140","37410"
"In post","2021","Declared non-disabled","Welsh Government","LGBO","175","170","41060","37410"
"In post","2021","Declared non-disabled","Welsh Government","Undeclared","475","450","42470","37410"
