"Status","Year","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Male","6030","[c]","31590","27570"
"Leaver CS","2021","Unknown","Unknown","95","[c]","46740","40230"
"Leaver Dept.","2021","Analysis","Female","135","[c]","40900","35290"
"Leaver Dept.","2021","Analysis","Male","140","[c]","41860","37350"
"Leaver Dept.","2021","Commercial","Female","90","[c]","41390","40580"
"Leaver Dept.","2021","Commercial","Male","70","[c]","43550","40040"
"Leaver Dept.","2021","Communications","Female","125","[c]","40030","36660"
"Leaver Dept.","2021","Communications","Male","90","[c]","44430","39750"
"Leaver Dept.","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Female","95","[c]","45230","40580"
"Leaver Dept.","2021","Digital, Data & Technology","Male","140","[c]","45480","41090"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Female","100","[c]","48090","48210"
"Leaver Dept.","2021","Finance","Male","105","[c]","45090","41680"
"Leaver Dept.","2021","Grants Management","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Female","305","[c]","38970","33640"
"Leaver Dept.","2021","Human Resources","Male","165","[c]","38150","33440"
"Leaver Dept.","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Female","145","[c]","42450","35790"
"Leaver Dept.","2021","Legal","Male","80","[c]","44790","47000"
"Leaver Dept.","2021","No function","Female","2245","[c]","37240","32320"
"Leaver Dept.","2021","No function","Male","1775","[c]","38690","32980"
"Leaver Dept.","2021","Project Delivery","Female","255","[c]","41780","37200"
"Leaver Dept.","2021","Project Delivery","Male","270","[c]","40490","37380"
"Leaver Dept.","2021","Property","Female","60","[c]","35760","32000"
"Leaver Dept.","2021","Property","Male","60","[c]","36610","31950"
"Leaver Dept.","2021","Security","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Male","40","[c]","34040","32540"
"Leaver Dept.","2021","Unknown","Female","2985","[c]","34310","29570"
"Leaver Dept.","2021","Unknown","Male","2370","[c]","34960","30830"
"Leaver Dept.","2021","Unknown","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","Female","580","[c]","33920","31950"
"New entrant CS","2021","Analysis","Male","610","[c]","34360","31980"
"New entrant CS","2021","Analysis","Unknown","30","[c]","33940","32540"
"New entrant CS","2021","Commercial","Female","385","[c]","44700","36950"
"New entrant CS","2021","Commercial","Male","385","[c]","51810","41500"
"New entrant CS","2021","Communications","Female","655","[c]","30970","25560"
"New entrant CS","2021","Communications","Male","655","[c]","30150","25560"
"New entrant CS","2021","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Female","85","[c]","29690","26090"
"New entrant CS","2021","Counter Fraud","Male","110","[c]","30790","29570"
"New entrant CS","2021","Debt","Female","510","[c]","20440","20140"
"New entrant CS","2021","Debt","Male","460","[c]","20570","20140"
"New entrant CS","2021","Digital, Data & Technology","Female","710","[c]","38540","34550"
"New entrant CS","2021","Digital, Data & Technology","Male","1150","[c]","40580","36800"
"New entrant CS","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Finance","Female","425","[c]","34000","32790"
"New entrant CS","2021","Finance","Male","350","[c]","36660","32790"
"New entrant CS","2021","Grants Management","Female","30","[c]","22580","21050"
"New entrant CS","2021","Grants Management","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","Female","625","[c]","32390","28000"
"New entrant CS","2021","Human Resources","Male","245","[c]","32730","28000"
"New entrant CS","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Female","30","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Legal","Female","920","[c]","34600","29280"
"New entrant CS","2021","Legal","Male","485","[c]","37000","34860"
"New entrant CS","2021","No function","Female","12200","[c]","27610","24020"
"New entrant CS","2021","No function","Male","8980","[c]","28960","25230"
"New entrant CS","2021","No function","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Project Delivery","Female","800","[c]","35150","33000"
"New entrant CS","2021","Project Delivery","Male","1065","[c]","36750","34000"
"New entrant CS","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Property","Female","300","[c]","28010","24620"
"New entrant CS","2021","Property","Male","445","[c]","32430","28120"
"New entrant CS","2021","Security","Female","220","[c]","26030","23540"
"New entrant CS","2021","Security","Male","625","[c]","27350","23540"
"New entrant CS","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","13200","[c]","27850","27570"
"New entrant CS","2021","Unknown","Male","9850","[c]","28220","27570"
"New entrant CS","2021","Unknown","Unknown","15","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","The Department for Work and Pensions provided aggregated functions data for 2021, which are available in the Civil Service Statistics publication. However, figures in this browser are derived from individual level data and so are not available for this department in 2021.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Sex","Self reported sex.","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
