"Status","Year","Age","Parent_department","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","HM Land Registry","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","AO","Female","120","110","20280","20140"
"In post","2021","16-19","HM Revenue and Customs","AO","Male","105","100","20210","20140"
"In post","2021","16-19","HM Revenue and Customs","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","EO","Male","15","15","[c]","[c]"
"In post","2021","16-19","HM Treasury","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","HM Treasury","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Home Office","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","AO","Female","40","35","21650","21430"
"In post","2021","16-19","Home Office","AO","Male","30","25","21570","21430"
"In post","2021","16-19","Home Office","EO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AA","Female","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AA","Male","35","35","16870","16890"
"In post","2021","16-19","Ministry of Defence","AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","AO","Male","25","25","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","EO","Female","30","30","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","EO","Male","90","90","18560","17780"
"In post","2021","16-19","Ministry of Defence","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Unknown","Male","45","45","18360","16780"
"In post","2021","16-19","Ministry of Justice","AA","Female","30","30","19720","20600"
"In post","2021","16-19","Ministry of Justice","AA","Male","20","20","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","AO","Female","55","55","22440","22850"
"In post","2021","16-19","Ministry of Justice","AO","Male","25","25","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other Cabinet Office Agencies","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","AA","Female","35","35","20730","21150"
"In post","2021","16-19","Scottish Government","AA","Male","30","30","[c]","[c]"
"In post","2021","16-19","Scottish Government","AO","Female","20","15","[c]","[c]"
"In post","2021","16-19","Scottish Government","AO","Male","15","15","[c]","[c]"
"In post","2021","16-19","Scottish Government","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Government","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","The National Archives","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","AO","Female","315","310","21700","21950"
"In post","2021","20-29","Attorney General's Departments","AO","Male","130","130","21730","21950"
"In post","2021","20-29","Attorney General's Departments","EO","Female","290","290","27210","26970"
"In post","2021","20-29","Attorney General's Departments","EO","Male","150","145","27450","26970"
"In post","2021","20-29","Attorney General's Departments","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","G7","Female","100","100","50440","50520"
"In post","2021","20-29","Attorney General's Departments","G7","Male","50","50","50980","50520"
"In post","2021","20-29","Attorney General's Departments","HEO","Female","155","155","36760","38000"
"In post","2021","20-29","Attorney General's Departments","HEO","Male","85","85","37220","38000"
"In post","2021","20-29","Attorney General's Departments","SEO","Female","30","30","[c]","[c]"
"In post","2021","20-29","Attorney General's Departments","SEO","Male","15","15","[c]","[c]"
"In post","2021","20-29","Cabinet Office","AO","Female","100","95","22270","20920"
"In post","2021","20-29","Cabinet Office","AO","Male","85","85","22270","20920"
"In post","2021","20-29","Cabinet Office","EO","Female","250","250","27050","27500"
"In post","2021","20-29","Cabinet Office","EO","Male","205","205","27190","27500"
"In post","2021","20-29","Cabinet Office","G6","Female","30","30","[c]","[c]"
"In post","2021","20-29","Cabinet Office","G6","Male","15","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office","G7","Female","190","190","54900","54700"
"In post","2021","20-29","Cabinet Office","G7","Male","200","200","55140","54700"
"In post","2021","20-29","Cabinet Office","HEO","Female","1235","1235","30890","29250"
"In post","2021","20-29","Cabinet Office","HEO","Male","880","880","31160","32000"
"In post","2021","20-29","Cabinet Office","SCS level","Female","10","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office","SCS level","Male","10","10","[c]","[c]"
"In post","2021","20-29","Cabinet Office","SEO","Female","110","110","40570","40600"
"In post","2021","20-29","Cabinet Office","SEO","Male","75","75","40170","40600"
"In post","2021","20-29","Chancellor's other departments","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","AO","Female","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","AO","Male","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","EO","Female","10","10","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","EO","Male","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","G7","Male","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","HEO","Female","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","HEO","Male","20","20","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","SEO","Female","5","5","[c]","[c]"
"In post","2021","20-29","Chancellor's other departments","SEO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","Female","20","15","[c]","[c]"
"In post","2021","20-29","Charity Commission","EO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Charity Commission","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","HEO","Female","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","HEO","Male","5","5","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Charity Commission","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","AO","Female","10","10","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","AO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","EO","Female","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","EO","Male","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G7","Female","20","20","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","G7","Male","15","15","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","HEO","Female","25","25","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","HEO","Male","25","25","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SEO","Female","5","5","[c]","[c]"
"In post","2021","20-29","Competition and Markets Authority","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AA","Female","10","10","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AA","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AO","Female","215","210","22060","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","AO","Male","130","130","21500","20880"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","EO","Female","295","290","25930","24650"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","EO","Male","260","260","26950","26860"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","G6","Female","10","10","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","G6","Male","15","15","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","G7","Female","235","235","54940","53380"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","G7","Male","245","245","54950","53390"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","HEO","Female","475","470","33780","33570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","HEO","Male","470","470","34120","33570"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","SEO","Female","270","270","40890","40050"
"In post","2021","20-29","Department for Business, Energy and Industrial Strategy","SEO","Male","265","265","41010","40050"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","EO","Female","75","70","27630","26180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","EO","Male","30","30","27230","26180"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","G6","Female","10","10","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","G6","Male","5","5","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","G7","Female","90","90","54950","51730"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","G7","Male","85","85","56690","52680"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","HEO","Female","205","205","36690","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","HEO","Male","175","170","37450","34020"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Digital, Culture, Media and Sport","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","AO","Female","20","20","[c]","[c]"
"In post","2021","20-29","Department for Education","AO","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Education","EO","Female","235","235","26760","26000"
"In post","2021","20-29","Department for Education","EO","Male","160","160","26510","25000"
"In post","2021","20-29","Department for Education","G6","Female","15","15","[c]","[c]"
"In post","2021","20-29","Department for Education","G6","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Education","G7","Female","145","145","52530","53420"
"In post","2021","20-29","Department for Education","G7","Male","80","80","52200","53420"
"In post","2021","20-29","Department for Education","HEO","Female","325","325","31620","30090"
"In post","2021","20-29","Department for Education","HEO","Male","235","235","31870","30880"
"In post","2021","20-29","Department for Education","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","SEO","Female","235","230","39460","40230"
"In post","2021","20-29","Department for Education","SEO","Male","140","140","39080","36960"
"In post","2021","20-29","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Education","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","AO","Female","280","275","21610","21050"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","AO","Male","155","155","21620","21050"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","EO","Female","245","245","25820","25100"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","EO","Male","210","210","26440","25170"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","G6","Female","10","10","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","G7","Female","80","80","52320","52290"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","G7","Male","60","60","52130","52290"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","HEO","Female","355","355","31700","32560"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","HEO","Male","280","280","31730","32560"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","SEO","Female","155","150","38380","38750"
"In post","2021","20-29","Department for Environment, Food and Rural Affairs","SEO","Male","95","95","38060","38750"
"In post","2021","20-29","Department for International Trade","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","AO","Male","5","5","[c]","[c]"
"In post","2021","20-29","Department for International Trade","EO","Female","65","65","26660","26510"
"In post","2021","20-29","Department for International Trade","EO","Male","55","55","26510","26510"
"In post","2021","20-29","Department for International Trade","G6","Female","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","G6","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for International Trade","G7","Female","115","115","50510","51970"
"In post","2021","20-29","Department for International Trade","G7","Male","100","100","50990","51970"
"In post","2021","20-29","Department for International Trade","HEO","Female","190","190","31890","32120"
"In post","2021","20-29","Department for International Trade","HEO","Male","190","190","31680","31800"
"In post","2021","20-29","Department for International Trade","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for International Trade","SEO","Female","100","100","38570","38540"
"In post","2021","20-29","Department for International Trade","SEO","Male","105","105","38090","38540"
"In post","2021","20-29","Department for Transport","AA","Female","95","80","18140","18060"
"In post","2021","20-29","Department for Transport","AA","Male","75","70","18340","18060"
"In post","2021","20-29","Department for Transport","AO","Female","400","380","21960","21590"
"In post","2021","20-29","Department for Transport","AO","Male","310","305","23040","21590"
"In post","2021","20-29","Department for Transport","EO","Female","210","210","27390","26470"
"In post","2021","20-29","Department for Transport","EO","Male","220","220","27840","26470"
"In post","2021","20-29","Department for Transport","G6","Female","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","G6","Male","10","10","[c]","[c]"
"In post","2021","20-29","Department for Transport","G7","Female","80","80","53730","54650"
"In post","2021","20-29","Department for Transport","G7","Male","85","85","54200","54650"
"In post","2021","20-29","Department for Transport","HEO","Female","240","240","33440","34710"
"In post","2021","20-29","Department for Transport","HEO","Male","295","295","33840","34710"
"In post","2021","20-29","Department for Transport","SEO","Female","85","85","41670","42470"
"In post","2021","20-29","Department for Transport","SEO","Male","115","115","42540","42470"
"In post","2021","20-29","Department for Work and Pensions","AO","Female","1965","1875","21470","21010"
"In post","2021","20-29","Department for Work and Pensions","AO","Male","1685","1670","21390","21010"
"In post","2021","20-29","Department for Work and Pensions","EO","Female","3645","3575","28500","27570"
"In post","2021","20-29","Department for Work and Pensions","EO","Male","2375","2370","28310","27570"
"In post","2021","20-29","Department for Work and Pensions","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department for Work and Pensions","G7","Female","45","45","53210","54070"
"In post","2021","20-29","Department for Work and Pensions","G7","Male","40","40","55640","54920"
"In post","2021","20-29","Department for Work and Pensions","HEO","Female","315","310","32940","31990"
"In post","2021","20-29","Department for Work and Pensions","HEO","Male","270","270","33540","31990"
"In post","2021","20-29","Department for Work and Pensions","SEO","Female","95","95","38420","38270"
"In post","2021","20-29","Department for Work and Pensions","SEO","Male","100","100","38880","38990"
"In post","2021","20-29","Department of Health and Social Care","AA","Female","35","30","19840","18850"
"In post","2021","20-29","Department of Health and Social Care","AA","Male","20","20","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","AO","Female","235","215","21120","19630"
"In post","2021","20-29","Department of Health and Social Care","AO","Male","125","115","21180","19930"
"In post","2021","20-29","Department of Health and Social Care","EO","Female","435","430","25890","26880"
"In post","2021","20-29","Department of Health and Social Care","EO","Male","210","205","26010","27140"
"In post","2021","20-29","Department of Health and Social Care","G6","Female","20","20","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","G6","Male","25","25","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","G7","Female","160","160","53070","53360"
"In post","2021","20-29","Department of Health and Social Care","G7","Male","120","120","53010","53360"
"In post","2021","20-29","Department of Health and Social Care","HEO","Female","605","595","31720","32790"
"In post","2021","20-29","Department of Health and Social Care","HEO","Male","290","285","31710","32790"
"In post","2021","20-29","Department of Health and Social Care","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Department of Health and Social Care","SEO","Female","295","290","39490","40450"
"In post","2021","20-29","Department of Health and Social Care","SEO","Male","105","105","39650","40560"
"In post","2021","20-29","ESTYN","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","ESTYN","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","EO","Female","15","15","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","EO","Male","5","5","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","HEO","Female","30","30","31690","32350"
"In post","2021","20-29","Food Standards Agency","HEO","Male","20","20","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","SEO","Female","20","20","[c]","[c]"
"In post","2021","20-29","Food Standards Agency","SEO","Male","5","5","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","AO","Female","100","100","25220","24750"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","AO","Male","80","80","25530","24750"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","EO","Female","145","145","28650","29300"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","EO","Male","120","120","28390","28480"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","G7","Female","85","85","50810","52430"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","G7","Male","55","55","51070","53370"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","HEO","Female","420","420","35510","35700"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","HEO","Male","310","310","35090","34770"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","SEO","Female","70","70","40180","41290"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","SEO","Male","60","60","39700","39630"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Unknown","Female","5","5","[c]","[c]"
"In post","2021","20-29","Foreign, Commonwealth and Development Office","Unknown","Male","25","25","[c]","[c]"
