"Status","Year","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Heterosexual / straight","220","[c]","39160","33640"
"Leaver Dept.","2021","Mixed","LGBO","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Undeclared","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Heterosexual / straight","45","[c]","34720","32730"
"Leaver Dept.","2021","Other ethnicity","LGBO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","55","[c]","36340","31590"
"Leaver Dept.","2021","Undeclared","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","205","[c]","38440","34110"
"Leaver Dept.","2021","Undeclared","Unknown","160","[c]","36900","35720"
"Leaver Dept.","2021","Unknown","Heterosexual / straight","110","[c]","39530","33640"
"Leaver Dept.","2021","Unknown","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","60","[c]","39450","36350"
"Leaver Dept.","2021","Unknown","Unknown","3000","[c]","37530","32710"
"Leaver Dept.","2021","White","Heterosexual / straight","4465","[c]","38400","32910"
"Leaver Dept.","2021","White","LGBO","495","[c]","36810","32140"
"Leaver Dept.","2021","White","Undeclared","340","[c]","40280","35320"
"Leaver Dept.","2021","White","Unknown","1190","[c]","36330","31060"
"New entrant CS","2021","Asian","Heterosexual / straight","3760","[c]","30010","27570"
"New entrant CS","2021","Asian","LGBO","90","[c]","28220","27570"
"New entrant CS","2021","Asian","Undeclared","165","[c]","31830","27570"
"New entrant CS","2021","Asian","Unknown","95","[c]","29330","25630"
"New entrant CS","2021","Black","Heterosexual / straight","2445","[c]","30000","29290"
"New entrant CS","2021","Black","LGBO","90","[c]","28670","27570"
"New entrant CS","2021","Black","Undeclared","85","[c]","30510","31060"
"New entrant CS","2021","Black","Unknown","30","[c]","27040","27010"
"New entrant CS","2021","Chinese","Heterosexual / straight","95","[c]","31920","28650"
"New entrant CS","2021","Chinese","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Undeclared","15","[c]","[c]","[c]"
"New entrant CS","2021","Chinese","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","Mixed","Heterosexual / straight","1210","[c]","29300","27570"
"New entrant CS","2021","Mixed","LGBO","200","[c]","30820","28000"
"New entrant CS","2021","Mixed","Undeclared","95","[c]","33160","28310"
"New entrant CS","2021","Mixed","Unknown","35","[c]","30050","26500"
"New entrant CS","2021","Other ethnicity","Heterosexual / straight","330","[c]","31070","29280"
"New entrant CS","2021","Other ethnicity","LGBO","30","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Undeclared","20","[c]","[c]","[c]"
"New entrant CS","2021","Other ethnicity","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Heterosexual / straight","225","[c]","29340","27570"
"New entrant CS","2021","Undeclared","LGBO","25","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Undeclared","635","[c]","32070","27660"
"New entrant CS","2021","Undeclared","Unknown","100","[c]","27450","19160"
"New entrant CS","2021","Unknown","Heterosexual / straight","210","[c]","31350","27710"
"New entrant CS","2021","Unknown","LGBO","25","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","150","[c]","27930","20850"
"New entrant CS","2021","Unknown","Unknown","16440","[c]","29460","25560"
"New entrant CS","2021","White","Heterosexual / straight","25505","[c]","29260","27570"
"New entrant CS","2021","White","LGBO","3005","[c]","28150","27570"
"New entrant CS","2021","White","Undeclared","1390","[c]","30810","27570"
"New entrant CS","2021","White","Unknown","680","[c]","31100","26350"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Ethnicity","Self reported ethnicity. ""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their ethnicity and ""Unknown"" accounts for employees who have not made an active declaration about their ethnicity.","","","","","",""
"","For consistency with Civil Service Statistics, 'Chinese' is shown separately in the 2021 figures, but counted within 'Asian' from 2022 onwards.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
