"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Communications","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Communications","EO","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Communications","EO","Female","Unknown","95","95","27540","27270"
"In post","2021","Communications","EO","Male","Heterosexual / straight","165","160","27550","27160"
"In post","2021","Communications","EO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Communications","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Communications","EO","Male","Unknown","65","60","27300","27270"
"In post","2021","Communications","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Female","Heterosexual / straight","380","355","58010","56660"
"In post","2021","Communications","G6/G7","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Communications","G6/G7","Female","Undeclared","30","30","56290","57270"
"In post","2021","Communications","G6/G7","Female","Unknown","135","130","57630","55340"
"In post","2021","Communications","G6/G7","Male","Heterosexual / straight","220","220","58750","57430"
"In post","2021","Communications","G6/G7","Male","LGBO","35","35","57140","56970"
"In post","2021","Communications","G6/G7","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Communications","G6/G7","Male","Unknown","95","95","58100","54760"
"In post","2021","Communications","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Female","Heterosexual / straight","45","45","83270","80370"
"In post","2021","Communications","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Communications","SCS level","Male","Heterosexual / straight","30","30","91340","82860"
"In post","2021","Communications","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Communications","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Female","Heterosexual / straight","830","795","37790","37410"
"In post","2021","Communications","SEO/HEO","Female","LGBO","45","40","38250","37880"
"In post","2021","Communications","SEO/HEO","Female","Undeclared","85","80","38500","38020"
"In post","2021","Communications","SEO/HEO","Female","Unknown","235","225","37840","37900"
"In post","2021","Communications","SEO/HEO","Male","Heterosexual / straight","510","505","38010","37410"
"In post","2021","Communications","SEO/HEO","Male","LGBO","65","65","38750","39240"
"In post","2021","Communications","SEO/HEO","Male","Undeclared","75","75","38130","37370"
"In post","2021","Communications","SEO/HEO","Male","Unknown","180","180","37990","37900"
"In post","2021","Communications","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","EO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Male","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Female","Heterosexual / straight","30","30","35070","35060"
"In post","2021","Corporate Finance","SEO/HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Female","Heterosexual / straight","30","25","21050","21430"
"In post","2021","Counter Fraud","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Female","Heterosexual / straight","90","80","26320","25310"
"In post","2021","Counter Fraud","EO","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","EO","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Counter Fraud","EO","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Counter Fraud","EO","Male","Heterosexual / straight","50","45","26700","26090"
"In post","2021","Counter Fraud","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Counter Fraud","EO","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Counter Fraud","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Male","Heterosexual / straight","60","60","61970","58820"
"In post","2021","Counter Fraud","G6/G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Female","Heterosexual / straight","130","125","37400","37910"
"In post","2021","Counter Fraud","SEO/HEO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Female","Unknown","60","55","37080","38670"
"In post","2021","Counter Fraud","SEO/HEO","Male","Heterosexual / straight","195","190","37410","37910"
"In post","2021","Counter Fraud","SEO/HEO","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Male","Undeclared","25","20","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Male","Unknown","85","80","38920","39490"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Female","Heterosexual / straight","120","110","21650","21130"
"In post","2021","Digital, Data and Technology","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Female","Unknown","45","40","22140","21630"
"In post","2021","Digital, Data and Technology","AA/AO","Male","Heterosexual / straight","145","145","22340","21590"
"In post","2021","Digital, Data and Technology","AA/AO","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Male","Undeclared","30","30","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Male","Unknown","70","65","21120","20920"
"In post","2021","Digital, Data and Technology","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Female","Heterosexual / straight","520","480","27340","26670"
"In post","2021","Digital, Data and Technology","EO","Female","LGBO","40","35","26350","26350"
"In post","2021","Digital, Data and Technology","EO","Female","Undeclared","85","85","28070","26930"
"In post","2021","Digital, Data and Technology","EO","Female","Unknown","165","155","26650","26120"
"In post","2021","Digital, Data and Technology","EO","Male","Heterosexual / straight","815","805","27690","26780"
"In post","2021","Digital, Data and Technology","EO","Male","LGBO","45","45","27320","26410"
"In post","2021","Digital, Data and Technology","EO","Male","Undeclared","155","150","28460","28200"
"In post","2021","Digital, Data and Technology","EO","Male","Unknown","395","385","27310","26470"
"In post","2021","Digital, Data and Technology","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Female","Heterosexual / straight","770","740","57020","55640"
"In post","2021","Digital, Data and Technology","G6/G7","Female","LGBO","60","60","57200","56600"
"In post","2021","Digital, Data and Technology","G6/G7","Female","Undeclared","105","105","58920","57680"
"In post","2021","Digital, Data and Technology","G6/G7","Female","Unknown","255","250","56290","53450"
"In post","2021","Digital, Data and Technology","G6/G7","Male","Heterosexual / straight","1435","1420","59160","57680"
"In post","2021","Digital, Data and Technology","G6/G7","Male","LGBO","75","75","60240","57560"
"In post","2021","Digital, Data and Technology","G6/G7","Male","Undeclared","205","205","59000","57460"
"In post","2021","Digital, Data and Technology","G6/G7","Male","Unknown","555","550","58470","56490"
"In post","2021","Digital, Data and Technology","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Female","Heterosexual / straight","60","60","86520","79670"
"In post","2021","Digital, Data and Technology","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Male","Heterosexual / straight","105","105","95500","90670"
"In post","2021","Digital, Data and Technology","SCS level","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Female","Heterosexual / straight","1515","1430","37090","36800"
"In post","2021","Digital, Data and Technology","SEO/HEO","Female","LGBO","105","100","36150","36550"
"In post","2021","Digital, Data and Technology","SEO/HEO","Female","Undeclared","225","210","36950","37370"
"In post","2021","Digital, Data and Technology","SEO/HEO","Female","Unknown","500","480","36330","35910"
"In post","2021","Digital, Data and Technology","SEO/HEO","Male","Heterosexual / straight","2750","2710","38430","38450"
"In post","2021","Digital, Data and Technology","SEO/HEO","Male","LGBO","135","135","36810","36800"
"In post","2021","Digital, Data and Technology","SEO/HEO","Male","Undeclared","485","475","38940","38630"
"In post","2021","Digital, Data and Technology","SEO/HEO","Male","Unknown","1160","1145","37540","37100"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Male","Heterosexual / straight","40","40","38800","39860"
"In post","2021","Digital, Data and Technology","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Economics","AA/AO","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Economics","AA/AO","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Economics","AA/AO","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Economics","AA/AO","Male","Heterosexual / straight","30","30","23200","23210"
"In post","2021","Economics","AA/AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Economics","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Female","Heterosexual / straight","30","30","26840","26410"
"In post","2021","Economics","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Economics","EO","Male","Heterosexual / straight","40","40","27680","27680"
"In post","2021","Economics","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Economics","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Female","Heterosexual / straight","245","230","59750","57850"
"In post","2021","Economics","G6/G7","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Economics","G6/G7","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Economics","G6/G7","Female","Unknown","65","65","58400","54840"
"In post","2021","Economics","G6/G7","Male","Heterosexual / straight","380","375","59730","58130"
"In post","2021","Economics","G6/G7","Male","LGBO","30","30","60850","59080"
"In post","2021","Economics","G6/G7","Male","Undeclared","50","50","60770","60530"
"In post","2021","Economics","G6/G7","Male","Unknown","130","125","59540","57720"
"In post","2021","Economics","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Economics","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS level","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Economics","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS level","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Economics","SCS level","Male","Heterosexual / straight","45","45","87410","79180"
"In post","2021","Economics","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Economics","SCS level","Male","Unknown","10","10","[c]","[c]"
