"Status","Year","Ethnicity","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - South","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - West and North West","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands","30","30","36610","36780"
"In post","2021","Asian","Commercial","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Yorkshire","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Greater Manchester","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Inner London - East","25","25","[c]","[c]"
"In post","2021","Asian","Communications","Inner London - West","100","100","41380","38100"
"In post","2021","Asian","Communications","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands","10","10","[c]","[c]"
"In post","2021","Asian","Communications","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Inner London - East","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Inner London - West","15","15","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Inner London - East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Inner London - West","30","30","38430","33100"
"In post","2021","Asian","Counter Fraud","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outer London - West and North West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","20","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Devon","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Anglia","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Wales","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Essex","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","35","35","40780","40510"
"In post","2021","Asian","Digital, Data and Technology","Greater Manchester","40","40","36470","35010"
"In post","2021","Asian","Digital, Data and Technology","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Inner London - East","120","120","46390","41760"
"In post","2021","Asian","Digital, Data and Technology","Inner London - West","215","215","46240","42240"
"In post","2021","Asian","Digital, Data and Technology","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Leicestershire, Rutland and Northamptonshire","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Merseyside","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northumberland and Tyne and Wear","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outer London - South","90","90","49220","45200"
"In post","2021","Asian","Digital, Data and Technology","Outer London - West and North West","65","65","44660","41670"
"In post","2021","Asian","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Shropshire and Staffordshire","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South Yorkshire","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands","75","75","37950","36500"
"In post","2021","Asian","Digital, Data and Technology","West Wales and The Valleys","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Yorkshire","30","30","32890","31810"
"In post","2021","Asian","Economics","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","East Wales","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Greater Manchester","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Inner London - East","20","20","[c]","[c]"
"In post","2021","Asian","Economics","Inner London - West","130","130","45470","47220"
"In post","2021","Asian","Economics","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outer London - South","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Bedfordshire and Hertfordshire","15","15","[c]","[c]"
"In post","2021","Asian","Finance","Berkshire, Buckinghamshire and Oxfordshire","25","20","[c]","[c]"
"In post","2021","Asian","Finance","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2021","Asian","Finance","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","East Anglia","5","5","[c]","[c]"
"In post","2021","Asian","Finance","East Wales","10","10","[c]","[c]"
"In post","2021","Asian","Finance","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","45","40","41640","33950"
"In post","2021","Asian","Finance","Greater Manchester","20","20","[c]","[c]"
"In post","2021","Asian","Finance","Hampshire and Isle of Wight","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Inner London - East","65","65","44380","42070"
"In post","2021","Asian","Finance","Inner London - West","290","285","43930","40040"
"In post","2021","Asian","Finance","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2021","Asian","Finance","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Outer London - South","50","45","40670","36240"
"In post","2021","Asian","Finance","Outer London - West and North West","25","25","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Shropshire and Staffordshire","10","10","[c]","[c]"
"In post","2021","Asian","Finance","South Yorkshire","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Central Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Midlands","75","75","35520","32300"
"In post","2021","Asian","Finance","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Yorkshire","45","40","28410","25560"
"In post","2021","Asian","Human Resources","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Derbyshire and Nottinghamshire","20","20","[c]","[c]"
"In post","2021","Asian","Human Resources","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East Wales","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","Greater Manchester","25","20","[c]","[c]"
"In post","2021","Asian","Human Resources","Hampshire and Isle of Wight","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Inner London - East","45","45","38300","34570"
"In post","2021","Asian","Human Resources","Inner London - West","165","160","42380","37040"
"In post","2021","Asian","Human Resources","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outer London - South","40","40","38150","35070"
"In post","2021","Asian","Human Resources","Outer London - West and North West","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Central Scotland","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","West Midlands","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Yorkshire","15","15","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Inner London - West","10","10","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","East Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Essex","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Greater Manchester","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Inner London - East","15","15","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Inner London - West","35","35","41950","39220"
"In post","2021","Asian","Intelligence Analysis","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outer London - South","20","20","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Outer London - West and North West","65","60","29820","29080"
"In post","2021","Asian","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
