"Status","Year","Disability","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Outside London","Female","40","35","31300","23790"
"In post","2021","Declared disabled","Companies House","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Outside London","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Criminal Injuries Compensation Authority","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Crown Commercial Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","Female","70","65","36130","32630"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","Male","35","35","40360","34150"
"In post","2021","Declared disabled","Crown Office and Procurator Fiscal Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","London","Female","115","105","46200","40800"
"In post","2021","Declared disabled","Crown Prosecution Service","London","Male","60","55","48130","45530"
"In post","2021","Declared disabled","Crown Prosecution Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Outside London","Female","370","330","39620","33610"
"In post","2021","Declared disabled","Crown Prosecution Service","Outside London","Male","175","170","42860","44660"
"In post","2021","Declared disabled","Crown Prosecution Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Crown Prosecution Service Inspectorate","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt Management Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Defence Electronics and Components Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Outside London","Female","430","400","33960","32190"
"In post","2021","Declared disabled","Defence Equipment and Support","Outside London","Male","640","625","36790","35080"
"In post","2021","Declared disabled","Defence Equipment and Support","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Equipment and Support","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Outside London","Female","195","180","37050","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Outside London","Male","270","265","38620","37320"
"In post","2021","Declared disabled","Defence Science and Technology Laboratory","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","230","225","48120","45180"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","205","200","47160","40220"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","Female","65","65","47560","39360"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","Male","45","45","47120","42020"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","London","Female","120","110","49300","41130"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","London","Male","60","60","48570","43270"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Outside London","Female","205","195","37490","36500"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Outside London","Male","135","135","38970","36640"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","135","130","42400","38750"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","110","110","41470","38750"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","200","185","38430","36520"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","145","140","40450","36970"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","London","Female","90","90","44700","40250"
"In post","2021","Declared disabled","Department for International Trade","London","Male","80","80","44700","38160"
"In post","2021","Declared disabled","Department for International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Overseas","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","London","Female","95","90","43570","42470"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","London","Male","80","75","51250","54110"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","London","Female","1055","950","32630","31060"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","London","Male","485","465","34330","31060"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","Female","9085","7650","26290","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","Male","4455","4160","26370","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","Female","95","90","29850","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","Male","45","45","30930","27570"
"In post","2021","Declared disabled","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","London","Female","50","45","45250","40650"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","London","Male","30","30","55590","43970"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","Female","30","30","39910","36820"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","Male","25","20","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Disclosure Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","Female","460","355","23020","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","Male","200","185","26470","21590"
"In post","2021","Declared disabled","Driver and Vehicle Licensing Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","London","Male","40","35","31270","30780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Outside London","Female","155","135","28560","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Outside London","Male","250","235","29300","26780"
"In post","2021","Declared disabled","Driver and Vehicle Standards Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","London","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Outside London","Female","80","75","37440","36500"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Outside London","Male","55","55","38810","36960"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education and Skills Funding Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Education Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Outside London","Male","10","5","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","London","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Outside London","Male","35","35","34780","31490"
"In post","2021","Declared disabled","FCDO Services","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","FCDO Services","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Outside London","Male","30","30","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","230","220","45050","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","175","175","47070","39670"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Female","100","95","35160","33930"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Male","60","55","34610","33930"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Female","60","60","50260","53000"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Male","100","100","49240","52430"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Outside London","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Forestry and Land Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Actuary's Department","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Government Internal Audit Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","London","Female","100","95","54860","59160"
"In post","2021","Declared disabled","Government Legal Department","London","Male","80","80","50700","51830"
"In post","2021","Declared disabled","Government Legal Department","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Legal Department","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Government Property Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","London","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","London","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Health and Safety Executive","Outside London","Female","185","160","35910","31710"
"In post","2021","Declared disabled","Health and Safety Executive","Outside London","Male","120","115","42790","43830"
"In post","2021","Declared disabled","Health and Safety Executive","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","London","Female","305","280","28490","23500"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","London","Male","140","135","27720","23500"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Outside London","Female","1180","1030","22490","20100"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Outside London","Male","450","425","22490","20100"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Courts and Tribunals Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","London","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","London","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Outside London","Female","285","240","29530","27130"
"In post","2021","Declared disabled","HM Land Registry","Outside London","Male","185","170","31090","27130"
"In post","2021","Declared disabled","HM Land Registry","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Prison and Probation Service","London","Female","455","440","34530","32090"
"In post","2021","Declared disabled","HM Prison and Probation Service","London","Male","275","265","36870","35320"
"In post","2021","Declared disabled","HM Prison and Probation Service","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Prison and Probation Service","Outside London","Female","2980","2755","29000","27380"
"In post","2021","Declared disabled","HM Prison and Probation Service","Outside London","Male","2245","2125","31200","31220"
"In post","2021","Declared disabled","HM Prison and Probation Service","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Prison and Probation Service","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Prison and Probation Service","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Prison and Probation Service","Unknown","Unknown","[c]","[c]","[c]","[c]"
