"Status","Year","Ethnicity","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Revenue and Customs","Female","40","35","43240","38430"
"In post","2021","Asian","Analysis","HM Revenue and Customs","Male","30","30","37340","36160"
"In post","2021","Asian","Analysis","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","HM Treasury","Female","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","HM Treasury","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence","Male","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government","Female","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Justice","Female","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Justice","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education","Female","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","Female","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","UK Export Finance","Male","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","Female","30","30","34910","32540"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","Male","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Welsh Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office","Female","15","10","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office","Male","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education","Female","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education","Male","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs","Female","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office","Female","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Revenue and Customs","Female","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","HM Revenue and Customs","Male","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence","Female","30","25","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence","Male","30","25","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Justice","Female","40","40","37630","32310"
"In post","2021","Asian","Commercial","Ministry of Justice","Male","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other Cabinet Office Agencies","Male","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","UK Export Finance","Female","10","5","[c]","[c]"
"In post","2021","Asian","Commercial","UK Export Finance","Male","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office","Female","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office","Male","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Competition and Markets Authority","Female","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Digital, Culture, Media and Sport","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Education","Female","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Department for Education","Male","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Environment, Food and Rural Affairs","Female","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Transport","Female","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Department of Health and Social Care","Female","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Department of Health and Social Care","Male","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","ESTYN","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Foreign, Commonwealth and Development Office","Female","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Revenue and Customs","Female","90","90","28710","25560"
"In post","2021","Asian","Communications","HM Revenue and Customs","Male","185","185","28640","25560"
"In post","2021","Asian","Communications","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Treasury","Female","5","5","[c]","[c]"
"In post","2021","Asian","Communications","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Defence","Female","25","20","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Defence","Male","45","45","23040","20290"
"In post","2021","Asian","Communications","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Housing, Communities and Local Government","Female","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Justice","Female","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Gas and Electricity Markets","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Qualifications and Examinations Regulation","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Qualifications and Examinations Regulation","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","The National Archives","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Export Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Supreme Court","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Supreme Court","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Welsh Government","Female","[c]","[c]","[c]","[c]"
