"Status","Year","Function_of_post","Organisation","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Competition and Markets Authority","London","SEO/HEO","40","40","37870","34720"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","G6/G7","15","15","72040","67790"
"In post","2021","Analysis","Debt Management Office","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","G6/G7","200","190","49100","46130"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","SEO/HEO","255","245","33750","37320"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","EO","30","30","29180","27680"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","G6/G7","75","70","62280","57970"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","SEO/HEO","170","170","37120","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","G6/G7","65","65","63180","60130"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","SEO/HEO","65","65","42770","42020"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","EO","15","10","31550","29500"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","G6/G7","60","55","57780","54400"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","SEO/HEO","100","95","41780","45250"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","EO","20","20","26790","25000"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","G6/G7","75","70","53630","50630"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","SEO/HEO","135","130","38830","41990"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","SEO/HEO","10","10","35800","33350"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","EO","10","10","25700","25470"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","G6/G7","15","10","51550","49690"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","SEO/HEO","25","25","32480","31380"
"In post","2021","Analysis","Department for International Trade","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","EO","20","20","27210","26510"
"In post","2021","Analysis","Department for International Trade","London","G6/G7","95","95","54030","51970"
"In post","2021","Analysis","Department for International Trade","London","SCS level","10","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","SEO/HEO","100","100","33190","31800"
"In post","2021","Analysis","Department for International Trade","Outside London","G6/G7","10","10","54610","51970"
"In post","2021","Analysis","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","EO","35","35","29370","29970"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","G6/G7","165","155","58130","54760"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","SCS level","15","15","81090","77960"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","SEO/HEO","165","160","36960","35060"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","SEO/HEO","10","10","34970","31040"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","G6/G7","160","155","58560","54700"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","SEO/HEO","30","25","36450","33100"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","G6/G7","60","55","53780","51420"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","SEO/HEO","20","20","32780","32790"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","EO","15","15","26560","26780"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","AA/AO","10","10","21590","21590"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","EO","15","15","26600","26700"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","SEO/HEO","30","30","34850","33350"
"In post","2021","Analysis","Education and Skills Funding Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","SEO/HEO","20","15","37070","35450"
"In post","2021","Analysis","Food Standards Agency","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","G6/G7","35","35","67000","65590"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","SEO/HEO","25","25","49990","48880"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Forestry and Land Scotland","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","EO","10","10","28300","28230"
"In post","2021","Analysis","Government Actuary's Department","London","G6/G7","100","90","88000","83030"
"In post","2021","Analysis","Government Actuary's Department","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","London","SEO/HEO","50","45","41770","41530"
"In post","2021","Analysis","Government Actuary's Department","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Outside London","G6/G7","15","15","60190","59150"
"In post","2021","Analysis","Health and Safety Executive","Outside London","SEO/HEO","15","15","37730","37650"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Prison and Probation Service","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","EO","20","20","29950","29570"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","G6/G7","135","130","60680","59160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","SCS level","15","10","81880","79930"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","London","SEO/HEO","180","175","38270","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","EO","15","15","26200","25560"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","G6/G7","85","80","51680","52580"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Outside London","SEO/HEO","180","170","34580","31810"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","G6/G7","65","60","58910","55840"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","SCS level","10","10","81660","75240"
"In post","2021","Analysis","HM Treasury (excl. agencies)","London","SEO/HEO","40","40","34220","32320"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Insolvency Service","Outside London","SEO/HEO","10","10","37970","39490"
"In post","2021","Analysis","Maritime and Coastguard Agency","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","EO","15","15","29100","27200"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","G6/G7","10","10","64290","62730"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","London","SEO/HEO","55","55","42400","40640"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","EO","35","35","27830","27850"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","G6/G7","15","15","59390","57540"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Outside London","SEO/HEO","55","55","38550","36610"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","EO","15","15","29640","27850"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","G6/G7","90","85","58300","54750"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","London","SEO/HEO","75","75","35510","34000"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","EO","35","35","27820","27940"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","G6/G7","125","120","60920","58320"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","SCS level","10","10","84050","83690"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","London","SEO/HEO","180","175","38340","40480"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","EO","15","15","21950","21340"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","Outside London","SEO/HEO","25","25","35350","34250"
"In post","2021","Analysis","National Savings and Investments","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","National Savings and Investments","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","G6/G7","10","10","65600","62810"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","London","SEO/HEO","25","25","38360","35010"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","EO","20","15","25790","25880"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","G6/G7","15","15","63380","59810"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","Outside London","SEO/HEO","80","75","35150","32010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","G6/G7","35","35","59290","56130"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","London","SEO/HEO","10","10","36930","36690"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Gas and Electricity Markets","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","G6/G7","15","15","63070","59770"
"In post","2021","Analysis","Office of Rail and Road","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","London","SEO/HEO","10","10","40060","43090"
"In post","2021","Analysis","Office of Rail and Road","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Office of Rail and Road","Outside London","G6/G7","10","10","59340","59210"
"In post","2021","Analysis","Office of Rail and Road","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Planning Inspectorate","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","Outside London","SEO/HEO","15","15","40690","36780"
"In post","2021","Analysis","Rural Payments Agency","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Outside London","EO","10","10","25320","25190"
"In post","2021","Analysis","Rural Payments Agency","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Rural Payments Agency","Outside London","SEO/HEO","15","15","32390","30040"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","London","SEO/HEO","15","15","37810","34850"
"In post","2021","Analysis","UK Intellectual Property Office","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Intellectual Property Office","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","G6/G7","40","40","56230","53140"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","SCS level","10","10","95870","78850"
"In post","2021","Analysis","United Kingdom Statistics Authority","London","SEO/HEO","160","155","34380","32540"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","AA/AO","60","55","19220","19130"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","EO","185","165","24040","23050"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","G6/G7","310","300","52250","50090"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","SCS level","25","25","81850","72670"
"In post","2021","Analysis","United Kingdom Statistics Authority","Outside London","SEO/HEO","895","860","33460","32730"
"In post","2021","Analysis","Valuation Office Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","London","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","London","SEO/HEO","10","10","39390","38430"
"In post","2021","Analysis","Valuation Office Agency","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Valuation Office Agency","Outside London","G6/G7","15","15","55160","54990"
"In post","2021","Analysis","Valuation Office Agency","Outside London","SEO/HEO","15","10","36620","37750"
"In post","2021","Analysis","Wales Office","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","G6/G7","10","10","84940","82920"
"In post","2021","Analysis","Water Services Regulation Authority","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","Outside London","SEO/HEO","10","10","49290","49260"
"In post","2021","Analysis","Welsh Revenue Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Welsh Revenue Authority","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Outside London","AA/AO","15","10","22600","21050"
"In post","2021","Commercial","Animal and Plant Health Agency","Outside London","EO","10","10","26490","25230"
"In post","2021","Commercial","Animal and Plant Health Agency","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","Outside London","SEO/HEO","20","20","35730","37240"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","London","AA/AO","[c]","[c]","[c]","[c]"
