"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Economics","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","EO","10","10","[c]","[c]"
"In post","2021","Asian","Economics","G6/G7","80","75","59410","58850"
"In post","2021","Asian","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","SEO/HEO","75","75","34300","33170"
"In post","2021","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","AA/AO","60","55","22250","21440"
"In post","2021","Asian","Finance","EO","140","135","27250","26670"
"In post","2021","Asian","Finance","G6/G7","150","150","59650","58920"
"In post","2021","Asian","Finance","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Finance","SEO/HEO","380","370","37770","36960"
"In post","2021","Asian","Finance","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","AA/AO","55","50","22520","21400"
"In post","2021","Asian","Human Resources","EO","85","80","27920","27670"
"In post","2021","Asian","Human Resources","G6/G7","65","60","59780","58950"
"In post","2021","Asian","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","SEO/HEO","200","195","36650","35580"
"In post","2021","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","AA/AO","20","20","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","EO","105","100","28530","28990"
"In post","2021","Asian","Intelligence Analysis","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","SEO/HEO","50","50","37440","35970"
"In post","2021","Asian","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","EO","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO/HEO","45","45","41210","40520"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","International Trade","EO","15","15","[c]","[c]"
"In post","2021","Asian","International Trade","G6/G7","30","30","[c]","[c]"
"In post","2021","Asian","International Trade","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","International Trade","SEO/HEO","55","55","35440","35490"
"In post","2021","Asian","Knowledge and Information Management","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","EO","30","30","27040","27230"
"In post","2021","Asian","Knowledge and Information Management","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Knowledge and Information Management","SEO/HEO","50","50","35520","35200"
"In post","2021","Asian","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Legal","EO","130","130","28150","29570"
"In post","2021","Asian","Legal","G6/G7","465","430","57490","54800"
"In post","2021","Asian","Legal","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Legal","SEO/HEO","260","245","38390","38640"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","AA/AO","35","30","22870","22640"
"In post","2021","Asian","Medicine","EO","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","G6/G7","60","50","71560","71600"
"In post","2021","Asian","Medicine","SCS level","75","70","106250","101490"
"In post","2021","Asian","Medicine","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","AA/AO","4455","3950","22480","21430"
"In post","2021","Asian","Operational Delivery","EO","3035","2820","27550","27790"
"In post","2021","Asian","Operational Delivery","G6/G7","260","255","57620","55930"
"In post","2021","Asian","Operational Delivery","SCS level","20","20","[c]","[c]"
"In post","2021","Asian","Operational Delivery","SEO/HEO","1775","1695","36650","35200"
"In post","2021","Asian","Operational Delivery","Unknown","520","480","29170","28200"
"In post","2021","Asian","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Research","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Asian","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","AA/AO","225","210","22490","21590"
"In post","2021","Asian","Other","EO","265","255","26620","27400"
"In post","2021","Asian","Other","G6/G7","90","85","61210","58420"
"In post","2021","Asian","Other","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Other","SEO/HEO","255","250","36980","35470"
"In post","2021","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","AA/AO","75","70","23530","23500"
"In post","2021","Asian","Policy","EO","285","275","28770","28670"
"In post","2021","Asian","Policy","G6/G7","570","555","57830","56120"
"In post","2021","Asian","Policy","SCS level","70","65","81410","76350"
"In post","2021","Asian","Policy","SEO/HEO","920","905","36950","36160"
"In post","2021","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Project Delivery","EO","130","130","27320","27170"
"In post","2021","Asian","Project Delivery","G6/G7","180","180","57930","57300"
"In post","2021","Asian","Project Delivery","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","SEO/HEO","470","460","37280","37000"
"In post","2021","Asian","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Property","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Property","EO","95","90","28150","28330"
"In post","2021","Asian","Property","G6/G7","40","40","57580","54160"
"In post","2021","Asian","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","SEO/HEO","90","90","38660","37450"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","EO","5","5","[c]","[c]"
"In post","2021","Asian","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Asian","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","AA/AO","65","60","22720","22830"
"In post","2021","Asian","Science and Engineering","EO","95","90","26300","27200"
"In post","2021","Asian","Science and Engineering","G6/G7","75","75","57500","55130"
"In post","2021","Asian","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","SEO/HEO","310","300","36840","37320"
"In post","2021","Asian","Science and Engineering","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Security","AA/AO","155","150","24210","22210"
"In post","2021","Asian","Security","EO","45","45","28800","28950"
"In post","2021","Asian","Security","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","SEO/HEO","65","65","40090","38630"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","G6/G7","15","15","[c]","[c]"
"In post","2021","Asian","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","EO","15","15","[c]","[c]"
"In post","2021","Asian","Statistics","G6/G7","40","40","57100","58740"
"In post","2021","Asian","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","SEO/HEO","80","75","37470","37340"
"In post","2021","Asian","Tax","AA/AO","275","250","20390","20140"
"In post","2021","Asian","Tax","EO","335","315","27540","25560"
"In post","2021","Asian","Tax","G6/G7","150","150","56100","52580"
"In post","2021","Asian","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","SEO/HEO","625","605","35110","36160"
"In post","2021","Asian","Unknown","AA/AO","2445","2065","21710","21010"
"In post","2021","Asian","Unknown","EO","4705","4360","28940","27570"
"In post","2021","Asian","Unknown","G6/G7","345","340","58410","56370"
"In post","2021","Asian","Unknown","SCS level","55","55","91910","90000"
"In post","2021","Asian","Unknown","SEO/HEO","885","860","36370","36360"
"In post","2021","Asian","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Asian","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","AA/AO","15","15","[c]","[c]"
"In post","2021","Black","Commercial","EO","35","35","27670","27260"
"In post","2021","Black","Commercial","G6/G7","20","20","[c]","[c]"
"In post","2021","Black","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","SEO/HEO","105","100","38930","38160"
"In post","2021","Black","Commercial","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Communications","AA/AO","5","5","[c]","[c]"
"In post","2021","Black","Communications","EO","25","25","[c]","[c]"
"In post","2021","Black","Communications","G6/G7","15","15","[c]","[c]"
"In post","2021","Black","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","SEO/HEO","65","60","38090","37320"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","EO","10","10","[c]","[c]"
"In post","2021","Black","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","AA/AO","10","10","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","EO","70","70","28380","28440"
"In post","2021","Black","Digital, Data and Technology","G6/G7","85","85","57670","57460"
"In post","2021","Black","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","SEO/HEO","230","230","38070","36970"
"In post","2021","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","EO","10","10","[c]","[c]"
"In post","2021","Black","Economics","G6/G7","15","15","[c]","[c]"
"In post","2021","Black","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","SEO/HEO","35","35","33870","33120"
"In post","2021","Black","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","AA/AO","25","25","[c]","[c]"
"In post","2021","Black","Finance","EO","65","65","28410","28830"
"In post","2021","Black","Finance","G6/G7","75","75","57950","57220"
"In post","2021","Black","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","SEO/HEO","200","200","38510","37710"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","AA/AO","25","25","[c]","[c]"
"In post","2021","Black","Human Resources","EO","65","65","28860","28830"
"In post","2021","Black","Human Resources","G6/G7","45","45","57230","57430"
"In post","2021","Black","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","SEO/HEO","145","145","37610","36350"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","G6/G7","10","10","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","AA/AO","10","10","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","EO","35","30","29740","29220"
"In post","2021","Black","Intelligence Analysis","G6/G7","5","5","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","AA/AO","5","5","[c]","[c]"
"In post","2021","Black","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","G6/G7","5","5","[c]","[c]"
"In post","2021","Black","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","EO","10","10","[c]","[c]"
"In post","2021","Black","International Trade","G6/G7","15","15","[c]","[c]"
"In post","2021","Black","International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","AA/AO","15","15","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","EO","15","15","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","G6/G7","10","10","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","SEO/HEO","35","35","35710","33300"
"In post","2021","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","AA/AO","10","10","[c]","[c]"
"In post","2021","Black","Legal","EO","65","65","29070","29570"
"In post","2021","Black","Legal","G6/G7","220","215","59350","60110"
"In post","2021","Black","Legal","SCS level","10","10","[c]","[c]"
"In post","2021","Black","Legal","SEO/HEO","115","115","38200","38630"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","AA/AO","5","5","[c]","[c]"
"In post","2021","Black","Medicine","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","G6/G7","10","10","[c]","[c]"
"In post","2021","Black","Medicine","SCS level","25","25","[c]","[c]"
"In post","2021","Black","Medicine","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","AA/AO","2595","2415","24840","23520"
"In post","2021","Black","Operational Delivery","EO","1460","1385","28660","28760"
"In post","2021","Black","Operational Delivery","G6/G7","135","135","56910","54160"
"In post","2021","Black","Operational Delivery","SCS level","10","10","[c]","[c]"
"In post","2021","Black","Operational Delivery","SEO/HEO","870","850","37240","35200"
"In post","2021","Black","Operational Delivery","Unknown","790","765","31040","28200"
"In post","2021","Black","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","G6/G7","5","5","[c]","[c]"
"In post","2021","Black","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Research","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","AA/AO","155","145","23250","23090"
"In post","2021","Black","Other","EO","185","175","27290","27590"
"In post","2021","Black","Other","G6/G7","30","30","[c]","[c]"
"In post","2021","Black","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","SEO/HEO","155","155","36580","35200"
"In post","2021","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Black","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","AA/AO","95","90","24390","24100"
"In post","2021","Black","Policy","EO","235","235","29040","28990"
"In post","2021","Black","Policy","G6/G7","230","225","57000","54650"
"In post","2021","Black","Policy","SCS level","20","20","[c]","[c]"
"In post","2021","Black","Policy","SEO/HEO","515","515","37070","36300"
"In post","2021","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","AA/AO","10","10","[c]","[c]"
"In post","2021","Black","Project Delivery","EO","80","80","27860","28070"
"In post","2021","Black","Project Delivery","G6/G7","105","100","57570","57460"
"In post","2021","Black","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","SEO/HEO","295","290","37120","36980"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","AA/AO","10","10","[c]","[c]"
"In post","2021","Black","Property","EO","40","40","28170","28630"
"In post","2021","Black","Property","G6/G7","20","20","[c]","[c]"
"In post","2021","Black","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","SEO/HEO","55","55","38780","37220"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Black","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","AA/AO","40","35","22320","22830"
"In post","2021","Black","Science and Engineering","EO","40","40","26940","27140"
"In post","2021","Black","Science and Engineering","G6/G7","40","40","55990","53940"
"In post","2021","Black","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","SEO/HEO","155","145","36940","37640"
"In post","2021","Black","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Security","AA/AO","70","70","23530","22650"
"In post","2021","Black","Security","EO","15","15","[c]","[c]"
"In post","2021","Black","Security","G6/G7","10","10","[c]","[c]"
"In post","2021","Black","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","G6/G7","5","5","[c]","[c]"
"In post","2021","Black","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","SEO/HEO","20","20","[c]","[c]"
"In post","2021","Black","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","EO","15","15","[c]","[c]"
"In post","2021","Black","Statistics","G6/G7","10","10","[c]","[c]"
"In post","2021","Black","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","SEO/HEO","30","30","39120","38650"
"In post","2021","Black","Tax","AA/AO","65","60","20810","20140"
"In post","2021","Black","Tax","EO","130","125","28160","27570"
"In post","2021","Black","Tax","G6/G7","15","15","[c]","[c]"
"In post","2021","Black","Tax","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Tax","SEO/HEO","220","215","35930","36160"
"In post","2021","Black","Unknown","AA/AO","920","835","22710","22640"
"In post","2021","Black","Unknown","EO","2800","2670","29800","31060"
"In post","2021","Black","Unknown","G6/G7","130","125","58790","56340"
"In post","2021","Black","Unknown","SCS level","15","15","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","495","485","36810","36650"
"In post","2021","Black","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","EO","5","5","[c]","[c]"
"In post","2021","Chinese","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","G6/G7","15","15","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","SEO/HEO","35","35","36910","37110"
"In post","2021","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","G6/G7","10","10","[c]","[c]"
"In post","2021","Chinese","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Chinese","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","EO","10","10","[c]","[c]"
"In post","2021","Chinese","Finance","G6/G7","15","15","[c]","[c]"
"In post","2021","Chinese","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","SEO/HEO","25","25","[c]","[c]"
"In post","2021","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","EO","10","10","[c]","[c]"
"In post","2021","Chinese","Human Resources","G6/G7","5","5","[c]","[c]"
