"Status","Year","Age","Ethnicity","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Black","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Digital, Data and Technology","Male","5","5","[c]","[c]"
