"Status","Year","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","355","335","44470","38750"
"In post","2021","Attorney General's Office","Attorney General's Departments","Communications","10","10","42920","38290"
"In post","2021","Attorney General's Office","Attorney General's Departments","Legal","15","15","69090","65680"
"In post","2021","Attorney General's Office","Attorney General's Departments","Other","10","10","32820","30720"
"In post","2021","Attorney General's Office","Attorney General's Departments","Policy","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Finance","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Human Resources","5","5","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Operational Delivery","25","25","37960","37300"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Other","35","35","46720","43890"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Policy","30","25","54580","54700"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","9345","9165","46690","38230"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","15","15","41820","40320"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Corporate Finance","10","10","31730","26890"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","20","20","30610","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Human Resources","5","5","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Operational Delivery","60","55","33860","29270"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Other","15","10","43240","30220"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","480","455","33720","29750"
"In post","2021","Charity Commission","Charity Commission","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Communications","15","15","41890","37910"
"In post","2021","Charity Commission","Charity Commission","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Digital, Data and Technology","45","45","36970","37910"
"In post","2021","Charity Commission","Charity Commission","Finance","10","10","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Human Resources","10","10","32360","29160"
"In post","2021","Charity Commission","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Legal","25","20","51650","52590"
"In post","2021","Charity Commission","Charity Commission","Operational Delivery","55","55","32020","29160"
"In post","2021","Charity Commission","Charity Commission","Other","20","20","30830","29160"
"In post","2021","Charity Commission","Charity Commission","Policy","10","10","41660","37910"
"In post","2021","Charity Commission","Charity Commission","Project Delivery","15","15","32100","29160"
"In post","2021","Charity Commission","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Unknown","220","210","32970","29160"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Communications","20","20","36610","36240"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","255","250","38840","38000"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Finance","60","55","30930","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","85","80","33040","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Legal","5","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","575","515","24590","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Other","20","20","52090","42610"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Policy","30","25","41520","39820"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","15","15","43350","46140"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Property","10","5","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Security","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Commercial","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Communications","35","35","48650","42290"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","15","15","46260","43490"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","65","65","56530","54550"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Economics","95","90","62530","59510"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Human Resources","35","35","50820","45980"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","35","35","53090","46940"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Legal","130","125","70480","72430"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Policy","25","25","66640","63370"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","375","365","60680","56360"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Property","5","5","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","290","270","25500","22570"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Commercial","370","360","34050","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Communications","20","15","35330","34270"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Digital, Data and Technology","115","115","41230","35760"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Finance","30","30","43110","35860"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Human Resources","30","30","37140","31290"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Operational Delivery","185","180","41070","35570"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Project Delivery","25","25","47290","46920"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","10","10","40390","35280"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","50","50","40730","36930"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","20","20","39520","38610"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","30","30","33810","31110"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","20","20","38010","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","600","565","54610","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","1270","1170","26330","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","20","20","47900","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Commercial","20","20","44140","39880"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Communications","50","50","41310","39750"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","120","120","39820","38180"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Finance","95","90","32650","30130"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Human Resources","145","140","40720","35610"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Legal","3185","2960","54980","55610"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","3055","2820","27280","25480"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Policy","40","40","60170","56580"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Security","30","30","38450","33120"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Legal","15","15","65880","62700"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Other","10","10","41700","28970"
"In post","2021","Debt Management Office","HM Treasury","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Digital, Data and Technology","35","35","53150","53360"
"In post","2021","Debt Management Office","HM Treasury","Finance","10","10","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Operational Delivery","40","40","57830","46010"
"In post","2021","Debt Management Office","HM Treasury","Policy","15","15","75650","61540"
"In post","2021","Debt Management Office","HM Treasury","Project Delivery","5","5","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Security","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Commercial","25","25","32190","30040"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","10","10","30920","31450"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Finance","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","10","10","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Medicine","15","15","28810","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","60","55","30360","28110"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Other","35","30","25920","25950"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","10","10","27930","28110"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Property","15","15","28970","25200"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","240","230","26900","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Commercial","920","880","39490","35570"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Communications","40","35","36510","36030"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","370","355","41030","40640"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Finance","455","440","38920","32860"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Human Resources","190","175","38330","33190"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","180","175","35340","33110"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Other","3465","3310","31410","27950"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Policy","80","75","42760","40890"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Project Delivery","2270","2205","40450","39230"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Property","110","110","35850","33670"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Science and Engineering","2570","2515","37010","36400"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Security","55","55","36820","36090"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","75","70","33740","35520"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Communications","25","25","35780","32500"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Corporate Finance","55","55","39680","37760"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","120","120","45900","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Finance","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","80","70","33990","28650"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","40","40","42440","38680"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Legal","10","10","62670","72050"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","385","365","38980","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","490","470","42750","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","450","430","40740","37360"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Property","40","40","45370","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","20","20","50080","46720"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","2500","2425","39950","37360"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Security","60","60","36300","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Statistics","10","10","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","15","15","49260","48480"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","130","125","48060","45270"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","120","120","45390","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","300","295","46610","39570"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","170","165","52940","54880"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","140","140","48590","49080"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","20","20","43640","41280"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","525","515","45020","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Research","20","20","51220","57620"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","3740","3655","49610","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","65","65","50870","49200"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Science and Engineering","10","10","44820","42940"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Security","25","25","44280","41550"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Statistics","35","35","48690","49160"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","20","20","49290","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Communications","45","40","55210","52120"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Finance","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","20","20","54730","56860"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Economics","75","75","53810","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance","65","65","56710","58490"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Human Resources","65","60","48880","37990"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","International Trade","10","10","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Operational Delivery","10","10","55670","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Operational Research","20","20","41850","42020"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Other","90","85","40850","34330"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Policy","1080","1065","48480","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Project Delivery","210","210","48690","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Property","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Social Research","25","25","56490","59730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Statistics","20","20","49200","43280"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Commercial","190","185","39800","38000"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Communications","240","230","37810","33510"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","580","565","40690","37100"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Finance","465","450","43130","40940"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Human Resources","135","130","34780","29730"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Legal","60","55","54720","57570"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Operational Delivery","585","560","41110","36780"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Policy","2800","2680","45800","41190"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Project Delivery","55","50","47790","49860"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Property","560","550","51020","51910"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Security","35","35","38390","36780"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Commercial","140","135","39210","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","265","250","41570","37790"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","670","645","43890","47550"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Economics","160","160","44720","47550"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Finance","400","390","43210","38060"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Human Resources","260","245","42830","38710"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Operational Delivery","105","100","38900","35900"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Operational Research","15","15","41000","39420"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Policy","2475","2395","43010","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Project Delivery","235","225","42220","37110"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Property","390","370","36760","32560"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Science and Engineering","160","155","43590","39610"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Social Research","35","35","46460","47550"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Statistics","75","70","38190","32840"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Veterinarian","15","15","62200","55750"
"In post","2021","Department for International Trade","Department for International Trade","Commercial","25","25","37490","38160"
"In post","2021","Department for International Trade","Department for International Trade","Communications","140","140","43060","38540"
"In post","2021","Department for International Trade","Department for International Trade","Digital, Data and Technology","120","120","47030","44020"
"In post","2021","Department for International Trade","Department for International Trade","Economics","150","150","43500","33220"
"In post","2021","Department for International Trade","Department for International Trade","Finance","90","90","49850","51970"
"In post","2021","Department for International Trade","Department for International Trade","Human Resources","125","125","43380","38540"
"In post","2021","Department for International Trade","Department for International Trade","International Trade","1295","1280","48330","50430"
"In post","2021","Department for International Trade","Department for International Trade","Knowledge and Information Management","20","20","37320","33380"
"In post","2021","Department for International Trade","Department for International Trade","Legal","10","10","60350","53920"
"In post","2021","Department for International Trade","Department for International Trade","Operational Delivery","110","110","36650","32120"
"In post","2021","Department for International Trade","Department for International Trade","Operational Research","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Other","180","180","39470","32120"
"In post","2021","Department for International Trade","Department for International Trade","Planning","10","10","38910","32120"
"In post","2021","Department for International Trade","Department for International Trade","Policy","215","215","45630","39000"
"In post","2021","Department for International Trade","Department for International Trade","Project Delivery","70","70","45830","41500"
"In post","2021","Department for International Trade","Department for International Trade","Property","5","5","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Security","30","30","44980","41080"
"In post","2021","Department for International Trade","Department for International Trade","Social Research","20","20","44560","46050"
"In post","2021","Department for International Trade","Department for International Trade","Statistics","55","55","43250","39690"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Commercial","90","90","50180","46920"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Communications","115","115","47530","43360"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Corporate Finance","30","25","57340","54650"
