"Status","Year","Age","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tax","Female","80","75","20270","20140"
"In post","2021","16-19","Tax","Male","70","65","20460","20140"
"In post","2021","16-19","Unknown","Female","190","190","22330","21010"
"In post","2021","16-19","Unknown","Male","130","130","22270","21010"
"In post","2021","20-29","Commercial","Female","450","445","30800","29550"
"In post","2021","20-29","Commercial","Male","400","395","30700","29550"
"In post","2021","20-29","Communications","Female","545","545","33710","32440"
"In post","2021","20-29","Communications","Male","290","290","35250","33610"
"In post","2021","20-29","Corporate Finance","Female","10","10","[c]","[c]"
"In post","2021","20-29","Corporate Finance","Male","10","10","[c]","[c]"
"In post","2021","20-29","Counter Fraud","Female","45","45","30510","30730"
"In post","2021","20-29","Counter Fraud","Male","35","35","32340","33100"
"In post","2021","20-29","Digital, Data and Technology","Female","680","670","33550","31810"
"In post","2021","20-29","Digital, Data and Technology","Male","1260","1255","33130","31810"
"In post","2021","20-29","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Economics","Female","420","420","37570","33880"
"In post","2021","20-29","Economics","Male","760","760","37240","34090"
"In post","2021","20-29","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Female","610","600","32150","30080"
"In post","2021","20-29","Finance","Male","600","595","33030","30750"
"In post","2021","20-29","Human Resources","Female","780","770","31060","28970"
"In post","2021","20-29","Human Resources","Male","295","295","31380","28840"
"In post","2021","20-29","Intelligence Analysis","Female","265","260","33470","30220"
"In post","2021","20-29","Intelligence Analysis","Male","275","275","33860","31060"
"In post","2021","20-29","Internal Audit","Female","30","30","34530","33300"
"In post","2021","20-29","Internal Audit","Male","20","20","[c]","[c]"
"In post","2021","20-29","International Trade","Female","225","225","37840","35430"
"In post","2021","20-29","International Trade","Male","235","235","37570","34240"
"In post","2021","20-29","Knowledge and Information Management","Female","150","145","28230","26920"
"In post","2021","20-29","Knowledge and Information Management","Male","135","135","28200","28000"
"In post","2021","20-29","Legal","Female","730","725","34170","30850"
"In post","2021","20-29","Legal","Male","500","500","32690","29570"
"In post","2021","20-29","Medicine","Female","120","115","29110","27420"
"In post","2021","20-29","Medicine","Male","30","30","[c]","[c]"
"In post","2021","20-29","Operational Delivery","Female","15800","15345","25150","23970"
"In post","2021","20-29","Operational Delivery","Male","11810","11665","25370","24880"
"In post","2021","20-29","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Operational Research","Female","140","135","33880","32660"
"In post","2021","20-29","Operational Research","Male","200","200","34610","33930"
"In post","2021","20-29","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other","Female","1340","1315","27790","26250"
"In post","2021","20-29","Other","Male","1280","1275","28200","26950"
"In post","2021","20-29","Planning","Female","10","10","[c]","[c]"
"In post","2021","20-29","Planning","Male","20","20","[c]","[c]"
"In post","2021","20-29","Policy","Female","4265","4240","37980","34710"
"In post","2021","20-29","Policy","Male","3295","3285","38940","35070"
"In post","2021","20-29","Project Delivery","Female","1110","1095","32900","31810"
"In post","2021","20-29","Project Delivery","Male","945","945","32740","31810"
"In post","2021","20-29","Property","Female","290","285","28470","26660"
"In post","2021","20-29","Property","Male","330","325","28790","28080"
"In post","2021","20-29","Psychology","Female","335","335","27480","27380"
"In post","2021","20-29","Psychology","Male","25","25","[c]","[c]"
"In post","2021","20-29","Science and Engineering","Female","975","965","29260","28590"
"In post","2021","20-29","Science and Engineering","Male","1770","1760","28720","28650"
"In post","2021","20-29","Security","Female","305","300","27610","25680"
"In post","2021","20-29","Security","Male","760","760","26510","25680"
"In post","2021","20-29","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Social Research","Female","290","290","35600","33930"
"In post","2021","20-29","Social Research","Male","115","115","36170","34770"
"In post","2021","20-29","Social Research","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Statistics","Female","330","325","35240","33680"
"In post","2021","20-29","Statistics","Male","310","310","34840","33210"
"In post","2021","20-29","Statistics","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Tax","Female","1780","1730","26460","25560"
"In post","2021","20-29","Tax","Male","1955","1925","27440","25560"
"In post","2021","20-29","Unknown","Female","9950","9740","28500","27570"
"In post","2021","20-29","Unknown","Male","7740","7705","28460","27570"
"In post","2021","20-29","Veterinarian","Female","5","5","[c]","[c]"
"In post","2021","20-29","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Commercial","Female","705","655","37330","35430"
"In post","2021","30-39","Commercial","Male","570","570","39750","38260"
"In post","2021","30-39","Communications","Female","715","680","42870","40200"
"In post","2021","30-39","Communications","Male","450","445","43370","40650"
"In post","2021","30-39","Corporate Finance","Female","25","25","[c]","[c]"
"In post","2021","30-39","Corporate Finance","Male","25","25","[c]","[c]"
"In post","2021","30-39","Counter Fraud","Female","100","90","35730","33100"
"In post","2021","30-39","Counter Fraud","Male","95","95","37960","35620"
"In post","2021","30-39","Digital, Data and Technology","Female","1190","1135","40720","38450"
"In post","2021","30-39","Digital, Data and Technology","Male","2115","2110","41190","38450"
"In post","2021","30-39","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Economics","Female","215","205","55930","57580"
"In post","2021","30-39","Economics","Male","335","330","57100","57130"
"In post","2021","30-39","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Female","1070","990","39900","36820"
"In post","2021","30-39","Finance","Male","845","840","43330","39780"
"In post","2021","30-39","Human Resources","Female","1245","1150","37230","33220"
"In post","2021","30-39","Human Resources","Male","500","495","37900","35000"
"In post","2021","30-39","Inspector of Education and Training","Female","50","50","56760","51360"
"In post","2021","30-39","Inspector of Education and Training","Male","25","25","[c]","[c]"
"In post","2021","30-39","Intelligence Analysis","Female","435","405","33900","30340"
"In post","2021","30-39","Intelligence Analysis","Male","470","470","36840","33300"
"In post","2021","30-39","Internal Audit","Female","85","80","40620","39200"
"In post","2021","30-39","Internal Audit","Male","60","60","44680","40580"
"In post","2021","30-39","International Trade","Female","190","185","49680","51970"
"In post","2021","30-39","International Trade","Male","245","245","49430","51970"
"In post","2021","30-39","Knowledge and Information Management","Female","250","230","35520","33300"
"In post","2021","30-39","Knowledge and Information Management","Male","225","225","37840","36360"
"In post","2021","30-39","Legal","Female","1830","1715","47440","51120"
"In post","2021","30-39","Legal","Male","1160","1150","44190","46080"
"In post","2021","30-39","Medicine","Female","435","385","41000","37410"
"In post","2021","30-39","Medicine","Male","140","130","50300","40890"
"In post","2021","30-39","Operational Delivery","Female","20415","18230","27740","25560"
"In post","2021","30-39","Operational Delivery","Male","17170","16965","28580","26300"
"In post","2021","30-39","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Operational Research","Female","130","120","45900","46080"
"In post","2021","30-39","Operational Research","Male","225","220","45400","46080"
"In post","2021","30-39","Other","Female","2015","1870","32270","27850"
"In post","2021","30-39","Other","Male","1780","1775","35170","31850"
"In post","2021","30-39","Planning","Female","30","25","[c]","[c]"
"In post","2021","30-39","Planning","Male","30","30","[c]","[c]"
"In post","2021","30-39","Planning Inspectors","Female","10","10","[c]","[c]"
"In post","2021","30-39","Planning Inspectors","Male","35","35","51880","47660"
"In post","2021","30-39","Policy","Female","4450","4255","48520","51500"
"In post","2021","30-39","Policy","Male","3755","3730","49560","52500"
"In post","2021","30-39","Project Delivery","Female","1985","1885","39960","37640"
"In post","2021","30-39","Project Delivery","Male","1725","1720","42320","39860"
"In post","2021","30-39","Property","Female","460","430","35480","33300"
"In post","2021","30-39","Property","Male","555","555","36360","33300"
"In post","2021","30-39","Psychology","Female","525","495","35200","31180"
"In post","2021","30-39","Psychology","Male","65","65","34670","31180"
"In post","2021","30-39","Science and Engineering","Female","1215","1130","37120","37240"
"In post","2021","30-39","Science and Engineering","Male","1750","1730","39100","38560"
"In post","2021","30-39","Security","Female","405","390","33760","32690"
"In post","2021","30-39","Security","Male","1135","1130","32270","30700"
"In post","2021","30-39","Social Research","Female","230","215","43860","42590"
"In post","2021","30-39","Social Research","Male","125","120","43060","40320"
"In post","2021","30-39","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Statistics","Female","290","270","44790","42950"
"In post","2021","30-39","Statistics","Male","305","300","44120","41500"
"In post","2021","30-39","Statistics","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Tax","Female","1860","1745","31480","31810"
"In post","2021","30-39","Tax","Male","2515","2490","33760","31810"
"In post","2021","30-39","Unknown","Female","12865","11485","31440","27570"
"In post","2021","30-39","Unknown","Male","9425","9320","32890","27570"
"In post","2021","30-39","Veterinarian","Female","75","70","40370","37410"
"In post","2021","30-39","Veterinarian","Male","35","35","37970","37360"
"In post","2021","40-49","Commercial","Female","795","745","42240","39420"
"In post","2021","40-49","Commercial","Male","540","535","45090","41550"
"In post","2021","40-49","Communications","Female","595","545","46210","42420"
"In post","2021","40-49","Communications","Male","450","450","45440","40850"
"In post","2021","40-49","Corporate Finance","Female","30","30","45750","37910"
"In post","2021","40-49","Corporate Finance","Male","20","20","[c]","[c]"
"In post","2021","40-49","Counter Fraud","Female","110","100","35530","34500"
"In post","2021","40-49","Counter Fraud","Male","105","105","41050","39150"
"In post","2021","40-49","Digital, Data and Technology","Female","1270","1205","43380","39560"
"In post","2021","40-49","Digital, Data and Technology","Male","2445","2435","45590","42420"
"In post","2021","40-49","Economics","Female","90","80","64320","60150"
"In post","2021","40-49","Economics","Male","145","145","64650","63470"
"In post","2021","40-49","Finance","Female","1365","1275","41390","37740"
"In post","2021","40-49","Finance","Male","1080","1070","46550","42580"
"In post","2021","40-49","Human Resources","Female","1520","1415","41360","37610"
"In post","2021","40-49","Human Resources","Male","565","560","42510","38630"
"In post","2021","40-49","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Inspector of Education and Training","Female","190","185","62490","64500"
"In post","2021","40-49","Inspector of Education and Training","Male","80","80","73370","75500"
"In post","2021","40-49","Intelligence Analysis","Female","415","380","34850","30150"
"In post","2021","40-49","Intelligence Analysis","Male","440","435","37370","33300"
"In post","2021","40-49","Internal Audit","Female","100","95","45590","42840"
"In post","2021","40-49","Internal Audit","Male","85","85","49290","48780"
"In post","2021","40-49","International Trade","Female","115","110","50160","51970"
"In post","2021","40-49","International Trade","Male","140","140","53400","52400"
"In post","2021","40-49","Knowledge and Information Management","Female","330","305","39140","37340"
"In post","2021","40-49","Knowledge and Information Management","Male","275","270","41360","37840"
"In post","2021","40-49","Legal","Female","2170","1915","51910","52490"
"In post","2021","40-49","Legal","Male","1325","1310","49070","50500"
"In post","2021","40-49","Medicine","Female","515","450","53590","44500"
"In post","2021","40-49","Medicine","Male","215","200","63890","60830"
"In post","2021","40-49","Operational Delivery","Female","22240","19680","29450","25990"
"In post","2021","40-49","Operational Delivery","Male","17360","17055","31230","28410"
"In post","2021","40-49","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Operational Research","Female","95","85","48580","46650"
"In post","2021","40-49","Operational Research","Male","135","130","50790","47880"
"In post","2021","40-49","Other","Female","2450","2290","32750","26670"
"In post","2021","40-49","Other","Male","2300","2280","37430","32670"
"In post","2021","40-49","Planning","Female","30","25","46220","41210"
"In post","2021","40-49","Planning","Male","25","25","[c]","[c]"
"In post","2021","40-49","Planning Inspectors","Female","45","40","55670","58810"
"In post","2021","40-49","Planning Inspectors","Male","55","55","53230","47660"
"In post","2021","40-49","Policy","Female","3550","3290","51690","52070"
"In post","2021","40-49","Policy","Male","3000","2975","54870","54400"
"In post","2021","40-49","Project Delivery","Female","2170","2065","43400","39960"
"In post","2021","40-49","Project Delivery","Male","2030","2020","46790","42000"
"In post","2021","40-49","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Property","Female","715","660","36660","33300"
"In post","2021","40-49","Property","Male","815","810","38750","34270"
"In post","2021","40-49","Psychology","Female","260","235","44970","46370"
"In post","2021","40-49","Psychology","Male","45","45","42400","40060"
"In post","2021","40-49","Science and Engineering","Female","1195","1075","43200","40650"
"In post","2021","40-49","Science and Engineering","Male","1890","1870","43500","42000"
"In post","2021","40-49","Security","Female","385","375","34800","33300"
"In post","2021","40-49","Security","Male","1305","1300","33190","34220"
"In post","2021","40-49","Social Research","Female","175","155","49270","47000"
"In post","2021","40-49","Social Research","Male","60","55","46310","44930"
"In post","2021","40-49","Statistics","Female","200","180","51020","50090"
"In post","2021","40-49","Statistics","Male","225","220","49500","49440"
"In post","2021","40-49","Tax","Female","1645","1510","33680","31810"
"In post","2021","40-49","Tax","Male","1740","1725","35610","31810"
"In post","2021","40-49","Unknown","Female","17830","15555","31270","27570"
"In post","2021","40-49","Unknown","Male","10630","10450","34760","27570"
"In post","2021","40-49","Veterinarian","Female","100","95","44260","38390"
"In post","2021","40-49","Veterinarian","Male","70","70","43910","38260"
"In post","2021","50-59","Commercial","Female","730","700","40930","37920"
"In post","2021","50-59","Commercial","Male","780","775","47670","43580"
"In post","2021","50-59","Communications","Female","390","375","42710","38630"
"In post","2021","50-59","Communications","Male","345","340","41940","36780"
"In post","2021","50-59","Corporate Finance","Female","20","20","[c]","[c]"
"In post","2021","50-59","Corporate Finance","Male","15","15","[c]","[c]"
"In post","2021","50-59","Counter Fraud","Female","125","115","37090","34050"
"In post","2021","50-59","Counter Fraud","Male","175","175","43210","39980"
"In post","2021","50-59","Digital, Data and Technology","Female","1195","1145","42370","38630"
"In post","2021","50-59","Digital, Data and Technology","Male","2200","2175","45050","41340"
"In post","2021","50-59","Economics","Female","45","40","60800","58080"
"In post","2021","50-59","Economics","Male","95","95","66000","64630"
"In post","2021","50-59","Finance","Female","1635","1520","37720","33530"
"In post","2021","50-59","Finance","Male","1140","1120","46530","41980"
"In post","2021","50-59","Human Resources","Female","1630","1545","40120","35950"
"In post","2021","50-59","Human Resources","Male","735","730","42230","38390"
"In post","2021","50-59","Inspector of Education and Training","Female","290","280","64840","64500"
"In post","2021","50-59","Inspector of Education and Training","Male","105","105","73990","75500"
"In post","2021","50-59","Intelligence Analysis","Female","375","355","33010","29450"
"In post","2021","50-59","Intelligence Analysis","Male","490","485","36440","32850"
"In post","2021","50-59","Internal Audit","Female","160","150","46740","43120"
"In post","2021","50-59","Internal Audit","Male","165","160","50430","47240"
"In post","2021","50-59","International Trade","Female","105","100","50450","46010"
"In post","2021","50-59","International Trade","Male","160","160","51900","48220"
"In post","2021","50-59","Knowledge and Information Management","Female","415","390","36300","33300"
"In post","2021","50-59","Knowledge and Information Management","Male","345","340","40390","37410"
"In post","2021","50-59","Legal","Female","1900","1720","51400","52490"
"In post","2021","50-59","Legal","Male","1610","1580","51020","51120"
"In post","2021","50-59","Medicine","Female","495","445","61950","45750"
"In post","2021","50-59","Medicine","Male","245","230","72160","73760"
"In post","2021","50-59","Operational Delivery","Female","27795","24850","28410","25560"
"In post","2021","50-59","Operational Delivery","Male","23645","22655","32470","30830"
"In post","2021","50-59","Operational Research","Female","55","50","49850","46130"
"In post","2021","50-59","Operational Research","Male","145","140","50720","47310"
"In post","2021","50-59","Other","Female","3525","3365","29110","23130"
"In post","2021","50-59","Other","Male","4295","4220","33810","29670"
"In post","2021","50-59","Planning","Female","20","20","[c]","[c]"
"In post","2021","50-59","Planning","Male","25","25","[c]","[c]"
"In post","2021","50-59","Planning Inspectors","Female","55","50","59190","58810"
"In post","2021","50-59","Planning Inspectors","Male","65","65","59240","58810"
"In post","2021","50-59","Policy","Female","2840","2730","47540","42200"
"In post","2021","50-59","Policy","Male","2680","2655","53680","53130"
"In post","2021","50-59","Project Delivery","Female","2340","2255","42740","38630"
"In post","2021","50-59","Project Delivery","Male","2480","2450","48020","42540"
"In post","2021","50-59","Property","Female","1005","950","35250","33000"
"In post","2021","50-59","Property","Male","1615","1600","40070","36520"
"In post","2021","50-59","Psychology","Female","110","100","39200","31180"
"In post","2021","50-59","Psychology","Male","35","30","39150","31180"
"In post","2021","50-59","Science and Engineering","Female","850","780","43510","40760"
"In post","2021","50-59","Science and Engineering","Male","2795","2755","42540","41480"
"In post","2021","50-59","Security","Female","535","515","32600","28840"
"In post","2021","50-59","Security","Male","2470","2455","32840","33000"
"In post","2021","50-59","Social Research","Female","85","80","48840","47000"
"In post","2021","50-59","Social Research","Male","40","40","52830","50370"
"In post","2021","50-59","Statistics","Female","105","100","47930","47270"
"In post","2021","50-59","Statistics","Male","180","180","49380","46000"
"In post","2021","50-59","Tax","Female","2360","2200","35530","31870"
"In post","2021","50-59","Tax","Male","2210","2160","38800","35000"
"In post","2021","50-59","Unknown","Female","25245","22355","29600","27570"
"In post","2021","50-59","Unknown","Male","13190","12800","33920","27570"
"In post","2021","50-59","Veterinarian","Female","60","55","51010","51540"
"In post","2021","50-59","Veterinarian","Male","50","50","53750","52640"
"In post","2021","60-64","Commercial","Female","150","130","40990","37570"
"In post","2021","60-64","Commercial","Male","165","145","46150","42550"
"In post","2021","60-64","Communications","Female","60","55","39910","36310"
"In post","2021","60-64","Communications","Male","70","65","36610","33300"
"In post","2021","60-64","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Corporate Finance","Male","5","5","[c]","[c]"
"In post","2021","60-64","Counter Fraud","Female","20","20","[c]","[c]"
"In post","2021","60-64","Counter Fraud","Male","65","60","40700","38510"
"In post","2021","60-64","Digital, Data and Technology","Female","230","195","38420","34170"
"In post","2021","60-64","Digital, Data and Technology","Male","470","435","44070","40420"
"In post","2021","60-64","Economics","Female","5","5","[c]","[c]"
"In post","2021","60-64","Economics","Male","15","15","[c]","[c]"
"In post","2021","60-64","Finance","Female","345","280","33480","28130"
"In post","2021","60-64","Finance","Male","255","235","43520","41930"
"In post","2021","60-64","Human Resources","Female","300","250","36010","32630"
"In post","2021","60-64","Human Resources","Male","160","140","40410","35000"
"In post","2021","60-64","Inspector of Education and Training","Female","60","60","64720","51360"
"In post","2021","60-64","Inspector of Education and Training","Male","35","30","74440","75500"
"In post","2021","60-64","Intelligence Analysis","Female","60","45","30970","29760"
"In post","2021","60-64","Intelligence Analysis","Male","125","110","36000","32670"
"In post","2021","60-64","Internal Audit","Female","25","20","[c]","[c]"
"In post","2021","60-64","Internal Audit","Male","40","35","46190","45390"
"In post","2021","60-64","International Trade","Female","10","10","[c]","[c]"
"In post","2021","60-64","International Trade","Male","30","30","57340","57870"
"In post","2021","60-64","Knowledge and Information Management","Female","105","90","32820","27570"
"In post","2021","60-64","Knowledge and Information Management","Male","80","75","38240","35790"
"In post","2021","60-64","Legal","Female","335","270","51410","54080"
"In post","2021","60-64","Legal","Male","370","305","50840","52290"
"In post","2021","60-64","Medicine","Female","135","115","59760","37890"
"In post","2021","60-64","Medicine","Male","90","80","81130","80570"
"In post","2021","60-64","Operational Delivery","Female","8035","6255","25730","22430"
"In post","2021","60-64","Operational Delivery","Male","6645","5420","30050","27380"
"In post","2021","60-64","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Operational Research","Female","5","5","[c]","[c]"
"In post","2021","60-64","Operational Research","Male","40","35","54250","56350"
"In post","2021","60-64","Other","Female","1075","970","27160","22080"
"In post","2021","60-64","Other","Male","1605","1520","31320","26930"
"In post","2021","60-64","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Planning","Male","5","5","[c]","[c]"
"In post","2021","60-64","Planning Inspectors","Female","10","5","[c]","[c]"
"In post","2021","60-64","Planning Inspectors","Male","25","20","[c]","[c]"
"In post","2021","60-64","Policy","Female","475","435","43250","37660"
"In post","2021","60-64","Policy","Male","475","430","53550","48080"
"In post","2021","60-64","Project Delivery","Female","370","330","37490","35000"
"In post","2021","60-64","Project Delivery","Male","605","550","45690","41070"
"In post","2021","60-64","Property","Female","225","195","32070","29720"
"In post","2021","60-64","Property","Male","590","545","37950","34620"
"In post","2021","60-64","Psychology","Female","10","10","[c]","[c]"
"In post","2021","60-64","Psychology","Male","10","5","[c]","[c]"
"In post","2021","60-64","Science and Engineering","Female","160","135","40690","37380"
"In post","2021","60-64","Science and Engineering","Male","910","835","40380","38580"
"In post","2021","60-64","Security","Female","75","65","28020","22650"
"In post","2021","60-64","Security","Male","690","630","27830","20920"
"In post","2021","60-64","Social Research","Female","15","15","[c]","[c]"
"In post","2021","60-64","Social Research","Male","10","10","[c]","[c]"
"In post","2021","60-64","Statistics","Female","10","10","[c]","[c]"
"In post","2021","60-64","Statistics","Male","35","30","49330","45070"
"In post","2021","60-64","Tax","Female","585","440","34360","31810"
"In post","2021","60-64","Tax","Male","650","500","40090","35000"
"In post","2021","60-64","Unknown","Female","6950","5250","27290","27570"
"In post","2021","60-64","Unknown","Male","3560","3030","30980","27570"
"In post","2021","60-64","Veterinarian","Female","15","10","[c]","[c]"
"In post","2021","60-64","Veterinarian","Male","20","20","[c]","[c]"
"In post","2021","65+","Commercial","Female","25","20","[c]","[c]"
"In post","2021","65+","Commercial","Male","45","40","39780","37940"
"In post","2021","65+","Communications","Female","15","10","[c]","[c]"
"In post","2021","65+","Communications","Male","25","25","[c]","[c]"
"In post","2021","65+","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","65+","Counter Fraud","Female","10","5","[c]","[c]"
"In post","2021","65+","Counter Fraud","Male","15","10","[c]","[c]"
"In post","2021","65+","Digital, Data and Technology","Female","55","45","35520","31670"
"In post","2021","65+","Digital, Data and Technology","Male","150","125","43050","38830"
"In post","2021","65+","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Economics","Male","5","5","[c]","[c]"
"In post","2021","65+","Finance","Female","90","75","28970","26780"
"In post","2021","65+","Finance","Male","85","75","39110","37460"
"In post","2021","65+","Human Resources","Female","65","55","33420","28240"
"In post","2021","65+","Human Resources","Male","45","40","37410","33300"
"In post","2021","65+","Inspector of Education and Training","Female","15","10","[c]","[c]"
"In post","2021","65+","Inspector of Education and Training","Male","10","5","[c]","[c]"
"In post","2021","65+","Intelligence Analysis","Female","10","10","[c]","[c]"
"In post","2021","65+","Intelligence Analysis","Male","35","30","34250","30500"
"In post","2021","65+","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Internal Audit","Male","15","10","[c]","[c]"
"In post","2021","65+","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","International Trade","Male","10","10","[c]","[c]"
"In post","2021","65+","Knowledge and Information Management","Female","40","30","33840","28310"
"In post","2021","65+","Knowledge and Information Management","Male","30","30","36580","31950"
"In post","2021","65+","Legal","Female","70","50","48110","51950"
"In post","2021","65+","Legal","Male","145","110","52890","55610"
"In post","2021","65+","Medicine","Female","40","35","63780","50090"
"In post","2021","65+","Medicine","Male","45","40","87570","86460"
"In post","2021","65+","Operational Delivery","Female","2350","1695","24960","22350"
"In post","2021","65+","Operational Delivery","Male","2410","1800","28090","25800"
"In post","2021","65+","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Operational Research","Male","15","10","[c]","[c]"
"In post","2021","65+","Other","Female","315","270","25000","21580"
"In post","2021","65+","Other","Male","595","530","29840","26670"
"In post","2021","65+","Planning","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Planning","Male","[c]","[c]","[c]","[c]"
"In post","2021","65+","Planning Inspectors","Female","10","5","[c]","[c]"
"In post","2021","65+","Planning Inspectors","Male","35","20","66610","65270"
"In post","2021","65+","Policy","Female","120","105","39110","34320"
"In post","2021","65+","Policy","Male","130","110","52560","50780"
"In post","2021","65+","Project Delivery","Female","75","65","37340","34350"
"In post","2021","65+","Project Delivery","Male","165","145","42630","39800"
"In post","2021","65+","Property","Female","70","55","26660","26350"
"In post","2021","65+","Property","Male","255","225","33460","33300"
"In post","2021","65+","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","65+","Science and Engineering","Female","60","45","40290","34190"
"In post","2021","65+","Science and Engineering","Male","385","310","39390","36330"
"In post","2021","65+","Security","Female","30","25","25090","22080"
"In post","2021","65+","Security","Male","200","175","26020","21130"
"In post","2021","65+","Social Research","Female","5","5","[c]","[c]"
"In post","2021","65+","Social Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","65+","Statistics","Female","5","5","[c]","[c]"
"In post","2021","65+","Statistics","Male","15","10","[c]","[c]"
"In post","2021","65+","Tax","Female","115","80","33290","31470"
"In post","2021","65+","Tax","Male","235","155","39580","35000"
"In post","2021","65+","Unknown","Female","1805","1265","26480","26240"
"In post","2021","65+","Unknown","Male","1105","855","29340","27570"
"In post","2021","65+","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","65+","Veterinarian","Male","15","10","[c]","[c]"
"In post","2021","Unknown","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Female","[c]","[c]","[c]","[c]"
