"Status","Year","Disability","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared non-disabled","Planning","London","80","75","48720","44630"
"In post","2021","Declared non-disabled","Planning","Outside London","80","75","45730","40720"
"In post","2021","Declared non-disabled","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Planning Inspectors","Outside London","250","220","58270","58810"
"In post","2021","Declared non-disabled","Policy","London","13065","12720","50100","52290"
"In post","2021","Declared non-disabled","Policy","Outside London","5345","5115","42400","37410"
"In post","2021","Declared non-disabled","Policy","Overseas","1290","1285","52460","53470"
"In post","2021","Declared non-disabled","Policy","Unknown","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Project Delivery","London","2560","2505","51000","45200"
"In post","2021","Declared non-disabled","Project Delivery","Outside London","8780","8500","40320","38630"
"In post","2021","Declared non-disabled","Project Delivery","Overseas","100","100","45210","42220"
"In post","2021","Declared non-disabled","Project Delivery","Unknown","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Property","London","750","720","45440","39110"
"In post","2021","Declared non-disabled","Property","Outside London","3890","3720","35520","33300"
"In post","2021","Declared non-disabled","Property","Overseas","160","160","39470","37950"
"In post","2021","Declared non-disabled","Property","Unknown","15","10","[c]","[c]"
"In post","2021","Declared non-disabled","Psychology","London","45","45","43710","42550"
"In post","2021","Declared non-disabled","Psychology","Outside London","970","925","35610","30450"
"In post","2021","Declared non-disabled","Science and Engineering","London","915","860","46350","41030"
"In post","2021","Declared non-disabled","Science and Engineering","Outside London","8505","8180","37900","37110"
"In post","2021","Declared non-disabled","Science and Engineering","Overseas","100","100","43870","42280"
"In post","2021","Declared non-disabled","Science and Engineering","Unknown","50","50","27190","27370"
"In post","2021","Declared non-disabled","Security","London","815","800","39210","35680"
"In post","2021","Declared non-disabled","Security","Outside London","4350","4260","29580","25680"
"In post","2021","Declared non-disabled","Security","Overseas","55","55","36950","34260"
"In post","2021","Declared non-disabled","Security","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Social Research","London","330","320","48580","44220"
"In post","2021","Declared non-disabled","Social Research","Outside London","410","385","42280","43760"
"In post","2021","Declared non-disabled","Statistics","London","620","600","48060","43360"
"In post","2021","Declared non-disabled","Statistics","Outside London","730","700","41210","38010"
"In post","2021","Declared non-disabled","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Tax","London","1345","1280","44710","39800"
"In post","2021","Declared non-disabled","Tax","Outside London","8405","7900","34230","31810"
"In post","2021","Declared non-disabled","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","London","11840","11285","40280","31880"
"In post","2021","Declared non-disabled","Unknown","Outside London","71535","64390","28730","27570"
"In post","2021","Declared non-disabled","Unknown","Overseas","235","235","42660","33300"
"In post","2021","Declared non-disabled","Unknown","Unknown","805","750","32070","27570"
"In post","2021","Declared non-disabled","Veterinarian","London","30","30","54230","52290"
"In post","2021","Declared non-disabled","Veterinarian","Outside London","310","295","45330","44350"
"In post","2021","Undeclared","Commercial","London","65","60","48430","46360"
"In post","2021","Undeclared","Commercial","Outside London","285","275","41120","39220"
"In post","2021","Undeclared","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","London","100","100","47530","42800"
"In post","2021","Undeclared","Communications","Outside London","95","90","36010","33300"
"In post","2021","Undeclared","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Corporate Finance","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","London","30","30","38370","34250"
"In post","2021","Undeclared","Counter Fraud","Outside London","40","40","36790","33350"
"In post","2021","Undeclared","Digital, Data and Technology","London","165","165","48300","44740"
"In post","2021","Undeclared","Digital, Data and Technology","Outside London","545","535","38990","37250"
"In post","2021","Undeclared","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Economics","London","115","115","44870","37090"
"In post","2021","Undeclared","Economics","Outside London","10","10","[c]","[c]"
"In post","2021","Undeclared","Finance","London","160","155","47570","45650"
"In post","2021","Undeclared","Finance","Outside London","360","340","36340","33300"
"In post","2021","Undeclared","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","London","150","145","46730","43750"
"In post","2021","Undeclared","Human Resources","Outside London","255","240","33690","31180"
"In post","2021","Undeclared","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Intelligence Analysis","London","95","90","39920","36970"
"In post","2021","Undeclared","Intelligence Analysis","Outside London","185","180","31030","28350"
"In post","2021","Undeclared","Intelligence Analysis","Overseas","5","5","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","London","25","25","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Outside London","30","30","42960","39980"
"In post","2021","Undeclared","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","International Trade","London","30","30","51300","51970"
"In post","2021","Undeclared","International Trade","Outside London","15","15","[c]","[c]"
"In post","2021","Undeclared","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Knowledge and Information Management","London","40","40","43450","38010"
"In post","2021","Undeclared","Knowledge and Information Management","Outside London","125","115","36830","34530"
"In post","2021","Undeclared","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","London","220","210","55400","56650"
"In post","2021","Undeclared","Legal","Outside London","315","290","38590","33770"
"In post","2021","Undeclared","Medicine","London","30","20","[c]","[c]"
"In post","2021","Undeclared","Medicine","Outside London","95","85","53920","37890"
"In post","2021","Undeclared","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","London","1910","1790","34300","31530"
"In post","2021","Undeclared","Operational Delivery","Outside London","10835","9845","28800","27380"
"In post","2021","Undeclared","Operational Delivery","Overseas","10","10","[c]","[c]"
"In post","2021","Undeclared","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Operational Research","London","30","30","[c]","[c]"
"In post","2021","Undeclared","Operational Research","Outside London","70","70","43340","46080"
"In post","2021","Undeclared","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other","London","275","255","36240","32740"
"In post","2021","Undeclared","Other","Outside London","1070","1030","28250","23530"
"In post","2021","Undeclared","Other","Overseas","5","5","[c]","[c]"
"In post","2021","Undeclared","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning","London","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning","Outside London","5","5","[c]","[c]"
"In post","2021","Undeclared","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Planning Inspectors","Outside London","20","15","[c]","[c]"
"In post","2021","Undeclared","Policy","London","1185","1170","47840","44390"
"In post","2021","Undeclared","Policy","Outside London","395","380","39220","36780"
"In post","2021","Undeclared","Policy","Overseas","70","70","53120","54540"
"In post","2021","Undeclared","Project Delivery","London","225","220","48360","44500"
"In post","2021","Undeclared","Project Delivery","Outside London","690","670","39980","38630"
"In post","2021","Undeclared","Project Delivery","Overseas","15","15","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Property","London","105","100","44470","37380"
"In post","2021","Undeclared","Property","Outside London","415","395","35110","33250"
"In post","2021","Undeclared","Property","Overseas","15","15","[c]","[c]"
"In post","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Psychology","London","5","5","[c]","[c]"
"In post","2021","Undeclared","Psychology","Outside London","130","120","36750","31180"
"In post","2021","Undeclared","Science and Engineering","London","95","90","45130","40070"
"In post","2021","Undeclared","Science and Engineering","Outside London","950","910","38500","37360"
"In post","2021","Undeclared","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Science and Engineering","Unknown","5","5","[c]","[c]"
"In post","2021","Undeclared","Security","London","100","100","42870","39770"
"In post","2021","Undeclared","Security","Outside London","580","565","32850","33300"
"In post","2021","Undeclared","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Social Research","London","25","25","[c]","[c]"
"In post","2021","Undeclared","Social Research","Outside London","20","15","[c]","[c]"
"In post","2021","Undeclared","Statistics","London","60","55","45730","42980"
"In post","2021","Undeclared","Statistics","Outside London","30","30","37890","33250"
"In post","2021","Undeclared","Tax","London","135","125","46500","39800"
"In post","2021","Undeclared","Tax","Outside London","730","680","36540","31810"
"In post","2021","Undeclared","Unknown","London","705","675","39650","31880"
"In post","2021","Undeclared","Unknown","Outside London","4100","3800","27750","27570"
"In post","2021","Undeclared","Unknown","Overseas","25","20","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","35","35","32000","27570"
"In post","2021","Undeclared","Veterinarian","London","10","10","[c]","[c]"
"In post","2021","Undeclared","Veterinarian","Outside London","40","40","45860","37910"
"In post","2021","Unknown","Commercial","London","175","175","48250","40650"
"In post","2021","Unknown","Commercial","Outside London","800","770","36410","34800"
"In post","2021","Unknown","Commercial","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","London","620","610","44380","40640"
"In post","2021","Unknown","Communications","Outside London","330","320","36940","34510"
"In post","2021","Unknown","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","London","10","10","[c]","[c]"
"In post","2021","Unknown","Corporate Finance","Outside London","10","10","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","London","85","80","46020","40270"
"In post","2021","Unknown","Counter Fraud","Outside London","55","50","32860","34050"
"In post","2021","Unknown","Digital, Data and Technology","London","810","800","48550","44950"
"In post","2021","Unknown","Digital, Data and Technology","Outside London","2340","2295","38190","36030"
"In post","2021","Unknown","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Economics","London","410","405","44540","36160"
"In post","2021","Unknown","Economics","Outside London","120","120","34770","29540"
"In post","2021","Unknown","Economics","Overseas","10","10","[c]","[c]"
"In post","2021","Unknown","Finance","London","415","415","45650","40650"
"In post","2021","Unknown","Finance","Outside London","995","935","35080","30820"
"In post","2021","Unknown","Finance","Overseas","10","10","[c]","[c]"
"In post","2021","Unknown","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","London","330","320","42370","36950"
"In post","2021","Unknown","Human Resources","Outside London","830","785","31980","28970"
"In post","2021","Unknown","Human Resources","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","London","30","30","[c]","[c]"
"In post","2021","Unknown","Inspector of Education and Training","Outside London","45","45","57900","51360"
"In post","2021","Unknown","Intelligence Analysis","London","250","245","49510","53360"
"In post","2021","Unknown","Intelligence Analysis","Outside London","145","140","34440","31810"
"In post","2021","Unknown","Intelligence Analysis","Overseas","10","10","[c]","[c]"
"In post","2021","Unknown","Internal Audit","London","5","5","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Outside London","40","35","40870","40100"
"In post","2021","Unknown","International Trade","London","430","425","45550","38540"
"In post","2021","Unknown","International Trade","Outside London","55","55","35950","31810"
"In post","2021","Unknown","International Trade","Overseas","60","60","55960","53750"
"In post","2021","Unknown","Knowledge and Information Management","London","145","135","41780","38160"
"In post","2021","Unknown","Knowledge and Information Management","Outside London","200","185","36660","34520"
"In post","2021","Unknown","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Legal","London","980","930","51390","51410"
"In post","2021","Unknown","Legal","Outside London","1505","1425","38720","35000"
"In post","2021","Unknown","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Medicine","London","160","150","79350","72070"
"In post","2021","Unknown","Medicine","Outside London","530","465","53900","37890"
"In post","2021","Unknown","Medicine","Overseas","15","15","[c]","[c]"
"In post","2021","Unknown","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Operational Delivery","London","4235","4115","34720","30850"
"In post","2021","Unknown","Operational Delivery","Outside London","28555","26385","26330","23840"
"In post","2021","Unknown","Operational Delivery","Overseas","70","70","62830","61330"
"In post","2021","Unknown","Operational Delivery","Unknown","70","70","40070","42440"
"In post","2021","Unknown","Operational Research","London","65","65","45670","40480"
"In post","2021","Unknown","Operational Research","Outside London","100","95","40570","37600"
"In post","2021","Unknown","Other","London","840","810","40810","33080"
"In post","2021","Unknown","Other","Outside London","2420","2300","28480","25750"
"In post","2021","Unknown","Other","Overseas","240","240","47690","46620"
"In post","2021","Unknown","Other","Unknown","1835","1835","37640","34460"
"In post","2021","Unknown","Planning","London","10","10","[c]","[c]"
"In post","2021","Unknown","Planning","Outside London","10","5","[c]","[c]"
"In post","2021","Unknown","Planning Inspectors","Outside London","65","55","56520","58810"
"In post","2021","Unknown","Policy","London","3765","3695","47420","41950"
"In post","2021","Unknown","Policy","Outside London","1240","1200","39840","36500"
"In post","2021","Unknown","Policy","Overseas","260","260","55390","55060"
"In post","2021","Unknown","Policy","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Project Delivery","London","540","525","48860","42660"
"In post","2021","Unknown","Project Delivery","Outside London","1580","1530","40020","38630"
"In post","2021","Unknown","Project Delivery","Overseas","30","30","[c]","[c]"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","London","170","170","40040","36150"
"In post","2021","Unknown","Property","Outside London","850","810","30940","27080"
"In post","2021","Unknown","Property","Overseas","15","15","[c]","[c]"
"In post","2021","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Psychology","London","10","10","[c]","[c]"
"In post","2021","Unknown","Psychology","Outside London","145","135","34530","31060"
"In post","2021","Unknown","Science and Engineering","London","350","335","47860","44950"
"In post","2021","Unknown","Science and Engineering","Outside London","1955","1875","38350","37320"
"In post","2021","Unknown","Science and Engineering","Overseas","15","15","[c]","[c]"
"In post","2021","Unknown","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Security","London","215","210","35760","32260"
"In post","2021","Unknown","Security","Outside London","1575","1550","30500","27680"
"In post","2021","Unknown","Security","Overseas","10","10","[c]","[c]"
"In post","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
