"Status","Year","Disability","Function_of_post","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Operational Research","Female","30","30","39920","37340"
"In post","2021","Declared disabled","Analysis","Operational Research","Male","50","45","44110","38810"
"In post","2021","Declared disabled","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","Female","10","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Female","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","Female","65","60","41340","37950"
"In post","2021","Declared disabled","Analysis","Social Research","Male","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","Female","75","65","42160","38750"
"In post","2021","Declared disabled","Analysis","Statistics","Male","80","80","43330","38090"
"In post","2021","Declared disabled","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","Female","240","230","38460","36780"
"In post","2021","Declared disabled","Commercial","Commercial","Male","140","135","40100","40580"
"In post","2021","Declared disabled","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","Female","50","50","32000","28670"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","Male","50","50","36150","33000"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Veterinarian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","Female","130","125","37760","33750"
"In post","2021","Declared disabled","Communications","Communications","Male","100","100","35700","33960"
"In post","2021","Declared disabled","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","Female","70","60","27770","27230"
"In post","2021","Declared disabled","Communications","Operational Delivery","Male","60","55","26400","25560"
"In post","2021","Declared disabled","Communications","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","Female","70","60","28120","25560"
"In post","2021","Declared disabled","Communications","Tax","Male","60","55","28920","27230"
"In post","2021","Declared disabled","Communications","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","Female","115","100","28620","27230"
"In post","2021","Declared disabled","Counter Fraud","Legal","Male","120","115","33870","31810"
"In post","2021","Declared disabled","Counter Fraud","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","Female","180","160","29920","28130"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","Male","115","105","29990","28130"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","Female","80","70","39100","35580"
"In post","2021","Declared disabled","Counter Fraud","Tax","Male","80","75","40540","33530"
"In post","2021","Declared disabled","Counter Fraud","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Operational Delivery","Female","220","180","23280","21440"
"In post","2021","Declared disabled","Debt","Operational Delivery","Male","120","110","22980","21400"
"In post","2021","Declared disabled","Debt","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Debt","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Female","345","325","36830","33520"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Male","510","500","39430","36160"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Tax","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Tax","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","Female","55","50","46720","54700"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","Male","55","55","45850","46940"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Corporate Finance","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Finance","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Finance","Female","385","350","35930","32300"
"In post","2021","Declared disabled","Finance","Finance","Male","255","250","39960","37000"
"In post","2021","Declared disabled","Finance","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Internal Audit","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Internal Audit","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Legal","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Legal","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Operational Delivery","Female","50","45","30750","26270"
"In post","2021","Declared disabled","Finance","Operational Delivery","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Finance","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Operational Research","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Operational Research","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Other","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Finance","Other","Male","15","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Policy","Male","[c]","[c]","[c]","[c]"
