"Status","Year","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Property","Unknown","Unknown","45","45","26750","21600"
"In post","2021","Psychology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Psychology","AA/AO","AO","70","65","21270","21300"
"In post","2021","Psychology","EO","EO","425","410","26890","26330"
"In post","2021","Psychology","G6/G7","G6","20","20","75370","72130"
"In post","2021","Psychology","G6/G7","G7","100","90","61330","61150"
"In post","2021","Psychology","SEO/HEO","HEO","435","425","30640","30450"
"In post","2021","Psychology","SEO/HEO","SEO","365","340","45380","45110"
"In post","2021","Psychology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Science and Engineering","AA/AO","AA","195","190","18550","18800"
"In post","2021","Science and Engineering","AA/AO","AO","1205","1160","22240","22160"
"In post","2021","Science and Engineering","EO","EO","2000","1945","25870","26370"
"In post","2021","Science and Engineering","G6/G7","G6","595","555","69400","67220"
"In post","2021","Science and Engineering","G6/G7","G7","2535","2420","52410","52310"
"In post","2021","Science and Engineering","SCS level","SCS level","130","115","98650","94590"
"In post","2021","Science and Engineering","SEO/HEO","HEO","3090","2980","32500","32360"
"In post","2021","Science and Engineering","SEO/HEO","SEO","3520","3350","41040","40580"
"In post","2021","Science and Engineering","Unknown","Unknown","815","805","39340","37030"
"In post","2021","Security","AA/AO","AA","2440","2385","20080","19560"
"In post","2021","Security","AA/AO","AO","2980","2925","32390","33200"
"In post","2021","Security","EO","EO","1095","1070","32830","29080"
"In post","2021","Security","G6/G7","G6","80","80","71120","68960"
"In post","2021","Security","G6/G7","G7","260","260","56230","54650"
"In post","2021","Security","SCS level","SCS level","25","25","87250","76710"
"In post","2021","Security","SEO/HEO","HEO","795","780","36900","34770"
"In post","2021","Security","SEO/HEO","SEO","555","545","45640","43360"
"In post","2021","Security","Unknown","Unknown","80","80","37190","37170"
"In post","2021","Social Research","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Social Research","AA/AO","AO","10","10","[c]","[c]"
"In post","2021","Social Research","EO","EO","40","40","29470","28850"
"In post","2021","Social Research","G6/G7","G6","50","50","66000","66600"
"In post","2021","Social Research","G6/G7","G7","270","255","54540","54760"
"In post","2021","Social Research","SCS level","SCS level","15","10","78570","76970"
"In post","2021","Social Research","SEO/HEO","HEO","325","315","31890","31000"
"In post","2021","Social Research","SEO/HEO","SEO","455","430","41280","40480"
"In post","2021","Statistics","AA/AO","AA","5","5","[c]","[c]"
"In post","2021","Statistics","AA/AO","AO","35","30","22200","21860"
"In post","2021","Statistics","EO","EO","250","240","27760","27850"
"In post","2021","Statistics","G6/G7","G6","140","135","65720","65520"
"In post","2021","Statistics","G6/G7","G7","525","500","54800","54650"
"In post","2021","Statistics","SCS level","SCS level","55","55","84830","78340"
"In post","2021","Statistics","SEO/HEO","HEO","535","520","33360","32540"
"In post","2021","Statistics","SEO/HEO","SEO","500","485","40500","39850"
"In post","2021","Tax","AA/AO","AO","3790","3570","20260","20140"
"In post","2021","Tax","EO","EO","4060","3775","26550","25560"
"In post","2021","Tax","G6/G7","G6","665","625","66790","64670"
"In post","2021","Tax","G6/G7","G7","2050","1965","53730","52580"
"In post","2021","Tax","SCS level","SCS level","85","85","81910","78760"
"In post","2021","Tax","SEO/HEO","HEO","5320","5035","32970","31810"
"In post","2021","Tax","SEO/HEO","SEO","1835","1740","39290","38630"
"In post","2021","Unknown","AA/AO","AA","1650","1515","21170","21150"
"In post","2021","Unknown","AA/AO","AO","32700","28335","21310","21010"
"In post","2021","Unknown","EO","EO","53220","48450","28070","27570"
"In post","2021","Unknown","G6/G7","G6","2985","2900","69600","68750"
"In post","2021","Unknown","G6/G7","G7","6645","6425","55100","54700"
"In post","2021","Unknown","SCS level","SCS level","1655","1625","91410","82040"
"In post","2021","Unknown","SEO/HEO","HEO","14660","14060","33240","32470"
"In post","2021","Unknown","SEO/HEO","SEO","6865","6590","40730","40000"
"In post","2021","Unknown","Unknown","Unknown","250","245","92180","93020"
"In post","2021","Veterinarian","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","G6/G7","G6","30","25","63150","62520"
"In post","2021","Veterinarian","G6/G7","G7","120","120","54220","53880"
"In post","2021","Veterinarian","SCS level","SCS level","5","5","[c]","[c]"
"In post","2021","Veterinarian","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Veterinarian","SEO/HEO","SEO","285","270","40720","37910"
"Leaver CS","2021","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","AO","10","[c]","20290","20920"
"Leaver CS","2021","Commercial","EO","EO","25","[c]","23240","22780"
"Leaver CS","2021","Commercial","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","G7","35","[c]","55100","53350"
"Leaver CS","2021","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","HEO","35","[c]","31410","32010"
"Leaver CS","2021","Commercial","SEO/HEO","SEO","60","[c]","40020","40110"
"Leaver CS","2021","Commercial","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","AO","25","[c]","20810","20920"
"Leaver CS","2021","Communications","EO","EO","40","[c]","27040","27760"
"Leaver CS","2021","Communications","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","G7","30","[c]","55040","54110"
"Leaver CS","2021","Communications","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","HEO","75","[c]","33200","32930"
"Leaver CS","2021","Communications","SEO/HEO","SEO","40","[c]","41580","40580"
"Leaver CS","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","HEO","15","[c]","35280","34910"
"Leaver CS","2021","Counter Fraud","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","AO","40","[c]","21470","21170"
"Leaver CS","2021","Digital, Data and Technology","EO","EO","85","[c]","27190","26670"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","G6","30","[c]","68490","65950"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","G7","90","[c]","57030","56320"
"Leaver CS","2021","Digital, Data and Technology","SCS level","SCS level","15","[c]","99180","96740"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","HEO","90","[c]","33970","33290"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","SEO","100","[c]","41530","40810"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","AA/AO","AO","60","[c]","20650","19130"
"Leaver CS","2021","Economics","EO","EO","10","[c]","[c]","[c]"
"Leaver CS","2021","Economics","G6/G7","G6","5","[c]","[c]","[c]"
"Leaver CS","2021","Economics","G6/G7","G7","15","[c]","58850","56520"
"Leaver CS","2021","Economics","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SEO/HEO","HEO","20","[c]","31930","32240"
"Leaver CS","2021","Economics","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","AA","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","AO","25","[c]","21620","21150"
"Leaver CS","2021","Finance","EO","EO","40","[c]","25390","26000"
"Leaver CS","2021","Finance","G6/G7","G6","20","[c]","67370","66370"
"Leaver CS","2021","Finance","G6/G7","G7","45","[c]","61300","59100"
"Leaver CS","2021","Finance","SCS level","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","HEO","60","[c]","35850","34170"
"Leaver CS","2021","Finance","SEO/HEO","SEO","50","[c]","43620","42240"
"Leaver CS","2021","Human Resources","AA/AO","AA","5","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","AO","60","[c]","21650","21370"
"Leaver CS","2021","Human Resources","EO","EO","50","[c]","26160","27000"
"Leaver CS","2021","Human Resources","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","G7","45","[c]","56300","56100"
"Leaver CS","2021","Human Resources","SCS level","SCS level","10","[c]","105540","108750"
"Leaver CS","2021","Human Resources","SEO/HEO","HEO","60","[c]","33800","33250"
"Leaver CS","2021","Human Resources","SEO/HEO","SEO","60","[c]","43480","43640"
"Leaver CS","2021","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","G6","15","[c]","81220","85550"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","G7","30","[c]","75150","75500"
"Leaver CS","2021","Inspector of Education and Training","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SEO/HEO","SEO","30","[c]","50400","51360"
"Leaver CS","2021","Intelligence Analysis","AA/AO","AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","EO","EO","40","[c]","29060","28520"
"Leaver CS","2021","Intelligence Analysis","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","G6/G7","G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SEO/HEO","HEO","25","[c]","35190","33950"
"Leaver CS","2021","Intelligence Analysis","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","G6","10","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","G7","10","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","SEO","10","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","AA/AO","AO","15","[c]","18650","18200"
"Leaver CS","2021","International Trade","EO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","G6/G7","G7","5","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SCS level","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SEO/HEO","HEO","10","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SEO/HEO","SEO","5","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","AA/AO","AO","20","[c]","21670","21250"
"Leaver CS","2021","Knowledge and Information Management","EO","EO","25","[c]","25960","26670"
"Leaver CS","2021","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","G6/G7","G7","10","[c]","54390","53860"
"Leaver CS","2021","Knowledge and Information Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","SEO/HEO","HEO","20","[c]","32940","32650"
"Leaver CS","2021","Knowledge and Information Management","SEO/HEO","SEO","25","[c]","40890","40470"
"Leaver CS","2021","Knowledge and Information Management","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","AO","5","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","EO","20","[c]","27360","27130"
"Leaver CS","2021","Legal","G6/G7","G6","40","[c]","71500","72200"
"Leaver CS","2021","Legal","G6/G7","G7","200","[c]","56030","55610"
"Leaver CS","2021","Legal","SCS level","SCS level","20","[c]","93420","83910"
"Leaver CS","2021","Legal","SEO/HEO","HEO","30","[c]","33660","33770"
"Leaver CS","2021","Legal","SEO/HEO","SEO","95","[c]","43570","43460"
"Leaver CS","2021","Medicine","AA/AO","AA","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","AA/AO","AO","40","[c]","22150","21910"
"Leaver CS","2021","Medicine","EO","EO","40","[c]","29640","30620"
"Leaver CS","2021","Medicine","G6/G7","G6","40","[c]","81410","82490"
"Leaver CS","2021","Medicine","G6/G7","G7","20","[c]","58100","54540"
"Leaver CS","2021","Medicine","SCS level","SCS level","40","[c]","106450","110680"
"Leaver CS","2021","Medicine","SEO/HEO","HEO","45","[c]","36080","37890"
"Leaver CS","2021","Medicine","SEO/HEO","SEO","30","[c]","41900","41720"
"Leaver CS","2021","Operational Delivery","AA/AO","AA","1110","[c]","18110","17990"
"Leaver CS","2021","Operational Delivery","AA/AO","AO","4100","[c]","21260","21050"
"Leaver CS","2021","Operational Delivery","EO","EO","1280","[c]","27360","26700"
"Leaver CS","2021","Operational Delivery","G6/G7","G6","75","[c]","71330","68830"
"Leaver CS","2021","Operational Delivery","G6/G7","G7","195","[c]","55170","55000"
"Leaver CS","2021","Operational Delivery","SCS level","SCS level","40","[c]","100860","94860"
"Leaver CS","2021","Operational Delivery","SEO/HEO","HEO","525","[c]","33530","32950"
"Leaver CS","2021","Operational Delivery","SEO/HEO","SEO","320","[c]","43410","41970"
"Leaver CS","2021","Operational Delivery","Unknown","Unknown","610","[c]","31890","34340"
"Leaver CS","2021","Operational Research","AA/AO","AA","15","[c]","17180","17180"
"Leaver CS","2021","Operational Research","AA/AO","AO","[c]","[c]","[c]","[c]"
