"Status","Year","Age","Disability","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","Declared non-disabled","Unknown","2610","2415","34330","34340"
"In post","2021","40-49","Undeclared","AA/AO","2020","1850","24580","21590"
"In post","2021","40-49","Undeclared","EO","1700","1615","28460","27570"
"In post","2021","40-49","Undeclared","G6/G7","890","865","58680","57230"
"In post","2021","40-49","Undeclared","SCS level","105","100","86530","81080"
"In post","2021","40-49","Undeclared","SEO/HEO","1920","1865","37720","37280"
"In post","2021","40-49","Undeclared","Unknown","185","175","34190","34220"
"In post","2021","40-49","Unknown","AA/AO","4385","3995","22480","21220"
"In post","2021","40-49","Unknown","EO","3230","3070","28190","27570"
"In post","2021","40-49","Unknown","G6/G7","3415","3280","59270","57040"
"In post","2021","40-49","Unknown","SCS level","595","580","90470","80640"
"In post","2021","40-49","Unknown","SEO/HEO","4630","4460","37780","37480"
"In post","2021","40-49","Unknown","Unknown","565","545","38320","34340"
"In post","2021","50-59","Declared disabled","AA/AO","5675","5020","22020","21010"
"In post","2021","50-59","Declared disabled","EO","5995","5485","28010","27570"
"In post","2021","50-59","Declared disabled","G6/G7","1600","1555","59620","57790"
"In post","2021","50-59","Declared disabled","SCS level","170","170","93760","84710"
"In post","2021","50-59","Declared disabled","SEO/HEO","4255","4085","37390","36460"
"In post","2021","50-59","Declared disabled","Unknown","750","710","33180","32690"
"In post","2021","50-59","Declared non-disabled","AA/AO","25710","23080","22310","21010"
"In post","2021","50-59","Declared non-disabled","EO","26820","24795","28010","27570"
"In post","2021","50-59","Declared non-disabled","G6/G7","13045","12730","60370","59160"
"In post","2021","50-59","Declared non-disabled","SCS level","1850","1815","94410","86370"
"In post","2021","50-59","Declared non-disabled","SEO/HEO","24950","24125","37810","36780"
"In post","2021","50-59","Declared non-disabled","Unknown","2400","2275","34760","33700"
"In post","2021","50-59","Undeclared","AA/AO","3700","3405","25260","22080"
"In post","2021","50-59","Undeclared","EO","2505","2370","28840","27570"
"In post","2021","50-59","Undeclared","G6/G7","1005","985","60090","58210"
"In post","2021","50-59","Undeclared","SCS level","100","100","93110","84500"
"In post","2021","50-59","Undeclared","SEO/HEO","2695","2615","38470","37660"
"In post","2021","50-59","Undeclared","Unknown","215","205","34330","34000"
"In post","2021","50-59","Unknown","AA/AO","5400","4860","22150","21430"
"In post","2021","50-59","Unknown","EO","3870","3680","29370","28410"
"In post","2021","50-59","Unknown","G6/G7","2775","2700","60880","59160"
"In post","2021","50-59","Unknown","SCS level","505","495","102100","93890"
"In post","2021","50-59","Unknown","SEO/HEO","4390","4245","38630","38630"
"In post","2021","50-59","Unknown","Unknown","655","640","41430","36330"
"In post","2021","60-64","Declared disabled","AA/AO","2210","1765","21610","21010"
"In post","2021","60-64","Declared disabled","EO","1745","1380","28080","27570"
"In post","2021","60-64","Declared disabled","G6/G7","295","255","60620","59160"
"In post","2021","60-64","Declared disabled","SCS level","35","30","92470","88900"
"In post","2021","60-64","Declared disabled","SEO/HEO","945","790","37680","36460"
"In post","2021","60-64","Declared disabled","Unknown","290","250","31920","28860"
"In post","2021","60-64","Declared non-disabled","AA/AO","9210","7510","21770","21010"
"In post","2021","60-64","Declared non-disabled","EO","7325","5800","28040","27570"
"In post","2021","60-64","Declared non-disabled","G6/G7","2190","1930","61890","60510"
"In post","2021","60-64","Declared non-disabled","SCS level","310","285","102750","94190"
"In post","2021","60-64","Declared non-disabled","SEO/HEO","5285","4475","38280","36760"
"In post","2021","60-64","Declared non-disabled","Unknown","750","655","32560","30210"
"In post","2021","60-64","Undeclared","AA/AO","1205","960","23920","21550"
"In post","2021","60-64","Undeclared","EO","645","535","28580","27570"
"In post","2021","60-64","Undeclared","G6/G7","175","150","62670","61090"
"In post","2021","60-64","Undeclared","SCS level","25","20","[c]","[c]"
"In post","2021","60-64","Undeclared","SEO/HEO","525","450","37990","37150"
"In post","2021","60-64","Undeclared","Unknown","50","45","35820","37170"
"In post","2021","60-64","Unknown","AA/AO","1905","1560","21550","21130"
"In post","2021","60-64","Unknown","EO","930","750","28930","28130"
"In post","2021","60-64","Unknown","G6/G7","445","395","61060","59120"
"In post","2021","60-64","Unknown","SCS level","80","70","109500","104930"
"In post","2021","60-64","Unknown","SEO/HEO","970","820","39110","38630"
"In post","2021","60-64","Unknown","Unknown","160","150","38900","37000"
"In post","2021","65+","Declared disabled","AA/AO","740","560","21330","21010"
"In post","2021","65+","Declared disabled","EO","495","355","28100","27570"
"In post","2021","65+","Declared disabled","G6/G7","70","55","63100","62260"
"In post","2021","65+","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared disabled","SEO/HEO","275","210","38160","36460"
"In post","2021","65+","Declared disabled","Unknown","75","60","32150","32390"
"In post","2021","65+","Declared non-disabled","AA/AO","3355","2580","21560","21010"
"In post","2021","65+","Declared non-disabled","EO","2110","1555","28110","27570"
"In post","2021","65+","Declared non-disabled","G6/G7","595","460","63360","61000"
"In post","2021","65+","Declared non-disabled","SCS level","65","50","102670","95890"
"In post","2021","65+","Declared non-disabled","SEO/HEO","1345","1050","38490","36950"
"In post","2021","65+","Declared non-disabled","Unknown","270","215","33110","31420"
"In post","2021","65+","Undeclared","AA/AO","435","320","23040","21180"
"In post","2021","65+","Undeclared","EO","190","150","28160","27570"
"In post","2021","65+","Undeclared","G6/G7","40","35","62560","61010"
"In post","2021","65+","Undeclared","SCS level","10","10","[c]","[c]"
"In post","2021","65+","Undeclared","SEO/HEO","140","110","38580","36650"
"In post","2021","65+","Undeclared","Unknown","25","20","[c]","[c]"
"In post","2021","65+","Unknown","AA/AO","640","505","21500","21010"
"In post","2021","65+","Unknown","EO","275","210","28540","28130"
"In post","2021","65+","Unknown","G6/G7","155","120","64370","62590"
"In post","2021","65+","Unknown","SCS level","35","30","111220","105560"
"In post","2021","65+","Unknown","SEO/HEO","265","205","39070","38630"
"In post","2021","65+","Unknown","Unknown","35","35","37000","32700"
"In post","2021","Unknown","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","EO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","EO","15","10","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","EO","10","10","[c]","[c]"
"In post","2021","Unknown","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","SEO/HEO","10","10","[c]","[c]"
"Leaver CS","2021","16-19","Declared disabled","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared disabled","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared non-disabled","AA/AO","45","[c]","20650","21010"
"Leaver CS","2021","16-19","Declared non-disabled","EO","5","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","AA/AO","35","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared disabled","AA/AO","190","[c]","21010","21010"
"Leaver CS","2021","20-29","Declared disabled","EO","55","[c]","26380","27130"
"Leaver CS","2021","20-29","Declared disabled","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared disabled","SEO/HEO","40","[c]","32860","32140"
"Leaver CS","2021","20-29","Declared disabled","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","AA/AO","1580","[c]","21340","21010"
"Leaver CS","2021","20-29","Declared non-disabled","EO","525","[c]","26090","26670"
"Leaver CS","2021","20-29","Declared non-disabled","G6/G7","40","[c]","54700","53210"
"Leaver CS","2021","20-29","Declared non-disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","SEO/HEO","385","[c]","34350","33630"
"Leaver CS","2021","20-29","Declared non-disabled","Unknown","95","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","AA/AO","85","[c]","21400","21010"
"Leaver CS","2021","20-29","Undeclared","EO","30","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","SEO/HEO","45","[c]","31330","33000"
"Leaver CS","2021","20-29","Undeclared","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","AA/AO","1260","[c]","20780","20830"
"Leaver CS","2021","20-29","Unknown","EO","495","[c]","25530","26550"
"Leaver CS","2021","20-29","Unknown","G6/G7","40","[c]","53810","54670"
"Leaver CS","2021","20-29","Unknown","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","SEO/HEO","295","[c]","33620","32540"
"Leaver CS","2021","20-29","Unknown","Unknown","180","[c]","27560","28420"
"Leaver CS","2021","30-39","Declared disabled","AA/AO","110","[c]","21940","21010"
"Leaver CS","2021","30-39","Declared disabled","EO","70","[c]","27440","27570"
"Leaver CS","2021","30-39","Declared disabled","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","SEO/HEO","55","[c]","35860","34860"
"Leaver CS","2021","30-39","Declared disabled","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared non-disabled","AA/AO","890","[c]","21610","21010"
"Leaver CS","2021","30-39","Declared non-disabled","EO","425","[c]","27060","27570"
"Leaver CS","2021","30-39","Declared non-disabled","G6/G7","300","[c]","57270","54560"
"Leaver CS","2021","30-39","Declared non-disabled","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared non-disabled","SEO/HEO","480","[c]","37160","37180"
"Leaver CS","2021","30-39","Declared non-disabled","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","AA/AO","105","[c]","21960","21010"
"Leaver CS","2021","30-39","Undeclared","EO","35","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","SEO/HEO","55","[c]","35840","34530"
"Leaver CS","2021","30-39","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","AA/AO","550","[c]","21460","21010"
"Leaver CS","2021","30-39","Unknown","EO","290","[c]","28430","27570"
"Leaver CS","2021","30-39","Unknown","G6/G7","150","[c]","57540","55060"
"Leaver CS","2021","30-39","Unknown","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","SEO/HEO","280","[c]","36190","36470"
"Leaver CS","2021","30-39","Unknown","Unknown","120","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Declared disabled","AA/AO","135","[c]","21000","21010"
"Leaver CS","2021","40-49","Declared disabled","EO","80","[c]","27800","27570"
"Leaver CS","2021","40-49","Declared disabled","G6/G7","25","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Declared disabled","SEO/HEO","65","[c]","35120","33740"
"Leaver CS","2021","40-49","Declared disabled","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Declared non-disabled","AA/AO","695","[c]","21200","21010"
"Leaver CS","2021","40-49","Declared non-disabled","EO","375","[c]","27680","27570"
"Leaver CS","2021","40-49","Declared non-disabled","G6/G7","225","[c]","60510","57620"
"Leaver CS","2021","40-49","Declared non-disabled","SCS level","75","[c]","95580","92240"
"Leaver CS","2021","40-49","Declared non-disabled","SEO/HEO","370","[c]","37310","37320"
"Leaver CS","2021","40-49","Declared non-disabled","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","AA/AO","100","[c]","21590","21010"
"Leaver CS","2021","40-49","Undeclared","EO","40","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","SEO/HEO","35","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","AA/AO","425","[c]","21440","21010"
"Leaver CS","2021","40-49","Unknown","EO","205","[c]","27900","27570"
"Leaver CS","2021","40-49","Unknown","G6/G7","140","[c]","60850","58090"
"Leaver CS","2021","40-49","Unknown","SCS level","30","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","SEO/HEO","200","[c]","37720","37740"
"Leaver CS","2021","40-49","Unknown","Unknown","90","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Declared disabled","AA/AO","315","[c]","21560","20920"
"Leaver CS","2021","50-59","Declared disabled","EO","250","[c]","27960","27570"
"Leaver CS","2021","50-59","Declared disabled","G6/G7","85","[c]","63570","59420"
"Leaver CS","2021","50-59","Declared disabled","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Declared disabled","SEO/HEO","200","[c]","38240","37800"
"Leaver CS","2021","50-59","Declared disabled","Unknown","45","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Declared non-disabled","AA/AO","1235","[c]","21410","21010"
"Leaver CS","2021","50-59","Declared non-disabled","EO","885","[c]","27720","27570"
"Leaver CS","2021","50-59","Declared non-disabled","G6/G7","450","[c]","62160","60800"
"Leaver CS","2021","50-59","Declared non-disabled","SCS level","90","[c]","107920","101450"
"Leaver CS","2021","50-59","Declared non-disabled","SEO/HEO","860","[c]","38010","36980"
"Leaver CS","2021","50-59","Declared non-disabled","Unknown","80","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Undeclared","AA/AO","225","[c]","22880","21070"
"Leaver CS","2021","50-59","Undeclared","EO","100","[c]","28320","27370"
"Leaver CS","2021","50-59","Undeclared","G6/G7","55","[c]","59330","56910"
"Leaver CS","2021","50-59","Undeclared","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Undeclared","SEO/HEO","130","[c]","38740","37300"
"Leaver CS","2021","50-59","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Unknown","AA/AO","530","[c]","21620","21010"
"Leaver CS","2021","50-59","Unknown","EO","280","[c]","29050","27570"
"Leaver CS","2021","50-59","Unknown","G6/G7","155","[c]","62790","59360"
"Leaver CS","2021","50-59","Unknown","SCS level","45","[c]","106680","103390"
"Leaver CS","2021","50-59","Unknown","SEO/HEO","265","[c]","38280","38460"
"Leaver CS","2021","50-59","Unknown","Unknown","115","[c]","38660","33790"
"Leaver CS","2021","60-64","Declared disabled","AA/AO","225","[c]","20840","21010"
"Leaver CS","2021","60-64","Declared disabled","EO","180","[c]","28020","27570"
"Leaver CS","2021","60-64","Declared disabled","G6/G7","40","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Declared disabled","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Declared disabled","SEO/HEO","105","[c]","36910","37000"
"Leaver CS","2021","60-64","Declared disabled","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Declared non-disabled","AA/AO","965","[c]","21510","21010"
"Leaver CS","2021","60-64","Declared non-disabled","EO","725","[c]","27680","27570"
"Leaver CS","2021","60-64","Declared non-disabled","G6/G7","370","[c]","62880","60830"
"Leaver CS","2021","60-64","Declared non-disabled","SCS level","85","[c]","99090","95220"
"Leaver CS","2021","60-64","Declared non-disabled","SEO/HEO","755","[c]","38660","37100"
"Leaver CS","2021","60-64","Declared non-disabled","Unknown","70","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Undeclared","AA/AO","145","[c]","21840","20780"
"Leaver CS","2021","60-64","Undeclared","EO","75","[c]","28950","27570"
"Leaver CS","2021","60-64","Undeclared","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Undeclared","SEO/HEO","95","[c]","38030","35550"
"Leaver CS","2021","60-64","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","AA/AO","275","[c]","21910","21010"
"Leaver CS","2021","60-64","Unknown","EO","140","[c]","28740","27570"
"Leaver CS","2021","60-64","Unknown","G6/G7","100","[c]","62100","59750"
"Leaver CS","2021","60-64","Unknown","SCS level","25","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Unknown","SEO/HEO","185","[c]","38510","37480"
"Leaver CS","2021","60-64","Unknown","Unknown","65","[c]","43520","37790"
"Leaver CS","2021","65+","Declared disabled","AA/AO","280","[c]","20800","21010"
"Leaver CS","2021","65+","Declared disabled","EO","165","[c]","27600","27570"
"Leaver CS","2021","65+","Declared disabled","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2021","65+","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Declared disabled","SEO/HEO","75","[c]","37700","35930"
"Leaver CS","2021","65+","Declared disabled","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","65+","Declared non-disabled","AA/AO","1095","[c]","20780","20720"
"Leaver CS","2021","65+","Declared non-disabled","EO","560","[c]","27570","27570"
"Leaver CS","2021","65+","Declared non-disabled","G6/G7","140","[c]","62590","61010"
"Leaver CS","2021","65+","Declared non-disabled","SCS level","15","[c]","[c]","[c]"
"Leaver CS","2021","65+","Declared non-disabled","SEO/HEO","380","[c]","38310","36100"
"Leaver CS","2021","65+","Declared non-disabled","Unknown","75","[c]","[c]","[c]"
"Leaver CS","2021","65+","Undeclared","AA/AO","135","[c]","20680","20180"
"Leaver CS","2021","65+","Undeclared","EO","60","[c]","27250","27240"
"Leaver CS","2021","65+","Undeclared","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2021","65+","Undeclared","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Undeclared","SEO/HEO","45","[c]","39300","38150"
"Leaver CS","2021","65+","Undeclared","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","AA/AO","255","[c]","21010","20680"
"Leaver CS","2021","65+","Unknown","EO","85","[c]","27060","26720"
"Leaver CS","2021","65+","Unknown","G6/G7","30","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","65+","Unknown","SEO/HEO","110","[c]","39080","39040"
"Leaver CS","2021","65+","Unknown","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","EO","35","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","G6/G7","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","SEO/HEO","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared disabled","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared disabled","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared non-disabled","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared non-disabled","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Declared disabled","AA/AO","40","[c]","21220","21010"
"Leaver Dept.","2021","20-29","Declared disabled","EO","80","[c]","26430","27310"
"Leaver Dept.","2021","20-29","Declared disabled","G6/G7","25","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Declared disabled","SEO/HEO","125","[c]","33460","32320"
"Leaver Dept.","2021","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
