"Status","Year","Age","Function_of_post","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","Male","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","Female","30","30","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","Male","20","20","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Male","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","Male","10","5","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence","Male","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","Female","20","20","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","Male","10","10","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","Male","10","10","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","Female","10","10","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","Male","10","10","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","Female","30","25","20420","20900"
"In post","2021","16-19","No function","Department for Transport","Male","15","10","[c]","[c]"
"In post","2021","16-19","No function","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","Female","20","15","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","Male","5","5","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","Female","80","75","20240","20140"
"In post","2021","16-19","No function","HM Revenue and Customs","Male","65","65","20200","20140"
"In post","2021","16-19","No function","HM Treasury","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury","Male","10","10","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice","Female","90","90","21450","20600"
"In post","2021","16-19","No function","Ministry of Justice","Male","45","45","21990","20600"
"In post","2021","16-19","No function","National Crime Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","16-19","No function","Scottish Government","Male","10","10","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Female","5","5","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Male","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","Female","25","25","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","Male","105","105","17720","16780"
"In post","2021","16-19","Property","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Foreign, Commonwealth and Development Office","Male","5","5","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","Female","5","5","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","Male","10","10","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","Male","5","5","[c]","[c]"
"In post","2021","16-19","Security","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","Male","15","15","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Female","120","120","22720","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Male","80","80","22630","21010"
"In post","2021","16-19","Unknown","Department of Health and Social Care","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","Female","45","40","22700","21430"
"In post","2021","16-19","Unknown","Home Office","Male","35","30","21880","21430"
"In post","2021","16-19","Unknown","Ministry of Defence","Female","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","Male","40","40","19890","17060"
"In post","2021","16-19","Unknown","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Scottish Government","Female","40","40","21590","21150"
"In post","2021","16-19","Unknown","Scottish Government","Male","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office","Female","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Cabinet Office","Male","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Chancellor's other departments","Female","15","15","[c]","[c]"
"In post","2021","20-29","Analysis","Chancellor's other departments","Male","40","40","38090","36590"
"In post","2021","20-29","Analysis","Charity Commission","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","Female","15","15","[c]","[c]"
"In post","2021","20-29","Analysis","Competition and Markets Authority","Male","20","20","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Female","70","70","36750","33880"
"In post","2021","20-29","Analysis","Department for Business, Energy and Industrial Strategy","Male","120","120","38560","34320"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","Female","20","20","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Digital, Culture, Media and Sport","Male","55","55","47160","42020"
"In post","2021","20-29","Analysis","Department for Education","Female","85","80","40370","41990"
"In post","2021","20-29","Analysis","Department for Education","Male","60","60","39560","36980"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs","Female","35","35","25050","24920"
"In post","2021","20-29","Analysis","Department for Environment, Food and Rural Affairs","Male","40","40","26250","24920"
"In post","2021","20-29","Analysis","Department for International Trade","Female","60","60","36770","31800"
"In post","2021","20-29","Analysis","Department for International Trade","Male","80","80","35710","31800"
"In post","2021","20-29","Analysis","Department for Transport","Female","85","85","39820","35060"
"In post","2021","20-29","Analysis","Department for Transport","Male","100","100","37350","34710"
"In post","2021","20-29","Analysis","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Department of Health and Social Care","Female","50","50","46570","53360"
"In post","2021","20-29","Analysis","Department of Health and Social Care","Male","35","35","44530","49530"
"In post","2021","20-29","Analysis","ESTYN","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","ESTYN","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","Female","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Foreign, Commonwealth and Development Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Foreign, Commonwealth and Development Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","HM Revenue and Customs","Female","105","105","35610","36160"
"In post","2021","20-29","Analysis","HM Revenue and Customs","Male","150","150","37090","36160"
"In post","2021","20-29","Analysis","HM Treasury","Female","25","25","[c]","[c]"
"In post","2021","20-29","Analysis","HM Treasury","Male","55","55","40870","37900"
"In post","2021","20-29","Analysis","Ministry of Defence","Female","80","80","33110","28650"
"In post","2021","20-29","Analysis","Ministry of Defence","Male","115","115","33080","31700"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government","Female","30","30","37160","34000"
"In post","2021","20-29","Analysis","Ministry of Housing, Communities and Local Government","Male","55","55","37510","33990"
"In post","2021","20-29","Analysis","Ministry of Justice","Female","75","75","35980","33930"
"In post","2021","20-29","Analysis","Ministry of Justice","Male","70","70","37040","33930"
"In post","2021","20-29","Analysis","Office for Standards in Education","Female","15","15","[c]","[c]"
"In post","2021","20-29","Analysis","Office for Standards in Education","Male","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Office of Gas and Electricity Markets","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office of Gas and Electricity Markets","Male","10","10","[c]","[c]"
"In post","2021","20-29","Analysis","Office of Rail and Road","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Office of Rail and Road","Male","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","UK Export Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","UK Export Finance","Male","5","5","[c]","[c]"
"In post","2021","20-29","Analysis","United Kingdom Statistics Authority","Female","360","360","32630","32540"
"In post","2021","20-29","Analysis","United Kingdom Statistics Authority","Male","255","255","31330","29540"
"In post","2021","20-29","Analysis","United Kingdom Statistics Authority","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Analysis","Water Services Regulation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Water Services Regulation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Welsh Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Analysis","Welsh Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Attorney General's Departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Attorney General's Departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Cabinet Office","Female","65","65","48320","54700"
"In post","2021","20-29","Commercial","Cabinet Office","Male","50","50","47400","51560"
"In post","2021","20-29","Commercial","Chancellor's other departments","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Chancellor's other departments","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Competition and Markets Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Competition and Markets Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Business, Energy and Industrial Strategy","Male","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Digital, Culture, Media and Sport","Female","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Digital, Culture, Media and Sport","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Education","Female","20","20","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Education","Male","20","20","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Environment, Food and Rural Affairs","Female","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Environment, Food and Rural Affairs","Male","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Department for International Trade","Female","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Department for International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Transport","Female","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Transport","Male","5","5","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Work and Pensions","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department for Work and Pensions","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Department of Health and Social Care","Female","35","35","40170","40650"
"In post","2021","20-29","Commercial","Department of Health and Social Care","Male","25","25","[c]","[c]"
"In post","2021","20-29","Commercial","Food Standards Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Food Standards Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Foreign, Commonwealth and Development Office","Female","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","Foreign, Commonwealth and Development Office","Male","10","10","[c]","[c]"
"In post","2021","20-29","Commercial","HM Land Registry","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","HM Land Registry","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","HM Revenue and Customs","Female","15","15","[c]","[c]"
"In post","2021","20-29","Commercial","HM Revenue and Customs","Male","15","15","[c]","[c]"
"In post","2021","20-29","Commercial","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Commercial","Ministry of Defence","Female","155","155","29160","26670"
"In post","2021","20-29","Commercial","Ministry of Defence","Male","190","190","29520","28000"
