"Status","Year","Age","Organisation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","Male","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","International Trade","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Other","Female","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Female","120","120","22720","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","Male","80","80","22630","21010"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Female","25","20","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Operational Delivery","Male","10","5","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Property","Male","5","5","[c]","[c]"
"In post","2021","16-19","FCDO Services","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","Operational Delivery","Female","30","30","19580","18880"
"In post","2021","16-19","HM Courts and Tribunals Service","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","Female","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Operational Delivery","Female","60","60","22490","22850"
"In post","2021","16-19","HM Prison and Probation Service","Operational Delivery","Male","35","35","22840","22350"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Finance","Male","10","5","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Female","15","15","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Male","15","15","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Tax","Female","80","75","20270","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Tax","Male","70","65","20460","20140"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Female","20","15","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Male","15","15","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Policy","Male","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Treasury (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Operational Delivery","Female","35","35","21640","21430"
"In post","2021","16-19","Home Office (incl. agencies)","Operational Delivery","Male","30","25","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Statistics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office (incl. agencies)","Statistics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Operational Delivery","Female","10","10","[c]","[c]"
"In post","2021","16-19","Insolvency Service","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Other","Male","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Security","Male","15","15","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Policy","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","Economics","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","Economics","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Other","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Other","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Operational Delivery","Female","15","10","[c]","[c]"
"In post","2021","16-19","Public Health England","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Science and Engineering","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","Science and Engineering","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Registers of Scotland","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Other","Female","5","5","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Other","Male","30","30","19060","16200"
"In post","2021","16-19","Rural Payments Agency","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Rural Payments Agency","Operational Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Operational Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Operational Delivery","Male","[c]","[c]","[c]","[c]"
