"Status","Year","Disability","Function_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","No function","AA","1230","1070","19770","20070"
"In post","2021","Declared disabled","No function","AO","5465","4855","23160","21440"
"In post","2021","Declared disabled","No function","EO","3130","2910","27940","27130"
"In post","2021","Declared disabled","No function","G6","360","345","67740","65590"
"In post","2021","Declared disabled","No function","G7","1130","1095","54540","53430"
"In post","2021","Declared disabled","No function","HEO","2440","2325","33430","33020"
"In post","2021","Declared disabled","No function","SCS level","150","145","87230","77870"
"In post","2021","Declared disabled","No function","SEO","1370","1315","42510","40480"
"In post","2021","Declared disabled","No function","Unknown","2225","2065","30490","30210"
"In post","2021","Declared disabled","Project Delivery","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Project Delivery","AO","55","50","22200","21540"
"In post","2021","Declared disabled","Project Delivery","EO","500","465","25080","26000"
"In post","2021","Declared disabled","Project Delivery","G6","160","155","66290","65500"
"In post","2021","Declared disabled","Project Delivery","G7","415","405","53440","53610"
"In post","2021","Declared disabled","Project Delivery","HEO","720","690","32470","32940"
"In post","2021","Declared disabled","Project Delivery","SCS level","40","40","89170","83960"
"In post","2021","Declared disabled","Project Delivery","SEO","630","600","40460","40580"
"In post","2021","Declared disabled","Project Delivery","Unknown","120","120","40450","39860"
"In post","2021","Declared disabled","Property","AA","55","50","18650","18800"
"In post","2021","Declared disabled","Property","AO","105","95","22850","21130"
"In post","2021","Declared disabled","Property","EO","155","145","27110","26670"
"In post","2021","Declared disabled","Property","G6","25","25","[c]","[c]"
"In post","2021","Declared disabled","Property","G7","75","70","54920","54540"
"In post","2021","Declared disabled","Property","HEO","185","175","33120","33300"
"In post","2021","Declared disabled","Property","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Property","SEO","125","120","41310","40580"
"In post","2021","Declared disabled","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","AA","150","140","19960","19560"
"In post","2021","Declared disabled","Security","AO","205","200","31580","32480"
"In post","2021","Declared disabled","Security","EO","115","115","31780","27500"
"In post","2021","Declared disabled","Security","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Security","G7","15","15","[c]","[c]"
"In post","2021","Declared disabled","Security","HEO","105","100","36100","33300"
"In post","2021","Declared disabled","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Security","SEO","45","45","45700","44160"
"In post","2021","Declared disabled","Security","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","AA","565","505","19940","19560"
"In post","2021","Declared disabled","Unknown","AO","6475","5565","21410","21010"
"In post","2021","Declared disabled","Unknown","EO","10190","9120","27980","27570"
"In post","2021","Declared disabled","Unknown","G6","235","225","69870","68980"
"In post","2021","Declared disabled","Unknown","G7","675","650","56370","56120"
"In post","2021","Declared disabled","Unknown","HEO","2175","2040","33930","33300"
"In post","2021","Declared disabled","Unknown","SCS level","95","90","88990","83230"
"In post","2021","Declared disabled","Unknown","SEO","1065","1015","41150","40670"
"In post","2021","Declared disabled","Unknown","Unknown","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","AA","10","10","[c]","[c]"
"In post","2021","Declared non-disabled","Analysis","AO","95","90","22210","21050"
"In post","2021","Declared non-disabled","Analysis","EO","455","435","26580","26350"
"In post","2021","Declared non-disabled","Analysis","G6","385","370","72610","68730"
"In post","2021","Declared non-disabled","Analysis","G7","1245","1190","54610","54650"
"In post","2021","Declared non-disabled","Analysis","HEO","1265","1230","33180","32540"
"In post","2021","Declared non-disabled","Analysis","SCS level","125","120","87100","78630"
"In post","2021","Declared non-disabled","Analysis","SEO","965","925","40480","39850"
"In post","2021","Declared non-disabled","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AA","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","AO","305","290","21900","21130"
"In post","2021","Declared non-disabled","Commercial","EO","575","545","27000","26670"
"In post","2021","Declared non-disabled","Commercial","G6","295","290","71610","69150"
"In post","2021","Declared non-disabled","Commercial","G7","525","510","55710","54540"
"In post","2021","Declared non-disabled","Commercial","HEO","820","795","33130","33300"
"In post","2021","Declared non-disabled","Commercial","SCS level","170","165","110570","100540"
"In post","2021","Declared non-disabled","Commercial","SEO","1115","1085","42430","41100"
"In post","2021","Declared non-disabled","Commercial","Unknown","160","160","39900","37400"
"In post","2021","Declared non-disabled","Communications","AA","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Communications","AO","275","245","21530","21400"
"In post","2021","Declared non-disabled","Communications","EO","1605","1535","25770","25560"
"In post","2021","Declared non-disabled","Communications","G6","180","175","67400","66740"
"In post","2021","Declared non-disabled","Communications","G7","505","485","54700","54400"
"In post","2021","Declared non-disabled","Communications","HEO","1245","1215","32800","31810"
"In post","2021","Declared non-disabled","Communications","SCS level","85","85","89300","81760"
"In post","2021","Declared non-disabled","Communications","SEO","815","790","40460","39750"
"In post","2021","Declared non-disabled","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Counter Fraud","AO","450","395","21450","21440"
"In post","2021","Declared non-disabled","Counter Fraud","EO","1995","1875","26940","25560"
"In post","2021","Declared non-disabled","Counter Fraud","G6","195","190","66180","64670"
"In post","2021","Declared non-disabled","Counter Fraud","G7","575","550","54290","52580"
"In post","2021","Declared non-disabled","Counter Fraud","HEO","1865","1765","33190","31810"
"In post","2021","Declared non-disabled","Counter Fraud","SCS level","30","30","80600","78760"
"In post","2021","Declared non-disabled","Counter Fraud","SEO","815","780","40060","38640"
"In post","2021","Declared non-disabled","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","AO","1505","1325","21120","20140"
"In post","2021","Declared non-disabled","Debt","EO","590","530","26880","25560"
"In post","2021","Declared non-disabled","Debt","G6","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","G7","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","HEO","135","125","32620","31810"
"In post","2021","Declared non-disabled","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Debt","SEO","50","45","38830","38630"
"In post","2021","Declared non-disabled","Digital, Data & Technology","AA","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Digital, Data & Technology","AO","225","210","21900","21580"
"In post","2021","Declared non-disabled","Digital, Data & Technology","EO","1280","1225","27420","26670"
"In post","2021","Declared non-disabled","Digital, Data & Technology","G6","510","495","66530","64880"
"In post","2021","Declared non-disabled","Digital, Data & Technology","G7","1955","1910","54950","53680"
"In post","2021","Declared non-disabled","Digital, Data & Technology","HEO","2115","2045","33490","33000"
"In post","2021","Declared non-disabled","Digital, Data & Technology","SCS level","175","170","91390","86600"
"In post","2021","Declared non-disabled","Digital, Data & Technology","SEO","2175","2110","41130","40170"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Unknown","65","65","37130","35700"
"In post","2021","Declared non-disabled","Finance","AA","75","60","19840","20070"
"In post","2021","Declared non-disabled","Finance","AO","790","670","21330","21440"
"In post","2021","Declared non-disabled","Finance","EO","1155","1090","26490","26670"
"In post","2021","Declared non-disabled","Finance","G6","415","405","67700","67220"
"In post","2021","Declared non-disabled","Finance","G7","1055","1030","55260","54700"
"In post","2021","Declared non-disabled","Finance","HEO","1280","1235","33370","33000"
"In post","2021","Declared non-disabled","Finance","SCS level","215","210","90000","82450"
"In post","2021","Declared non-disabled","Finance","SEO","1310","1265","41540","40580"
"In post","2021","Declared non-disabled","Finance","Unknown","45","40","48500","39980"
"In post","2021","Declared non-disabled","Grants Management","AO","855","770","21000","21050"
"In post","2021","Declared non-disabled","Grants Management","EO","490","450","25490","25190"
"In post","2021","Declared non-disabled","Grants Management","G6","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","G7","35","35","49850","49350"
"In post","2021","Declared non-disabled","Grants Management","HEO","210","190","30590","30230"
"In post","2021","Declared non-disabled","Grants Management","SCS level","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Grants Management","SEO","80","75","37760","37230"
"In post","2021","Declared non-disabled","Human Resources","AA","60","55","19680","19560"
"In post","2021","Declared non-disabled","Human Resources","AO","950","860","21410","21130"
"In post","2021","Declared non-disabled","Human Resources","EO","1075","1010","26490","26590"
"In post","2021","Declared non-disabled","Human Resources","G6","345","335","66730","65490"
"In post","2021","Declared non-disabled","Human Resources","G7","1005","970","54860","54480"
"In post","2021","Declared non-disabled","Human Resources","HEO","1480","1410","32810","32720"
"In post","2021","Declared non-disabled","Human Resources","SCS level","150","150","89460","83660"
"In post","2021","Declared non-disabled","Human Resources","SEO","1085","1040","41220","40580"
"In post","2021","Declared non-disabled","Human Resources","Unknown","175","165","37960","32710"
"In post","2021","Declared non-disabled","Internal Audit","AO","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","EO","35","35","28470","26980"
"In post","2021","Declared non-disabled","Internal Audit","G6","60","55","66710","64790"
"In post","2021","Declared non-disabled","Internal Audit","G7","100","95","53870","54130"
"In post","2021","Declared non-disabled","Internal Audit","HEO","115","110","34180","33300"
"In post","2021","Declared non-disabled","Internal Audit","SCS level","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","SEO","225","210","44260","43160"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","AA","30","30","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","AO","985","885","22720","21950"
"In post","2021","Declared non-disabled","Legal","EO","1370","1270","28060","28430"
"In post","2021","Declared non-disabled","Legal","G6","980","920","69890","68110"
"In post","2021","Declared non-disabled","Legal","G7","3300","3035","56520","55610"
"In post","2021","Declared non-disabled","Legal","HEO","935","895","33780","32480"
"In post","2021","Declared non-disabled","Legal","SCS level","345","330","89380","83460"
"In post","2021","Declared non-disabled","Legal","SEO","1210","1095","43350","42500"
"In post","2021","Declared non-disabled","Legal","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","No function","AA","6150","5420","19950","20600"
"In post","2021","Declared non-disabled","No function","AO","34590","31455","23790","21710"
"In post","2021","Declared non-disabled","No function","EO","19250","17985","27680","27080"
"In post","2021","Declared non-disabled","No function","G6","3860","3700","68160","65550"
"In post","2021","Declared non-disabled","No function","G7","10610","10275","55110","53600"
"In post","2021","Declared non-disabled","No function","HEO","17525","16745","33500","32930"
"In post","2021","Declared non-disabled","No function","SCS level","2095","1995","88270","79980"
"In post","2021","Declared non-disabled","No function","SEO","10760","10315","42500","40290"
"In post","2021","Declared non-disabled","No function","Unknown","8540","7890","30180","30210"
"In post","2021","Declared non-disabled","Project Delivery","AA","45","40","17980","17900"
"In post","2021","Declared non-disabled","Project Delivery","AO","350","330","22100","21490"
"In post","2021","Declared non-disabled","Project Delivery","EO","3065","2920","24790","25720"
"In post","2021","Declared non-disabled","Project Delivery","G6","1515","1475","67270","66430"
"In post","2021","Declared non-disabled","Project Delivery","G7","3575","3485","53330","53570"
"In post","2021","Declared non-disabled","Project Delivery","HEO","4805","4640","32080","32720"
"In post","2021","Declared non-disabled","Project Delivery","SCS level","540","525","91870","83630"
"In post","2021","Declared non-disabled","Project Delivery","SEO","4850","4705","40390","40580"
"In post","2021","Declared non-disabled","Project Delivery","Unknown","970","955","42230","40100"
"In post","2021","Declared non-disabled","Property","AA","420","400","18380","18480"
"In post","2021","Declared non-disabled","Property","AO","970","895","23210","21710"
"In post","2021","Declared non-disabled","Property","EO","1330","1255","27630","26670"
"In post","2021","Declared non-disabled","Property","G6","215","215","66960","65390"
"In post","2021","Declared non-disabled","Property","G7","720","700","54910","54840"
"In post","2021","Declared non-disabled","Property","HEO","1380","1335","33460","33300"
"In post","2021","Declared non-disabled","Property","SCS level","60","60","90880","81670"
"In post","2021","Declared non-disabled","Property","SEO","1205","1150","41940","41340"
"In post","2021","Declared non-disabled","Property","Unknown","35","35","28800","21600"
"In post","2021","Declared non-disabled","Security","AA","1570","1540","20030","19560"
"In post","2021","Declared non-disabled","Security","AO","1710","1665","31150","28890"
"In post","2021","Declared non-disabled","Security","EO","740","725","32530","28210"
"In post","2021","Declared non-disabled","Security","G6","60","55","72290","70060"
"In post","2021","Declared non-disabled","Security","G7","205","200","56930","55430"
"In post","2021","Declared non-disabled","Security","HEO","655","640","36660","34450"
"In post","2021","Declared non-disabled","Security","SCS level","30","30","92180","91480"
"In post","2021","Declared non-disabled","Security","SEO","330","325","45820","42430"
"In post","2021","Declared non-disabled","Security","Unknown","45","45","38360","37170"
"In post","2021","Declared non-disabled","Unknown","AA","2805","2575","19800","19560"
"In post","2021","Declared non-disabled","Unknown","AO","33240","29115","21530","21010"
"In post","2021","Declared non-disabled","Unknown","EO","52425","47795","27860","27570"
"In post","2021","Declared non-disabled","Unknown","G6","2530","2440","69470","68940"
"In post","2021","Declared non-disabled","Unknown","G7","6210","5975","57010","57430"
"In post","2021","Declared non-disabled","Unknown","HEO","14585","13895","33970","33300"
"In post","2021","Declared non-disabled","Unknown","SCS level","995","970","89910","83230"
"In post","2021","Declared non-disabled","Unknown","SEO","8800","8480","41610","41720"
"In post","2021","Declared non-disabled","Unknown","Unknown","470","465","38160","35530"
"In post","2021","Undeclared","Analysis","AO","5","5","[c]","[c]"
"In post","2021","Undeclared","Analysis","EO","35","35","27790","27160"
"In post","2021","Undeclared","Analysis","G6","15","15","[c]","[c]"
"In post","2021","Undeclared","Analysis","G7","120","115","53910","54650"
"In post","2021","Undeclared","Analysis","HEO","110","105","33140","32550"
"In post","2021","Undeclared","Analysis","SCS level","5","5","[c]","[c]"
"In post","2021","Undeclared","Analysis","SEO","80","75","41300","41760"
"In post","2021","Undeclared","Commercial","AO","30","30","21860","21130"
"In post","2021","Undeclared","Commercial","EO","55","55","26720","26670"
"In post","2021","Undeclared","Commercial","G6","20","20","[c]","[c]"
"In post","2021","Undeclared","Commercial","G7","50","45","58500","54850"
"In post","2021","Undeclared","Commercial","HEO","85","80","33150","33300"
"In post","2021","Undeclared","Commercial","SCS level","10","10","[c]","[c]"
"In post","2021","Undeclared","Commercial","SEO","125","120","44220","42200"
"In post","2021","Undeclared","Commercial","Unknown","15","15","[c]","[c]"
"In post","2021","Undeclared","Communications","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","AO","35","30","21460","21110"
"In post","2021","Undeclared","Communications","EO","120","115","25740","25560"
"In post","2021","Undeclared","Communications","G6","20","15","[c]","[c]"
"In post","2021","Undeclared","Communications","G7","35","35","55450","54700"
"In post","2021","Undeclared","Communications","HEO","85","80","32970","31810"
"In post","2021","Undeclared","Communications","SCS level","5","5","[c]","[c]"
"In post","2021","Undeclared","Communications","SEO","60","60","41380","40960"
"In post","2021","Undeclared","Counter Fraud","AO","55","45","21430","21440"
"In post","2021","Undeclared","Counter Fraud","EO","185","170","27510","27120"
"In post","2021","Undeclared","Counter Fraud","G6","25","20","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","G7","80","75","54670","52580"
"In post","2021","Undeclared","Counter Fraud","HEO","210","200","33100","31810"
"In post","2021","Undeclared","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","SEO","95","95","39540","38630"
"In post","2021","Undeclared","Debt","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","AO","145","125","21630","21400"
"In post","2021","Undeclared","Debt","EO","45","45","27300","27230"
"In post","2021","Undeclared","Debt","G6","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","HEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Debt","SEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","AO","20","20","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","EO","110","105","28120","26780"
"In post","2021","Undeclared","Digital, Data & Technology","G6","35","35","65920","65210"
"In post","2021","Undeclared","Digital, Data & Technology","G7","130","125","55090","54270"
"In post","2021","Undeclared","Digital, Data & Technology","HEO","190","185","33560","33290"
"In post","2021","Undeclared","Digital, Data & Technology","SCS level","5","5","[c]","[c]"
"In post","2021","Undeclared","Digital, Data & Technology","SEO","175","170","41750","41090"
"In post","2021","Undeclared","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2021","Undeclared","Finance","AA","5","5","[c]","[c]"
"In post","2021","Undeclared","Finance","AO","60","55","21410","21440"
"In post","2021","Undeclared","Finance","EO","95","90","26810","26670"
"In post","2021","Undeclared","Finance","G6","25","25","[c]","[c]"
"In post","2021","Undeclared","Finance","G7","95","95","55580","54650"
"In post","2021","Undeclared","Finance","HEO","110","105","33350","33000"
"In post","2021","Undeclared","Finance","SCS level","10","10","[c]","[c]"
"In post","2021","Undeclared","Finance","SEO","110","105","41860","40650"
"In post","2021","Undeclared","Grants Management","AO","10","10","[c]","[c]"
"In post","2021","Undeclared","Grants Management","EO","15","15","[c]","[c]"
"In post","2021","Undeclared","Grants Management","G7","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","SEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Human Resources","AA","5","5","[c]","[c]"
"In post","2021","Undeclared","Human Resources","AO","95","85","21560","21130"
"In post","2021","Undeclared","Human Resources","EO","80","75","27250","26710"
"In post","2021","Undeclared","Human Resources","G6","25","25","[c]","[c]"
"In post","2021","Undeclared","Human Resources","G7","65","60","56890","54540"
"In post","2021","Undeclared","Human Resources","HEO","120","115","32910","32210"
"In post","2021","Undeclared","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2021","Undeclared","Human Resources","SEO","100","95","43630","41840"
"In post","2021","Undeclared","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","AO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","G6","5","5","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","G7","15","15","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","HEO","5","5","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","SEO","15","15","[c]","[c]"
"In post","2021","Undeclared","Legal","AA","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Legal","AO","15","15","[c]","[c]"
"In post","2021","Undeclared","Legal","EO","35","35","27500","27580"
"In post","2021","Undeclared","Legal","G6","65","60","69460","68300"
"In post","2021","Undeclared","Legal","G7","90","85","58640","55800"
"In post","2021","Undeclared","Legal","HEO","40","40","32690","31980"
"In post","2021","Undeclared","Legal","SCS level","25","25","[c]","[c]"
"In post","2021","Undeclared","Legal","SEO","95","85","43710","43160"
"In post","2021","Undeclared","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","No function","AA","1240","1085","21050","20670"
"In post","2021","Undeclared","No function","AO","5050","4505","26690","26300"
"In post","2021","Undeclared","No function","EO","2505","2360","29400","28130"
"In post","2021","Undeclared","No function","G6","305","290","68300","65440"
"In post","2021","Undeclared","No function","G7","945","915","54360","53380"
"In post","2021","Undeclared","No function","HEO","2000","1915","34150","33830"
"In post","2021","Undeclared","No function","SCS level","145","135","91680","82100"
"In post","2021","Undeclared","No function","SEO","1135","1095","43230","41010"
"In post","2021","Undeclared","No function","Unknown","530","495","30240","30210"
"In post","2021","Undeclared","Project Delivery","AA","10","10","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","AO","50","45","21770","21130"
"In post","2021","Undeclared","Project Delivery","EO","330","310","26260","26670"
"In post","2021","Undeclared","Project Delivery","G6","105","105","68060","66440"
"In post","2021","Undeclared","Project Delivery","G7","300","295","53510","54540"
"In post","2021","Undeclared","Project Delivery","HEO","435","420","32600","33000"
"In post","2021","Undeclared","Project Delivery","SCS level","25","20","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","SEO","455","440","40930","40580"
"In post","2021","Undeclared","Project Delivery","Unknown","100","95","44340","42530"
"In post","2021","Undeclared","Property","AA","40","40","18230","17230"
"In post","2021","Undeclared","Property","AO","65","55","21790","21100"
"In post","2021","Undeclared","Property","EO","135","125","27360","26530"
"In post","2021","Undeclared","Property","G6","15","15","[c]","[c]"
"In post","2021","Undeclared","Property","G7","70","65","55440","54990"
"In post","2021","Undeclared","Property","HEO","165","160","33670","33300"
"In post","2021","Undeclared","Property","SCS level","10","10","[c]","[c]"
"In post","2021","Undeclared","Property","SEO","125","115","42590","42900"
"In post","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","AA","160","155","20010","19560"
"In post","2021","Undeclared","Security","AO","210","205","34080","39070"
