"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","North West (England)","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","South West (England)","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Science and Engineering","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","South East (England)","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Social Research","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","London","85","80","44160","41760"
"In post","2021","Asian","Analysis","Statistics","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","North West (England)","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","South East (England)","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","Wales","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Statistics","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tax","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","East of England","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","London","75","75","41070","37170"
"In post","2021","Asian","Commercial","Commercial","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","North West (England)","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","South East (England)","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","South West (England)","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","West Midlands (England)","25","20","[c]","[c]"
"In post","2021","Asian","Commercial","Commercial","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Finance","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","London","30","30","51070","42040"
"In post","2021","Asian","Commercial","Operational Delivery","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Operational Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Policy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Policy","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Property","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Science and Engineering","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Science and Engineering","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Science and Engineering","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Tax","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Tax","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","North West (England)","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Veterinarian","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","London","115","115","41520","36660"
"In post","2021","Asian","Communications","Communications","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","North West (England)","10","5","[c]","[c]"
"In post","2021","Asian","Communications","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Communications","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Communications","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Digital, Data and Technology","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Human Resources","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","International Trade","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","East Midlands (England)","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","North East (England)","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","North West (England)","25","25","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","West Midlands (England)","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Operational Delivery","Yorkshire and The Humber","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Other","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other","London","45","45","22430","20000"
"In post","2021","Asian","Communications","Other","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Other","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Policy","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Policy","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Policy","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tax","East Midlands (England)","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tax","North East (England)","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Tax","North West (England)","25","25","[c]","[c]"
"In post","2021","Asian","Communications","Tax","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tax","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tax","Wales","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Tax","West Midlands (England)","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Tax","Yorkshire and The Humber","50","50","27100","25560"
"In post","2021","Asian","Communications","Unknown","East Midlands (England)","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","London","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","North West (England)","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","London","25","25","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Counter Fraud","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Intelligence Analysis","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
