"Status","Year","Age","Disability","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","40-49","Unknown","Female","8605","7830","37230","31810"
"In post","2021","40-49","Unknown","Male","8210","8100","39200","33740"
"In post","2021","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Declared disabled","Female","11180","10025","30680","27570"
"In post","2021","50-59","Declared disabled","Male","7265","6995","33770","29570"
"In post","2021","50-59","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Declared non-disabled","Female","52835","47930","32690","27570"
"In post","2021","50-59","Declared non-disabled","Male","41940","40885","37830","32520"
"In post","2021","50-59","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Undeclared","Female","4380","4030","31710","27570"
"In post","2021","50-59","Undeclared","Male","5835","5645","35570","31880"
"In post","2021","50-59","Unknown","Female","8100","7375","34850","28170"
"In post","2021","50-59","Unknown","Male","9495","9245","38760","33650"
"In post","2021","60-64","Declared disabled","Female","3165","2460","27750","26670"
"In post","2021","60-64","Declared disabled","Male","2360","2010","31770","27570"
"In post","2021","60-64","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Declared non-disabled","Female","13575","10715","29180","26780"
"In post","2021","60-64","Declared non-disabled","Male","11505","9935","35150","30130"
"In post","2021","60-64","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Undeclared","Female","1105","895","29090","26120"
"In post","2021","60-64","Undeclared","Male","1515","1260","33040","31650"
"In post","2021","60-64","Unknown","Female","2020","1605","29630","24130"
"In post","2021","60-64","Unknown","Male","2470","2140","35700","32200"
"In post","2021","65+","Declared disabled","Female","860","625","26760","25610"
"In post","2021","65+","Declared disabled","Male","795","615","30190","27510"
"In post","2021","65+","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Declared non-disabled","Female","3705","2725","27460","25110"
"In post","2021","65+","Declared non-disabled","Male","4035","3185","33440","27770"
"In post","2021","65+","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","65+","Undeclared","Female","305","220","26760","24660"
"In post","2021","65+","Undeclared","Male","535","420","31920","27570"
"In post","2021","65+","Unknown","Female","555","425","31490","25100"
"In post","2021","65+","Unknown","Male","855","680","34680","29140"
"In post","2021","Unknown","Declared disabled","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Female","15","10","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Male","5","5","[c]","[c]"
"In post","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared non-disabled","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared non-disabled","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Unknown","Male","25","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared disabled","Female","160","[c]","25150","22230"
"Leaver CS","2021","20-29","Declared disabled","Male","145","[c]","26250","24140"
"Leaver CS","2021","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Declared non-disabled","Female","1380","[c]","25320","22920"
"Leaver CS","2021","20-29","Declared non-disabled","Male","1245","[c]","26500","24560"
"Leaver CS","2021","20-29","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Undeclared","Female","95","[c]","27180","23370"
"Leaver CS","2021","20-29","Undeclared","Male","85","[c]","29050","25500"
"Leaver CS","2021","20-29","Unknown","Female","1170","[c]","24410","22230"
"Leaver CS","2021","20-29","Unknown","Male","1075","[c]","25350","24180"
"Leaver CS","2021","20-29","Unknown","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared disabled","Female","140","[c]","28420","26890"
"Leaver CS","2021","30-39","Declared disabled","Male","115","[c]","30700","29870"
"Leaver CS","2021","30-39","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Declared non-disabled","Female","1160","[c]","33060","27570"
"Leaver CS","2021","30-39","Declared non-disabled","Male","1040","[c]","36180","31060"
"Leaver CS","2021","30-39","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Undeclared","Female","110","[c]","32520","29290"
"Leaver CS","2021","30-39","Undeclared","Male","115","[c]","35070","32300"
"Leaver CS","2021","30-39","Unknown","Female","710","[c]","32160","29230"
"Leaver CS","2021","30-39","Unknown","Male","660","[c]","33910","30250"
"Leaver CS","2021","30-39","Unknown","Unknown","25","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Declared disabled","Female","185","[c]","30790","26890"
"Leaver CS","2021","40-49","Declared disabled","Male","140","[c]","30660","27570"
"Leaver CS","2021","40-49","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Declared non-disabled","Female","1030","[c]","35870","27570"
"Leaver CS","2021","40-49","Declared non-disabled","Male","770","[c]","38700","31060"
"Leaver CS","2021","40-49","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Female","115","[c]","32600","26670"
"Leaver CS","2021","40-49","Undeclared","Male","85","[c]","35210","29920"
"Leaver CS","2021","40-49","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Female","600","[c]","36480","30650"
"Leaver CS","2021","40-49","Unknown","Male","480","[c]","37580","30000"
"Leaver CS","2021","40-49","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Declared disabled","Female","510","[c]","31610","27570"
"Leaver CS","2021","50-59","Declared disabled","Male","400","[c]","34960","29290"
"Leaver CS","2021","50-59","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Declared non-disabled","Female","2045","[c]","32910","27570"
"Leaver CS","2021","50-59","Declared non-disabled","Male","1550","[c]","39990","32430"
"Leaver CS","2021","50-59","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Undeclared","Female","235","[c]","34620","31170"
"Leaver CS","2021","50-59","Undeclared","Male","280","[c]","38340","33430"
"Leaver CS","2021","50-59","Unknown","Female","690","[c]","35680","27570"
"Leaver CS","2021","50-59","Unknown","Male","680","[c]","39670","33650"
"Leaver CS","2021","50-59","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Declared disabled","Female","335","[c]","29320","26840"
"Leaver CS","2021","60-64","Declared disabled","Male","255","[c]","32620","27570"
"Leaver CS","2021","60-64","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Declared non-disabled","Female","1535","[c]","32460","27130"
"Leaver CS","2021","60-64","Declared non-disabled","Male","1435","[c]","39050","33300"
"Leaver CS","2021","60-64","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","60-64","Undeclared","Female","140","[c]","31700","27750"
"Leaver CS","2021","60-64","Undeclared","Male","205","[c]","34850","32690"
"Leaver CS","2021","60-64","Unknown","Female","370","[c]","39570","31900"
"Leaver CS","2021","60-64","Unknown","Male","410","[c]","40890","35110"
"Leaver CS","2021","60-64","Unknown","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","65+","Declared disabled","Female","325","[c]","25140","22780"
"Leaver CS","2021","65+","Declared disabled","Male","240","[c]","28460","25120"
"Leaver CS","2021","65+","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Declared non-disabled","Female","1125","[c]","26080","22080"
"Leaver CS","2021","65+","Declared non-disabled","Male","1145","[c]","32060","26910"
"Leaver CS","2021","65+","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","65+","Undeclared","Female","105","[c]","28590","26480"
"Leaver CS","2021","65+","Undeclared","Male","155","[c]","31470","27570"
"Leaver CS","2021","65+","Unknown","Female","230","[c]","32210","24370"
"Leaver CS","2021","65+","Unknown","Male","280","[c]","34490","29370"
"Leaver CS","2021","65+","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","60","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","55","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared non-disabled","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Unknown","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Declared disabled","Female","155","[c]","31400","30090"
"Leaver Dept.","2021","20-29","Declared disabled","Male","120","[c]","31590","31180"
"Leaver Dept.","2021","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Declared non-disabled","Female","1340","[c]","31010","29670"
"Leaver Dept.","2021","20-29","Declared non-disabled","Male","990","[c]","32030","31250"
"Leaver Dept.","2021","20-29","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Undeclared","Female","95","[c]","34830","32730"
"Leaver Dept.","2021","20-29","Undeclared","Male","90","[c]","34070","32430"
"Leaver Dept.","2021","20-29","Unknown","Female","820","[c]","32390","32000"
"Leaver Dept.","2021","20-29","Unknown","Male","715","[c]","32430","32000"
"Leaver Dept.","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Declared disabled","Female","165","[c]","36610","32910"
"Leaver Dept.","2021","30-39","Declared disabled","Male","135","[c]","38030","33440"
"Leaver Dept.","2021","30-39","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Declared non-disabled","Female","1230","[c]","39110","34460"
"Leaver Dept.","2021","30-39","Declared non-disabled","Male","1035","[c]","39210","34750"
"Leaver Dept.","2021","30-39","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Undeclared","Female","95","[c]","37530","36800"
"Leaver Dept.","2021","30-39","Undeclared","Male","110","[c]","37130","34510"
"Leaver Dept.","2021","30-39","Unknown","Female","460","[c]","39860","36500"
"Leaver Dept.","2021","30-39","Unknown","Male","460","[c]","41180","38880"
"Leaver Dept.","2021","30-39","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Declared disabled","Female","125","[c]","37090","33300"
"Leaver Dept.","2021","40-49","Declared disabled","Male","100","[c]","40460","35990"
"Leaver Dept.","2021","40-49","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Declared non-disabled","Female","830","[c]","44090","36800"
"Leaver Dept.","2021","40-49","Declared non-disabled","Male","545","[c]","43470","38120"
"Leaver Dept.","2021","40-49","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Undeclared","Female","65","[c]","42220","34330"
"Leaver Dept.","2021","40-49","Undeclared","Male","55","[c]","41600","36780"
"Leaver Dept.","2021","40-49","Unknown","Female","265","[c]","45670","43780"
"Leaver Dept.","2021","40-49","Unknown","Male","220","[c]","46660","41340"
"Leaver Dept.","2021","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Declared disabled","Female","95","[c]","37840","33120"
"Leaver Dept.","2021","50-59","Declared disabled","Male","80","[c]","39330","34000"
"Leaver Dept.","2021","50-59","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Declared non-disabled","Female","505","[c]","39210","32890"
"Leaver Dept.","2021","50-59","Declared non-disabled","Male","370","[c]","44960","36740"
"Leaver Dept.","2021","50-59","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Undeclared","Female","45","[c]","39680","36150"
"Leaver Dept.","2021","50-59","Undeclared","Male","40","[c]","38890","34850"
"Leaver Dept.","2021","50-59","Unknown","Female","170","[c]","40640","35700"
"Leaver Dept.","2021","50-59","Unknown","Male","150","[c]","45700","40260"
"Leaver Dept.","2021","50-59","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Declared disabled","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Declared disabled","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Declared non-disabled","Female","35","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Declared non-disabled","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Undeclared","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Declared non-disabled","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Female","55","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Male","50","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Female","25","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Declared non-disabled","Female","250","[c]","22020","21010"
"New entrant CS","2021","16-19","Declared non-disabled","Male","185","[c]","21930","21010"
"New entrant CS","2021","16-19","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Undeclared","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Undeclared","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","16-19","Unknown","Female","195","[c]","20910","20140"
"New entrant CS","2021","16-19","Unknown","Male","210","[c]","20510","20140"
"New entrant CS","2021","20-29","Declared disabled","Female","950","[c]","26510","27500"
"New entrant CS","2021","20-29","Declared disabled","Male","575","[c]","26420","27500"
"New entrant CS","2021","20-29","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Declared non-disabled","Female","7045","[c]","26560","26410"
"New entrant CS","2021","20-29","Declared non-disabled","Male","5075","[c]","26840","26370"
"New entrant CS","2021","20-29","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Undeclared","Female","405","[c]","28010","27570"
"New entrant CS","2021","20-29","Undeclared","Male","350","[c]","28400","27570"
"New entrant CS","2021","20-29","Unknown","Female","5305","[c]","26380","25480"
"New entrant CS","2021","20-29","Unknown","Male","4185","[c]","26650","25540"
"New entrant CS","2021","20-29","Unknown","Unknown","25","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Declared disabled","Female","560","[c]","29180","27570"
"New entrant CS","2021","30-39","Declared disabled","Male","385","[c]","28670","27570"
"New entrant CS","2021","30-39","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Declared non-disabled","Female","4070","[c]","30170","27570"
"New entrant CS","2021","30-39","Declared non-disabled","Male","3285","[c]","30960","27570"
"New entrant CS","2021","30-39","Declared non-disabled","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Undeclared","Female","250","[c]","33300","29290"
"New entrant CS","2021","30-39","Undeclared","Male","195","[c]","32690","29290"
"New entrant CS","2021","30-39","Unknown","Female","2580","[c]","31780","27570"
"New entrant CS","2021","30-39","Unknown","Male","2255","[c]","32450","27700"
"New entrant CS","2021","30-39","Unknown","Unknown","15","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Declared disabled","Female","440","[c]","29220","27570"
"New entrant CS","2021","40-49","Declared disabled","Male","305","[c]","30420","27570"
"New entrant CS","2021","40-49","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Declared non-disabled","Female","2915","[c]","31010","27570"
"New entrant CS","2021","40-49","Declared non-disabled","Male","2285","[c]","33250","27570"
"New entrant CS","2021","40-49","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","40-49","Undeclared","Female","175","[c]","34200","28590"
"New entrant CS","2021","40-49","Undeclared","Male","140","[c]","37190","30920"
"New entrant CS","2021","40-49","Unknown","Female","1665","[c]","34380","28650"
"New entrant CS","2021","40-49","Unknown","Male","1490","[c]","36690","29290"
"New entrant CS","2021","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Declared disabled","Female","365","[c]","27930","27570"
"New entrant CS","2021","50-59","Declared disabled","Male","255","[c]","29420","27570"
"New entrant CS","2021","50-59","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Declared non-disabled","Female","2350","[c]","29000","27570"
"New entrant CS","2021","50-59","Declared non-disabled","Male","2000","[c]","32270","27570"
"New entrant CS","2021","50-59","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","50-59","Undeclared","Female","160","[c]","31410","27570"
"New entrant CS","2021","50-59","Undeclared","Male","120","[c]","36060","29230"
"New entrant CS","2021","50-59","Unknown","Female","1175","[c]","31920","26680"
"New entrant CS","2021","50-59","Unknown","Male","1275","[c]","36640","29290"
"New entrant CS","2021","50-59","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Declared disabled","Female","65","[c]","26250","27570"
"New entrant CS","2021","60-64","Declared disabled","Male","60","[c]","29220","27570"
"New entrant CS","2021","60-64","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Declared non-disabled","Female","380","[c]","28300","27060"
"New entrant CS","2021","60-64","Declared non-disabled","Male","415","[c]","30830","27570"
"New entrant CS","2021","60-64","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Undeclared","Female","40","[c]","33990","28590"
"New entrant CS","2021","60-64","Undeclared","Male","25","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Unknown","Female","165","[c]","29390","21510"
"New entrant CS","2021","60-64","Unknown","Male","205","[c]","35220","27570"
"New entrant CS","2021","60-64","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Declared disabled","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","65+","Declared disabled","Male","10","[c]","[c]","[c]"
"New entrant CS","2021","65+","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Declared non-disabled","Female","70","[c]","29790","27570"
"New entrant CS","2021","65+","Declared non-disabled","Male","90","[c]","36560","28390"
"New entrant CS","2021","65+","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","65+","Undeclared","Female","10","[c]","[c]","[c]"
"New entrant CS","2021","65+","Undeclared","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","65+","Unknown","Female","30","[c]","[c]","[c]"
"New entrant CS","2021","65+","Unknown","Male","55","[c]","33310","26430"
"New entrant CS","2021","Unknown","Declared disabled","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Undeclared","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
