"Status","Year","Age","Function_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","HM Revenue and Customs","Unknown","35","35","20140","20140"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Revenue and Customs","Unknown","10","5","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal","Scottish Government","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Business, Energy and Industrial Strategy","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Transport","Unknown","25","20","[c]","[c]"
"In post","2021","16-19","No function","Department for Work and Pensions","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Work and Pensions","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","No function","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","Heterosexual / straight","50","45","20140","20140"
"In post","2021","16-19","No function","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Revenue and Customs","Unknown","95","90","20270","20140"
"In post","2021","16-19","No function","HM Treasury","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Defence","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice","Heterosexual / straight","70","70","21910","21810"
"In post","2021","16-19","No function","Ministry of Justice","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","No function","Ministry of Justice","Unknown","55","55","21260","20600"
"In post","2021","16-19","No function","National Crime Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","National Crime Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other Cabinet Office Agencies","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Other Cabinet Office Agencies","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Government","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","No function","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","Scottish Government","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","The National Archives","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","No function","United Kingdom Statistics Authority","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","Heterosexual / straight","65","65","18480","17780"
"In post","2021","16-19","Project Delivery","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","Ministry of Defence","Unknown","60","60","17080","16780"
"In post","2021","16-19","Property","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Foreign, Commonwealth and Development Office","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Property","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Foreign, Commonwealth and Development Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","HM Revenue and Customs","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Government","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","Scottish Government","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Cabinet Office","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Security","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Ministry of Defence","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","United Kingdom Statistics Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Heterosexual / straight","150","150","22630","21010"
"In post","2021","16-19","Unknown","Department for Work and Pensions","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Department for Work and Pensions","Unknown","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Foreign, Commonwealth and Development Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","Heterosexual / straight","35","30","22890","21430"
"In post","2021","16-19","Unknown","Home Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Home Office","Unknown","40","35","21920","21430"
"In post","2021","16-19","Unknown","Ministry of Defence","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Ministry of Defence","Undeclared","[c]","[c]","[c]","[c]"
