"Status","Year","Organisation","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Charity Commission","Charity Commission","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Male","Unknown","75","75","37100","30980"
"In post","2021","Charity Commission","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","430","380","30060","24900"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Female","Undeclared","40","35","28030","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Female","Unknown","125","100","26020","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","285","285","34620","32810"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Male","Undeclared","50","50","32620","31780"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Male","Unknown","135","135","29330","24860"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Female","Heterosexual / straight","365","345","58160","55860"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Female","Undeclared","35","30","58990","56360"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Male","Heterosexual / straight","320","315","61680","58320"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Male","LGBO","45","45","59920","56360"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Female","Heterosexual / straight","115","105","27150","22710"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Male","Heterosexual / straight","75","70","25840","22640"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Male","Unknown","45","45","25230","24930"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Female","Heterosexual / straight","300","285","37040","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Female","Unknown","85","80","34970","31000"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Male","Heterosexual / straight","260","260","40600","35420"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Male","Unknown","85","85","34600","30970"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Female","Heterosexual / straight","1270","1160","34420","29040"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Female","LGBO","40","40","29680","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Female","Undeclared","70","65","37190","33550"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Female","Unknown","75","70","43220","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Male","Heterosexual / straight","465","450","37130","31720"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Male","LGBO","35","35","37960","37560"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Male","Undeclared","35","30","44100","35720"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Male","Unknown","30","30","42340","34930"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Female","Heterosexual / straight","3235","2965","39340","33310"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Female","LGBO","120","110","37240","28430"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Female","Undeclared","120","110","39780","34170"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Female","Unknown","1010","875","41150","34480"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Male","Heterosexual / straight","1545","1510","44330","48080"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Male","LGBO","135","135","43600","40270"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Male","Undeclared","80","75","43040","46800"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Male","Unknown","505","490","46160","51470"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","Heterosexual / straight","10","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Female","Unknown","10","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Female","Unknown","40","35","50070","41720"
"In post","2021","Debt Management Office","HM Treasury","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Male","Unknown","75","75","63150","58810"
"In post","2021","Debt Management Office","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Female","Undeclared","45","40","26340","22830"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Male","Heterosexual / straight","110","105","28590","27460"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Male","Undeclared","250","235","28770","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Female","Heterosexual / straight","2920","2730","34070","31600"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Female","LGBO","115","115","30080","27540"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Female","Undeclared","400","375","36190","33920"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Female","Unknown","215","195","32750","31950"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Male","Heterosexual / straight","5545","5455","37760","35630"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Male","LGBO","160","160","33580","31390"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Male","Undeclared","845","820","39780","38910"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Male","Unknown","495","490","32930","30210"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Female","Heterosexual / straight","1185","1105","37900","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Female","LGBO","70","65","34120","33240"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Female","Undeclared","85","80","37640","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Female","Unknown","200","190","38010","37320"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Male","Heterosexual / straight","1890","1845","41750","40850"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Male","LGBO","85","85","35960","35160"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Male","Undeclared","230","230","44500","46080"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Male","Unknown","635","625","42140","42260"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","1895","1820","48160","47780"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","LGBO","205","200","45960","40220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","Undeclared","235","230","48820","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Female","Unknown","270","265","43450","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","1885","1870","50810","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","LGBO","255","250","49260","52730"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","Undeclared","270","265","51860","53550"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Male","Unknown","315","310","45620","40050"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","695","675","48940","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","LGBO","80","80","41960","34130"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","Undeclared","60","60","47810","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Female","Unknown","120","115","48210","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","555","550","50570","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","LGBO","100","100","51280","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","Undeclared","50","50","49250","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Male","Unknown","110","110","48200","46050"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Female","Heterosexual / straight","2425","2290","43600","40230"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Female","LGBO","160","155","42200","39780"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Female","Undeclared","225","215","43600","40230"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Female","Unknown","555","520","44830","40780"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Male","Heterosexual / straight","1570","1555","45560","41990"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Male","LGBO","170","170","44570","38280"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Male","Undeclared","185","185","45620","42320"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Male","Unknown","405","400","44470","40330"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","2120","2005","41430","36970"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","LGBO","135","125","43180","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","Undeclared","200","190","40370","36520"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Female","Unknown","505","470","42520","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","1655","1640","43950","39370"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","LGBO","165","160","42710","37860"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","Undeclared","180","175","41300","39330"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Male","Unknown","445","440","42900","38750"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Female","Heterosexual / straight","735","720","45780","40290"
"In post","2021","Department for International Trade","Department for International Trade","Female","LGBO","60","60","43870","38540"
"In post","2021","Department for International Trade","Department for International Trade","Female","Undeclared","75","75","44980","39340"
"In post","2021","Department for International Trade","Department for International Trade","Female","Unknown","395","395","42510","38540"
"In post","2021","Department for International Trade","Department for International Trade","Male","Heterosexual / straight","805","800","47070","42160"
"In post","2021","Department for International Trade","Department for International Trade","Male","LGBO","125","125","48750","51710"
"In post","2021","Department for International Trade","Department for International Trade","Male","Undeclared","70","70","46650","40780"
"In post","2021","Department for International Trade","Department for International Trade","Male","Unknown","420","420","46100","39440"
"In post","2021","Department for International Trade","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Female","Heterosexual / straight","1065","1020","47240","43360"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Female","LGBO","80","80","43640","40480"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Female","Undeclared","80","75","45120","42470"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Female","Unknown","310","305","41610","35430"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Male","Heterosexual / straight","1210","1195","51060","46710"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Male","LGBO","155","155","47640","43360"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Male","Undeclared","200","195","52020","47060"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Male","Unknown","415","400","43360","37660"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","Heterosexual / straight","39010","34055","27530","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","LGBO","1690","1590","27670","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","Undeclared","4615","3935","26670","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Female","Unknown","14220","11705","26540","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Male","Heterosexual / straight","19720","18990","28630","27570"
