"Status","Year","Age","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","30-39","Wales","AA/AO","2910","2585","21330","21590"
"In post","2021","30-39","Wales","EO","2315","2195","26760","27080"
"In post","2021","30-39","Wales","G6/G7","655","635","55460","53440"
"In post","2021","30-39","Wales","SCS level","25","25","76250","75150"
"In post","2021","30-39","Wales","SEO/HEO","2455","2370","35850","36030"
"In post","2021","30-39","Wales","Unknown","300","280","28740","30210"
"In post","2021","30-39","West Midlands (England)","AA/AO","2020","1850","21860","21010"
"In post","2021","30-39","West Midlands (England)","EO","1930","1815","26710","27570"
"In post","2021","30-39","West Midlands (England)","G6/G7","440","425","53820","52580"
"In post","2021","30-39","West Midlands (England)","SCS level","20","20","82150","81600"
"In post","2021","30-39","West Midlands (England)","SEO/HEO","1610","1565","35010","33090"
"In post","2021","30-39","West Midlands (England)","Unknown","290","265","27830","28200"
"In post","2021","30-39","Yorkshire and The Humber","AA/AO","2215","1990","22620","21430"
"In post","2021","30-39","Yorkshire and The Humber","EO","2115","1980","26960","26980"
"In post","2021","30-39","Yorkshire and The Humber","G6/G7","780","755","54020","52150"
"In post","2021","30-39","Yorkshire and The Humber","SCS level","30","30","73900","74100"
"In post","2021","30-39","Yorkshire and The Humber","SEO/HEO","2075","1995","34320","31990"
"In post","2021","30-39","Yorkshire and The Humber","Unknown","275","245","28840","30210"
"In post","2021","40-49","East Midlands (England)","AA/AO","1515","1360","22130","21010"
"In post","2021","40-49","East Midlands (England)","EO","1435","1320","27170","27570"
"In post","2021","40-49","East Midlands (England)","G6/G7","465","445","56480","52580"
"In post","2021","40-49","East Midlands (England)","SCS level","20","20","86020","77010"
"In post","2021","40-49","East Midlands (England)","SEO/HEO","1285","1225","36170","34190"
"In post","2021","40-49","East Midlands (England)","Unknown","255","230","31480","32690"
"In post","2021","40-49","East of England","AA/AO","1540","1395","23850","21550"
"In post","2021","40-49","East of England","EO","1745","1615","28120","27570"
"In post","2021","40-49","East of England","G6/G7","425","405","58170","54540"
"In post","2021","40-49","East of England","SCS level","40","35","90730","88520"
"In post","2021","40-49","East of England","SEO/HEO","1315","1255","36950","36040"
"In post","2021","40-49","East of England","Unknown","230","205","30740","30880"
"In post","2021","40-49","London","AA/AO","2265","2055","25840","25110"
"In post","2021","40-49","London","EO","3985","3730","30150","30270"
"In post","2021","40-49","London","G6/G7","7485","7125","61710","59900"
"In post","2021","40-49","London","SCS level","2005","1925","89160","80800"
"In post","2021","40-49","London","SEO/HEO","6225","6015","39680","39530"
"In post","2021","40-49","London","Unknown","335","320","36260","36580"
"In post","2021","40-49","North East (England)","AA/AO","2895","2505","21490","21010"
"In post","2021","40-49","North East (England)","EO","1895","1750","26830","27570"
"In post","2021","40-49","North East (England)","G6/G7","710","700","54920","52580"
"In post","2021","40-49","North East (England)","SCS level","40","40","84180","76430"
"In post","2021","40-49","North East (England)","SEO/HEO","1750","1685","34990","32960"
"In post","2021","40-49","North East (England)","Unknown","190","175","31120","32100"
"In post","2021","40-49","North West (England)","AA/AO","4500","3965","21560","21010"
"In post","2021","40-49","North West (England)","EO","4380","4070","27000","27570"
"In post","2021","40-49","North West (England)","G6/G7","1470","1430","56260","52580"
"In post","2021","40-49","North West (England)","SCS level","95","95","85970","81000"
"In post","2021","40-49","North West (England)","SEO/HEO","3580","3450","35430","33720"
"In post","2021","40-49","North West (England)","Unknown","540","500","32630","32690"
"In post","2021","40-49","Northern Ireland","AA/AO","415","385","20940","20310"
"In post","2021","40-49","Northern Ireland","EO","265","250","26230","25560"
"In post","2021","40-49","Northern Ireland","G6/G7","70","70","54650","52580"
"In post","2021","40-49","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Northern Ireland","SEO/HEO","240","230","34530","31810"
"In post","2021","40-49","Overseas","AA/AO","15","15","22500","23000"
"In post","2021","40-49","Overseas","EO","85","80","27920","27170"
"In post","2021","40-49","Overseas","G6/G7","450","450","60710","60080"
"In post","2021","40-49","Overseas","SCS level","115","115","81810","74740"
"In post","2021","40-49","Overseas","SEO/HEO","425","425","41090","39230"
"In post","2021","40-49","Overseas","Unknown","85","85","[c]","[c]"
"In post","2021","40-49","Scotland","AA/AO","3190","2890","22280","21010"
"In post","2021","40-49","Scotland","EO","2800","2640","28310","27570"
"In post","2021","40-49","Scotland","G6/G7","1585","1515","61310","61010"
"In post","2021","40-49","Scotland","SCS level","105","105","86780","83230"
"In post","2021","40-49","Scotland","SEO/HEO","3035","2920","38730","37460"
"In post","2021","40-49","Scotland","Unknown","25","25","41660","41920"
"In post","2021","40-49","South East (England)","AA/AO","2455","2235","24680","21680"
"In post","2021","40-49","South East (England)","EO","2945","2745","28000","27570"
"In post","2021","40-49","South East (England)","G6/G7","1050","1010","57200","54540"
"In post","2021","40-49","South East (England)","SCS level","70","70","87880","84380"
"In post","2021","40-49","South East (England)","SEO/HEO","2370","2275","37030","36140"
"In post","2021","40-49","South East (England)","Unknown","315","285","33070","34340"
"In post","2021","40-49","South West (England)","AA/AO","1715","1555","22450","21010"
"In post","2021","40-49","South West (England)","EO","2175","1990","27070","27570"
"In post","2021","40-49","South West (England)","G6/G7","2110","2040","55890","54540"
"In post","2021","40-49","South West (England)","SCS level","115","110","91010","86700"
"In post","2021","40-49","South West (England)","SEO/HEO","3700","3520","37020","37320"
"In post","2021","40-49","South West (England)","Unknown","555","525","40970","38280"
"In post","2021","40-49","Unknown","AA/AO","40","35","21900","21010"
"In post","2021","40-49","Unknown","EO","125","120","27890","27570"
"In post","2021","40-49","Unknown","G6/G7","45","45","58290","54700"
"In post","2021","40-49","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Unknown","SEO/HEO","100","95","36430","34500"
"In post","2021","40-49","Unknown","Unknown","410","410","39660","34460"
"In post","2021","40-49","Wales","AA/AO","2510","2225","21250","21140"
"In post","2021","40-49","Wales","EO","2100","1970","27080","27570"
"In post","2021","40-49","Wales","G6/G7","1155","1115","58390","58840"
"In post","2021","40-49","Wales","SCS level","110","110","83700","78460"
"In post","2021","40-49","Wales","SEO/HEO","2480","2380","37870","37410"
"In post","2021","40-49","Wales","Unknown","300","280","32510","31420"
"In post","2021","40-49","West Midlands (England)","AA/AO","2020","1795","22070","21010"
"In post","2021","40-49","West Midlands (England)","EO","2105","1940","27170","27570"
"In post","2021","40-49","West Midlands (England)","G6/G7","805","775","57110","53430"
"In post","2021","40-49","West Midlands (England)","SCS level","75","75","89470","81790"
"In post","2021","40-49","West Midlands (England)","SEO/HEO","1835","1765","36660","36500"
"In post","2021","40-49","West Midlands (England)","Unknown","355","325","32060","32690"
"In post","2021","40-49","Yorkshire and The Humber","AA/AO","2160","1910","22660","21010"
"In post","2021","40-49","Yorkshire and The Humber","EO","2350","2160","27220","27570"
"In post","2021","40-49","Yorkshire and The Humber","G6/G7","1320","1270","56110","52580"
"In post","2021","40-49","Yorkshire and The Humber","SCS level","95","95","80760","75000"
"In post","2021","40-49","Yorkshire and The Humber","SEO/HEO","2320","2215","35750","35310"
"In post","2021","40-49","Yorkshire and The Humber","Unknown","380","340","31950","32690"
"In post","2021","50-59","East Midlands (England)","AA/AO","2360","2135","22110","21010"
"In post","2021","50-59","East Midlands (England)","EO","1995","1855","27360","27570"
"In post","2021","50-59","East Midlands (England)","G6/G7","565","550","59380","55610"
"In post","2021","50-59","East Midlands (England)","SCS level","50","50","91230","83300"
"In post","2021","50-59","East Midlands (England)","SEO/HEO","1635","1575","36990","35000"
"In post","2021","50-59","East Midlands (England)","Unknown","235","220","31670","30780"
"In post","2021","50-59","East of England","AA/AO","2270","2105","23230","21440"
"In post","2021","50-59","East of England","EO","2555","2365","28600","27570"
"In post","2021","50-59","East of England","G6/G7","560","545","60510","57330"
"In post","2021","50-59","East of England","SCS level","60","60","101450","98620"
"In post","2021","50-59","East of England","SEO/HEO","1845","1785","37600","36250"
"In post","2021","50-59","East of England","Unknown","210","195","30170","28200"
"In post","2021","50-59","London","AA/AO","3600","3375","25290","25060"
"In post","2021","50-59","London","EO","5820","5505","30510","30560"
"In post","2021","50-59","London","G6/G7","5980","5835","63300","61590"
"In post","2021","50-59","London","SCS level","1415","1385","98630","90520"
"In post","2021","50-59","London","SEO/HEO","7025","6870","40200","39800"
"In post","2021","50-59","London","Unknown","380","370","36500","36580"
"In post","2021","50-59","North East (England)","AA/AO","4155","3510","21750","21010"
"In post","2021","50-59","North East (England)","EO","2295","2060","27220","27570"
"In post","2021","50-59","North East (England)","G6/G7","750","730","55380","52580"
"In post","2021","50-59","North East (England)","SCS level","60","60","87980","77950"
"In post","2021","50-59","North East (England)","SEO/HEO","1900","1805","35590","34290"
"In post","2021","50-59","North East (England)","Unknown","170","160","31760","28200"
"In post","2021","50-59","North West (England)","AA/AO","6235","5540","21710","21010"
"In post","2021","50-59","North West (England)","EO","5495","5060","27240","27570"
"In post","2021","50-59","North West (England)","G6/G7","1745","1705","57540","54750"
"In post","2021","50-59","North West (England)","SCS level","140","140","88810","80440"
"In post","2021","50-59","North West (England)","SEO/HEO","4095","3935","36120","34500"
"In post","2021","50-59","North West (England)","Unknown","505","475","32410","31420"
"In post","2021","50-59","Northern Ireland","AA/AO","500","470","20970","20310"
"In post","2021","50-59","Northern Ireland","EO","275","265","27520","27420"
"In post","2021","50-59","Northern Ireland","G6/G7","90","85","57830","53090"
"In post","2021","50-59","Northern Ireland","SCS level","10","10","[c]","[c]"
"In post","2021","50-59","Northern Ireland","SEO/HEO","330","325","35860","35000"
"In post","2021","50-59","Overseas","AA/AO","20","20","22120","22010"
"In post","2021","50-59","Overseas","EO","105","100","28390","27370"
"In post","2021","50-59","Overseas","G6/G7","320","315","63490","63200"
"In post","2021","50-59","Overseas","SCS level","110","110","90990","84620"
"In post","2021","50-59","Overseas","SEO/HEO","380","380","42720","40120"
"In post","2021","50-59","Overseas","Unknown","55","55","47860","47920"
"In post","2021","50-59","Scotland","AA/AO","4925","4425","22380","21010"
"In post","2021","50-59","Scotland","EO","4380","4075","28850","27570"
"In post","2021","50-59","Scotland","G6/G7","1570","1530","62990","61010"
"In post","2021","50-59","Scotland","SCS level","165","165","89870","83230"
"In post","2021","50-59","Scotland","SEO/HEO","3625","3480","38980","37600"
"In post","2021","50-59","Scotland","Unknown","45","45","45700","46200"
"In post","2021","50-59","South East (England)","AA/AO","4195","3795","23430","21430"
"In post","2021","50-59","South East (England)","EO","4235","3940","28490","27570"
"In post","2021","50-59","South East (England)","G6/G7","1300","1265","58800","56350"
"In post","2021","50-59","South East (England)","SCS level","90","85","92070","89940"
"In post","2021","50-59","South East (England)","SEO/HEO","3345","3245","37800","36480"
"In post","2021","50-59","South East (England)","Unknown","355","330","32030","31420"
"In post","2021","50-59","South West (England)","AA/AO","2780","2555","22320","21010"
"In post","2021","50-59","South West (England)","EO","3005","2785","27280","27570"
"In post","2021","50-59","South West (England)","G6/G7","2200","2150","57630","55790"
"In post","2021","50-59","South West (England)","SCS level","170","165","99850","93640"
"In post","2021","50-59","South West (England)","SEO/HEO","4490","4350","37820","37420"
"In post","2021","50-59","South West (England)","Unknown","600","575","44120","39970"
"In post","2021","50-59","Unknown","AA/AO","75","65","22810","22080"
"In post","2021","50-59","Unknown","EO","185","170","28450","27570"
"In post","2021","50-59","Unknown","G6/G7","55","55","56540","54700"
"In post","2021","50-59","Unknown","SCS level","10","10","100200","82240"
"In post","2021","50-59","Unknown","SEO/HEO","135","135","38150","36460"
"In post","2021","50-59","Unknown","Unknown","520","520","42180","37150"
"In post","2021","50-59","Wales","AA/AO","3180","2795","21300","21010"
"In post","2021","50-59","Wales","EO","2580","2400","27340","27570"
"In post","2021","50-59","Wales","G6/G7","1070","1050","60560","60830"
"In post","2021","50-59","Wales","SCS level","125","120","87010","79280"
"In post","2021","50-59","Wales","SEO/HEO","2515","2415","37940","37410"
"In post","2021","50-59","Wales","Unknown","240","230","30800","28750"
"In post","2021","50-59","West Midlands (England)","AA/AO","2995","2705","22200","21010"
"In post","2021","50-59","West Midlands (England)","EO","2960","2720","27470","27570"
"In post","2021","50-59","West Midlands (England)","G6/G7","865","845","58370","54850"
"In post","2021","50-59","West Midlands (England)","SCS level","90","90","98130","87970"
"In post","2021","50-59","West Midlands (England)","SEO/HEO","2160","2085","36850","35000"
"In post","2021","50-59","West Midlands (England)","Unknown","380","355","31230","31150"
"In post","2021","50-59","Yorkshire and The Humber","AA/AO","3195","2865","22710","21010"
"In post","2021","50-59","Yorkshire and The Humber","EO","3300","3035","27530","27570"
"In post","2021","50-59","Yorkshire and The Humber","G6/G7","1355","1305","57840","55610"
"In post","2021","50-59","Yorkshire and The Humber","SCS level","130","125","91020","84740"
"In post","2021","50-59","Yorkshire and The Humber","SEO/HEO","2800","2680","36330","35000"
"In post","2021","50-59","Yorkshire and The Humber","Unknown","315","300","31580","31420"
"In post","2021","60-64","East Midlands (England)","AA/AO","780","655","21230","20920"
"In post","2021","60-64","East Midlands (England)","EO","510","405","27480","27570"
"In post","2021","60-64","East Midlands (England)","G6/G7","95","80","60670","58130"
"In post","2021","60-64","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","60-64","East Midlands (England)","SEO/HEO","300","245","36930","35000"
"In post","2021","60-64","East Midlands (England)","Unknown","85","75","31060","28200"
"In post","2021","60-64","East of England","AA/AO","835","720","22370","21220"
"In post","2021","60-64","East of England","EO","655","540","28670","27570"
"In post","2021","60-64","East of England","G6/G7","95","80","61310","57590"
"In post","2021","60-64","East of England","SCS level","10","10","98280","99000"
"In post","2021","60-64","East of England","SEO/HEO","435","375","37640","35450"
"In post","2021","60-64","East of England","Unknown","85","70","30900","28200"
"In post","2021","60-64","London","AA/AO","1360","1210","24730","24900"
"In post","2021","60-64","London","EO","1515","1310","30570","30780"
"In post","2021","60-64","London","G6/G7","1015","915","64750","63180"
"In post","2021","60-64","London","SCS level","235","220","103960","94900"
"In post","2021","60-64","London","SEO/HEO","1445","1295","40900","39800"
"In post","2021","60-64","London","Unknown","125","115","36740","34170"
"In post","2021","60-64","North East (England)","AA/AO","1660","1225","21310","21010"
"In post","2021","60-64","North East (England)","EO","685","500","27420","27570"
"In post","2021","60-64","North East (England)","G6/G7","95","80","57750","55610"
"In post","2021","60-64","North East (England)","SCS level","5","5","[c]","[c]"
"In post","2021","60-64","North East (England)","SEO/HEO","355","265","36120","35000"
"In post","2021","60-64","North East (England)","Unknown","60","50","29870","28200"
"In post","2021","60-64","North West (England)","AA/AO","2085","1645","21360","21010"
"In post","2021","60-64","North West (England)","EO","1370","1040","27300","27570"
"In post","2021","60-64","North West (England)","G6/G7","250","215","59360","56730"
"In post","2021","60-64","North West (England)","SCS level","15","15","96020","91640"
"In post","2021","60-64","North West (England)","SEO/HEO","780","620","36560","35000"
"In post","2021","60-64","North West (England)","Unknown","160","140","30250","28200"
"In post","2021","60-64","Northern Ireland","AA/AO","145","125","20870","20310"
"In post","2021","60-64","Northern Ireland","EO","60","50","27910","28130"
"In post","2021","60-64","Northern Ireland","G6/G7","10","10","56370","54010"
"In post","2021","60-64","Northern Ireland","SEO/HEO","45","35","37240","36460"
"In post","2021","60-64","Overseas","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","60-64","Overseas","EO","15","15","28180","27710"
"In post","2021","60-64","Overseas","G6/G7","55","55","64300","64130"
"In post","2021","60-64","Overseas","SCS level","35","35","92000","83090"
"In post","2021","60-64","Overseas","SEO/HEO","75","75","42150","40580"
"In post","2021","60-64","Overseas","Unknown","10","10","[c]","[c]"
"In post","2021","60-64","Scotland","AA/AO","1700","1380","21810","21010"
"In post","2021","60-64","Scotland","EO","1240","920","28460","27570"
"In post","2021","60-64","Scotland","G6/G7","260","225","63930","62300"
"In post","2021","60-64","Scotland","SCS level","25","25","89890","83230"
"In post","2021","60-64","Scotland","SEO/HEO","795","640","39530","38020"
