"Status","Year","Disability","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Chinese","HM Revenue and Customs","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Home Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Ministry of Justice","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Attorney General's Departments","30","30","51480","59300"
"In post","2021","Declared disabled","Mixed","Cabinet Office","35","30","45760","40600"
"In post","2021","Declared disabled","Mixed","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy","40","40","38710","37700"
"In post","2021","Declared disabled","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Department for Education","25","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs","25","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Department for International Trade","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Department for Transport","15","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Department for Work and Pensions","345","315","27830","27570"
"In post","2021","Declared disabled","Mixed","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Foreign, Commonwealth and Development Office","35","35","40000","38600"
"In post","2021","Declared disabled","Mixed","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","HM Revenue and Customs","100","90","30930","28130"
"In post","2021","Declared disabled","Mixed","HM Treasury","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Home Office","95","85","31940","27370"
"In post","2021","Declared disabled","Mixed","Ministry of Defence","80","75","38380","34560"
"In post","2021","Declared disabled","Mixed","Ministry of Housing, Communities and Local Government","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Ministry of Justice","280","265","31640","28850"
"In post","2021","Declared disabled","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Scottish Government","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","United Kingdom Statistics Authority","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Welsh Government","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Attorney General's Departments","15","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Cabinet Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Department for Education","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Department for Work and Pensions","100","95","29120","27570"
"In post","2021","Declared disabled","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Foreign, Commonwealth and Development Office","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","HM Land Registry","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","HM Revenue and Customs","35","35","34310","31810"
"In post","2021","Declared disabled","Other ethnicity","HM Treasury","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Home Office","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Ministry of Defence","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Ministry of Housing, Communities and Local Government","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Ministry of Justice","65","65","31620","31260"
"In post","2021","Declared disabled","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Other Cabinet Office Agencies","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Scottish Government","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Attorney General's Departments","15","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Cabinet Office","30","30","47320","52950"
"In post","2021","Declared disabled","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Business, Energy and Industrial Strategy","25","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Education","25","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Environment, Food and Rural Affairs","55","55","33470","29690"
"In post","2021","Declared disabled","Undeclared","Department for International Trade","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Department for Transport","60","55","30560","27230"
"In post","2021","Declared disabled","Undeclared","Department for Work and Pensions","680","595","27200","27570"
"In post","2021","Declared disabled","Undeclared","Department of Health and Social Care","15","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","HM Land Registry","20","15","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","HM Revenue and Customs","180","160","31180","28130"
"In post","2021","Declared disabled","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Home Office","195","180","30590","28350"
"In post","2021","Declared disabled","Undeclared","Ministry of Defence","320","310","35530","33300"
"In post","2021","Declared disabled","Undeclared","Ministry of Housing, Communities and Local Government","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Ministry of Justice","280","265","29730","27380"
"In post","2021","Declared disabled","Undeclared","National Crime Agency","5","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Scottish Government","55","55","36520","33650"
"In post","2021","Declared disabled","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","United Kingdom Statistics Authority","10","5","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Welsh Government","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Attorney General's Departments","35","35","41030","37210"
"In post","2021","Declared disabled","Unknown","Cabinet Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for Business, Energy and Industrial Strategy","65","65","32740","29940"
"In post","2021","Declared disabled","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for Education","15","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for Environment, Food and Rural Affairs","25","25","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for International Trade","20","20","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Department for Transport","45","40","29030","26780"
"In post","2021","Declared disabled","Unknown","Department for Work and Pensions","195","170","27480","27570"
"In post","2021","Declared disabled","Unknown","Department of Health and Social Care","25","25","[c]","[c]"
"In post","2021","Declared disabled","Unknown","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Foreign, Commonwealth and Development Office","20","20","[c]","[c]"
"In post","2021","Declared disabled","Unknown","HM Land Registry","20","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","HM Revenue and Customs","250","215","28720","25560"
"In post","2021","Declared disabled","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Home Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Ministry of Defence","130","125","34510","33190"
"In post","2021","Declared disabled","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Ministry of Justice","130","115","27790","27210"
"In post","2021","Declared disabled","Unknown","National Crime Agency","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Scottish Government","185","165","32900","33650"
"In post","2021","Declared disabled","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","United Kingdom Statistics Authority","35","30","28590","23520"
"In post","2021","Declared disabled","Unknown","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","Attorney General's Departments","690","645","44610","43920"
"In post","2021","Declared disabled","White","Cabinet Office","535","515","44160","38420"
"In post","2021","Declared disabled","White","Chancellor's other departments","20","15","[c]","[c]"
"In post","2021","Declared disabled","White","Charity Commission","25","20","[c]","[c]"
"In post","2021","Declared disabled","White","Competition and Markets Authority","25","25","[c]","[c]"
"In post","2021","Declared disabled","White","Department for Business, Energy and Industrial Strategy","770","730","40590","36740"
"In post","2021","Declared disabled","White","Department for Digital, Culture, Media and Sport","95","95","48450","44740"
"In post","2021","Declared disabled","White","Department for Education","565","540","41860","37100"
"In post","2021","Declared disabled","White","Department for Environment, Food and Rural Affairs","975","920","34240","30230"
"In post","2021","Declared disabled","White","Department for International Trade","135","130","46280","48220"
"In post","2021","Declared disabled","White","Department for Transport","1215","1060","29020","26700"
"In post","2021","Declared disabled","White","Department for Work and Pensions","12645","11050","27140","27570"
"In post","2021","Declared disabled","White","Department of Health and Social Care","400","375","42140","36820"
"In post","2021","Declared disabled","White","ESTYN","10","10","[c]","[c]"
"In post","2021","Declared disabled","White","Food Standards Agency","55","55","35130","30810"
"In post","2021","Declared disabled","White","Foreign, Commonwealth and Development Office","620","605","44950","38970"
"In post","2021","Declared disabled","White","HM Land Registry","420","365","30470","27130"
"In post","2021","Declared disabled","White","HM Revenue and Customs","4680","4180","31050","27230"
"In post","2021","Declared disabled","White","HM Treasury","195","190","46530","44450"
"In post","2021","Declared disabled","White","Home Office","2175","2000","31140","26160"
"In post","2021","Declared disabled","White","Ministry of Defence","4555","4370","32980","30750"
"In post","2021","Declared disabled","White","Ministry of Housing, Communities and Local Government","250","245","42050","38160"
"In post","2021","Declared disabled","White","Ministry of Justice","7315","6805","29190","26630"
"In post","2021","Declared disabled","White","National Crime Agency","165","160","38880","36740"
"In post","2021","Declared disabled","White","Northern Ireland Office","10","10","[c]","[c]"
"In post","2021","Declared disabled","White","Office for Standards in Education","125","120","45890","51360"
"In post","2021","Declared disabled","White","Office of Gas and Electricity Markets","45","45","39860","32560"
"In post","2021","Declared disabled","White","Office of Qualifications and Examinations Regulation","20","20","[c]","[c]"
"In post","2021","Declared disabled","White","Office of Rail and Road","15","15","[c]","[c]"
"In post","2021","Declared disabled","White","Other Cabinet Office Agencies","50","45","40140","36370"
"In post","2021","Declared disabled","White","Scotland Office","5","5","[c]","[c]"
"In post","2021","Declared disabled","White","Scottish Government","1450","1380","36440","33620"
"In post","2021","Declared disabled","White","The National Archives","20","20","[c]","[c]"
"In post","2021","Declared disabled","White","UK Export Finance","10","10","[c]","[c]"
"In post","2021","Declared disabled","White","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","United Kingdom Statistics Authority","465","410","31820","29540"
"In post","2021","Declared disabled","White","Wales Office","5","5","[c]","[c]"
"In post","2021","Declared disabled","White","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2021","Declared disabled","White","Welsh Government","300","280","38670","37410"
"In post","2021","Declared non-disabled","Asian","Attorney General's Departments","665","615","43410","48080"
"In post","2021","Declared non-disabled","Asian","Cabinet Office","375","370","46900","40600"
"In post","2021","Declared non-disabled","Asian","Chancellor's other departments","35","35","47430","44000"
"In post","2021","Declared non-disabled","Asian","Charity Commission","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Competition and Markets Authority","90","90","45560","37650"
"In post","2021","Declared non-disabled","Asian","Department for Business, Energy and Industrial Strategy","525","510","39360","35950"
"In post","2021","Declared non-disabled","Asian","Department for Digital, Culture, Media and Sport","100","100","45190","42020"
