"Status","Year","Ethnicity","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Legal","London","640","600","45700","50500"
"In post","2021","Asian","Legal","Outside London","505","465","38360","37600"
"In post","2021","Asian","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","London","3990","3815","37970","33740"
"In post","2021","Asian","No function","Outside London","5240","4830","28190","23810"
"In post","2021","Asian","No function","Overseas","70","70","47850","40330"
"In post","2021","Asian","No function","Unknown","20","15","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","510","500","45550","40510"
"In post","2021","Asian","Project Delivery","Outside London","595","580","37630","34630"
"In post","2021","Asian","Project Delivery","Overseas","25","25","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Property","London","170","160","36620","31820"
"In post","2021","Asian","Property","Outside London","135","130","31490","26500"
"In post","2021","Asian","Property","Overseas","5","5","[c]","[c]"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","London","110","105","36280","34410"
"In post","2021","Asian","Security","Outside London","110","110","27500","22920"
"In post","2021","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","London","5915","5470","33070","31060"
"In post","2021","Asian","Unknown","Outside London","6640","6010","26630","27570"
"In post","2021","Asian","Unknown","Overseas","45","40","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","135","120","27810","27570"
"In post","2021","Black","Analysis","London","130","130","40500","38360"
"In post","2021","Black","Analysis","Outside London","45","45","36990","33640"
"In post","2021","Black","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","London","120","120","42740","38180"
"In post","2021","Black","Commercial","Outside London","65","65","36230","35600"
"In post","2021","Black","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","London","115","115","37130","34630"
"In post","2021","Black","Communications","Outside London","90","90","27590","25560"
"In post","2021","Black","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","London","175","175","32970","30060"
"In post","2021","Black","Counter Fraud","Outside London","75","70","28090","25560"
"In post","2021","Black","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Debt","London","95","90","27610","25630"
"In post","2021","Black","Debt","Outside London","55","50","21450","20140"
"In post","2021","Black","Digital, Data & Technology","London","235","235","40990","36800"
"In post","2021","Black","Digital, Data & Technology","Outside London","140","135","36210","32370"
"In post","2021","Black","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","London","255","250","41270","37990"
"In post","2021","Black","Finance","Outside London","95","95","34650","33380"
"In post","2021","Black","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Grants Management","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Human Resources","London","225","220","38420","34550"
"In post","2021","Black","Human Resources","Outside London","85","80","34900","31220"
"In post","2021","Black","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","London","30","30","[c]","[c]"
"In post","2021","Black","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","London","475","460","42110","36160"
"In post","2021","Black","Legal","Outside London","170","165","38750","33930"
"In post","2021","Black","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","No function","London","3675","3580","33810","32090"
"In post","2021","Black","No function","Outside London","2105","1985","29150","25560"
"In post","2021","Black","No function","Overseas","35","35","39800","34220"
"In post","2021","Black","No function","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Project Delivery","London","335","335","42960","39530"
"In post","2021","Black","Project Delivery","Outside London","310","305","34220","33300"
"In post","2021","Black","Project Delivery","Overseas","15","15","[c]","[c]"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","London","85","80","37720","33740"
"In post","2021","Black","Property","Outside London","60","60","34560","33300"
"In post","2021","Black","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","London","75","75","33790","32120"
"In post","2021","Black","Security","Outside London","40","40","26080","20920"
"In post","2021","Black","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","London","3940","3745","32190","31060"
"In post","2021","Black","Unknown","Outside London","2155","2025","27320","27570"
"In post","2021","Black","Unknown","Overseas","15","15","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","50","45","28950","28380"
"In post","2021","Chinese","Analysis","London","50","50","48430","45970"
"In post","2021","Chinese","Analysis","Outside London","15","15","[c]","[c]"
"In post","2021","Chinese","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","London","10","10","[c]","[c]"
"In post","2021","Chinese","Commercial","Outside London","10","10","[c]","[c]"
"In post","2021","Chinese","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","London","5","5","[c]","[c]"
"In post","2021","Chinese","Communications","Outside London","20","20","[c]","[c]"
"In post","2021","Chinese","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","London","10","10","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Outside London","15","15","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Debt","Outside London","10","10","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","London","30","30","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Outside London","25","25","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","London","30","30","[c]","[c]"
"In post","2021","Chinese","Finance","Outside London","25","20","[c]","[c]"
"In post","2021","Chinese","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","London","15","15","[c]","[c]"
"In post","2021","Chinese","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2021","Chinese","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","London","45","40","48850","51520"
"In post","2021","Chinese","Legal","Outside London","15","15","[c]","[c]"
"In post","2021","Chinese","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","No function","London","220","215","42810","39990"
"In post","2021","Chinese","No function","Outside London","235","220","31180","26350"
"In post","2021","Chinese","No function","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","London","30","30","51570","52170"
"In post","2021","Chinese","Project Delivery","Outside London","15","15","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","London","5","5","[c]","[c]"
"In post","2021","Chinese","Property","Outside London","10","5","[c]","[c]"
"In post","2021","Chinese","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Outside London","10","10","[c]","[c]"
"In post","2021","Chinese","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","London","150","145","37910","31880"
"In post","2021","Chinese","Unknown","Outside London","225","205","28580","25480"
"In post","2021","Chinese","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","London","130","130","44960","41890"
"In post","2021","Mixed","Analysis","Outside London","60","60","36750","34770"
"In post","2021","Mixed","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","London","40","40","48480","41990"
"In post","2021","Mixed","Commercial","Outside London","55","55","36650","33790"
"In post","2021","Mixed","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","London","75","75","42320","39280"
"In post","2021","Mixed","Communications","Outside London","85","80","30970","29540"
"In post","2021","Mixed","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","London","65","60","37950","36160"
"In post","2021","Mixed","Counter Fraud","Outside London","70","65","30940","25560"
"In post","2021","Mixed","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Debt","London","10","10","[c]","[c]"
"In post","2021","Mixed","Debt","Outside London","30","25","21750","20140"
"In post","2021","Mixed","Digital, Data & Technology","London","105","105","47570","44000"
"In post","2021","Mixed","Digital, Data & Technology","Outside London","120","120","39950","37100"
"In post","2021","Mixed","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","London","80","75","44340","41760"
"In post","2021","Mixed","Finance","Outside London","70","70","38340","35270"
"In post","2021","Mixed","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Grants Management","Outside London","10","10","[c]","[c]"
"In post","2021","Mixed","Human Resources","London","100","95","43550","37640"
"In post","2021","Mixed","Human Resources","Outside London","75","75","37020","32040"
"In post","2021","Mixed","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Outside London","10","10","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","London","210","195","50760","51830"
"In post","2021","Mixed","Legal","Outside London","135","120","42010","40800"
"In post","2021","Mixed","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","No function","London","1415","1380","40330","35590"
"In post","2021","Mixed","No function","Outside London","1795","1690","30010","26780"
"In post","2021","Mixed","No function","Overseas","55","55","49840","41760"
"In post","2021","Mixed","No function","Unknown","5","5","[c]","[c]"
"In post","2021","Mixed","Project Delivery","London","165","160","48350","42030"
"In post","2021","Mixed","Project Delivery","Outside London","270","265","37050","33630"
"In post","2021","Mixed","Project Delivery","Overseas","20","20","[c]","[c]"
"In post","2021","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","London","35","35","38390","36600"
"In post","2021","Mixed","Property","Outside London","65","65","31200","31040"
"In post","2021","Mixed","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Security","London","30","30","[c]","[c]"
"In post","2021","Mixed","Security","Outside London","60","60","32840","30390"
"In post","2021","Mixed","Security","Overseas","5","5","[c]","[c]"
"In post","2021","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Unknown","London","945","905","36070","31060"
"In post","2021","Mixed","Unknown","Outside London","1810","1675","28450","27570"
"In post","2021","Mixed","Unknown","Overseas","20","20","[c]","[c]"
"In post","2021","Mixed","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","London","35","30","50370","45540"
"In post","2021","Other ethnicity","Analysis","Outside London","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","London","15","15","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","Outside London","15","15","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","London","20","20","[c]","[c]"
"In post","2021","Other ethnicity","Communications","Outside London","15","15","[c]","[c]"
"In post","2021","Other ethnicity","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","London","20","20","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","Outside London","15","15","[c]","[c]"
"In post","2021","Other ethnicity","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Debt","London","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Debt","Outside London","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Digital, Data & Technology","London","45","45","48980","47650"
"In post","2021","Other ethnicity","Digital, Data & Technology","Outside London","50","45","41140","38020"
"In post","2021","Other ethnicity","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Finance","London","25","25","[c]","[c]"
"In post","2021","Other ethnicity","Finance","Outside London","35","30","38490","35790"
"In post","2021","Other ethnicity","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Human Resources","London","30","30","37480","34550"
"In post","2021","Other ethnicity","Human Resources","Outside London","20","20","[c]","[c]"
"In post","2021","Other ethnicity","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Legal","London","125","115","54090","55000"
"In post","2021","Other ethnicity","Legal","Outside London","35","30","45900","48830"
"In post","2021","Other ethnicity","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","No function","London","480","460","40540","35310"
"In post","2021","Other ethnicity","No function","Outside London","480","450","32020","27820"
"In post","2021","Other ethnicity","No function","Overseas","20","20","[c]","[c]"
"In post","2021","Other ethnicity","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Project Delivery","London","60","60","51080","46470"
"In post","2021","Other ethnicity","Project Delivery","Outside London","80","80","37920","35000"
"In post","2021","Other ethnicity","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Property","London","15","10","[c]","[c]"
"In post","2021","Other ethnicity","Property","Outside London","20","20","[c]","[c]"
"In post","2021","Other ethnicity","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","London","10","10","[c]","[c]"
"In post","2021","Other ethnicity","Security","Outside London","30","30","[c]","[c]"
"In post","2021","Other ethnicity","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","London","390","365","36930","31060"
"In post","2021","Other ethnicity","Unknown","Outside London","460","425","28350","27570"
"In post","2021","Other ethnicity","Unknown","Overseas","5","5","[c]","[c]"
"In post","2021","Other ethnicity","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Undeclared","Analysis","London","115","115","50270","45800"
"In post","2021","Undeclared","Analysis","Outside London","130","125","39950","37930"
"In post","2021","Undeclared","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Commercial","London","50","50","48660","42130"
"In post","2021","Undeclared","Commercial","Outside London","230","220","38740","35660"
"In post","2021","Undeclared","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Communications","London","60","55","46010","42890"
"In post","2021","Undeclared","Communications","Outside London","160","150","30110","28130"
"In post","2021","Undeclared","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Counter Fraud","London","175","165","39990","36160"
"In post","2021","Undeclared","Counter Fraud","Outside London","400","375","34610","31810"
"In post","2021","Undeclared","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Debt","London","30","25","29710","25630"
"In post","2021","Undeclared","Debt","Outside London","115","100","23360","21440"
"In post","2021","Undeclared","Digital, Data & Technology","London","135","130","51750","54700"
"In post","2021","Undeclared","Digital, Data & Technology","Outside London","520","505","39370","38450"
"In post","2021","Undeclared","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Finance","London","100","100","50160","47280"
"In post","2021","Undeclared","Finance","Outside London","270","255","35650","32870"
"In post","2021","Undeclared","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Grants Management","Outside London","85","80","28200","26470"
"In post","2021","Undeclared","Human Resources","London","85","80","46430","41190"
"In post","2021","Undeclared","Human Resources","Outside London","195","180","31800","28900"
"In post","2021","Undeclared","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","London","15","10","[c]","[c]"
"In post","2021","Undeclared","Internal Audit","Outside London","25","25","[c]","[c]"
"In post","2021","Undeclared","Legal","London","140","135","51660","54080"
"In post","2021","Undeclared","Legal","Outside London","210","195","42680","40000"
"In post","2021","Undeclared","No function","London","1635","1575","43140","38720"
"In post","2021","Undeclared","No function","Outside London","5165","4795","32120","29310"
"In post","2021","Undeclared","No function","Overseas","100","100","52020","53650"
"In post","2021","Undeclared","No function","Unknown","5","5","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","London","220","210","51890","53380"
"In post","2021","Undeclared","Project Delivery","Outside London","1290","1245","40210","38640"
"In post","2021","Undeclared","Project Delivery","Overseas","10","10","[c]","[c]"
"In post","2021","Undeclared","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Undeclared","Property","London","90","85","45080","38430"
"In post","2021","Undeclared","Property","Outside London","350","335","34740","33280"
"In post","2021","Undeclared","Property","Overseas","20","20","[c]","[c]"
"In post","2021","Undeclared","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Security","London","65","65","42750","40780"
"In post","2021","Undeclared","Security","Outside London","375","370","33260","34640"
"In post","2021","Undeclared","Security","Overseas","5","5","[c]","[c]"
"In post","2021","Undeclared","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","London","1750","1630","36970","31700"
"In post","2021","Undeclared","Unknown","Outside London","6125","5530","28760","27570"
"In post","2021","Undeclared","Unknown","Overseas","50","45","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","40","35","33060","27570"
"In post","2021","Unknown","Analysis","London","525","515","45830","42280"
"In post","2021","Unknown","Analysis","Outside London","435","420","34690","31810"
"In post","2021","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","London","655","645","70470","64500"
"In post","2021","Unknown","Commercial","Outside London","945","925","51050","49700"
"In post","2021","Unknown","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Commercial","Unknown","5","5","[c]","[c]"
"In post","2021","Unknown","Communications","London","595","585","44580","41160"
"In post","2021","Unknown","Communications","Outside London","1575","1535","28670","25560"
"In post","2021","Unknown","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Counter Fraud","London","440","430","38270","36160"
"In post","2021","Unknown","Counter Fraud","Outside London","1250","1180","29980","26160"
"In post","2021","Unknown","Debt","London","130","115","26310","24120"
"In post","2021","Unknown","Debt","Outside London","1415","1330","21050","20140"
"In post","2021","Unknown","Digital, Data & Technology","London","625","620","48290","44330"
"In post","2021","Unknown","Digital, Data & Technology","Outside London","1850","1810","37630","34980"
"In post","2021","Unknown","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Digital, Data & Technology","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Finance","London","355","355","45120","40650"
"In post","2021","Unknown","Finance","Outside London","850","790","31940","28130"
"In post","2021","Unknown","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Grants Management","Outside London","690","655","24220","21050"
"In post","2021","Unknown","Human Resources","London","280","275","41810","36160"
"In post","2021","Unknown","Human Resources","Outside London","660","625","32060","29540"
"In post","2021","Unknown","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","Internal Audit","London","10","10","[c]","[c]"
"In post","2021","Unknown","Internal Audit","Outside London","20","20","[c]","[c]"
"In post","2021","Unknown","Legal","London","805","765","51860","54810"
"In post","2021","Unknown","Legal","Outside London","2360","2145","31170","26970"
"In post","2021","Unknown","Legal","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","No function","London","7985","7810","39490","33570"
"In post","2021","Unknown","No function","Outside London","22615","21075","26610","23970"
"In post","2021","Unknown","No function","Overseas","165","165","56450","55040"
"In post","2021","Unknown","No function","Unknown","420","420","33560","31420"
"In post","2021","Unknown","Project Delivery","London","870","850","50280","47780"
"In post","2021","Unknown","Project Delivery","Outside London","1785","1730","36290","33930"
"In post","2021","Unknown","Project Delivery","Overseas","155","155","55260","55060"
"In post","2021","Unknown","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Property","London","225","215","38390","35030"
"In post","2021","Unknown","Property","Outside London","1275","1200","29450","25930"
"In post","2021","Unknown","Property","Overseas","5","5","[c]","[c]"
"In post","2021","Unknown","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Security","London","150","145","38580","34650"
"In post","2021","Unknown","Security","Outside London","1090","1070","29330","26670"
"In post","2021","Unknown","Security","Overseas","10","10","[c]","[c]"
"In post","2021","Unknown","Security","Unknown","25","25","[c]","[c]"
"In post","2021","Unknown","Unknown","London","1920","1865","39850","32480"
"In post","2021","Unknown","Unknown","Outside London","9685","9040","29810","27570"
"In post","2021","Unknown","Unknown","Overseas","210","210","46410","46570"
"In post","2021","Unknown","Unknown","Unknown","1955","1950","37480","34160"
"In post","2021","White","Analysis","London","2145","2070","50890","47880"
"In post","2021","White","Analysis","Outside London","2950","2805","38460","37020"
"In post","2021","White","Analysis","Overseas","[c]","[c]","[c]","[c]"
