"Status","Year","Function_of_post","Profession_of_post","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Female","Heterosexual / straight","75","70","41820","41990"
"In post","2021","Analysis","Digital, Data and Technology","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Male","Heterosexual / straight","95","90","42070","42220"
"In post","2021","Analysis","Digital, Data and Technology","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Female","Heterosexual / straight","305","290","47070","42470"
"In post","2021","Analysis","Economics","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Economics","Female","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Economics","Female","Unknown","80","75","44380","35640"
"In post","2021","Analysis","Economics","Male","Heterosexual / straight","540","535","47660","42020"
"In post","2021","Analysis","Economics","Male","LGBO","50","50","45150","36160"
"In post","2021","Analysis","Economics","Male","Undeclared","70","65","48860","49100"
"In post","2021","Analysis","Economics","Male","Unknown","185","185","42860","36090"
"In post","2021","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Human Resources","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Female","Heterosexual / straight","70","65","48750","51780"
"In post","2021","Analysis","Intelligence Analysis","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Female","Unknown","65","60","54940","53360"
"In post","2021","Analysis","Intelligence Analysis","Male","Heterosexual / straight","65","65","49860","51100"
"In post","2021","Analysis","Intelligence Analysis","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Male","Unknown","65","65","53390","53360"
"In post","2021","Analysis","Intelligence Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Female","Heterosexual / straight","185","170","31290","30130"
"In post","2021","Analysis","Operational Delivery","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Female","Unknown","100","90","30820","29540"
"In post","2021","Analysis","Operational Delivery","Male","Heterosexual / straight","165","160","32930","30130"
"In post","2021","Analysis","Operational Delivery","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Male","Unknown","80","75","34130","30130"
"In post","2021","Analysis","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Female","Heterosexual / straight","165","155","43570","40380"
"In post","2021","Analysis","Operational Research","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Operational Research","Female","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Operational Research","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Analysis","Operational Research","Male","Heterosexual / straight","295","285","45070","46080"
"In post","2021","Analysis","Operational Research","Male","LGBO","30","25","[c]","[c]"
"In post","2021","Analysis","Operational Research","Male","Undeclared","45","40","46480","42660"
"In post","2021","Analysis","Operational Research","Male","Unknown","65","65","43590","42020"
"In post","2021","Analysis","Operational Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Female","Heterosexual / straight","60","55","63310","65470"
"In post","2021","Analysis","Other","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Analysis","Other","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Other","Male","Heterosexual / straight","100","100","69410","58790"
"In post","2021","Analysis","Other","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","Other","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Female","Heterosexual / straight","130","120","46310","45250"
"In post","2021","Analysis","Policy","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Policy","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","Female","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Policy","Male","Heterosexual / straight","110","105","45560","45050"
"In post","2021","Analysis","Policy","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Policy","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Policy","Male","Unknown","35","35","51660","49860"
"In post","2021","Analysis","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Female","Heterosexual / straight","125","110","33510","30220"
"In post","2021","Analysis","Science and Engineering","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Female","Unknown","125","115","30990","29270"
"In post","2021","Analysis","Science and Engineering","Male","Heterosexual / straight","175","170","37460","35900"
"In post","2021","Analysis","Science and Engineering","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Male","Unknown","185","180","39400","36580"
"In post","2021","Analysis","Science and Engineering","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Female","Heterosexual / straight","415","390","41990","37520"
"In post","2021","Analysis","Social Research","Female","LGBO","50","45","41350","37020"
"In post","2021","Analysis","Social Research","Female","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","Social Research","Female","Unknown","85","80","38430","37020"
"In post","2021","Analysis","Social Research","Male","Heterosexual / straight","195","190","42620","38010"
"In post","2021","Analysis","Social Research","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","Social Research","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Social Research","Male","Unknown","70","65","37830","36090"
"In post","2021","Analysis","Social Research","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Statistics","Female","Heterosexual / straight","580","550","44250","40480"
"In post","2021","Analysis","Statistics","Female","LGBO","60","55","38090","36160"
"In post","2021","Analysis","Statistics","Female","Undeclared","55","50","40860","37580"
"In post","2021","Analysis","Statistics","Female","Unknown","125","115","38530","36160"
"In post","2021","Analysis","Statistics","Male","Heterosexual / straight","630","620","44280","40480"
"In post","2021","Analysis","Statistics","Male","LGBO","70","70","43560","37660"
"In post","2021","Analysis","Statistics","Male","Undeclared","65","65","42100","38630"
"In post","2021","Analysis","Statistics","Male","Unknown","180","180","41970","37020"
"In post","2021","Analysis","Statistics","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Statistics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Statistics","Unknown","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Tax","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Tax","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Tax","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Heterosexual / straight","35","35","46610","41950"
"In post","2021","Analysis","Unknown","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Female","Heterosexual / straight","1555","1485","39140","36460"
"In post","2021","Commercial","Commercial","Female","LGBO","45","45","36450","33660"
"In post","2021","Commercial","Commercial","Female","Undeclared","190","175","37480","34800"
"In post","2021","Commercial","Commercial","Female","Unknown","420","400","38830","37410"
"In post","2021","Commercial","Commercial","Male","Heterosexual / straight","1250","1235","42970","40460"
"In post","2021","Commercial","Commercial","Male","LGBO","80","80","39020","34800"
"In post","2021","Commercial","Commercial","Male","Undeclared","170","165","40200","38630"
"In post","2021","Commercial","Commercial","Male","Unknown","380","370","42040","39650"
"In post","2021","Commercial","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Corporate Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Female","Heterosexual / straight","30","30","32000","28350"
"In post","2021","Commercial","Finance","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Finance","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Commercial","Finance","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Finance","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Female","Heterosexual / straight","250","240","30450","26670"
"In post","2021","Commercial","Knowledge and Information Management","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Female","Undeclared","50","50","33560","33300"
"In post","2021","Commercial","Knowledge and Information Management","Female","Unknown","20","15","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Male","Heterosexual / straight","255","255","35100","33300"
"In post","2021","Commercial","Knowledge and Information Management","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Male","Undeclared","65","65","40030","35390"
"In post","2021","Commercial","Knowledge and Information Management","Male","Unknown","30","30","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Female","Heterosexual / straight","140","130","37370","34090"
"In post","2021","Commercial","Operational Delivery","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Female","Unknown","25","25","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Male","Heterosexual / straight","160","160","49330","44080"
"In post","2021","Commercial","Operational Delivery","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Male","Unknown","35","35","47150","34360"
"In post","2021","Commercial","Operational Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Female","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Commercial","Other","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Commercial","Other","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Policy","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Female","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Male","Heterosexual / straight","40","40","47770","42930"
"In post","2021","Commercial","Project Delivery","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Property","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Male","Heterosexual / straight","65","65","41470","41800"
"In post","2021","Commercial","Science and Engineering","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Male","Unknown","10","10","[c]","[c]"
