"Status","Year","Ethnicity","Profession_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Communications","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Greater Manchester","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Inner London - East","London","25","25","[c]","[c]"
"In post","2021","Asian","Communications","Inner London - West","London","100","100","41380","38100"
"In post","2021","Asian","Communications","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Inner London - East","London","10","10","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Inner London - West","London","15","15","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Inner London - East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Inner London - West","London","30","30","38430","33100"
"In post","2021","Asian","Counter Fraud","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outer London - West and North West","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Bedfordshire and Hertfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Devon","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Anglia","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Wales","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Essex","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","35","35","40780","40510"
"In post","2021","Asian","Digital, Data and Technology","Greater Manchester","Outside London","40","40","36470","35010"
"In post","2021","Asian","Digital, Data and Technology","Hampshire and Isle of Wight","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Inner London - East","London","120","120","46390","41760"
"In post","2021","Asian","Digital, Data and Technology","Inner London - West","London","215","215","46240","42240"
"In post","2021","Asian","Digital, Data and Technology","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Leicestershire, Rutland and Northamptonshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Merseyside","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Northumberland and Tyne and Wear","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Outer London - South","London","90","90","49220","45200"
"In post","2021","Asian","Digital, Data and Technology","Outer London - West and North West","London","65","65","44660","41670"
"In post","2021","Asian","Digital, Data and Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Shropshire and Staffordshire","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South Yorkshire","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Midlands","Outside London","75","75","37950","36500"
"In post","2021","Asian","Digital, Data and Technology","West Wales and The Valleys","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","West Yorkshire","Outside London","30","30","32890","31810"
"In post","2021","Asian","Economics","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","East Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Greater Manchester","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Economics","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Inner London - East","London","20","20","[c]","[c]"
"In post","2021","Asian","Economics","Inner London - West","London","130","130","45470","47220"
"In post","2021","Asian","Economics","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Economics","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Bedfordshire and Hertfordshire","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Finance","Berkshire, Buckinghamshire and Oxfordshire","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","Finance","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Derbyshire and Nottinghamshire","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Finance","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","East Anglia","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Finance","East Wales","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Finance","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","45","40","41640","33950"
"In post","2021","Asian","Finance","Greater Manchester","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Finance","Hampshire and Isle of Wight","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Inner London - East","London","65","65","44380","42070"
"In post","2021","Asian","Finance","Inner London - West","London","290","285","43930","40040"
"In post","2021","Asian","Finance","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Finance","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Outer London - South","London","50","45","40670","36240"
"In post","2021","Asian","Finance","Outer London - West and North West","London","25","25","[c]","[c]"
"In post","2021","Asian","Finance","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Shropshire and Staffordshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Finance","South Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Finance","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Midlands","Outside London","75","75","35520","32300"
"In post","2021","Asian","Finance","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","West Yorkshire","Outside London","45","40","28410","25560"
"In post","2021","Asian","Human Resources","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Derbyshire and Nottinghamshire","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Human Resources","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","East Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","Greater Manchester","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","Human Resources","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Inner London - East","London","45","45","38300","34570"
"In post","2021","Asian","Human Resources","Inner London - West","London","165","160","42380","37040"
"In post","2021","Asian","Human Resources","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Outer London - South","London","40","40","38150","35070"
"In post","2021","Asian","Human Resources","Outer London - West and North West","London","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Central Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","West Midlands","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Human Resources","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","West Yorkshire","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Greater Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","Inner London - West","London","10","10","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Inspector of Education and Training","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Intelligence Analysis","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
