"Status","Year","Ethnicity","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Economics","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Finance","10","10","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Human Resources","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Other","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Policy","55","55","43920","40590"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Project Delivery","20","20","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Commercial","45","45","39350","37300"
"In post","2021","Asian","Department for Education","Communications","20","20","[c]","[c]"
"In post","2021","Asian","Department for Education","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Digital, Data and Technology","90","90","36580","35500"
"In post","2021","Asian","Department for Education","Finance","90","90","38220","36500"
"In post","2021","Asian","Department for Education","Human Resources","15","15","[c]","[c]"
"In post","2021","Asian","Department for Education","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Legal","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education","Operational Delivery","170","165","36960","33780"
"In post","2021","Asian","Department for Education","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Policy","225","215","42100","37100"
"In post","2021","Asian","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Property","45","45","49220","52030"
"In post","2021","Asian","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Commercial","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Communications","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","25","25","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Economics","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Finance","25","25","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Human Resources","15","15","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Operational Delivery","65","60","26840","24370"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Policy","115","115","40200","34050"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Project Delivery","15","15","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Property","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Science and Engineering","40","40","33410","31240"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Veterinarian","5","5","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Communications","5","5","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Economics","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Finance","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Human Resources","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","International Trade","90","90","44900","38540"
"In post","2021","Asian","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Other","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Policy","15","15","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Project Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Statistics","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport","Commercial","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport","Communications","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport","Corporate Finance","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Digital, Data and Technology","30","30","[c]","[c]"
"In post","2021","Asian","Department for Transport","Economics","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport","Finance","45","45","48440","49240"
"In post","2021","Asian","Department for Transport","Human Resources","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","International Trade","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Operational Delivery","175","160","32980","27230"
"In post","2021","Asian","Department for Transport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Other","35","35","39540","30720"
"In post","2021","Asian","Department for Transport","Policy","75","75","44170","42470"
"In post","2021","Asian","Department for Transport","Project Delivery","40","40","40850","37660"
"In post","2021","Asian","Department for Transport","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Science and Engineering","10","10","[c]","[c]"
"In post","2021","Asian","Department for Transport","Security","20","20","[c]","[c]"
"In post","2021","Asian","Department for Transport","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Transport","Statistics","5","5","[c]","[c]"
"In post","2021","Asian","Department for Transport","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Operational Delivery","45","40","52470","46320"
"In post","2021","Asian","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Science and Engineering","5","5","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Security","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Work and Pensions","Unknown","7345","6620","27750","27570"
"In post","2021","Asian","Department of Health and Social Care","Commercial","10","10","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Communications","20","20","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Digital, Data and Technology","55","55","44300","40860"
"In post","2021","Asian","Department of Health and Social Care","Economics","5","5","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Finance","55","55","38720","36820"
"In post","2021","Asian","Department of Health and Social Care","Human Resources","30","30","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Intelligence Analysis","10","10","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Knowledge and Information Management","40","40","36480","33200"
"In post","2021","Asian","Department of Health and Social Care","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Medicine","115","105","87850","92370"
"In post","2021","Asian","Department of Health and Social Care","Operational Delivery","355","325","34420","32090"
"In post","2021","Asian","Department of Health and Social Care","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Other","55","50","41550","33100"
"In post","2021","Asian","Department of Health and Social Care","Policy","85","80","41680","34700"
"In post","2021","Asian","Department of Health and Social Care","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Science and Engineering","280","265","35740","33090"
"In post","2021","Asian","Department of Health and Social Care","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department of Health and Social Care","Unknown","30","30","39400","27140"
"In post","2021","Asian","ESTYN","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Policy","15","15","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Science and Engineering","10","10","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Commercial","5","5","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Communications","10","10","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Economics","15","15","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Finance","20","20","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Human Resources","15","15","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Intelligence Analysis","15","15","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Internal Audit","5","5","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Operational Delivery","30","25","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Other","10","10","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Policy","250","245","44530","38410"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Project Delivery","30","30","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Property","15","15","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Security","15","15","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Finance","5","5","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Legal","10","5","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Operational Delivery","160","145","27130","27130"
"In post","2021","Asian","HM Land Registry","Other","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Project Delivery","5","5","[c]","[c]"
"In post","2021","Asian","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Communications","10","10","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Digital, Data and Technology","105","100","39960","36160"
"In post","2021","Asian","HM Revenue and Customs","Economics","10","10","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Finance","90","80","37330","32520"
"In post","2021","Asian","HM Revenue and Customs","Human Resources","35","35","37760","32520"
"In post","2021","Asian","HM Revenue and Customs","Intelligence Analysis","10","10","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Internal Audit","10","10","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","International Trade","15","15","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Legal","200","195","33240","29570"
"In post","2021","Asian","HM Revenue and Customs","Operational Delivery","1675","1515","25510","25560"
"In post","2021","Asian","HM Revenue and Customs","Operational Research","15","15","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Other","40","35","39300","35000"
"In post","2021","Asian","HM Revenue and Customs","Policy","85","85","47550","41760"
"In post","2021","Asian","HM Revenue and Customs","Project Delivery","135","135","42270","38630"
"In post","2021","Asian","HM Revenue and Customs","Property","130","120","34000","30850"
"In post","2021","Asian","HM Revenue and Customs","Security","15","15","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs","Statistics","35","35","41270","38630"
