"Status","Year","Function_of_post","Profession_of_post","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Finance","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Commercial","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","London","Female","45","40","33800","30200"
"In post","2021","Commercial","Knowledge and Information Management","London","Male","85","85","39030","36910"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","Female","285","270","30300","26670"
"In post","2021","Commercial","Knowledge and Information Management","Outside London","Male","265","260","35120","33300"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Operational Delivery","London","Female","90","90","43870","41000"
"In post","2021","Commercial","Operational Delivery","London","Male","150","150","57350","51680"
"In post","2021","Commercial","Operational Delivery","Outside London","Female","90","85","29220","25560"
"In post","2021","Commercial","Operational Delivery","Outside London","Male","75","75","29510","25560"
"In post","2021","Commercial","Other","London","Female","5","5","[c]","[c]"
"In post","2021","Commercial","Other","London","Male","5","5","[c]","[c]"
"In post","2021","Commercial","Other","Outside London","Female","30","25","[c]","[c]"
"In post","2021","Commercial","Other","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Commercial","Policy","London","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Policy","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Outside London","Male","45","45","47730","42780"
"In post","2021","Commercial","Project Delivery","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Project Delivery","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Property","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","Female","20","15","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Outside London","Male","90","90","41890","41900"
"In post","2021","Commercial","Science and Engineering","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Science and Engineering","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Tax","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","London","Female","340","335","69160","64500"
"In post","2021","Commercial","Unknown","London","Male","415","410","81030","70000"
"In post","2021","Commercial","Unknown","Outside London","Female","320","310","62480","56660"
"In post","2021","Commercial","Unknown","Outside London","Male","350","350","64720","62010"
"In post","2021","Commercial","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Veterinarian","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","London","Female","1055","1020","45560","41760"
"In post","2021","Communications","Communications","London","Male","735","730","47050","42690"
"In post","2021","Communications","Communications","Outside London","Female","945","885","36080","33300"
"In post","2021","Communications","Communications","Outside London","Male","680","670","35800","33300"
"In post","2021","Communications","Communications","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Corporate Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Digital, Data and Technology","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Communications","Economics","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Economics","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","London","Male","5","5","[c]","[c]"
"In post","2021","Communications","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","International Trade","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Knowledge and Information Management","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Operational Delivery","London","Female","50","50","41860","32760"
"In post","2021","Communications","Operational Delivery","London","Male","30","25","[c]","[c]"
"In post","2021","Communications","Operational Delivery","Outside London","Female","710","645","29060","25560"
"In post","2021","Communications","Operational Delivery","Outside London","Male","735","720","28930","25560"
"In post","2021","Communications","Other","London","Female","50","50","30150","27610"
"In post","2021","Communications","Other","London","Male","140","135","24010","20520"
"In post","2021","Communications","Other","Outside London","Female","30","30","31090","26360"
"In post","2021","Communications","Other","Outside London","Male","35","35","22910","19430"
"In post","2021","Communications","Policy","London","Female","5","5","[c]","[c]"
"In post","2021","Communications","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Policy","Outside London","Female","15","10","[c]","[c]"
"In post","2021","Communications","Policy","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","London","Male","5","5","[c]","[c]"
"In post","2021","Communications","Project Delivery","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Science and Engineering","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Tax","Outside London","Female","975","920","27400","25560"
"In post","2021","Communications","Tax","Outside London","Male","1165","1150","27380","25560"
"In post","2021","Communications","Unknown","London","Female","210","205","47720","43450"
"In post","2021","Communications","Unknown","London","Male","140","140","49020","42220"
"In post","2021","Communications","Unknown","Outside London","Female","225","220","30240","26530"
"In post","2021","Communications","Unknown","Outside London","Male","215","210","28910","25560"
"In post","2021","Communications","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Counter Fraud","London","Female","130","125","41980","35990"
"In post","2021","Counter Fraud","Counter Fraud","London","Male","200","200","45810","41200"
"In post","2021","Counter Fraud","Counter Fraud","Outside London","Female","145","135","35920","36060"
"In post","2021","Counter Fraud","Counter Fraud","Outside London","Male","195","190","38210","36060"
"In post","2021","Counter Fraud","Economics","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Economics","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","London","Female","25","25","[c]","[c]"
"In post","2021","Counter Fraud","Intelligence Analysis","London","Male","35","35","44110","41760"
"In post","2021","Counter Fraud","Intelligence Analysis","Outside London","Female","60","55","33850","31810"
"In post","2021","Counter Fraud","Intelligence Analysis","Outside London","Male","70","70","35930","31810"
"In post","2021","Counter Fraud","Knowledge and Information Management","London","Female","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","London","Male","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Knowledge and Information Management","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Counter Fraud","Legal","London","Female","330","315","34680","32520"
"In post","2021","Counter Fraud","Legal","London","Male","595","585","36990","36160"
"In post","2021","Counter Fraud","Legal","Outside London","Female","1075","995","28590","25560"
"In post","2021","Counter Fraud","Legal","Outside London","Male","1340","1300","30330","28130"
"In post","2021","Counter Fraud","Operational Delivery","London","Female","240","220","33650","32520"
"In post","2021","Counter Fraud","Operational Delivery","London","Male","155","150","36670","36160"
"In post","2021","Counter Fraud","Operational Delivery","Outside London","Female","1385","1225","28830","25560"
"In post","2021","Counter Fraud","Operational Delivery","Outside London","Male","1110","1070","30130","28130"
"In post","2021","Counter Fraud","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Operational Research","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Other","London","Female","40","35","38510","32520"
"In post","2021","Counter Fraud","Other","London","Male","45","40","41450","36160"
"In post","2021","Counter Fraud","Other","Outside London","Female","140","120","36520","31810"
"In post","2021","Counter Fraud","Other","Outside London","Male","115","110","40260","33810"
"In post","2021","Counter Fraud","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Policy","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Policy","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Tax","London","Female","170","160","41060","36160"
"In post","2021","Counter Fraud","Tax","London","Male","215","210","45600","39800"
"In post","2021","Counter Fraud","Tax","Outside London","Female","650","590","36490","31810"
"In post","2021","Counter Fraud","Tax","Outside London","Male","870","830","39470","34590"
"In post","2021","Counter Fraud","Unknown","London","Female","55","55","45090","36160"
"In post","2021","Counter Fraud","Unknown","London","Male","65","65","45530","36160"
"In post","2021","Counter Fraud","Unknown","Outside London","Female","40","35","30770","31810"
"In post","2021","Counter Fraud","Unknown","Outside London","Male","50","50","29650","27630"
"In post","2021","Counter Fraud","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Operational Delivery","London","Female","320","275","27050","25630"
"In post","2021","Debt","Operational Delivery","London","Male","185","180","30110","25630"
"In post","2021","Debt","Operational Delivery","Outside London","Female","1760","1465","23320","21440"
"In post","2021","Debt","Operational Delivery","Outside London","Male","1310","1245","23150","20140"
"In post","2021","Debt","Tax","London","Female","25","25","[c]","[c]"
"In post","2021","Debt","Tax","London","Male","15","15","[c]","[c]"
"In post","2021","Debt","Tax","Outside London","Female","495","475","20570","20140"
"In post","2021","Debt","Tax","Outside London","Male","460","450","20440","20140"
"In post","2021","Debt","Unknown","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Unknown","London","Male","5","5","[c]","[c]"
"In post","2021","Debt","Unknown","Outside London","Female","40","35","23830","20140"
"In post","2021","Debt","Unknown","Outside London","Male","45","45","22430","20140"
"In post","2021","Digital, Data & Technology","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","London","Female","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","London","Female","880","855","46860","42850"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","London","Male","1365","1355","49400","45280"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Outside London","Female","2955","2795","37940","35000"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Outside London","Male","5620","5535","39570","37100"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Overseas","Female","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Overseas","Male","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Finance","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Human Resources","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Intelligence Analysis","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","International Trade","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","London","Female","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","London","Male","25","25","[c]","[c]"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Outside London","Female","50","45","34020","31950"
"In post","2021","Digital, Data & Technology","Knowledge and Information Management","Outside London","Male","55","55","37220","37030"
"In post","2021","Digital, Data & Technology","Operational Delivery","London","Female","50","50","39920","36160"
"In post","2021","Digital, Data & Technology","Operational Delivery","London","Male","40","40","48520","40050"
"In post","2021","Digital, Data & Technology","Operational Delivery","Outside London","Female","200","190","32250","31810"
"In post","2021","Digital, Data & Technology","Operational Delivery","Outside London","Male","185","180","34350","31810"
"In post","2021","Digital, Data & Technology","Operational Research","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Operational Research","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","Other","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Policy","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","London","Female","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","London","Male","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Project Delivery","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Outside London","Female","160","145","39330","39650"
"In post","2021","Digital, Data & Technology","Science and Engineering","Outside London","Male","370","350","44080","40640"
"In post","2021","Digital, Data & Technology","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Science and Engineering","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","London","Female","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","London","Male","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Security","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Statistics","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","London","Female","10","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Outside London","Female","30","25","[c]","[c]"
"In post","2021","Digital, Data & Technology","Tax","Outside London","Male","35","35","35140","31870"
"In post","2021","Digital, Data & Technology","Unknown","London","Female","400","390","50410","54700"
"In post","2021","Digital, Data & Technology","Unknown","London","Male","535","530","53730","54700"
"In post","2021","Digital, Data & Technology","Unknown","Outside London","Female","140","135","37960","32000"
"In post","2021","Digital, Data & Technology","Unknown","Outside London","Male","245","240","41730","38630"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Finance","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Commercial","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Finance","Commercial","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Finance","Communications","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Communications","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Corporate Finance","London","Female","25","20","[c]","[c]"
"In post","2021","Finance","Corporate Finance","London","Male","25","25","[c]","[c]"
