"Status","Year","Disability","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Institute for Apprenticeships and Technical Education","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Legal Aid Agency","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Legal Aid Agency","Outside London","120","110","24550","20650"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Maritime and Coastguard Agency","Outside London","65","65","34190","30730"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","London","40","35","46260","40930"
"In post","2021","Declared disabled","Medicines and Healthcare Products Regulatory Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Met Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Met Office","Outside London","100","95","36100","33860"
"In post","2021","Declared disabled","Met Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","London","375","370","41210","37640"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Outside London","3035","2910","30420","26670"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Overseas","25","25","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Defence (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","London","200","200","45550","40980"
"In post","2021","Declared disabled","Ministry of Housing, Communities and Local Government (excl. agencies)","Outside London","75","75","36210","33030"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","London","335","325","42440","37040"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Outside London","220","215","37420","31970"
"In post","2021","Declared disabled","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","London","65","60","40420","36950"
"In post","2021","Declared disabled","National Crime Agency","Outside London","130","125","36200","36410"
"In post","2021","Declared disabled","National Crime Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","National Infrastructure Commission","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","National Records of Scotland","Outside London","50","45","32350","29190"
"In post","2021","Declared disabled","National Savings and Investments","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","National Savings and Investments","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Northern Ireland Office","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","40","40","52870","51360"
"In post","2021","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","95","90","42250","39850"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Office of Gas and Electricity Markets","Outside London","35","30","35880","29000"
"In post","2021","Declared disabled","Office of Qualifications and Examinations Regulation","Outside London","25","25","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Office of Rail and Road","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of the Public Guardian","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Office of the Public Guardian","Outside London","200","185","22760","20650"
"In post","2021","Declared disabled","Office of the Scottish Charity Regulator","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectorate","Outside London","60","55","34380","24310"
"In post","2021","Declared disabled","Public Health England","London","125","115","41180","33880"
"In post","2021","Declared disabled","Public Health England","Outside London","215","195","37160","30460"
"In post","2021","Declared disabled","Queen Elizabeth II Centre","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Registers of Scotland","Outside London","140","135","32380","30080"
"In post","2021","Declared disabled","Revenue Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Royal Fleet Auxiliary","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Rural Payments Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Rural Payments Agency","Outside London","175","160","26230","24920"
"In post","2021","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Courts and Tribunals Service","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Scottish Fiscal Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Forestry","Outside London","15","15","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Government (excl. agencies)","Outside London","690","665","40260","35110"
"In post","2021","Declared disabled","Scottish Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Housing Regulator","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Scottish Prison Service","Outside London","385","355","33790","33650"
"In post","2021","Declared disabled","Scottish Public Pensions Agency","Outside London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Serious Fraud Office","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Social Security Scotland","Outside London","120","115","28130","24510"
"In post","2021","Declared disabled","Standards and Testing Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Standards and Testing Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Student Awards Agency for Scotland","Outside London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Submarine Delivery Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Submarine Delivery Agency","Outside London","170","165","39470","38380"
"In post","2021","Declared disabled","Submarine Delivery Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Teaching Regulation Agency","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","The National Archives","London","35","30","29360","27690"
"In post","2021","Declared disabled","Transport Scotland","Outside London","50","50","38580","36340"
"In post","2021","Declared disabled","UK Export Finance","London","15","15","[c]","[c]"
"In post","2021","Declared disabled","UK Hydrographic Office","Outside London","65","65","34970","33290"
"In post","2021","Declared disabled","UK Hydrographic Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","UK Intellectual Property Office","Outside London","75","70","37410","37140"
"In post","2021","Declared disabled","UK Space Agency","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","UK Space Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","UK Supreme Court","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","London","35","30","38400","32540"
"In post","2021","Declared disabled","United Kingdom Statistics Authority","Outside London","495","430","31170","29540"
"In post","2021","Declared disabled","Valuation Office Agency","London","45","45","43000","38180"
"In post","2021","Declared disabled","Valuation Office Agency","Outside London","200","180","30510","26000"
"In post","2021","Declared disabled","Vehicle Certification Agency","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Veterinary Medicines Directorate","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wales Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Water Services Regulation Authority","Outside London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Government (excl. agencies)","Outside London","325","300","38660","37410"
"In post","2021","Declared disabled","Welsh Government (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Welsh Revenue Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Wilton Park","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Accountant in Bankruptcy","Outside London","65","60","32520","29190"
"In post","2021","Declared non-disabled","Advisory, Conciliation and Arbitration Service","London","35","35","45790","36120"
"In post","2021","Declared non-disabled","Advisory, Conciliation and Arbitration Service","Outside London","180","175","31580","30950"
"In post","2021","Declared non-disabled","Animal and Plant Health Agency","London","80","75","37750","31800"
"In post","2021","Declared non-disabled","Animal and Plant Health Agency","Outside London","1920","1815","30850","27960"
"In post","2021","Declared non-disabled","Attorney General's Office","London","15","15","[c]","[c]"
"In post","2021","Declared non-disabled","Cabinet Office (excl. agencies)","London","3430","3375","52450","54700"
"In post","2021","Declared non-disabled","Cabinet Office (excl. agencies)","Outside London","940","895","37280","33300"
"In post","2021","Declared non-disabled","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Cabinet Office (excl. agencies)","Unknown","125","125","42240","37190"
"In post","2021","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","Outside London","395","380","32850","29270"
"In post","2021","Declared non-disabled","Charity Commission","London","40","40","43450","37910"
"In post","2021","Declared non-disabled","Charity Commission","Outside London","175","165","33420","29160"
"In post","2021","Declared non-disabled","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Companies House","Outside London","665","620","32050","27460"
"In post","2021","Declared non-disabled","Competition and Markets Authority","London","660","640","59810","56360"
"In post","2021","Declared non-disabled","Competition and Markets Authority","Outside London","50","50","55180","55210"
"In post","2021","Declared non-disabled","Criminal Injuries Compensation Authority","Outside London","160","150","27760","22720"
"In post","2021","Declared non-disabled","Crown Commercial Service","London","25","25","[c]","[c]"
"In post","2021","Declared non-disabled","Crown Commercial Service","Outside London","180","175","39200","34800"
"In post","2021","Declared non-disabled","Crown Office and Procurator Fiscal Service","Outside London","1805","1675","35540","29040"
"In post","2021","Declared non-disabled","Crown Prosecution Service","London","1145","1080","45900","40800"
"In post","2021","Declared non-disabled","Crown Prosecution Service","Outside London","3400","3115","41480","38180"
"In post","2021","Declared non-disabled","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Crown Prosecution Service Inspectorate","London","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Crown Prosecution Service Inspectorate","Outside London","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Defence Electronics and Components Agency","Outside London","215","205","28560","28750"
"In post","2021","Declared non-disabled","Defence Equipment and Support","London","135","130","26480","22100"
"In post","2021","Declared non-disabled","Defence Equipment and Support","Outside London","7675","7420","36720","33810"
"In post","2021","Declared non-disabled","Defence Equipment and Support","Overseas","30","30","42890","41970"
"In post","2021","Declared non-disabled","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Defence Science and Technology Laboratory","Outside London","2770","2660","40610","37360"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","3380","3305","50600","53380"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","300","290","43430","36740"
"In post","2021","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","London","1275","1250","49920","51730"
"In post","2021","Declared non-disabled","Department for Digital, Culture, Media and Sport","Outside London","55","55","42370","34020"
"In post","2021","Declared non-disabled","Department for Education (excl. agencies)","London","1460","1400","51480","53760"
"In post","2021","Declared non-disabled","Department for Education (excl. agencies)","Outside London","2390","2300","42460","37100"
"In post","2021","Declared non-disabled","Department for Education (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","London","1725","1675","45400","39920"
"In post","2021","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","2040","1955","40410","36970"
"In post","2021","Declared non-disabled","Department for International Trade","London","1175","1160","46100","39460"
"In post","2021","Declared non-disabled","Department for International Trade","Outside London","150","150","45320","47980"
"In post","2021","Declared non-disabled","Department for International Trade","Overseas","85","85","57120","54600"
"In post","2021","Declared non-disabled","Department for Transport (excl. agencies)","London","2050","2005","50250","46710"
"In post","2021","Declared non-disabled","Department for Transport (excl. agencies)","Outside London","305","290","45650","38650"
"In post","2021","Declared non-disabled","Department for Transport (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Department for Work and Pensions (excl. agencies)","London","7515","7030","33480","31060"
"In post","2021","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Outside London","60315","53620","27010","27570"
"In post","2021","Declared non-disabled","Department for Work and Pensions (excl. agencies)","Unknown","680","630","30160","27570"
"In post","2021","Declared non-disabled","Department of Health and Social Care (excl. agencies)","London","530","505","52520","53360"
"In post","2021","Declared non-disabled","Department of Health and Social Care (excl. agencies)","Outside London","335","320","45740","46000"
"In post","2021","Declared non-disabled","Disclosure Scotland","Outside London","130","120","28110","22230"
"In post","2021","Declared non-disabled","Driver and Vehicle Licensing Agency","Outside London","4430","3930","26540","21590"
"In post","2021","Declared non-disabled","Driver and Vehicle Standards Agency","London","230","215","32510","30780"
"In post","2021","Declared non-disabled","Driver and Vehicle Standards Agency","Outside London","3020","2825","29920","26780"
"In post","2021","Declared non-disabled","Education and Skills Funding Agency","London","245","240","50890","53710"
"In post","2021","Declared non-disabled","Education and Skills Funding Agency","Outside London","1140","1105","40960","36960"
"In post","2021","Declared non-disabled","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Education Scotland","Outside London","125","120","57550","66290"
"In post","2021","Declared non-disabled","ESTYN","Outside London","100","90","58270","74730"
"In post","2021","Declared non-disabled","FCDO Services","London","140","135","48380","44820"
"In post","2021","Declared non-disabled","FCDO Services","Outside London","650","625","38950","34770"
"In post","2021","Declared non-disabled","FCDO Services","Overseas","110","110","40910","40330"
"In post","2021","Declared non-disabled","Food Standards Agency","London","265","255","42630","40960"
"In post","2021","Declared non-disabled","Food Standards Agency","Outside London","545","525","33880","28800"
"In post","2021","Declared non-disabled","Food Standards Scotland","Outside London","105","105","35710","30650"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","London","2660","2600","49670","44580"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","735","710","39310","33930"
"In post","2021","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","Overseas","1540","1540","52370","53470"
"In post","2021","Declared non-disabled","Forestry and Land Scotland","Outside London","905","875","31700","30160"
"In post","2021","Declared non-disabled","Government Actuary's Department","London","140","135","69220","65470"
"In post","2021","Declared non-disabled","Government Actuary's Department","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Government Internal Audit Agency","London","135","130","53120","51820"
"In post","2021","Declared non-disabled","Government Internal Audit Agency","Outside London","225","210","46390","44150"
"In post","2021","Declared non-disabled","Government Legal Department","London","1795","1675","53930","51830"
"In post","2021","Declared non-disabled","Government Legal Department","Outside London","60","55","56070","54240"
"In post","2021","Declared non-disabled","Government Property Agency","London","55","55","53380","54700"
"In post","2021","Declared non-disabled","Government Property Agency","Outside London","95","95","48570","49700"
"In post","2021","Declared non-disabled","Government Property Agency","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Health and Safety Executive","London","125","120","48340","45380"
"In post","2021","Declared non-disabled","Health and Safety Executive","Outside London","1910","1790","43520","41000"
"In post","2021","Declared non-disabled","HM Courts and Tribunals Service","London","2995","2805","29530","23500"
"In post","2021","Declared non-disabled","HM Courts and Tribunals Service","Outside London","8705","7675","23720","20100"
"In post","2021","Declared non-disabled","HM Courts and Tribunals Service","Unknown","10","5","[c]","[c]"
"In post","2021","Declared non-disabled","HM Land Registry","London","240","225","42320","37290"
"In post","2021","Declared non-disabled","HM Land Registry","Outside London","3450","3040","32460","27130"
"In post","2021","Declared non-disabled","HM Prison and Probation Service","London","4075","3950","36580","33900"
"In post","2021","Declared non-disabled","HM Prison and Probation Service","Outside London","31800","30025","29720","27850"
"In post","2021","Declared non-disabled","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","HM Revenue and Customs (excl. agencies)","London","4685","4470","44580","38800"
"In post","2021","Declared non-disabled","HM Revenue and Customs (excl. agencies)","Outside London","30425","27880","30900","28130"
"In post","2021","Declared non-disabled","HM Treasury (excl. agencies)","London","1395","1370","48780","52500"
"In post","2021","Declared non-disabled","HM Treasury (excl. agencies)","Outside London","50","45","30040","23780"
"In post","2021","Declared non-disabled","Home Office (incl. agencies)","London","10605","10005","40050","35070"
"In post","2021","Declared non-disabled","Home Office (incl. agencies)","Outside London","17605","16135","27170","25050"
"In post","2021","Declared non-disabled","Home Office (incl. agencies)","Overseas","280","275","28060","27370"
"In post","2021","Declared non-disabled","Home Office (incl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Insolvency Service","London","215","205","41180","38590"
"In post","2021","Declared non-disabled","Insolvency Service","Outside London","865","815","32960","31000"
"In post","2021","Declared non-disabled","Institute for Apprenticeships and Technical Education","London","90","90","52530","53950"
"In post","2021","Declared non-disabled","Institute for Apprenticeships and Technical Education","Outside London","95","95","45100","49960"
"In post","2021","Declared non-disabled","Legal Aid Agency","London","140","135","44490","40940"
"In post","2021","Declared non-disabled","Legal Aid Agency","Outside London","750","700","26350","22570"
"In post","2021","Declared non-disabled","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Maritime and Coastguard Agency","Outside London","820","785","38840","35550"
"In post","2021","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","London","425","410","52130","53100"
"In post","2021","Declared non-disabled","Medicines and Healthcare Products Regulatory Agency","Outside London","110","110","47130","43790"
