"Status","Year","Function_of_post","Region_ITL1","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","Outer London - East and North East","10","10","50480","52150"
"In post","2021","Commercial","London","Outer London - South","125","120","48470","46600"
"In post","2021","Commercial","London","Outer London - West and North West","85","85","35590","30450"
"In post","2021","Commercial","North East (England)","Northumberland and Tyne and Wear","55","55","42260","41090"
"In post","2021","Commercial","North East (England)","Tees Valley and Durham","55","55","51870","50760"
"In post","2021","Commercial","North West (England)","Cheshire","25","25","42590","37350"
"In post","2021","Commercial","North West (England)","Cumbria","15","15","38020","34030"
"In post","2021","Commercial","North West (England)","Greater Manchester","340","330","43500","38630"
"In post","2021","Commercial","North West (England)","Lancashire","65","65","49010","49700"
"In post","2021","Commercial","North West (England)","Merseyside","325","315","41850","35420"
"In post","2021","Commercial","Northern Ireland","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","40","40","47880","42200"
"In post","2021","Commercial","Scotland","Eastern Scotland","110","105","34090","29340"
"In post","2021","Commercial","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Scotland","North Eastern Scotland","5","5","[c]","[c]"
"In post","2021","Commercial","Scotland","Southern Scotland","95","95","44820","43110"
"In post","2021","Commercial","Scotland","West Central Scotland","175","175","37020","33300"
"In post","2021","Commercial","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","210","210","40740","36800"
"In post","2021","Commercial","South East (England)","Hampshire and Isle of Wight","370","360","37700","33300"
"In post","2021","Commercial","South East (England)","Kent","20","15","47360","48120"
"In post","2021","Commercial","South East (England)","Surrey, East and West Sussex","75","70","37990","32680"
"In post","2021","Commercial","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Commercial","South West (England)","Devon","225","215","42850","39830"
"In post","2021","Commercial","South West (England)","Dorset and Somerset","70","65","40610","35900"
"In post","2021","Commercial","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","1060","1025","42290","39500"
"In post","2021","Commercial","Unknown","Unknown","30","30","47790","40580"
"In post","2021","Commercial","Wales","East Wales","180","175","37860","34800"
"In post","2021","Commercial","Wales","West Wales and The Valleys","175","165","33330","31040"
"In post","2021","Commercial","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","30","30","38650","37240"
"In post","2021","Commercial","West Midlands (England)","Shropshire and Staffordshire","190","190","36440","33150"
"In post","2021","Commercial","West Midlands (England)","West Midlands","125","125","46670","40780"
"In post","2021","Commercial","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","20","20","40870","37730"
"In post","2021","Commercial","Yorkshire and The Humber","North Yorkshire","65","65","40750","37950"
"In post","2021","Commercial","Yorkshire and The Humber","South Yorkshire","105","105","46920","42940"
"In post","2021","Commercial","Yorkshire and The Humber","West Yorkshire","265","260","46390","40480"
"In post","2021","Communications","East Midlands (England)","Derbyshire and Nottinghamshire","485","475","29530","25560"
"In post","2021","Communications","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","10","10","43150","39850"
"In post","2021","Communications","East Midlands (England)","Lincolnshire","15","15","29900","29720"
"In post","2021","Communications","East of England","Bedfordshire and Hertfordshire","30","30","36450","33300"
"In post","2021","Communications","East of England","East Anglia","50","50","32880","30660"
"In post","2021","Communications","East of England","Essex","20","20","29290","28130"
"In post","2021","Communications","London","Inner London - East","230","225","46870","41010"
"In post","2021","Communications","London","Inner London - West","1980","1935","46530","42330"
"In post","2021","Communications","London","Outer London - South","35","35","43590","40600"
"In post","2021","Communications","London","Outer London - West and North West","205","200","25840","22070"
"In post","2021","Communications","North East (England)","Northumberland and Tyne and Wear","1515","1435","27930","25560"
"In post","2021","Communications","North East (England)","Tees Valley and Durham","30","30","31140","29360"
"In post","2021","Communications","North West (England)","Cheshire","10","10","40980","37560"
"In post","2021","Communications","North West (England)","Cumbria","70","60","28090","25880"
"In post","2021","Communications","North West (England)","Greater Manchester","500","495","29520","25560"
"In post","2021","Communications","North West (England)","Lancashire","35","30","32520","33000"
"In post","2021","Communications","North West (England)","Merseyside","95","95","38120","35030"
"In post","2021","Communications","Northern Ireland","Northern Ireland","35","35","39660","37370"
"In post","2021","Communications","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","Eastern Scotland","150","140","33200","31810"
"In post","2021","Communications","Scotland","Highlands and Islands","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Scotland","Southern Scotland","25","20","33580","31810"
"In post","2021","Communications","Scotland","West Central Scotland","40","40","31580","28130"
"In post","2021","Communications","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","100","95","32930","31200"
"In post","2021","Communications","South East (England)","Hampshire and Isle of Wight","205","195","32510","30220"
"In post","2021","Communications","South East (England)","Kent","[c]","[c]","[c]","[c]"
"In post","2021","Communications","South East (England)","Surrey, East and West Sussex","20","20","39000","38520"
"In post","2021","Communications","South West (England)","Cornwall and Isles of Scilly","10","10","23260","21130"
"In post","2021","Communications","South West (England)","Devon","65","60","33280","32640"
"In post","2021","Communications","South West (England)","Dorset and Somerset","50","45","35110","33290"
"In post","2021","Communications","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","235","220","37420","35000"
"In post","2021","Communications","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Communications","Wales","East Wales","875","840","29380","25560"
"In post","2021","Communications","Wales","West Wales and The Valleys","85","80","29950","26700"
"In post","2021","Communications","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","20","20","36820","36520"
"In post","2021","Communications","West Midlands (England)","Shropshire and Staffordshire","45","40","31700","28060"
"In post","2021","Communications","West Midlands (England)","West Midlands","285","275","32790","31810"
"In post","2021","Communications","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","5","5","[c]","[c]"
"In post","2021","Communications","Yorkshire and The Humber","North Yorkshire","35","30","28910","28880"
"In post","2021","Communications","Yorkshire and The Humber","South Yorkshire","45","45","38110","33510"
"In post","2021","Communications","Yorkshire and The Humber","West Yorkshire","555","545","30070","25560"
"In post","2021","Counter Fraud","East Midlands (England)","Derbyshire and Nottinghamshire","515","485","33460","31810"
"In post","2021","Counter Fraud","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","15","15","38240","31980"
"In post","2021","Counter Fraud","East Midlands (England)","Lincolnshire","10","10","[c]","[c]"
"In post","2021","Counter Fraud","East of England","Bedfordshire and Hertfordshire","25","20","38990","38510"
"In post","2021","Counter Fraud","East of England","East Anglia","380","355","28070","25560"
"In post","2021","Counter Fraud","East of England","Essex","45","40","27900","26260"
"In post","2021","Counter Fraud","London","Inner London - East","185","175","40800","38510"
"In post","2021","Counter Fraud","London","Inner London - West","1480","1430","39750","36160"
"In post","2021","Counter Fraud","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2021","Counter Fraud","London","Outer London - South","630","605","37780","36160"
"In post","2021","Counter Fraud","London","Outer London - West and North West","20","15","33490","32520"
"In post","2021","Counter Fraud","North East (England)","Northumberland and Tyne and Wear","530","505","32100","31810"
"In post","2021","Counter Fraud","North East (England)","Tees Valley and Durham","5","5","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","North West (England)","Greater Manchester","1105","1045","33120","31810"
"In post","2021","Counter Fraud","North West (England)","Lancashire","25","25","34320","32960"
"In post","2021","Counter Fraud","North West (England)","Merseyside","560","520","32730","31810"
"In post","2021","Counter Fraud","Northern Ireland","Northern Ireland","395","375","31180","28130"
"In post","2021","Counter Fraud","Scotland","Eastern Scotland","235","225","31460","29570"
"In post","2021","Counter Fraud","Scotland","Southern Scotland","85","75","29310","28130"
"In post","2021","Counter Fraud","Scotland","West Central Scotland","530","480","30520","28130"
"In post","2021","Counter Fraud","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","90","85","31920","31810"
"In post","2021","Counter Fraud","South East (England)","Hampshire and Isle of Wight","130","125","33390","31810"
"In post","2021","Counter Fraud","South East (England)","Kent","195","185","30050","28130"
"In post","2021","Counter Fraud","South East (England)","Surrey, East and West Sussex","30","25","28930","28130"
"In post","2021","Counter Fraud","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","390","365","35350","31810"
"In post","2021","Counter Fraud","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Wales","East Wales","380","355","31340","31810"
"In post","2021","Counter Fraud","Wales","West Wales and The Valleys","20","15","30240","26780"
"In post","2021","Counter Fraud","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2021","Counter Fraud","West Midlands (England)","West Midlands","725","670","32100","31810"
"In post","2021","Counter Fraud","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Yorkshire and The Humber","North Yorkshire","20","20","37430","37910"
"In post","2021","Counter Fraud","Yorkshire and The Humber","South Yorkshire","25","20","38340","35000"
"In post","2021","Counter Fraud","Yorkshire and The Humber","West Yorkshire","825","770","32130","31810"
"In post","2021","Debt","East Midlands (England)","Derbyshire and Nottinghamshire","250","225","21470","20140"
"In post","2021","Debt","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","5","5","[c]","[c]"
"In post","2021","Debt","East Midlands (England)","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","East of England","Bedfordshire and Hertfordshire","35","35","28230","26430"
"In post","2021","Debt","East of England","East Anglia","45","40","24450","21440"
"In post","2021","Debt","East of England","Essex","60","50","23200","21440"
"In post","2021","Debt","London","Inner London - East","255","225","27810","25630"
"In post","2021","Debt","London","Inner London - West","35","30","39420","32000"
"In post","2021","Debt","London","Outer London - South","245","225","27110","24670"
"In post","2021","Debt","London","Outer London - West and North West","25","20","28570","25630"
"In post","2021","Debt","North East (England)","Northumberland and Tyne and Wear","575","530","21520","20140"
"In post","2021","Debt","North East (England)","Tees Valley and Durham","15","15","24670","21440"
"In post","2021","Debt","North West (England)","Greater Manchester","15","15","31210","26850"
"In post","2021","Debt","North West (England)","Lancashire","15","15","27780","26470"
"In post","2021","Debt","North West (England)","Merseyside","310","285","22960","21440"
"In post","2021","Debt","Northern Ireland","Northern Ireland","15","10","26640","25560"
"In post","2021","Debt","Scotland","Eastern Scotland","615","585","21510","20140"
"In post","2021","Debt","Scotland","Southern Scotland","300","275","21760","20140"
"In post","2021","Debt","Scotland","West Central Scotland","520","445","22370","20140"
"In post","2021","Debt","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","10","10","[c]","[c]"
"In post","2021","Debt","South East (England)","Hampshire and Isle of Wight","10","10","28920","27460"
"In post","2021","Debt","South East (England)","Kent","10","10","26280","26850"
"In post","2021","Debt","South East (England)","Surrey, East and West Sussex","75","55","27770","28130"
"In post","2021","Debt","South West (England)","Devon","[c]","[c]","[c]","[c]"
"In post","2021","Debt","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","20","20","26750","27460"
"In post","2021","Debt","Wales","East Wales","330","305","23100","20140"
"In post","2021","Debt","Wales","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Debt","West Midlands (England)","Shropshire and Staffordshire","25","20","35470","32790"
"In post","2021","Debt","West Midlands (England)","West Midlands","415","375","21810","20140"
"In post","2021","Debt","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Yorkshire and The Humber","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Debt","Yorkshire and The Humber","West Yorkshire","415","375","23550","20640"
"In post","2021","Digital, Data & Technology","East Midlands (England)","Derbyshire and Nottinghamshire","205","200","39510","36410"
"In post","2021","Digital, Data & Technology","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","80","75","33470","30990"
"In post","2021","Digital, Data & Technology","East Midlands (England)","Lincolnshire","25","25","27390","26670"
"In post","2021","Digital, Data & Technology","East of England","Bedfordshire and Hertfordshire","80","80","36050","34820"
"In post","2021","Digital, Data & Technology","East of England","East Anglia","165","160","33990","31500"
"In post","2021","Digital, Data & Technology","East of England","Essex","300","280","37520","34620"
"In post","2021","Digital, Data & Technology","London","Inner London - East","1290","1270","51010","54700"
"In post","2021","Digital, Data & Technology","London","Inner London - West","1885","1850","48760","45470"
"In post","2021","Digital, Data & Technology","London","Outer London - East and North East","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","London","Outer London - South","65","65","44550","41760"
"In post","2021","Digital, Data & Technology","London","Outer London - West and North West","150","145","41650","41170"
"In post","2021","Digital, Data & Technology","North East (England)","Northumberland and Tyne and Wear","675","650","39010","37410"
"In post","2021","Digital, Data & Technology","North East (England)","Tees Valley and Durham","100","100","37020","36960"
"In post","2021","Digital, Data & Technology","North West (England)","Cheshire","135","135","41990","41700"
"In post","2021","Digital, Data & Technology","North West (England)","Cumbria","25","25","32500","29180"
"In post","2021","Digital, Data & Technology","North West (England)","Greater Manchester","370","360","40120","38630"
"In post","2021","Digital, Data & Technology","North West (England)","Lancashire","60","60","33420","31810"
"In post","2021","Digital, Data & Technology","North West (England)","Merseyside","295","280","37170","33300"
"In post","2021","Digital, Data & Technology","Northern Ireland","Northern Ireland","20","20","32990","31810"
"In post","2021","Digital, Data & Technology","Overseas","Overseas","20","20","34620","33300"
"In post","2021","Digital, Data & Technology","Scotland","Eastern Scotland","265","265","38870","35230"
"In post","2021","Digital, Data & Technology","Scotland","Highlands and Islands","15","15","33090","29850"
"In post","2021","Digital, Data & Technology","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Scotland","Southern Scotland","260","250","39070","34230"
"In post","2021","Digital, Data & Technology","Scotland","West Central Scotland","130","130","36870","33040"
"In post","2021","Digital, Data & Technology","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","265","255","41720","39650"
"In post","2021","Digital, Data & Technology","South East (England)","Hampshire and Isle of Wight","360","350","36470","33300"
"In post","2021","Digital, Data & Technology","South East (England)","Kent","10","10","39060","40680"
"In post","2021","Digital, Data & Technology","South East (England)","Surrey, East and West Sussex","275","265","37050","33370"
"In post","2021","Digital, Data & Technology","South West (England)","Cornwall and Isles of Scilly","10","10","35730","35040"
"In post","2021","Digital, Data & Technology","South West (England)","Devon","1375","1310","39410","38450"
"In post","2021","Digital, Data & Technology","South West (England)","Dorset and Somerset","230","230","38130","35340"
"In post","2021","Digital, Data & Technology","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","720","700","38900","36510"
"In post","2021","Digital, Data & Technology","Unknown","Unknown","25","25","57220","49700"
"In post","2021","Digital, Data & Technology","Wales","East Wales","1055","1030","39850","37240"
"In post","2021","Digital, Data & Technology","Wales","West Wales and The Valleys","820","800","39640","37300"
"In post","2021","Digital, Data & Technology","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","80","75","38280","33150"
"In post","2021","Digital, Data & Technology","West Midlands (England)","Shropshire and Staffordshire","400","385","40830","38630"
"In post","2021","Digital, Data & Technology","West Midlands (England)","West Midlands","500","485","40780","37000"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","15","15","28760","27940"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","North Yorkshire","155","150","38870","37720"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","South Yorkshire","230","225","43760","41990"
"In post","2021","Digital, Data & Technology","Yorkshire and The Humber","West Yorkshire","455","440","37530","31810"
"In post","2021","Finance","East Midlands (England)","Derbyshire and Nottinghamshire","190","180","37680","32650"
"In post","2021","Finance","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","20","20","39030","30090"
"In post","2021","Finance","East Midlands (England)","Lincolnshire","30","30","24180","21580"
"In post","2021","Finance","East of England","Bedfordshire and Hertfordshire","105","100","43580","37640"
"In post","2021","Finance","East of England","East Anglia","150","140","35180","31240"
"In post","2021","Finance","East of England","Essex","225","200","30550","28130"
"In post","2021","Finance","London","Inner London - East","410","400","48310","43300"
"In post","2021","Finance","London","Inner London - West","1965","1920","49230","44510"
"In post","2021","Finance","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Finance","London","Outer London - South","105","105","46360","37290"
"In post","2021","Finance","London","Outer London - West and North West","65","65","41790","39500"
"In post","2021","Finance","North East (England)","Northumberland and Tyne and Wear","345","325","36310","31810"
"In post","2021","Finance","North East (England)","Tees Valley and Durham","80","80","40060","36780"
"In post","2021","Finance","North West (England)","Cheshire","30","30","40390","36740"
"In post","2021","Finance","North West (England)","Cumbria","10","10","43720","49430"
"In post","2021","Finance","North West (England)","Greater Manchester","300","290","39840","36970"
"In post","2021","Finance","North West (England)","Lancashire","100","95","36650","32180"
"In post","2021","Finance","North West (England)","Merseyside","230","220","34310","31810"
"In post","2021","Finance","Northern Ireland","Northern Ireland","35","35","37590","35560"
"In post","2021","Finance","Overseas","Overseas","35","35","35040","33300"
"In post","2021","Finance","Scotland","Eastern Scotland","170","165","35540","33650"
"In post","2021","Finance","Scotland","Highlands and Islands","25","25","34730","37530"
"In post","2021","Finance","Scotland","North Eastern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Scotland","Southern Scotland","150","140","36150","33930"
"In post","2021","Finance","Scotland","West Central Scotland","595","490","24650","21440"
"In post","2021","Finance","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","300","290","38650","35000"
"In post","2021","Finance","South East (England)","Hampshire and Isle of Wight","395","375","37420","33300"
"In post","2021","Finance","South East (England)","Kent","20","20","37800","36590"
"In post","2021","Finance","South East (England)","Surrey, East and West Sussex","295","265","32090","28590"
"In post","2021","Finance","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Finance","South West (England)","Devon","90","85","42450","39650"
"In post","2021","Finance","South West (England)","Dorset and Somerset","35","35","34710","29720"
"In post","2021","Finance","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","1100","1050","39440","34720"
"In post","2021","Finance","Wales","East Wales","180","165","34970","29710"
"In post","2021","Finance","Wales","West Wales and The Valleys","210","200","34540","31860"
"In post","2021","Finance","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","45","40","38930","36520"
"In post","2021","Finance","West Midlands (England)","Shropshire and Staffordshire","145","140","40560","38630"
"In post","2021","Finance","West Midlands (England)","West Midlands","280","270","39120","36780"
"In post","2021","Finance","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","5","5","[c]","[c]"
"In post","2021","Finance","Yorkshire and The Humber","North Yorkshire","145","140","39360","36790"
"In post","2021","Finance","Yorkshire and The Humber","South Yorkshire","95","90","41050","37100"
"In post","2021","Finance","Yorkshire and The Humber","West Yorkshire","685","610","30760","25560"
"In post","2021","Grants Management","East Midlands (England)","Derbyshire and Nottinghamshire","65","60","25370","25100"
"In post","2021","Grants Management","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","East Midlands (England)","Lincolnshire","5","5","[c]","[c]"
"In post","2021","Grants Management","East of England","East Anglia","45","45","26130","25190"
"In post","2021","Grants Management","East of England","Essex","5","5","[c]","[c]"
"In post","2021","Grants Management","London","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","North East (England)","Northumberland and Tyne and Wear","260","235","25390","21050"
"In post","2021","Grants Management","North West (England)","Cheshire","100","90","24740","24920"
"In post","2021","Grants Management","North West (England)","Cumbria","650","575","24000","21050"
"In post","2021","Grants Management","North West (England)","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","155","150","28760","25190"
"In post","2021","Grants Management","South East (England)","Hampshire and Isle of Wight","10","5","[c]","[c]"
"In post","2021","Grants Management","South East (England)","Kent","5","5","[c]","[c]"
"In post","2021","Grants Management","South East (England)","Surrey, East and West Sussex","5","5","[c]","[c]"
"In post","2021","Grants Management","South West (England)","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2021","Grants Management","South West (England)","Devon","180","165","26610","25190"
"In post","2021","Grants Management","South West (England)","Dorset and Somerset","15","15","24810","21050"
"In post","2021","Grants Management","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","35","30","27590","25190"
"In post","2021","Grants Management","Wales","West Wales and The Valleys","5","5","[c]","[c]"
"In post","2021","Grants Management","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","135","125","25060","24920"
"In post","2021","Grants Management","West Midlands (England)","Shropshire and Staffordshire","5","5","[c]","[c]"
"In post","2021","Grants Management","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Yorkshire and The Humber","North Yorkshire","140","135","26860","24920"
"In post","2021","Grants Management","Yorkshire and The Humber","West Yorkshire","50","45","25410","21050"
"In post","2021","Human Resources","East Midlands (England)","Derbyshire and Nottinghamshire","435","415","37660","32100"
"In post","2021","Human Resources","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","30","30","35480","32180"
"In post","2021","Human Resources","East Midlands (England)","Lincolnshire","30","30","26770","22860"
"In post","2021","Human Resources","East of England","Bedfordshire and Hertfordshire","50","50","36520","31780"
"In post","2021","Human Resources","East of England","East Anglia","125","120","35430","31400"
"In post","2021","Human Resources","East of England","Essex","30","25","31770","31260"
"In post","2021","Human Resources","London","Inner London - East","435","415","48100","41990"
"In post","2021","Human Resources","London","Inner London - West","2080","2025","46200","41220"
"In post","2021","Human Resources","London","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","London","Outer London - South","100","100","51970","52570"
"In post","2021","Human Resources","London","Outer London - West and North West","45","40","38940","34770"
"In post","2021","Human Resources","North East (England)","Northumberland and Tyne and Wear","555","510","27990","25170"
"In post","2021","Human Resources","North East (England)","Tees Valley and Durham","55","55","33810","30640"
"In post","2021","Human Resources","North West (England)","Cheshire","65","60","42030","40080"
"In post","2021","Human Resources","North West (England)","Cumbria","25","25","37470","30990"
"In post","2021","Human Resources","North West (England)","Greater Manchester","670","640","34140","31810"
"In post","2021","Human Resources","North West (England)","Lancashire","225","205","27750","26670"
"In post","2021","Human Resources","North West (England)","Merseyside","325","305","33890","30190"
"In post","2021","Human Resources","Northern Ireland","Northern Ireland","20","20","35110","32270"
"In post","2021","Human Resources","Overseas","Overseas","25","25","36740","33300"
"In post","2021","Human Resources","Scotland","Eastern Scotland","285","270","35200","33650"
"In post","2021","Human Resources","Scotland","Highlands and Islands","30","30","25690","19160"
"In post","2021","Human Resources","Scotland","North Eastern Scotland","10","5","[c]","[c]"
"In post","2021","Human Resources","Scotland","Southern Scotland","90","85","36980","33930"
"In post","2021","Human Resources","Scotland","West Central Scotland","645","595","25940","21580"
"In post","2021","Human Resources","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","130","125","39040","35300"
"In post","2021","Human Resources","South East (England)","Hampshire and Isle of Wight","280","270","35130","31910"
"In post","2021","Human Resources","South East (England)","Kent","55","50","36550","33220"
"In post","2021","Human Resources","South East (England)","Surrey, East and West Sussex","125","115","31390","28130"
"In post","2021","Human Resources","South West (England)","Cornwall and Isles of Scilly","5","5","[c]","[c]"
"In post","2021","Human Resources","South West (England)","Devon","110","100","36610","32940"
"In post","2021","Human Resources","South West (England)","Dorset and Somerset","55","50","34910","32810"
"In post","2021","Human Resources","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","925","860","36110","32710"
"In post","2021","Human Resources","Unknown","Unknown","30","30","40040","37300"
"In post","2021","Human Resources","Wales","East Wales","435","410","35940","31040"
"In post","2021","Human Resources","Wales","West Wales and The Valleys","220","205","33480","31810"
