"Status","Year","Ethnicity","Function_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Heterosexual / straight","130","125","46550","40000"
"In post","2021","Asian","Commercial","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","London","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","Heterosexual / straight","35","35","28670","25560"
"In post","2021","Asian","Communications","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","Heterosexual / straight","165","160","38160","33610"
"In post","2021","Asian","Communications","London","LGBO","5","5","[c]","[c]"
"In post","2021","Asian","Communications","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Communications","London","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Heterosexual / straight","60","60","29160","25560"
"In post","2021","Asian","Communications","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Communications","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","Heterosexual / straight","45","45","31790","31810"
"In post","2021","Asian","Communications","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","Heterosexual / straight","60","60","28070","25560"
"In post","2021","Asian","Communications","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","Heterosexual / straight","30","30","32070","31810"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Heterosexual / straight","205","195","36240","32520"
"In post","2021","Asian","Counter Fraud","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","Unknown","50","45","32930","32520"
"In post","2021","Asian","Counter Fraud","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","Heterosexual / straight","50","45","30270","29970"
"In post","2021","Asian","Counter Fraud","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","Heterosexual / straight","80","80","29860","31310"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","Heterosexual / straight","65","60","28630","25560"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","Unknown","20","15","[c]","[c]"
"In post","2021","Asian","Debt","East Midlands (England)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Debt","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","London","Heterosexual / straight","65","55","26740","25630"
"In post","2021","Asian","Debt","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","London","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Debt","London","Unknown","55","45","28250","25630"
"In post","2021","Asian","Debt","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Scotland","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Debt","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Wales","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Debt","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","West Midlands (England)","Heterosexual / straight","55","50","21420","20140"
"In post","2021","Asian","Debt","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","West Midlands (England)","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Debt","West Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Debt","Yorkshire and The Humber","Heterosexual / straight","40","35","21170","20140"
"In post","2021","Asian","Debt","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","Yorkshire and The Humber","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East Midlands (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East of England","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","London","Heterosexual / straight","350","345","45650","41760"
"In post","2021","Asian","Digital, Data & Technology","London","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","London","Unknown","45","45","46140","42200"
"In post","2021","Asian","Digital, Data & Technology","North East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North West (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South East (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South West (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","South West (England)","Unknown","15","15","[c]","[c]"
