"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Other ethnicity","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","AA/AO","Unknown","355","335","20620","20140"
"In post","2021","16-19","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Unknown","85","85","21380","20900"
"In post","2021","16-19","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","50","50","18300","16780"
"In post","2021","16-19","White","AA/AO","Heterosexual / straight","430","420","20900","21010"
"In post","2021","16-19","White","AA/AO","LGBO","40","40","20640","21010"
"In post","2021","16-19","White","AA/AO","Undeclared","25","25","[c]","[c]"
"In post","2021","16-19","White","AA/AO","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","White","EO","Heterosexual / straight","165","165","22850","23810"
"In post","2021","16-19","White","EO","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","White","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","White","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","White","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","White","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","AA/AO","Heterosexual / straight","1465","1395","21810","21010"
"In post","2021","20-29","Asian","AA/AO","LGBO","30","30","22320","20140"
"In post","2021","20-29","Asian","AA/AO","Undeclared","65","60","21270","21000"
"In post","2021","20-29","Asian","AA/AO","Unknown","55","55","21290","21010"
"In post","2021","20-29","Asian","EO","Heterosexual / straight","2010","1985","27940","27570"
"In post","2021","20-29","Asian","EO","LGBO","50","50","27680","27570"
"In post","2021","20-29","Asian","EO","Undeclared","60","60","27220","27570"
"In post","2021","20-29","Asian","EO","Unknown","90","90","27680","27570"
"In post","2021","20-29","Asian","G6/G7","Heterosexual / straight","230","230","54630","53400"
"In post","2021","20-29","Asian","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Asian","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Asian","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Asian","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","SEO/HEO","Heterosexual / straight","1330","1325","34820","34000"
"In post","2021","20-29","Asian","SEO/HEO","LGBO","50","50","35380","33570"
"In post","2021","20-29","Asian","SEO/HEO","Undeclared","50","50","34810","34130"
"In post","2021","20-29","Asian","SEO/HEO","Unknown","70","70","35040","35050"
"In post","2021","20-29","Asian","Unknown","Heterosexual / straight","125","120","25400","23840"
"In post","2021","20-29","Asian","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","AA/AO","Heterosexual / straight","505","495","24060","23500"
"In post","2021","20-29","Black","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Black","AA/AO","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Black","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2021","20-29","Black","EO","Heterosexual / straight","755","750","28740","28970"
"In post","2021","20-29","Black","EO","LGBO","40","40","29150","29500"
"In post","2021","20-29","Black","EO","Undeclared","30","25","[c]","[c]"
"In post","2021","20-29","Black","EO","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Black","G6/G7","Heterosexual / straight","60","60","54180","53380"
"In post","2021","20-29","Black","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Black","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","SEO/HEO","Heterosexual / straight","520","515","35260","34720"
"In post","2021","20-29","Black","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Black","SEO/HEO","Undeclared","20","20","[c]","[c]"
"In post","2021","20-29","Black","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","20-29","Black","Unknown","Heterosexual / straight","110","110","26840","26810"
"In post","2021","20-29","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","AA/AO","Heterosexual / straight","40","40","22080","21050"
"In post","2021","20-29","Chinese","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","EO","Heterosexual / straight","55","55","27430","27140"
"In post","2021","20-29","Chinese","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","G6/G7","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","20-29","Chinese","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","SEO/HEO","Heterosexual / straight","60","60","35710","35060"
"In post","2021","20-29","Chinese","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","SEO/HEO","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Chinese","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","AA/AO","Heterosexual / straight","455","440","23290","22100"
"In post","2021","20-29","Mixed","AA/AO","LGBO","65","65","22690","21270"
"In post","2021","20-29","Mixed","AA/AO","Undeclared","35","35","23600","22650"
"In post","2021","20-29","Mixed","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Mixed","EO","Heterosexual / straight","520","515","27920","27570"
"In post","2021","20-29","Mixed","EO","LGBO","70","70","27260","27570"
"In post","2021","20-29","Mixed","EO","Undeclared","45","45","28140","27570"
"In post","2021","20-29","Mixed","EO","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Mixed","G6/G7","Heterosexual / straight","120","120","54660","53420"
"In post","2021","20-29","Mixed","G6/G7","LGBO","25","25","[c]","[c]"
"In post","2021","20-29","Mixed","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","SEO/HEO","Heterosexual / straight","535","530","34630","33970"
"In post","2021","20-29","Mixed","SEO/HEO","LGBO","90","85","35330","34550"
"In post","2021","20-29","Mixed","SEO/HEO","Undeclared","50","45","34570","33600"
"In post","2021","20-29","Mixed","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","20-29","Mixed","Unknown","Heterosexual / straight","70","65","25960","26670"
"In post","2021","20-29","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","AA/AO","Heterosexual / straight","75","70","23500","22680"
"In post","2021","20-29","Other ethnicity","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Other ethnicity","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","EO","Heterosexual / straight","135","130","28400","28070"
"In post","2021","20-29","Other ethnicity","EO","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Other ethnicity","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Other ethnicity","EO","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Other ethnicity","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","20-29","Other ethnicity","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","G6/G7","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SEO/HEO","Heterosexual / straight","120","115","35810","35060"
"In post","2021","20-29","Other ethnicity","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","AA/AO","Heterosexual / straight","95","90","22590","21430"
"In post","2021","20-29","Undeclared","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Undeclared","AA/AO","Undeclared","235","230","23210","21430"
"In post","2021","20-29","Undeclared","AA/AO","Unknown","30","30","[c]","[c]"
"In post","2021","20-29","Undeclared","EO","Heterosexual / straight","85","85","27680","27570"
"In post","2021","20-29","Undeclared","EO","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Undeclared","EO","Undeclared","290","290","27420","27570"
"In post","2021","20-29","Undeclared","EO","Unknown","45","40","26970","26470"
"In post","2021","20-29","Undeclared","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Undeclared","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","G6/G7","Undeclared","90","90","54590","53380"
"In post","2021","20-29","Undeclared","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Undeclared","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","SEO/HEO","Heterosexual / straight","75","75","35890","34670"
"In post","2021","20-29","Undeclared","SEO/HEO","LGBO","5","5","[c]","[c]"
"In post","2021","20-29","Undeclared","SEO/HEO","Undeclared","360","355","35050","34320"
"In post","2021","20-29","Undeclared","SEO/HEO","Unknown","65","65","34420","35400"
"In post","2021","20-29","Undeclared","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","Undeclared","35","35","27540","28790"
"In post","2021","20-29","Unknown","AA/AO","Heterosexual / straight","210","200","24770","23530"
"In post","2021","20-29","Unknown","AA/AO","LGBO","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","AA/AO","Undeclared","215","205","22680","22660"
"In post","2021","20-29","Unknown","AA/AO","Unknown","7510","7325","22140","21010"
"In post","2021","20-29","Unknown","EO","Heterosexual / straight","150","150","28470","27570"
"In post","2021","20-29","Unknown","EO","LGBO","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","EO","Undeclared","100","100","28210","29350"
"In post","2021","20-29","Unknown","EO","Unknown","4140","4095","26690","26350"
"In post","2021","20-29","Unknown","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","Unknown","G6/G7","Unknown","930","925","54730","53760"
"In post","2021","20-29","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","SCS level","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","Heterosexual / straight","105","105","34710","33290"
"In post","2021","20-29","Unknown","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","SEO/HEO","Undeclared","70","65","34590","33950"
"In post","2021","20-29","Unknown","SEO/HEO","Unknown","5495","5480","33170","32000"
"In post","2021","20-29","Unknown","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","Unknown","700","690","26640","24020"
"In post","2021","20-29","White","AA/AO","Heterosexual / straight","12530","12210","22620","21430"
"In post","2021","20-29","White","AA/AO","LGBO","1555","1530","22490","21010"
"In post","2021","20-29","White","AA/AO","Undeclared","625","605","22460","21050"
"In post","2021","20-29","White","AA/AO","Unknown","535","515","22160","21010"
"In post","2021","20-29","White","EO","Heterosexual / straight","10445","10335","26730","26880"
"In post","2021","20-29","White","EO","LGBO","1290","1280","27010","27570"
"In post","2021","20-29","White","EO","Undeclared","580","575","27050","27500"
"In post","2021","20-29","White","EO","Unknown","530","520","26750","27130"
"In post","2021","20-29","White","G6/G7","Heterosexual / straight","2130","2125","54250","53380"
"In post","2021","20-29","White","G6/G7","LGBO","370","365","54720","53380"
"In post","2021","20-29","White","G6/G7","Undeclared","155","155","55300","53600"
"In post","2021","20-29","White","G6/G7","Unknown","65","65","52470","52580"
"In post","2021","20-29","White","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","20-29","White","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","White","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","White","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","White","SEO/HEO","Heterosexual / straight","10195","10145","34450","33570"
"In post","2021","20-29","White","SEO/HEO","LGBO","1415","1410","34450","33610"
"In post","2021","20-29","White","SEO/HEO","Undeclared","665","660","34780","33640"
"In post","2021","20-29","White","SEO/HEO","Unknown","500","495","34580","33780"
"In post","2021","20-29","White","Unknown","Heterosexual / straight","1640","1615","26340","24020"
"In post","2021","20-29","White","Unknown","LGBO","155","155","24470","22920"
"In post","2021","20-29","White","Unknown","Undeclared","60","60","25540","23840"
"In post","2021","20-29","White","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","30-39","Asian","AA/AO","Heterosexual / straight","1590","1425","22000","21010"
"In post","2021","30-39","Asian","AA/AO","LGBO","35","30","22510","21010"
"In post","2021","30-39","Asian","AA/AO","Undeclared","85","75","21720","21010"
"In post","2021","30-39","Asian","AA/AO","Unknown","185","150","21370","21010"
"In post","2021","30-39","Asian","EO","Heterosexual / straight","2235","2115","27780","27570"
"In post","2021","30-39","Asian","EO","LGBO","30","30","28110","27570"
"In post","2021","30-39","Asian","EO","Undeclared","90","80","27180","27570"
"In post","2021","30-39","Asian","EO","Unknown","205","180","27860","27570"
"In post","2021","30-39","Asian","G6/G7","Heterosexual / straight","890","875","57190","54870"
"In post","2021","30-39","Asian","G6/G7","LGBO","25","20","[c]","[c]"
"In post","2021","30-39","Asian","G6/G7","Undeclared","35","35","56620","56120"
"In post","2021","30-39","Asian","G6/G7","Unknown","65","60","59320","54730"
"In post","2021","30-39","Asian","SCS level","Heterosexual / straight","50","50","84060","77950"
"In post","2021","30-39","Asian","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","30-39","Asian","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Asian","SEO/HEO","Heterosexual / straight","1975","1925","36360","35250"
"In post","2021","30-39","Asian","SEO/HEO","LGBO","45","45","37520","36650"
"In post","2021","30-39","Asian","SEO/HEO","Undeclared","85","85","36650","35070"
"In post","2021","30-39","Asian","SEO/HEO","Unknown","145","140","36340","36160"
"In post","2021","30-39","Asian","Unknown","Heterosexual / straight","165","155","29090","28690"
