"Status","Year","Function_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","640","620","44040","38630"
"In post","2021","Analysis","HM Treasury (excl. agencies)","125","125","50460","52530"
"In post","2021","Analysis","Insolvency Service","20","20","41620","40270"
"In post","2021","Analysis","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Ministry of Defence (excl. agencies)","195","190","40460","38500"
"In post","2021","Analysis","Ministry of Housing, Communities and Local Government (excl. agencies)","200","195","46620","45970"
"In post","2021","Analysis","Ministry of Justice (excl. agencies)","400","385","45200","40480"
"In post","2021","Analysis","National Savings and Investments","10","10","38090","33290"
"In post","2021","Analysis","Office for Standards in Education, Children's Services and Skills","155","145","39800","35010"
"In post","2021","Analysis","Office of Gas and Electricity Markets","70","65","54970","52390"
"In post","2021","Analysis","Office of Rail and Road","45","45","52060","55430"
"In post","2021","Analysis","Planning Inspectorate","10","10","[c]","[c]"
"In post","2021","Analysis","Registers of Scotland","20","20","37960","36780"
"In post","2021","Analysis","Rural Payments Agency","35","30","31320","29690"
"In post","2021","Analysis","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","UK Export Finance","25","25","44760","38200"
"In post","2021","Analysis","UK Intellectual Property Office","15","15","51250","58490"
"In post","2021","Analysis","United Kingdom Statistics Authority","1700","1630","37100","35390"
"In post","2021","Analysis","Valuation Office Agency","50","45","47010","44120"
"In post","2021","Analysis","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Water Services Regulation Authority","35","35","64820","58590"
"In post","2021","Analysis","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Advisory, Conciliation and Arbitration Service","5","5","[c]","[c]"
"In post","2021","Commercial","Animal and Plant Health Agency","50","45","32690","29640"
"In post","2021","Commercial","Cabinet Office (excl. agencies)","1415","1395","70640","64500"
"In post","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","15","15","41410","38800"
"In post","2021","Commercial","Charity Commission","5","5","[c]","[c]"
"In post","2021","Commercial","Companies House","5","5","[c]","[c]"
"In post","2021","Commercial","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2021","Commercial","Crown Commercial Service","370","360","34050","34800"
"In post","2021","Commercial","Crown Prosecution Service","20","20","44140","39880"
"In post","2021","Commercial","Debt Management Office","10","10","[c]","[c]"
"In post","2021","Commercial","Defence Electronics and Components Agency","25","25","32190","30040"
"In post","2021","Commercial","Defence Equipment and Support","280","275","44340","41300"
"In post","2021","Commercial","Defence Science and Technology Laboratory","70","65","33600","35470"
"In post","2021","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","15","15","46040","45210"
"In post","2021","Commercial","Department for Digital, Culture, Media and Sport","30","30","52220","51730"
"In post","2021","Commercial","Department for Education (excl. agencies)","185","180","39780","38000"
"In post","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","140","135","39210","36970"
"In post","2021","Commercial","Department for International Trade","25","25","37120","38160"
"In post","2021","Commercial","Department for Transport (excl. agencies)","10","10","39110","39060"
"In post","2021","Commercial","Department of Health and Social Care (excl. agencies)","200","195","48750","40650"
"In post","2021","Commercial","Driver and Vehicle Licensing Agency","155","140","32760","31040"
"In post","2021","Commercial","Driver and Vehicle Standards Agency","40","40","36260","38650"
"In post","2021","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","FCDO Services","80","80","47060","41610"
"In post","2021","Commercial","Food Standards Agency","15","10","37910","31530"
"In post","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","80","80","40260","39630"
"In post","2021","Commercial","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Health and Safety Executive","45","45","40900","39390"
"In post","2021","Commercial","HM Land Registry","20","20","39980","38550"
"In post","2021","Commercial","HM Prison and Probation Service","680","660","49260","48020"
"In post","2021","Commercial","HM Revenue and Customs (excl. agencies)","140","135","36710","35000"
"In post","2021","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Insolvency Service","25","25","44220","42700"
"In post","2021","Commercial","Institute for Apprenticeships and Technical Education","15","15","49540","50470"
"In post","2021","Commercial","Legal Aid Agency","160","155","37690","38210"
"In post","2021","Commercial","Met Office","190","185","42990","40140"
"In post","2021","Commercial","Ministry of Defence (excl. agencies)","1535","1485","35080","33300"
"In post","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","10","10","41880","40730"
"In post","2021","Commercial","Ministry of Justice (excl. agencies)","210","205","32680","30920"
"In post","2021","Commercial","National Crime Agency","20","20","44750","45570"
"In post","2021","Commercial","National Savings and Investments","10","10","[c]","[c]"
"In post","2021","Commercial","Office for Standards in Education, Children's Services and Skills","15","15","35070","32010"
"In post","2021","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Planning Inspectorate","5","5","[c]","[c]"
"In post","2021","Commercial","Public Health England","40","40","40790","39520"
"In post","2021","Commercial","Queen Elizabeth II Centre","10","10","[c]","[c]"
"In post","2021","Commercial","Registers of Scotland","10","10","[c]","[c]"
"In post","2021","Commercial","Scottish Courts and Tribunals Service","10","10","35460","32890"
"In post","2021","Commercial","Scottish Prison Service","85","80","30640","25870"
"In post","2021","Commercial","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Submarine Delivery Agency","145","145","40530","38240"
"In post","2021","Commercial","The National Archives","40","40","32110","24510"
"In post","2021","Commercial","UK Export Finance","190","190","53960","49790"
"In post","2021","Commercial","UK Hydrographic Office","20","20","45380","42510"
"In post","2021","Commercial","UK Intellectual Property Office","10","10","[c]","[c]"
"In post","2021","Commercial","United Kingdom Statistics Authority","35","35","46660","49100"
"In post","2021","Commercial","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Wilton Park","25","20","28600","25710"
"In post","2021","Communications","Advisory, Conciliation and Arbitration Service","15","15","41890","39130"
"In post","2021","Communications","Attorney General's Office","10","10","42490","38010"
"In post","2021","Communications","Cabinet Office (excl. agencies)","340","340","47060","42150"
"In post","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","5","5","[c]","[c]"
"In post","2021","Communications","Charity Commission","30","30","38850","32810"
"In post","2021","Communications","Companies House","20","20","36610","36240"
"In post","2021","Communications","Competition and Markets Authority","35","35","47210","41980"
"In post","2021","Communications","Crown Commercial Service","20","15","35330","34270"
"In post","2021","Communications","Crown Office and Procurator Fiscal Service","10","10","[c]","[c]"
"In post","2021","Communications","Crown Prosecution Service","50","50","41310","39750"
"In post","2021","Communications","Debt Management Office","5","5","[c]","[c]"
"In post","2021","Communications","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Defence Equipment and Support","285","280","26940","22190"
"In post","2021","Communications","Defence Science and Technology Laboratory","25","25","37840","37320"
"In post","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","110","105","48940","45270"
"In post","2021","Communications","Department for Digital, Culture, Media and Sport","45","40","55500","52120"
"In post","2021","Communications","Department for Education (excl. agencies)","235","230","37820","33510"
"In post","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","265","250","41570","37790"
"In post","2021","Communications","Department for International Trade","105","105","42660","38540"
"In post","2021","Communications","Department for Transport (excl. agencies)","120","115","47130","43360"
"In post","2021","Communications","Department of Health and Social Care (excl. agencies)","185","180","43490","38360"
"In post","2021","Communications","Driver and Vehicle Licensing Agency","65","60","29810","26740"
"In post","2021","Communications","Driver and Vehicle Standards Agency","85","80","31290","30730"
"In post","2021","Communications","Education and Skills Funding Agency","90","85","43280","40300"
"In post","2021","Communications","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Communications","FCDO Services","10","10","[c]","[c]"
"In post","2021","Communications","Food Standards Agency","35","35","43250","40960"
"In post","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","135","130","48810","45840"
"In post","2021","Communications","Forestry and Land Scotland","20","15","37400","37530"
"In post","2021","Communications","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Government Internal Audit Agency","5","5","[c]","[c]"
"In post","2021","Communications","Government Legal Department","15","15","47840","38290"
"In post","2021","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Health and Safety Executive","35","35","44460","39390"
"In post","2021","Communications","HM Courts and Tribunals Service","15","15","45310","39610"
"In post","2021","Communications","HM Land Registry","30","30","39980","37290"
"In post","2021","Communications","HM Prison and Probation Service","5","5","[c]","[c]"
"In post","2021","Communications","HM Revenue and Customs (excl. agencies)","4155","3995","29230","25560"
"In post","2021","Communications","HM Treasury (excl. agencies)","30","30","47090","42300"
"In post","2021","Communications","Insolvency Service","10","10","38420","39800"
"In post","2021","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Legal Aid Agency","10","10","[c]","[c]"
"In post","2021","Communications","Maritime and Coastguard Agency","20","20","35120","31860"
"In post","2021","Communications","Medicines and Healthcare Products Regulatory Agency","50","50","40790","34270"
"In post","2021","Communications","Met Office","30","30","38570","38250"
"In post","2021","Communications","Ministry of Defence (excl. agencies)","535","520","34600","33300"
"In post","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","100","100","40960","36340"
"In post","2021","Communications","Ministry of Justice (excl. agencies)","125","125","43830","39870"
"In post","2021","Communications","National Crime Agency","30","30","45600","45480"
"In post","2021","Communications","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Communications","National Savings and Investments","15","15","47810","44970"
"In post","2021","Communications","Northern Ireland Office","15","15","46400","37370"
"In post","2021","Communications","Office for Standards in Education, Children's Services and Skills","35","35","41730","39850"
"In post","2021","Communications","Office of Gas and Electricity Markets","35","35","44310","36480"
"In post","2021","Communications","Office of Qualifications and Examinations Regulation","15","15","41670","38000"
"In post","2021","Communications","Office of Rail and Road","15","15","47110","41160"
"In post","2021","Communications","Planning Inspectorate","10","5","[c]","[c]"
"In post","2021","Communications","Public Health England","75","70","47540","42630"
"In post","2021","Communications","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Registers of Scotland","20","20","37200","36780"
"In post","2021","Communications","Rural Payments Agency","105","95","28870","26030"
"In post","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","5","5","[c]","[c]"
"In post","2021","Communications","Scottish Courts and Tribunals Service","5","5","[c]","[c]"
"In post","2021","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Serious Fraud Office","5","5","[c]","[c]"
"In post","2021","Communications","The National Archives","20","15","34170","29470"
"In post","2021","Communications","UK Export Finance","35","35","58640","49610"
"In post","2021","Communications","UK Hydrographic Office","15","15","39890","42510"
"In post","2021","Communications","UK Intellectual Property Office","25","25","36910","30170"
"In post","2021","Communications","UK Space Agency","10","10","44910","38990"
"In post","2021","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Communications","United Kingdom Statistics Authority","85","80","37320","36030"
"In post","2021","Communications","Valuation Office Agency","20","20","43590","39760"
"In post","2021","Communications","Vehicle Certification Agency","10","10","[c]","[c]"
"In post","2021","Communications","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Water Services Regulation Authority","15","15","52390","49620"
"In post","2021","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Cabinet Office (excl. agencies)","95","90","47100","49700"
"In post","2021","Counter Fraud","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Driver and Vehicle Licensing Agency","10","10","32860","29240"
"In post","2021","Counter Fraud","Driver and Vehicle Standards Agency","50","45","29060","26780"
"In post","2021","Counter Fraud","Food Standards Agency","60","60","38850","37630"
"In post","2021","Counter Fraud","Government Internal Audit Agency","35","35","39590","38090"
"In post","2021","Counter Fraud","HM Revenue and Customs (excl. agencies)","8835","8295","33150","31810"
"In post","2021","Counter Fraud","Insolvency Service","260","250","39230","39170"
"In post","2021","Counter Fraud","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Serious Fraud Office","245","240","45590","40000"
"In post","2021","Counter Fraud","UK Intellectual Property Office","20","20","37760","34870"
"In post","2021","Debt","Debt Management Office","10","10","58320","49090"
"In post","2021","Debt","Health and Safety Executive","5","5","[c]","[c]"
"In post","2021","Debt","HM Revenue and Customs (excl. agencies)","4650","4200","23180","20140"
"In post","2021","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","60","55","45550","43750"
"In post","2021","Digital, Data & Technology","Animal and Plant Health Agency","15","15","32170","29180"
"In post","2021","Digital, Data & Technology","Cabinet Office (excl. agencies)","970","955","51340","54700"
"In post","2021","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","20","20","30610","29270"
"In post","2021","Digital, Data & Technology","Charity Commission","45","45","36050","37910"
"In post","2021","Digital, Data & Technology","Companies House","255","250","38840","38000"
"In post","2021","Digital, Data & Technology","Competition and Markets Authority","65","65","56530","54550"
"In post","2021","Digital, Data & Technology","Criminal Injuries Compensation Authority","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Crown Commercial Service","115","115","41230","35760"
"In post","2021","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","50","50","40730","36930"
"In post","2021","Digital, Data & Technology","Crown Prosecution Service","120","115","39410","38180"
"In post","2021","Digital, Data & Technology","Debt Management Office","30","30","53270","54490"
"In post","2021","Digital, Data & Technology","Defence Electronics and Components Agency","10","10","30920","31450"
"In post","2021","Digital, Data & Technology","Defence Equipment and Support","40","40","33960","34810"
"In post","2021","Digital, Data & Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","140","140","46550","40220"
"In post","2021","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","20","20","54810","56860"
"In post","2021","Digital, Data & Technology","Department for Education (excl. agencies)","410","405","39140","36500"
"In post","2021","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","670","645","43890","47550"
"In post","2021","Digital, Data & Technology","Department for International Trade","125","125","46700","43500"
"In post","2021","Digital, Data & Technology","Department for Transport (excl. agencies)","125","125","41280","39040"
"In post","2021","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","170","165","43630","36820"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Licensing Agency","710","690","40340","39040"
"In post","2021","Digital, Data & Technology","Driver and Vehicle Standards Agency","225","220","36270","33350"
"In post","2021","Digital, Data & Technology","Education and Skills Funding Agency","225","220","39740","36780"
"In post","2021","Digital, Data & Technology","FCDO Services","120","120","44710","40670"
"In post","2021","Digital, Data & Technology","Food Standards Agency","60","60","44630","40350"
"In post","2021","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","240","235","39640","36520"
"In post","2021","Digital, Data & Technology","Forestry and Land Scotland","30","30","36800","35680"
"In post","2021","Digital, Data & Technology","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Government Property Agency","15","15","61260","60500"
"In post","2021","Digital, Data & Technology","Health and Safety Executive","60","55","39240","33460"
"In post","2021","Digital, Data & Technology","HM Courts and Tribunals Service","185","185","37810","32120"
"In post","2021","Digital, Data & Technology","HM Land Registry","670","640","38030","38450"
"In post","2021","Digital, Data & Technology","HM Revenue and Customs (excl. agencies)","2695","2590","39310","36160"
"In post","2021","Digital, Data & Technology","HM Treasury (excl. agencies)","30","30","46680","40650"
"In post","2021","Digital, Data & Technology","Insolvency Service","55","50","42440","41060"
"In post","2021","Digital, Data & Technology","Institute for Apprenticeships and Technical Education","15","15","54360","53680"
"In post","2021","Digital, Data & Technology","Maritime and Coastguard Agency","110","110","38310","34040"
"In post","2021","Digital, Data & Technology","Medicines and Healthcare Products Regulatory Agency","75","75","46880","41040"
"In post","2021","Digital, Data & Technology","Met Office","875","830","40280","39650"
"In post","2021","Digital, Data & Technology","Ministry of Defence (excl. agencies)","700","680","32410","29670"
"In post","2021","Digital, Data & Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","105","100","46850","45920"
"In post","2021","Digital, Data & Technology","Ministry of Justice (excl. agencies)","875","865","48300","47000"
"In post","2021","Digital, Data & Technology","National Crime Agency","260","255","41070","37750"
"In post","2021","Digital, Data & Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","80","80","45050","39850"
"In post","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","60","60","51940","50000"
"In post","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","20","20","44370","40410"
"In post","2021","Digital, Data & Technology","Office of Rail and Road","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Planning Inspectorate","45","40","38400","40720"
"In post","2021","Digital, Data & Technology","Public Health England","115","110","45230","42180"
"In post","2021","Digital, Data & Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Registers of Scotland","65","65","42130","36780"
"In post","2021","Digital, Data & Technology","Scottish Courts and Tribunals Service","65","65","34360","29350"
"In post","2021","Digital, Data & Technology","Scottish Prison Service","30","30","41810","39500"
"In post","2021","Digital, Data & Technology","Serious Fraud Office","50","50","41680","39270"
"In post","2021","Digital, Data & Technology","Submarine Delivery Agency","55","55","37870","36500"
"In post","2021","Digital, Data & Technology","The National Archives","105","100","40120","39390"
"In post","2021","Digital, Data & Technology","UK Export Finance","30","30","55790","52500"
"In post","2021","Digital, Data & Technology","UK Hydrographic Office","190","185","38770","35340"
"In post","2021","Digital, Data & Technology","UK Intellectual Property Office","205","200","44100","41600"
"In post","2021","Digital, Data & Technology","United Kingdom Statistics Authority","595","585","40840","36840"
"In post","2021","Digital, Data & Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Vehicle Certification Agency","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Veterinary Medicines Directorate","5","5","[c]","[c]"
"In post","2021","Digital, Data & Technology","Water Services Regulation Authority","25","25","48730","47000"
"In post","2021","Digital, Data & Technology","Welsh Revenue Authority","10","10","[c]","[c]"
"In post","2021","Digital, Data & Technology","Wilton Park","5","5","[c]","[c]"
"In post","2021","Finance","Advisory, Conciliation and Arbitration Service","15","15","37440","26280"
"In post","2021","Finance","Cabinet Office (excl. agencies)","90","90","46340","41820"
"In post","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","10","10","31730","26890"
"In post","2021","Finance","Charity Commission","10","5","[c]","[c]"
"In post","2021","Finance","Companies House","60","55","30930","27460"
"In post","2021","Finance","Competition and Markets Authority","15","15","46260","43490"
"In post","2021","Finance","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Crown Commercial Service","30","30","43110","35860"
"In post","2021","Finance","Crown Office and Procurator Fiscal Service","20","20","39520","38610"
"In post","2021","Finance","Crown Prosecution Service","95","90","32650","30130"
"In post","2021","Finance","Debt Management Office","10","10","59690","54520"
"In post","2021","Finance","Defence Electronics and Components Agency","10","10","[c]","[c]"
"In post","2021","Finance","Defence Equipment and Support","420","400","37280","31600"
"In post","2021","Finance","Defence Science and Technology Laboratory","60","60","40980","38990"
"In post","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","130","125","53060","53860"
"In post","2021","Finance","Department for Digital, Culture, Media and Sport","70","70","57470","61730"
"In post","2021","Finance","Department for Education (excl. agencies)","395","385","42620","40400"
"In post","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","400","390","43210","38060"
"In post","2021","Finance","Department for International Trade","90","90","47730","44030"
"In post","2021","Finance","Department for Transport (excl. agencies)","150","150","47760","46710"
"In post","2021","Finance","Department of Health and Social Care (excl. agencies)","425","415","40100","36820"
"In post","2021","Finance","Driver and Vehicle Licensing Agency","140","135","32910","30730"
"In post","2021","Finance","Driver and Vehicle Standards Agency","85","85","38780","34040"
"In post","2021","Finance","Education and Skills Funding Agency","130","130","44530","43250"
"In post","2021","Finance","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Finance","FCDO Services","55","55","37800","29760"
"In post","2021","Finance","Food Standards Agency","50","50","41000","37910"
"In post","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","230","220","44060","39630"
"In post","2021","Finance","Forestry and Land Scotland","45","45","36400","36610"
"In post","2021","Finance","Government Actuary's Department","10","10","[c]","[c]"
"In post","2021","Finance","Government Internal Audit Agency","10","10","46020","44400"
"In post","2021","Finance","Government Legal Department","40","40","40600","31630"
"In post","2021","Finance","Government Property Agency","35","35","44870","39780"
"In post","2021","Finance","Health and Safety Executive","25","25","48770","45770"
"In post","2021","Finance","HM Courts and Tribunals Service","265","255","37950","33950"
"In post","2021","Finance","HM Land Registry","55","55","48870","46800"
"In post","2021","Finance","HM Revenue and Customs (excl. agencies)","2440","2180","32630","28130"
"In post","2021","Finance","HM Treasury (excl. agencies)","95","95","49460","52530"
"In post","2021","Finance","Insolvency Service","40","40","42350","41940"
"In post","2021","Finance","Institute for Apprenticeships and Technical Education","5","5","[c]","[c]"
"In post","2021","Finance","Legal Aid Agency","20","15","32070","30850"
"In post","2021","Finance","Maritime and Coastguard Agency","30","25","38490","35610"
"In post","2021","Finance","Medicines and Healthcare Products Regulatory Agency","30","30","47410","40850"
"In post","2021","Finance","Met Office","30","30","45070","47960"
"In post","2021","Finance","Ministry of Defence (excl. agencies)","1600","1545","38050","33300"
"In post","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","110","105","52740","53130"
"In post","2021","Finance","Ministry of Justice (excl. agencies)","500","490","44910","41560"
"In post","2021","Finance","National Crime Agency","50","45","38330","36740"
"In post","2021","Finance","National Savings and Investments","30","30","51240","46460"
"In post","2021","Finance","Northern Ireland Office","10","10","[c]","[c]"
"In post","2021","Finance","Office for Standards in Education, Children's Services and Skills","35","35","41620","32010"
"In post","2021","Finance","Office of Gas and Electricity Markets","30","30","49790","45810"
"In post","2021","Finance","Office of Qualifications and Examinations Regulation","5","5","[c]","[c]"
"In post","2021","Finance","Office of Rail and Road","5","5","[c]","[c]"
"In post","2021","Finance","Planning Inspectorate","20","20","41610","40720"
"In post","2021","Finance","Public Health England","150","150","43330","38750"
"In post","2021","Finance","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Registers of Scotland","25","25","32910","30080"
"In post","2021","Finance","Scottish Courts and Tribunals Service","20","20","38210","42920"
"In post","2021","Finance","Scottish Forestry","10","10","[c]","[c]"
"In post","2021","Finance","Scottish Prison Service","70","65","31400","25870"
"In post","2021","Finance","Serious Fraud Office","15","15","51960","55530"
"In post","2021","Finance","Submarine Delivery Agency","40","40","53050","45030"
"In post","2021","Finance","The National Archives","10","10","44410","43540"
"In post","2021","Finance","UK Export Finance","45","45","49110","38920"
"In post","2021","Finance","UK Hydrographic Office","15","15","38260","33290"
"In post","2021","Finance","UK Intellectual Property Office","25","20","39980","43540"
"In post","2021","Finance","UK Space Agency","20","20","48450","40410"
"In post","2021","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Finance","United Kingdom Statistics Authority","60","55","37140","29840"
"In post","2021","Finance","Valuation Office Agency","45","45","47620","42900"
"In post","2021","Finance","Vehicle Certification Agency","10","10","32430","27620"
"In post","2021","Finance","Veterinary Medicines Directorate","5","5","[c]","[c]"
"In post","2021","Finance","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Water Services Regulation Authority","10","10","45190","40800"
"In post","2021","Finance","Welsh Revenue Authority","10","10","[c]","[c]"
"In post","2021","Finance","Wilton Park","10","5","[c]","[c]"
"In post","2021","Grants Management","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Rural Payments Agency","1890","1725","25510","21050"
"In post","2021","Human Resources","Advisory, Conciliation and Arbitration Service","25","25","40040","39580"
"In post","2021","Human Resources","Cabinet Office (excl. agencies)","1120","1070","39180","35590"
"In post","2021","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","5","5","[c]","[c]"
"In post","2021","Human Resources","Charity Commission","10","10","32360","29160"
"In post","2021","Human Resources","Companies House","85","80","33040","27460"
