"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Digital, Data & Technology","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Tax","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","London","105","105","48890","54700"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Corporate Finance","London","15","15","[c]","[c]"
"In post","2021","Asian","Finance","Corporate Finance","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Finance","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Economics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Finance","London","325","320","43400","39570"
"In post","2021","Asian","Finance","Finance","Outside London","265","255","34580","31810"
"In post","2021","Asian","Finance","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","International Trade","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Operational Delivery","London","15","15","[c]","[c]"
"In post","2021","Asian","Finance","Operational Delivery","Outside London","60","55","23690","20140"
"In post","2021","Asian","Finance","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Tax","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Finance","Tax","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","London","20","20","[c]","[c]"
"In post","2021","Asian","Finance","Unknown","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Grants Management","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","Operational Delivery","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","Grants Management","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Human Resources","London","195","190","41060","36200"
"In post","2021","Asian","Human Resources","Human Resources","Outside London","130","125","31980","28840"
"In post","2021","Asian","Human Resources","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Operational Delivery","London","10","10","[c]","[c]"
"In post","2021","Asian","Human Resources","Operational Delivery","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Human Resources","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Security","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","Tax","London","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Tax","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","Unknown","London","60","55","41260","36410"
"In post","2021","Asian","Human Resources","Unknown","Outside London","30","30","31580","31810"
"In post","2021","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Internal Audit","London","45","45","50310","49980"
"In post","2021","Asian","Internal Audit","Internal Audit","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Internal Audit","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Other","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Legal","London","405","380","54790","51830"
"In post","2021","Asian","Legal","Legal","Outside London","310","285","46290","48080"
"In post","2021","Asian","Legal","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Operational Delivery","London","170","155","28370","26300"
"In post","2021","Asian","Legal","Operational Delivery","Outside London","175","165","25300","23520"
"In post","2021","Asian","Legal","Other","London","45","40","28450","27580"
"In post","2021","Asian","Legal","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Policy","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","Tax","London","5","5","[c]","[c]"
"In post","2021","Asian","Legal","Tax","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","London","10","10","[c]","[c]"
"In post","2021","Asian","Legal","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Commercial","London","15","15","[c]","[c]"
"In post","2021","Asian","No function","Commercial","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","No function","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Corporate Finance","London","5","5","[c]","[c]"
"In post","2021","Asian","No function","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Digital, Data and Technology","London","15","15","[c]","[c]"
"In post","2021","Asian","No function","Digital, Data and Technology","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","No function","Economics","London","40","40","42220","33470"
"In post","2021","Asian","No function","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Finance","London","35","30","45730","40940"
"In post","2021","Asian","No function","Finance","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","No function","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Inspector of Education and Training","London","10","10","[c]","[c]"
"In post","2021","Asian","No function","Inspector of Education and Training","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","No function","Intelligence Analysis","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Intelligence Analysis","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","No function","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","International Trade","London","85","85","44080","38540"
"In post","2021","Asian","No function","International Trade","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","No function","International Trade","Overseas","10","10","[c]","[c]"
"In post","2021","Asian","No function","Knowledge and Information Management","London","45","40","35140","32360"
"In post","2021","Asian","No function","Knowledge and Information Management","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","No function","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Legal","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Medicine","London","30","30","99720","99260"
"In post","2021","Asian","No function","Medicine","Outside London","50","45","105070","102450"
"In post","2021","Asian","No function","Operational Delivery","London","1710","1605","31420","28500"
"In post","2021","Asian","No function","Operational Delivery","Outside London","3750","3410","25910","22350"
"In post","2021","Asian","No function","Operational Delivery","Overseas","5","5","[c]","[c]"
"In post","2021","Asian","No function","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","No function","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","No function","Other","London","100","100","40380","35990"
"In post","2021","Asian","No function","Other","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","No function","Planning","London","5","5","[c]","[c]"
"In post","2021","Asian","No function","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Policy","London","1140","1115","42580","38180"
"In post","2021","Asian","No function","Policy","Outside London","185","180","37110","34830"
"In post","2021","Asian","No function","Policy","Overseas","55","55","47140","38250"
"In post","2021","Asian","No function","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Project Delivery","London","15","15","[c]","[c]"
"In post","2021","Asian","No function","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","No function","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Property","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Psychology","London","5","5","[c]","[c]"
"In post","2021","Asian","No function","Psychology","Outside London","30","30","36080","31180"
"In post","2021","Asian","No function","Science and Engineering","London","155","145","39200","34910"
"In post","2021","Asian","No function","Science and Engineering","Outside London","190","185","33360","30460"
"In post","2021","Asian","No function","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Security","London","20","20","[c]","[c]"
"In post","2021","Asian","No function","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Social Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","Tax","London","330","310","38910","36160"
"In post","2021","Asian","No function","Tax","Outside London","660","620","30240","31810"
"In post","2021","Asian","No function","Unknown","London","220","215","45710","40600"
