"Status","Year","Ethnicity","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Operational Delivery","London","4260","3935","30930","28860"
"In post","2021","Asian","Operational Delivery","Outside London","5795","5270","25690","22850"
"In post","2021","Asian","Operational Delivery","Overseas","10","10","[c]","[c]"
"In post","2021","Asian","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","Asian","Operational Research","London","25","25","[c]","[c]"
"In post","2021","Asian","Operational Research","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","London","555","535","34990","30410"
"In post","2021","Asian","Other","Outside London","285","270","28480","24890"
"In post","2021","Asian","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","London","5","5","[c]","[c]"
"In post","2021","Asian","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Policy","London","1590","1550","43590","39780"
"In post","2021","Asian","Policy","Outside London","270","260","37930","36340"
"In post","2021","Asian","Policy","Overseas","60","60","48520","50970"
"In post","2021","Asian","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Project Delivery","London","465","455","42410","39090"
"In post","2021","Asian","Project Delivery","Outside London","340","335","38290","36610"
"In post","2021","Asian","Project Delivery","Overseas","10","10","[c]","[c]"
"In post","2021","Asian","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Property","London","135","130","38010","34880"
"In post","2021","Asian","Property","Outside London","100","100","35460","30650"
"In post","2021","Asian","Property","Overseas","5","5","[c]","[c]"
"In post","2021","Asian","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Psychology","London","5","5","[c]","[c]"
"In post","2021","Asian","Psychology","Outside London","30","30","36680","31180"
"In post","2021","Asian","Science and Engineering","London","205","195","39460","35300"
"In post","2021","Asian","Science and Engineering","Outside London","360","350","34730","32980"
"In post","2021","Asian","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","London","180","175","32700","29020"
"In post","2021","Asian","Security","Outside London","110","105","27290","21440"
"In post","2021","Asian","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Research","London","20","20","[c]","[c]"
"In post","2021","Asian","Social Research","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Statistics","London","95","90","44460","41760"
"In post","2021","Asian","Statistics","Outside London","45","40","36280","32010"
"In post","2021","Asian","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Tax","London","435","410","38680","36160"
"In post","2021","Asian","Tax","Outside London","955","905","29890","28130"
"In post","2021","Asian","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","London","3035","2800","34110","31060"
"In post","2021","Asian","Unknown","Outside London","5245","4740","26410","27570"
"In post","2021","Asian","Unknown","Overseas","35","35","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","150","135","28840","27570"
"In post","2021","Asian","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","London","100","100","40140","37770"
"In post","2021","Black","Commercial","Outside London","80","80","35660","33610"
"In post","2021","Black","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","London","100","100","39250","37150"
"In post","2021","Black","Communications","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Corporate Finance","London","5","5","[c]","[c]"
"In post","2021","Black","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Counter Fraud","London","20","20","[c]","[c]"
"In post","2021","Black","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","London","265","265","42300","40170"
"In post","2021","Black","Digital, Data and Technology","Outside London","140","135","36430","34280"
"In post","2021","Black","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Economics","London","50","50","37890","33570"
"In post","2021","Black","Economics","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","London","270","270","41020","38650"
"In post","2021","Black","Finance","Outside London","95","95","35980","33380"
"In post","2021","Black","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","London","225","220","38750","35050"
"In post","2021","Black","Human Resources","Outside London","65","60","35010","31180"
"In post","2021","Black","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","London","10","10","[c]","[c]"
"In post","2021","Black","Inspector of Education and Training","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","London","50","50","34180","30840"
"In post","2021","Black","Intelligence Analysis","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","London","30","30","[c]","[c]"
"In post","2021","Black","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","International Trade","London","45","45","42300","38540"
"In post","2021","Black","International Trade","Outside London","5","5","[c]","[c]"
"In post","2021","Black","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","London","50","50","34750","31780"
"In post","2021","Black","Knowledge and Information Management","Outside London","25","25","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","London","310","300","50060","51250"
"In post","2021","Black","Legal","Outside London","115","110","44500","45100"
"In post","2021","Black","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","London","20","20","[c]","[c]"
"In post","2021","Black","Medicine","Outside London","40","40","72320","73760"
"In post","2021","Black","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Operational Delivery","London","3665","3495","30710","28850"
"In post","2021","Black","Operational Delivery","Outside London","2180","2040","26960","24890"
"In post","2021","Black","Operational Delivery","Overseas","10","10","[c]","[c]"
"In post","2021","Black","Operational Delivery","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Operational Research","London","10","10","[c]","[c]"
"In post","2021","Black","Operational Research","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","London","375","365","32380","29080"
"In post","2021","Black","Other","Outside London","145","140","26850","22080"
"In post","2021","Black","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","London","5","5","[c]","[c]"
"In post","2021","Black","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Policy","London","980","970","39270","35070"
"In post","2021","Black","Policy","Outside London","80","80","36690","33640"
"In post","2021","Black","Policy","Overseas","35","35","40270","34350"
"In post","2021","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Project Delivery","London","310","305","42510","38750"
"In post","2021","Black","Project Delivery","Outside London","175","170","35090","33930"
"In post","2021","Black","Project Delivery","Overseas","5","5","[c]","[c]"
"In post","2021","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","London","70","70","38990","34220"
"In post","2021","Black","Property","Outside London","55","50","33660","32710"
"In post","2021","Black","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Psychology","London","5","5","[c]","[c]"
"In post","2021","Black","Psychology","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Science and Engineering","London","120","110","39260","35410"
"In post","2021","Black","Science and Engineering","Outside London","165","155","35130","34110"
"In post","2021","Black","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","London","80","80","32950","28870"
"In post","2021","Black","Security","Outside London","40","40","25500","20180"
"In post","2021","Black","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Social Research","London","15","15","[c]","[c]"
"In post","2021","Black","Social Research","Outside London","10","10","[c]","[c]"
"In post","2021","Black","Statistics","London","45","40","40800","40020"
"In post","2021","Black","Statistics","Outside London","15","15","[c]","[c]"
"In post","2021","Black","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Tax","London","210","205","36450","36160"
"In post","2021","Black","Tax","Outside London","220","215","28270","25560"
"In post","2021","Black","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","London","2530","2420","32180","31060"
"In post","2021","Black","Unknown","Outside London","1775","1670","27350","27570"
"In post","2021","Black","Unknown","Overseas","5","5","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","50","50","29670","28380"
"In post","2021","Black","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","Black","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","London","5","5","[c]","[c]"
"In post","2021","Chinese","Commercial","Outside London","5","5","[c]","[c]"
"In post","2021","Chinese","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","London","10","10","[c]","[c]"
"In post","2021","Chinese","Communications","Outside London","5","5","[c]","[c]"
"In post","2021","Chinese","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","London","35","35","46040","41970"
"In post","2021","Chinese","Digital, Data and Technology","Outside London","25","25","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","London","20","20","[c]","[c]"
"In post","2021","Chinese","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","London","30","30","44610","40820"
"In post","2021","Chinese","Finance","Outside London","20","20","[c]","[c]"
"In post","2021","Chinese","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","London","15","10","[c]","[c]"
"In post","2021","Chinese","Human Resources","Outside London","10","10","[c]","[c]"
"In post","2021","Chinese","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","London","10","10","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","International Trade","London","10","10","[c]","[c]"
"In post","2021","Chinese","International Trade","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","International Trade","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","Outside London","5","5","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","London","35","30","54990","52730"
"In post","2021","Chinese","Legal","Outside London","15","15","[c]","[c]"
"In post","2021","Chinese","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Medicine","London","10","10","[c]","[c]"
"In post","2021","Chinese","Medicine","Outside London","5","5","[c]","[c]"
"In post","2021","Chinese","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Delivery","London","110","105","34720","31560"
"In post","2021","Chinese","Operational Delivery","Outside London","245","225","25560","23650"
"In post","2021","Chinese","Operational Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2021","Chinese","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other","London","30","30","40470","31270"
"In post","2021","Chinese","Other","Outside London","20","20","[c]","[c]"
"In post","2021","Chinese","Other","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","London","105","105","46610","41850"
"In post","2021","Chinese","Policy","Outside London","25","25","[c]","[c]"
"In post","2021","Chinese","Policy","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","London","20","20","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Outside London","10","10","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","London","10","10","[c]","[c]"
"In post","2021","Chinese","Property","Outside London","5","5","[c]","[c]"
"In post","2021","Chinese","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Psychology","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","London","15","15","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","Outside London","40","35","42420","38590"
"In post","2021","Chinese","Science and Engineering","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","London","5","5","[c]","[c]"
"In post","2021","Chinese","Security","Outside London","10","10","[c]","[c]"
"In post","2021","Chinese","Security","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Social Research","London","5","5","[c]","[c]"
"In post","2021","Chinese","Social Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","London","20","20","[c]","[c]"
"In post","2021","Chinese","Statistics","Outside London","5","5","[c]","[c]"
"In post","2021","Chinese","Statistics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Tax","London","20","20","[c]","[c]"
"In post","2021","Chinese","Tax","Outside London","30","30","34340","31810"
"In post","2021","Chinese","Tax","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","London","70","65","37270","31060"
"In post","2021","Chinese","Unknown","Outside London","130","120","28290","27570"
"In post","2021","Chinese","Unknown","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Veterinarian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","London","30","30","43370","37630"
"In post","2021","Mixed","Commercial","Outside London","60","55","36710","34080"
"In post","2021","Mixed","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","London","70","70","44290","41530"
"In post","2021","Mixed","Communications","Outside London","40","40","36820","33540"
"In post","2021","Mixed","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Corporate Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","London","10","10","[c]","[c]"
"In post","2021","Mixed","Counter Fraud","Outside London","10","5","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","London","90","90","47390","42930"
"In post","2021","Mixed","Digital, Data and Technology","Outside London","125","120","39320","36530"
"In post","2021","Mixed","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Economics","London","80","75","45010","42020"
"In post","2021","Mixed","Economics","Outside London","10","10","[c]","[c]"
"In post","2021","Mixed","Economics","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","London","70","70","43700","41440"
"In post","2021","Mixed","Finance","Outside London","75","70","38630","36900"
"In post","2021","Mixed","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","London","95","90","43280","38160"
"In post","2021","Mixed","Human Resources","Outside London","60","60","36470","33150"
"In post","2021","Mixed","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inspector of Education and Training","London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Inspector of Education and Training","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","London","45","40","42410","37560"
"In post","2021","Mixed","Intelligence Analysis","Outside London","15","15","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Outside London","10","10","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","International Trade","London","30","30","48360","51970"
"In post","2021","Mixed","International Trade","Outside London","5","5","[c]","[c]"
"In post","2021","Mixed","International Trade","Overseas","5","5","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","London","15","15","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","Outside London","20","20","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","London","170","160","54000","53090"
"In post","2021","Mixed","Legal","Outside London","115","105","45570","48830"
"In post","2021","Mixed","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Medicine","London","10","10","[c]","[c]"
"In post","2021","Mixed","Medicine","Outside London","30","25","[c]","[c]"
"In post","2021","Mixed","Medicine","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Medicine","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Delivery","London","845","805","33760","30680"
"In post","2021","Mixed","Operational Delivery","Outside London","1880","1745","27880","25400"
"In post","2021","Mixed","Operational Delivery","Overseas","5","5","[c]","[c]"
"In post","2021","Mixed","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Operational Research","London","10","10","[c]","[c]"
"In post","2021","Mixed","Operational Research","Outside London","5","5","[c]","[c]"
"In post","2021","Mixed","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Other","London","120","115","38110","32000"
"In post","2021","Mixed","Other","Outside London","145","135","29160","26670"
"In post","2021","Mixed","Other","Overseas","5","5","[c]","[c]"
"In post","2021","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Planning Inspectors","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Policy","London","710","695","45350","41760"
"In post","2021","Mixed","Policy","Outside London","120","115","39150","36680"
"In post","2021","Mixed","Policy","Overseas","60","60","49070","51640"
"In post","2021","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Project Delivery","London","135","130","46210","41940"
"In post","2021","Mixed","Project Delivery","Outside London","125","120","37920","35900"
"In post","2021","Mixed","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Property","London","30","30","40890","36800"
"In post","2021","Mixed","Property","Outside London","50","50","31860","31090"
