"Status","Year","Disability","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared non-disabled","G6/G7","Male","855","[c]","61290","59650"
"Leaver CS","2021","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SCS level","Female","115","[c]","94490","88600"
"Leaver CS","2021","Declared non-disabled","SCS level","Male","170","[c]","103210","96940"
"Leaver CS","2021","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Female","1540","[c]","36840","36000"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Male","1680","[c]","37940","36800"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Female","305","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Male","160","[c]","39830","36500"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Female","380","[c]","20730","21010"
"Leaver CS","2021","Undeclared","AA/AO","Male","420","[c]","22850","21010"
"Leaver CS","2021","Undeclared","EO","Female","165","[c]","27180","27180"
"Leaver CS","2021","Undeclared","EO","Male","180","[c]","28260","27570"
"Leaver CS","2021","Undeclared","G6/G7","Female","60","[c]","58720","57460"
"Leaver CS","2021","Undeclared","G6/G7","Male","80","[c]","59060","56500"
"Leaver CS","2021","Undeclared","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","Female","175","[c]","35970","34610"
"Leaver CS","2021","Undeclared","SEO/HEO","Male","235","[c]","37680","37250"
"Leaver CS","2021","Undeclared","Unknown","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Female","1800","[c]","20870","21010"
"Leaver CS","2021","Unknown","AA/AO","Male","1515","[c]","21480","21010"
"Leaver CS","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","EO","Female","765","[c]","27020","27570"
"Leaver CS","2021","Unknown","EO","Male","745","[c]","27680","27570"
"Leaver CS","2021","Unknown","EO","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Female","290","[c]","60580","58030"
"Leaver CS","2021","Unknown","G6/G7","Male","340","[c]","60070","57400"
"Leaver CS","2021","Unknown","G6/G7","Unknown","20","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","Female","55","[c]","92930","85080"
"Leaver CS","2021","Unknown","SCS level","Male","70","[c]","102090","96270"
"Leaver CS","2021","Unknown","SCS level","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SEO/HEO","Female","620","[c]","36060","35970"
"Leaver CS","2021","Unknown","SEO/HEO","Male","700","[c]","37150","36650"
"Leaver CS","2021","Unknown","SEO/HEO","Unknown","45","[c]","37590","39930"
"Leaver CS","2021","Unknown","Unknown","Female","320","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","295","[c]","35370","32400"
"Leaver CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","AA/AO","Female","80","[c]","21010","21010"
"Leaver Dept.","2021","Declared disabled","AA/AO","Male","80","[c]","20640","20880"
"Leaver Dept.","2021","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","EO","Female","155","[c]","26510","27040"
"Leaver Dept.","2021","Declared disabled","EO","Male","95","[c]","26600","27330"
"Leaver Dept.","2021","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","G6/G7","Female","90","[c]","56320","53600"
"Leaver Dept.","2021","Declared disabled","G6/G7","Male","75","[c]","57720","55860"
"Leaver Dept.","2021","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SCS level","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","SEO/HEO","Female","200","[c]","35220","34150"
"Leaver Dept.","2021","Declared disabled","SEO/HEO","Male","175","[c]","35280","33770"
"Leaver Dept.","2021","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","AA/AO","Female","750","[c]","21080","21010"
"Leaver Dept.","2021","Declared non-disabled","AA/AO","Male","510","[c]","21240","21010"
"Leaver Dept.","2021","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","EO","Female","925","[c]","26820","27570"
"Leaver Dept.","2021","Declared non-disabled","EO","Male","625","[c]","26860","27570"
"Leaver Dept.","2021","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","G6/G7","Female","715","[c]","57500","55720"
"Leaver Dept.","2021","Declared non-disabled","G6/G7","Male","620","[c]","57600","55650"
"Leaver Dept.","2021","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","SCS level","Female","140","[c]","87220","78010"
"Leaver Dept.","2021","Declared non-disabled","SCS level","Male","85","[c]","87610","81450"
"Leaver Dept.","2021","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","SEO/HEO","Female","1360","[c]","35320","34290"
"Leaver Dept.","2021","Declared non-disabled","SEO/HEO","Male","1115","[c]","35580","34330"
"Leaver Dept.","2021","Declared non-disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","Female","65","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","AA/AO","Female","50","[c]","20670","21010"
"Leaver Dept.","2021","Undeclared","AA/AO","Male","55","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","EO","Female","65","[c]","27680","27570"
"Leaver Dept.","2021","Undeclared","EO","Male","60","[c]","26740","27570"
"Leaver Dept.","2021","Undeclared","G6/G7","Female","60","[c]","57290","56130"
"Leaver Dept.","2021","Undeclared","G6/G7","Male","55","[c]","56980","54920"
"Leaver Dept.","2021","Undeclared","SCS level","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Female","120","[c]","37340","36650"
"Leaver Dept.","2021","Undeclared","SEO/HEO","Male","120","[c]","35620","34700"
"Leaver Dept.","2021","Undeclared","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","Female","345","[c]","21000","20880"
"Leaver Dept.","2021","Unknown","AA/AO","Male","270","[c]","20940","20820"
"Leaver Dept.","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","EO","Female","245","[c]","27350","27370"
"Leaver Dept.","2021","Unknown","EO","Male","230","[c]","26730","26880"
"Leaver Dept.","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","G6/G7","Female","335","[c]","56030","54280"
"Leaver Dept.","2021","Unknown","G6/G7","Male","345","[c]","56170","54290"
"Leaver Dept.","2021","Unknown","G6/G7","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","Female","45","[c]","83300","76360"
"Leaver Dept.","2021","Unknown","SCS level","Male","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","SEO/HEO","Female","780","[c]","34230","32840"
"Leaver Dept.","2021","Unknown","SEO/HEO","Male","680","[c]","34440","32990"
"Leaver Dept.","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Female","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Male","55","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","AA/AO","Female","705","[c]","21180","21010"
"New entrant CS","2021","Declared disabled","AA/AO","Male","575","[c]","21310","21010"
"New entrant CS","2021","Declared disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","EO","Female","1110","[c]","27920","27570"
"New entrant CS","2021","Declared disabled","EO","Male","650","[c]","27740","27570"
"New entrant CS","2021","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","G6/G7","Female","80","[c]","54980","54120"
"New entrant CS","2021","Declared disabled","G6/G7","Male","90","[c]","55590","54390"
"New entrant CS","2021","Declared disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","SCS level","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","SCS level","Male","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","SEO/HEO","Female","400","[c]","34190","33570"
"New entrant CS","2021","Declared disabled","SEO/HEO","Male","260","[c]","34300","33000"
"New entrant CS","2021","Declared disabled","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Female","110","[c]","23550","22920"
"New entrant CS","2021","Declared disabled","Unknown","Male","20","[c]","[c]","[c]"
"New entrant CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","AA/AO","Female","5710","[c]","21410","21010"
"New entrant CS","2021","Declared non-disabled","AA/AO","Male","4895","[c]","22000","21010"
"New entrant CS","2021","Declared non-disabled","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","EO","Female","6630","[c]","27890","27570"
"New entrant CS","2021","Declared non-disabled","EO","Male","4475","[c]","27750","27570"
"New entrant CS","2021","Declared non-disabled","EO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","G6/G7","Female","805","[c]","56970","54000"
"New entrant CS","2021","Declared non-disabled","G6/G7","Male","920","[c]","58350","55440"
"New entrant CS","2021","Declared non-disabled","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SCS level","Female","75","[c]","94250","90000"
"New entrant CS","2021","Declared non-disabled","SCS level","Male","105","[c]","97590","92500"
"New entrant CS","2021","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Female","3115","[c]","34890","34000"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Male","2635","[c]","35320","34020"
"New entrant CS","2021","Declared non-disabled","SEO/HEO","Unknown","5","[c]","[c]","[c]"
"New entrant CS","2021","Declared non-disabled","Unknown","Female","750","[c]","23860","22920"
"New entrant CS","2021","Declared non-disabled","Unknown","Male","295","[c]","29820","24020"
"New entrant CS","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","AA/AO","Female","265","[c]","21360","21010"
"New entrant CS","2021","Undeclared","AA/AO","Male","235","[c]","21680","21010"
"New entrant CS","2021","Undeclared","EO","Female","385","[c]","27670","27570"
"New entrant CS","2021","Undeclared","EO","Male","260","[c]","27550","27570"
"New entrant CS","2021","Undeclared","G6/G7","Female","80","[c]","57700","54700"
"New entrant CS","2021","Undeclared","G6/G7","Male","85","[c]","58530","55530"
"New entrant CS","2021","Undeclared","SCS level","Female","15","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SCS level","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","SEO/HEO","Female","290","[c]","34600","33570"
"New entrant CS","2021","Undeclared","SEO/HEO","Male","240","[c]","34080","33570"
"New entrant CS","2021","Undeclared","Unknown","Female","20","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Male","15","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","Female","4350","[c]","21160","20800"
"New entrant CS","2021","Unknown","AA/AO","Male","3830","[c]","21820","20810"
"New entrant CS","2021","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","EO","Female","2785","[c]","27190","27570"
"New entrant CS","2021","Unknown","EO","Male","2360","[c]","26910","26410"
"New entrant CS","2021","Unknown","EO","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","G6/G7","Female","830","[c]","57090","54000"
"New entrant CS","2021","Unknown","G6/G7","Male","865","[c]","58220","55000"
"New entrant CS","2021","Unknown","G6/G7","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SCS level","Female","130","[c]","86320","74000"
"New entrant CS","2021","Unknown","SCS level","Male","175","[c]","91630","76730"
"New entrant CS","2021","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","SEO/HEO","Female","2485","[c]","34160","32790"
"New entrant CS","2021","Unknown","SEO/HEO","Male","2190","[c]","34960","33830"
"New entrant CS","2021","Unknown","SEO/HEO","Unknown","25","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Female","540","[c]","22990","22920"
"New entrant CS","2021","Unknown","Unknown","Male","260","[c]","24930","22920"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","","",""
"Data column","Description","","","","","","",""
"Status","Employment status of the civil servants.","","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","","",""
"Sex","Self reported sex.","","","","","","",""
"","""Unknown"" accounts for employees who were recorded with an unknown sex.","","","","","","",""
"Disability","Self reported disability.","","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","","",""
