"Status","Year","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Unknown","LGBO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Undeclared","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","110","[c]","[c]","[c]"
"New entrant CS","2021","AA/AO","Heterosexual / straight","11335","[c]","21650","21010"
"New entrant CS","2021","AA/AO","LGBO","1135","[c]","21480","21010"
"New entrant CS","2021","AA/AO","Undeclared","765","[c]","21350","21010"
"New entrant CS","2021","AA/AO","Unknown","7340","[c]","21460","20600"
"New entrant CS","2021","EO","Heterosexual / straight","12400","[c]","27920","27570"
"New entrant CS","2021","EO","LGBO","1385","[c]","27700","27570"
"New entrant CS","2021","EO","Undeclared","835","[c]","27700","27570"
"New entrant CS","2021","EO","Unknown","4060","[c]","26620","27130"
"New entrant CS","2021","G6/G7","Heterosexual / straight","2145","[c]","56840","54570"
"New entrant CS","2021","G6/G7","LGBO","155","[c]","56110","53400"
"New entrant CS","2021","G6/G7","Undeclared","225","[c]","58890","56120"
"New entrant CS","2021","G6/G7","Unknown","1240","[c]","58850","56000"
"New entrant CS","2021","SCS level","Heterosexual / straight","195","[c]","95680","90000"
"New entrant CS","2021","SCS level","LGBO","15","[c]","[c]","[c]"
"New entrant CS","2021","SCS level","Undeclared","30","[c]","[c]","[c]"
"New entrant CS","2021","SCS level","Unknown","280","[c]","89250","74000"
"New entrant CS","2021","SEO/HEO","Heterosexual / straight","6605","[c]","35260","34020"
"New entrant CS","2021","SEO/HEO","LGBO","690","[c]","34160","33300"
"New entrant CS","2021","SEO/HEO","Undeclared","650","[c]","35010","33930"
"New entrant CS","2021","SEO/HEO","Unknown","3705","[c]","34010","32790"
"New entrant CS","2021","Unknown","Heterosexual / straight","1095","[c]","25530","22920"
"New entrant CS","2021","Unknown","LGBO","95","[c]","23160","22920"
"New entrant CS","2021","Unknown","Undeclared","55","[c]","25350","22920"
"New entrant CS","2021","Unknown","Unknown","770","[c]","23510","22920"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
