"Status","Year","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Human Resources","EO","55","[c]","26270","27000"
"Leaver CS","2021","Human Resources","G6/G7","60","[c]","58680","58360"
"Leaver CS","2021","Human Resources","SCS level","10","[c]","107030","110000"
"Leaver CS","2021","Human Resources","SEO/HEO","120","[c]","38620","38610"
"Leaver CS","2021","Human Resources","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","20","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","150","[c]","22090","21950"
"Leaver CS","2021","Legal","EO","90","[c]","26730","26830"
"Leaver CS","2021","Legal","G6/G7","250","[c]","58980","55610"
"Leaver CS","2021","Legal","SCS level","25","[c]","95360","89210"
"Leaver CS","2021","Legal","SEO/HEO","155","[c]","40730","40800"
"Leaver CS","2021","No function","AA/AO","5120","[c]","20460","20100"
"Leaver CS","2021","No function","EO","1215","[c]","27150","26700"
"Leaver CS","2021","No function","G6/G7","600","[c]","60290","57470"
"Leaver CS","2021","No function","SCS level","145","[c]","106280","104580"
"Leaver CS","2021","No function","SEO/HEO","1415","[c]","36930","35550"
"Leaver CS","2021","No function","Unknown","660","[c]","34040","37170"
"Leaver CS","2021","Project Delivery","AA/AO","45","[c]","21410","21630"
"Leaver CS","2021","Project Delivery","EO","200","[c]","22340","21950"
"Leaver CS","2021","Project Delivery","G6/G7","140","[c]","58990","56740"
"Leaver CS","2021","Project Delivery","SCS level","25","[c]","96100","89530"
"Leaver CS","2021","Project Delivery","SEO/HEO","390","[c]","36370","36260"
"Leaver CS","2021","Project Delivery","Unknown","40","[c]","41280","39860"
"Leaver CS","2021","Property","AA/AO","185","[c]","20930","20300"
"Leaver CS","2021","Property","EO","160","[c]","26510","26000"
"Leaver CS","2021","Property","G6/G7","45","[c]","58090","57130"
"Leaver CS","2021","Property","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","160","[c]","38400","37620"
"Leaver CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","320","[c]","27340","22650"
"Leaver CS","2021","Security","EO","50","[c]","31680","27500"
"Leaver CS","2021","Security","G6/G7","10","[c]","65170","66770"
"Leaver CS","2021","Security","SEO/HEO","50","[c]","38860","35040"
"Leaver CS","2021","Unknown","AA/AO","5710","[c]","21220","21010"
"Leaver CS","2021","Unknown","EO","4165","[c]","27960","27570"
"Leaver CS","2021","Unknown","G6/G7","1025","[c]","61880","60380"
"Leaver CS","2021","Unknown","SCS level","175","[c]","89500","83900"
"Leaver CS","2021","Unknown","SEO/HEO","2625","[c]","36770","36460"
"Leaver CS","2021","Unknown","Unknown","540","[c]","35090","32700"
"Leaver Dept.","2021","Analysis","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","EO","30","[c]","27510","27500"
"Leaver Dept.","2021","Analysis","G6/G7","85","[c]","58260","57600"
"Leaver Dept.","2021","Analysis","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Analysis","SEO/HEO","155","[c]","35230","33990"
"Leaver Dept.","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","EO","25","[c]","26310","26380"
"Leaver Dept.","2021","Commercial","G6/G7","50","[c]","54350","53420"
"Leaver Dept.","2021","Commercial","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","SEO/HEO","75","[c]","37700","37410"
"Leaver Dept.","2021","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","EO","35","[c]","26450","26410"
"Leaver Dept.","2021","Communications","G6/G7","50","[c]","57520","54700"
"Leaver Dept.","2021","Communications","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","SEO/HEO","115","[c]","37420","36660"
"Leaver Dept.","2021","Counter Fraud","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","SEO/HEO","20","[c]","34480","33760"
"Leaver Dept.","2021","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","AA/AO","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","EO","35","[c]","26620","26680"
"Leaver Dept.","2021","Digital, Data & Technology","G6/G7","90","[c]","59470","56020"
"Leaver Dept.","2021","Digital, Data & Technology","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","SEO/HEO","95","[c]","36710","36030"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","EO","30","[c]","26330","26300"
"Leaver Dept.","2021","Finance","G6/G7","65","[c]","59540","58130"
"Leaver Dept.","2021","Finance","SCS level","15","[c]","85310","77490"
"Leaver Dept.","2021","Finance","SEO/HEO","85","[c]","38920","38070"
"Leaver Dept.","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","AA/AO","20","[c]","20910","21050"
"Leaver Dept.","2021","Grants Management","EO","15","[c]","25180","25100"
"Leaver Dept.","2021","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","SEO/HEO","10","[c]","32920","30230"
"Leaver Dept.","2021","Human Resources","AA/AO","65","[c]","21040","20800"
"Leaver Dept.","2021","Human Resources","EO","80","[c]","26460","26380"
"Leaver Dept.","2021","Human Resources","G6/G7","105","[c]","57060","56850"
"Leaver Dept.","2021","Human Resources","SCS level","15","[c]","82130","75920"
"Leaver Dept.","2021","Human Resources","SEO/HEO","210","[c]","35680","34400"
"Leaver Dept.","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","SEO/HEO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","AA/AO","40","[c]","22940","22820"
"Leaver Dept.","2021","Legal","EO","40","[c]","26880","27150"
"Leaver Dept.","2021","Legal","G6/G7","90","[c]","59020","58010"
"Leaver Dept.","2021","Legal","SCS level","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","SEO/HEO","45","[c]","35810","34480"
"Leaver Dept.","2021","No function","AA/AO","685","[c]","20580","20100"
"Leaver Dept.","2021","No function","EO","505","[c]","26080","26410"
"Leaver Dept.","2021","No function","G6/G7","835","[c]","55930","54230"
"Leaver Dept.","2021","No function","SCS level","135","[c]","88340","77730"
"Leaver Dept.","2021","No function","SEO/HEO","1765","[c]","33990","32750"
"Leaver Dept.","2021","No function","Unknown","90","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","EO","85","[c]","24110","24500"
"Leaver Dept.","2021","Project Delivery","G6/G7","140","[c]","57070","54730"
"Leaver Dept.","2021","Project Delivery","SCS level","20","[c]","85260","82510"
"Leaver Dept.","2021","Project Delivery","SEO/HEO","265","[c]","34420","33460"
"Leaver Dept.","2021","Project Delivery","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","AA/AO","30","[c]","20800","21100"
"Leaver Dept.","2021","Property","EO","20","[c]","25670","25860"
"Leaver Dept.","2021","Property","G6/G7","20","[c]","58760","59000"
"Leaver Dept.","2021","Property","SCS level","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","SEO/HEO","45","[c]","35040","33300"
"Leaver Dept.","2021","Security","AA/AO","20","[c]","22900","20370"
"Leaver Dept.","2021","Security","EO","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","G6/G7","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","SEO/HEO","35","[c]","35920","34340"
"Leaver Dept.","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","AA/AO","1260","[c]","21360","21010"
"Leaver Dept.","2021","Unknown","EO","1490","[c]","27490","27570"
"Leaver Dept.","2021","Unknown","G6/G7","760","[c]","57910","56150"
"Leaver Dept.","2021","Unknown","SCS level","115","[c]","88510","79680"
"Leaver Dept.","2021","Unknown","SEO/HEO","1630","[c]","36100","35230"
"Leaver Dept.","2021","Unknown","Unknown","115","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","AA/AO","115","[c]","21430","21020"
"New entrant CS","2021","Analysis","EO","195","[c]","26410","26250"
"New entrant CS","2021","Analysis","G6/G7","120","[c]","58530","54110"
"New entrant CS","2021","Analysis","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","775","[c]","33620","32540"
"New entrant CS","2021","Commercial","AA/AO","75","[c]","21070","20920"
"New entrant CS","2021","Commercial","EO","105","[c]","25710","26350"
"New entrant CS","2021","Commercial","G6/G7","125","[c]","68460","60380"
"New entrant CS","2021","Commercial","SCS level","160","[c]","82010","71000"
"New entrant CS","2021","Commercial","SEO/HEO","270","[c]","37140","36640"
"New entrant CS","2021","Commercial","Unknown","35","[c]","35040","26670"
"New entrant CS","2021","Communications","AA/AO","70","[c]","21830","21460"
"New entrant CS","2021","Communications","EO","770","[c]","25670","25560"
"New entrant CS","2021","Communications","G6/G7","85","[c]","58100","56340"
"New entrant CS","2021","Communications","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","380","[c]","34770","32500"
"New entrant CS","2021","Counter Fraud","AA/AO","10","[c]","20980","20140"
"New entrant CS","2021","Counter Fraud","EO","105","[c]","26300","25560"
"New entrant CS","2021","Counter Fraud","G6/G7","10","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","SEO/HEO","70","[c]","33160","31810"
"New entrant CS","2021","Debt","AA/AO","940","[c]","20320","20140"
"New entrant CS","2021","Debt","EO","30","[c]","25510","25560"
"New entrant CS","2021","Debt","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data & Technology","AA/AO","100","[c]","21410","20920"
"New entrant CS","2021","Digital, Data & Technology","EO","385","[c]","26400","26130"
"New entrant CS","2021","Digital, Data & Technology","G6/G7","485","[c]","57340","54700"
"New entrant CS","2021","Digital, Data & Technology","SCS level","25","[c]","96860","91320"
"New entrant CS","2021","Digital, Data & Technology","SEO/HEO","855","[c]","36400","36040"
"New entrant CS","2021","Digital, Data & Technology","Unknown","15","[c]","37950","38180"
"New entrant CS","2021","Finance","AA/AO","105","[c]","20510","20140"
"New entrant CS","2021","Finance","EO","180","[c]","24760","25000"
"New entrant CS","2021","Finance","G6/G7","90","[c]","58730","57540"
"New entrant CS","2021","Finance","SCS level","15","[c]","94640","90000"
"New entrant CS","2021","Finance","SEO/HEO","375","[c]","36180","35680"
"New entrant CS","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","AA/AO","40","[c]","21050","21050"
"New entrant CS","2021","Grants Management","EO","10","[c]","23080","22430"
"New entrant CS","2021","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","AA/AO","210","[c]","20800","20920"
"New entrant CS","2021","Human Resources","EO","215","[c]","25810","26350"
"New entrant CS","2021","Human Resources","G6/G7","110","[c]","57240","54970"
"New entrant CS","2021","Human Resources","SCS level","10","[c]","[c]","[c]"
"New entrant CS","2021","Human Resources","SEO/HEO","305","[c]","34120","33250"
"New entrant CS","2021","Human Resources","Unknown","25","[c]","28090","22700"
"New entrant CS","2021","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","G6/G7","5","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Internal Audit","SEO/HEO","35","[c]","40290","39680"
"New entrant CS","2021","Legal","AA/AO","390","[c]","20470","20120"
"New entrant CS","2021","Legal","EO","215","[c]","26930","26950"
"New entrant CS","2021","Legal","G6/G7","420","[c]","53610","51100"
"New entrant CS","2021","Legal","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal","SEO/HEO","375","[c]","34910","37230"
"New entrant CS","2021","No function","AA/AO","10085","[c]","21660","20670"
"New entrant CS","2021","No function","EO","3220","[c]","26630","26130"
"New entrant CS","2021","No function","G6/G7","1160","[c]","57090","53500"
"New entrant CS","2021","No function","SCS level","185","[c]","96250","89810"
"New entrant CS","2021","No function","SEO/HEO","5095","[c]","33850","32790"
"New entrant CS","2021","No function","Unknown","1440","[c]","22930","22920"
"New entrant CS","2021","Project Delivery","AA/AO","70","[c]","21660","21050"
"New entrant CS","2021","Project Delivery","EO","450","[c]","23330","25000"
"New entrant CS","2021","Project Delivery","G6/G7","270","[c]","55940","54110"
"New entrant CS","2021","Project Delivery","SCS level","25","[c]","94830","90000"
"New entrant CS","2021","Project Delivery","SEO/HEO","900","[c]","36050","35290"
"New entrant CS","2021","Project Delivery","Unknown","150","[c]","35590","33000"
"New entrant CS","2021","Property","AA/AO","255","[c]","21070","20880"
"New entrant CS","2021","Property","EO","165","[c]","25530","24960"
"New entrant CS","2021","Property","G6/G7","70","[c]","55770","53500"
"New entrant CS","2021","Property","SCS level","5","[c]","[c]","[c]"
"New entrant CS","2021","Property","SEO/HEO","245","[c]","34820","33300"
"New entrant CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","AA/AO","610","[c]","24530","22650"
"New entrant CS","2021","Security","EO","120","[c]","26690","24620"
"New entrant CS","2021","Security","G6/G7","20","[c]","57820","53130"
"New entrant CS","2021","Security","SCS level","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Security","SEO/HEO","100","[c]","34920","33840"
"New entrant CS","2021","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","AA/AO","7485","[c]","21480","21010"
"New entrant CS","2021","Unknown","EO","12510","[c]","28360","27570"
"New entrant CS","2021","Unknown","G6/G7","800","[c]","59400","57430"
"New entrant CS","2021","Unknown","SCS level","65","[c]","97380","92980"
"New entrant CS","2021","Unknown","SEO/HEO","1860","[c]","35890","35110"
"New entrant CS","2021","Unknown","Unknown","345","[c]","37090","37960"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Responsibility_level_grouped","With the exception of the centrally managed Senior Civil Service, government departments have delegated pay and grading. For statistical purposes departments are asked to map their grades to a common framework by responsibility level.","","","","","",""
"","This table shows staff in their substantive responsibility level unless on temporary promotion in which case staff are recorded at the higher responsibility level.","","","","","",""
"","Responsibility_level_grouped combines the mapped grades into five broad responsibility levels. This is the headline measure for responsibility level for the Civil Service and is consistent with the published National Statistics.","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","The Department for Work and Pensions provided aggregated functions data for 2021, which are available in the Civil Service Statistics publication. However, figures in this browser are derived from individual level data and so are not available for this department in 2021.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
